Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,782,Jaltipan,MEX,Mexico,17.9399760121,-94.7399900734,-6,14.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,21.52,86.2,0.0,0.0,0.0,388.57,5.64,324.0,1015.65,
2007,1,1,1,21.27,85.9,0.0,0.0,0.0,388.13,5.74,323.0,1015.48,
2007,1,1,2,21.28,87.73,0.0,0.0,0.0,381.95,5.93,322.0,1015.31,
2007,1,1,3,21.24,87.8,0.0,0.0,0.0,380.32,5.96,322.0,1015.28,
2007,1,1,4,21.19,87.87,0.0,0.0,0.0,378.68,5.99,323.0,1015.25,
2007,1,1,5,21.15,87.94,0.0,0.0,0.0,377.05,6.01,324.0,1015.21,
2007,1,1,6,21.12,88.21,0.0,0.0,0.0,378.05,6.31,325.0,1015.85,
2007,1,1,7,21.08,88.49,7.0,0.0,7.0,379.05,6.61,326.0,1016.48,
2007,1,1,8,21.05,88.76,94.0,24.85,88.0,380.05,6.91,328.0,1017.11,
2007,1,1,9,21.08,89.06,65.0,0.0,65.0,383.32,7.14,328.0,1017.18,
2007,1,1,10,21.12,89.37,58.0,0.0,58.0,386.58,7.37,328.0,1017.24,
2007,1,1,11,21.15,89.67,468.0,173.02,347.0,389.85,7.6,328.0,1017.31,
2007,1,1,12,20.96,89.45,213.0,6.66,208.0,391.27,7.43,328.0,1016.74,
2007,1,1,13,20.76,89.22,323.0,29.59,301.0,392.68,7.27,329.0,1016.18,
2007,1,1,14,20.56,89.0,90.0,0.0,90.0,394.1,7.1,329.0,1015.61,
2007,1,1,15,20.27,88.81,143.0,0.0,143.0,391.67,6.98,331.0,1015.95,
2007,1,1,16,19.98,88.62,92.0,0.0,92.0,389.23,6.86,332.0,1016.28,
2007,1,1,17,19.69,88.43,142.0,474.39,53.0,386.8,6.73,334.0,1016.61,
2007,1,1,18,19.48,87.42,0.0,0.0,0.0,380.38,6.67,334.0,1017.18,
2007,1,1,19,19.28,86.4,0.0,0.0,0.0,373.97,6.6,334.0,1017.74,
2007,1,1,20,19.07,85.39,0.0,0.0,0.0,367.55,6.54,334.0,1018.31,
2007,1,1,21,19.02,85.65,0.0,0.0,0.0,365.95,6.4,333.0,1018.21,
2007,1,1,22,18.98,85.9,0.0,0.0,0.0,364.35,6.26,331.0,1018.11,
2007,1,1,23,18.93,86.16,0.0,0.0,0.0,362.75,6.12,330.0,1018.01,
2007,1,2,0,18.88,86.36,0.0,0.0,0.0,361.32,5.95,328.0,1017.48,
2007,1,2,1,18.83,86.55,0.0,0.0,0.0,359.88,5.78,327.0,1016.94,
2007,1,2,2,18.78,86.75,0.0,0.0,0.0,358.45,5.61,326.0,1016.41,
2007,1,2,3,18.86,86.81,0.0,0.0,0.0,357.67,5.47,325.0,1016.31,
2007,1,2,4,18.93,86.88,0.0,0.0,0.0,356.88,5.32,325.0,1016.21,
2007,1,2,5,19.01,86.94,0.0,0.0,0.0,356.1,5.17,324.0,1016.11,
2007,1,2,6,19.15,86.76,0.0,0.0,0.0,356.68,5.25,326.0,1016.78,
2007,1,2,7,19.29,86.57,7.0,0.0,7.0,357.27,5.32,327.0,1017.44,
2007,1,2,8,19.43,86.39,7.0,0.0,7.0,357.85,5.39,328.0,1018.11,
2007,1,2,9,19.75,86.2,105.0,0.0,105.0,363.15,5.52,328.0,1018.01,
2007,1,2,10,20.08,86.02,112.0,0.0,112.0,368.45,5.65,328.0,1017.91,
2007,1,2,11,20.4,85.83,116.0,0.0,116.0,373.75,5.78,328.0,1017.81,
2007,1,2,12,20.56,85.42,78.0,0.0,78.0,377.22,5.72,329.0,1016.98,
2007,1,2,13,20.71,85.02,240.0,9.4,233.0,380.68,5.66,330.0,1016.15,
2007,1,2,14,20.87,84.61,144.0,0.0,144.0,384.15,5.6,331.0,1015.31,
2007,1,2,15,20.65,84.78,88.0,0.0,88.0,382.63,5.07,332.0,1015.28,
2007,1,2,16,20.42,84.94,58.0,0.0,58.0,381.12,4.54,333.0,1015.25,
2007,1,2,17,20.2,85.11,143.0,474.12,53.0,379.6,4.01,334.0,1015.21,
2007,1,2,18,20.12,85.93,0.0,0.0,0.0,374.85,3.87,335.0,1015.75,
2007,1,2,19,20.03,86.74,0.0,0.0,0.0,370.1,3.72,336.0,1016.28,
2007,1,2,20,19.95,87.56,0.0,0.0,0.0,365.35,3.57,337.0,1016.81,
2007,1,2,21,20.02,88.04,0.0,0.0,0.0,364.4,3.65,334.0,1016.78,
2007,1,2,22,20.1,88.52,0.0,0.0,0.0,363.45,3.73,331.0,1016.74,
2007,1,2,23,20.17,89.0,0.0,0.0,0.0,362.5,3.81,328.0,1016.71,
2007,1,3,0,20.19,88.97,0.0,0.0,0.0,361.87,3.74,326.0,1016.48,
2007,1,3,1,20.2,88.93,0.0,0.0,0.0,361.23,3.67,325.0,1016.24,
2007,1,3,2,20.21,88.9,0.0,0.0,0.0,360.6,3.6,323.0,1016.01,
2007,1,3,3,20.33,88.76,0.0,0.0,0.0,360.6,3.45,324.0,1015.88,
2007,1,3,4,20.45,88.63,0.0,0.0,0.0,360.6,3.3,324.0,1015.75,
2007,1,3,5,20.57,88.49,0.0,0.0,0.0,360.6,3.14,324.0,1015.61,
2007,1,3,6,20.72,88.21,0.0,0.0,0.0,362.67,3.34,325.0,1016.11,
2007,1,3,7,20.87,87.92,6.0,0.0,6.0,364.73,3.53,326.0,1016.61,
2007,1,3,8,21.02,87.64,187.0,521.44,62.0,366.8,3.72,327.0,1017.11,
2007,1,3,9,21.81,87.81,194.0,41.43,176.0,371.72,4.04,331.0,1016.88,
