Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4899,Tampico,MEX,Mexico,22.3000199575,-97.8700057391,-6,23.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,18.54,56.98,0.0,0.0,0.0,388.36,5.55,349.0,1020.15,
2007,1,1,1,18.68,58.09,0.0,0.0,0.0,389.95,5.25,346.0,1020.08,
2007,1,1,2,17.76,56.39,0.0,0.0,0.0,385.05,6.06,344.0,1020.01,
2007,1,1,3,17.66,56.29,0.0,0.0,0.0,383.93,6.11,343.0,1019.95,
2007,1,1,4,17.55,56.19,0.0,0.0,0.0,382.82,6.17,341.0,1019.88,
2007,1,1,5,17.45,56.09,0.0,0.0,0.0,381.7,6.23,340.0,1019.81,
2007,1,1,6,17.49,57.23,0.0,0.0,0.0,381.12,6.22,341.0,1020.48,
2007,1,1,7,17.52,58.36,0.0,0.0,0.0,380.53,6.21,343.0,1021.14,
2007,1,1,8,17.55,59.5,31.0,0.0,31.0,379.95,6.19,344.0,1021.81,
2007,1,1,9,17.94,57.98,89.0,0.0,89.0,380.8,6.25,344.0,1021.81,
2007,1,1,10,18.33,56.46,247.0,54.25,219.0,381.65,6.31,343.0,1021.81,
2007,1,1,11,18.71,54.94,362.0,101.37,298.0,382.5,6.37,343.0,1021.81,
2007,1,1,12,18.93,53.33,361.0,63.45,317.0,381.78,6.24,346.0,1020.85,
2007,1,1,13,19.15,51.73,342.0,48.7,308.0,381.07,6.11,349.0,1019.88,
2007,1,1,14,19.37,50.12,316.0,51.14,283.0,380.35,5.99,352.0,1018.92,
2007,1,1,15,18.63,51.66,256.0,50.17,229.0,377.8,5.7,356.0,1019.02,
2007,1,1,16,17.9,53.19,159.0,20.81,151.0,375.25,5.42,360.0,1019.12,
2007,1,1,17,17.17,54.73,146.0,396.3,69.0,372.7,5.13,3.0,1019.22,
2007,1,1,18,16.93,54.34,0.0,0.0,0.0,366.98,4.92,0.0,1019.88,
2007,1,1,19,16.7,53.94,0.0,0.0,0.0,361.27,4.71,357.0,1020.55,
2007,1,1,20,16.46,53.55,0.0,0.0,0.0,355.55,4.5,353.0,1021.21,
2007,1,1,21,16.29,53.55,0.0,0.0,0.0,357.58,3.9,352.0,1020.91,
2007,1,1,22,16.12,53.55,0.0,0.0,0.0,359.62,3.31,351.0,1020.61,
2007,1,1,23,15.95,53.55,0.0,0.0,0.0,361.65,2.72,350.0,1020.31,
2007,1,2,0,15.83,54.14,0.0,0.0,0.0,361.77,2.67,340.0,1019.85,
2007,1,2,1,15.72,54.74,0.0,0.0,0.0,361.88,2.62,331.0,1019.38,
2007,1,2,2,15.6,55.33,0.0,0.0,0.0,362.0,2.57,321.0,1018.92,
2007,1,2,3,15.34,54.63,0.0,0.0,0.0,356.35,2.63,323.0,1018.78,
2007,1,2,4,15.09,53.94,0.0,0.0,0.0,350.7,2.69,325.0,1018.65,
2007,1,2,5,14.83,53.24,0.0,0.0,0.0,345.05,2.76,328.0,1018.52,
2007,1,2,6,15.53,54.04,0.0,0.0,0.0,347.3,2.39,333.0,1019.02,
2007,1,2,7,16.22,54.83,0.0,0.0,0.0,349.55,2.02,339.0,1019.52,
2007,1,2,8,16.91,55.63,25.0,0.0,25.0,351.8,1.66,344.0,1020.01,
2007,1,2,9,17.83,55.46,211.0,177.43,148.0,361.67,1.79,354.0,1020.01,
2007,1,2,10,18.75,55.3,287.0,102.72,234.0,371.53,1.92,4.0,1020.01,
2007,1,2,11,19.66,55.13,267.0,26.91,250.0,381.4,2.06,14.0,1020.01,
2007,1,2,12,19.68,56.33,109.0,0.0,109.0,384.27,2.44,25.0,1019.05,
2007,1,2,13,19.71,57.54,175.0,1.43,174.0,387.13,2.83,36.0,1018.09,
2007,1,2,14,19.73,58.74,298.0,38.65,273.0,390.0,3.21,48.0,1017.12,
2007,1,2,15,19.17,59.76,165.0,0.0,165.0,390.52,3.35,52.0,1017.22,
2007,1,2,16,18.62,60.78,222.0,144.87,166.0,391.03,3.48,56.0,1017.32,
2007,1,2,17,18.07,61.8,102.0,127.19,77.0,391.55,3.61,60.0,1017.42,
2007,1,2,18,17.87,63.26,0.0,0.0,0.0,391.0,3.54,56.0,1017.85,
2007,1,2,19,17.67,64.73,0.0,0.0,0.0,390.45,3.47,52.0,1018.29,
2007,1,2,20,17.47,66.19,0.0,0.0,0.0,389.9,3.39,48.0,1018.72,
2007,1,2,21,17.31,66.86,0.0,0.0,0.0,389.72,2.73,49.0,1018.72,
2007,1,2,22,17.15,67.53,0.0,0.0,0.0,389.53,2.07,50.0,1018.72,
2007,1,2,23,16.99,68.2,0.0,0.0,0.0,389.35,1.41,51.0,1018.72,
2007,1,3,0,16.92,69.68,0.0,0.0,0.0,389.03,1.65,20.0,1018.48,
2007,1,3,1,16.86,71.15,0.0,0.0,0.0,388.72,1.89,350.0,1018.25,
2007,1,3,2,16.79,72.63,0.0,0.0,0.0,388.4,2.12,319.0,1018.02,
2007,1,3,3,16.85,73.49,0.0,0.0,0.0,386.88,2.59,319.0,1017.82,
2007,1,3,4,16.92,74.36,0.0,0.0,0.0,385.37,3.06,318.0,1017.62,
2007,1,3,5,16.98,75.22,0.0,0.0,0.0,383.85,3.53,318.0,1017.42,
2007,1,3,6,17.07,72.11,0.0,0.0,0.0,381.32,3.26,318.0,1017.65,
2007,1,3,7,17.16,68.99,0.0,0.0,0.0,378.78,2.99,317.0,1017.89,
2007,1,3,8,17.24,65.88,18.0,0.0,18.0,376.25,2.72,317.0,1018.12,
2007,1,3,9,18.13,67.75,42.0,0.0,42.0,379.98,2.77,314.0,1018.05,
2007,1,3,10,19.02,69.63,93.0,0.0,93.0,383.72,2.83,311.0,1017.99,
2007,1,3,11,19.91,71.5,204.0,7.91,199.0,387.45,2.88,307.0,1017.92,
2007,1,3,12,20.2,72.13,197.0,4.32,194.0,392.0,2.51,312.0,1016.76,
2007,1,3,13,20.49,72.75,384.0,78.49,329.0,396.55,2.14,317.0,1015.59,
2007,1,3,14,20.78,73.38,243.0,15.42,233.0,401.1,1.77,322.0,1014.43,
2007,1,3,15,20.24,74.99,376.0,245.31,243.0,398.9,1.6,336.0,1014.3,
