Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2133,Tehuacan,MEX,Mexico,18.4503582957,-97.3799839699,-6,1592.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,11.85,63.82,0.0,0.0,0.0,296.31,1.24,344.0,843.25,
2005,1,1,1,10.63,67.55,0.0,0.0,0.0,295.12,1.24,313.0,842.97,
2005,1,1,2,12.22,77.34,0.0,0.0,0.0,317.55,0.68,282.0,842.7,
2005,1,1,3,12.14,78.94,0.0,0.0,0.0,321.62,0.73,277.0,842.73,
2005,1,1,4,12.06,80.54,0.0,0.0,0.0,325.68,0.79,272.0,842.75,
2005,1,1,5,11.99,82.14,0.0,0.0,0.0,329.75,0.84,268.0,842.78,
2005,1,1,6,12.97,77.12,0.0,0.0,0.0,326.67,0.87,263.0,843.11,
2005,1,1,7,13.95,72.1,0.0,0.0,0.0,323.58,0.91,259.0,843.44,
2005,1,1,8,14.93,67.08,155.0,439.83,67.0,320.5,0.94,254.0,843.77,
2005,1,1,9,17.32,56.02,376.0,686.86,102.0,322.55,1.08,311.0,843.11,
2005,1,1,10,19.7,44.95,571.0,798.74,122.0,324.6,1.22,7.0,842.45,
2005,1,1,11,22.08,33.89,714.0,854.67,134.0,326.65,1.37,64.0,841.79,
2005,1,1,12,22.87,32.46,790.0,877.87,140.0,329.72,1.68,67.0,840.77,
2005,1,1,13,23.65,31.03,793.0,877.12,141.0,332.78,1.99,70.0,839.76,
2005,1,1,14,24.43,29.6,723.0,852.77,137.0,335.85,2.3,72.0,838.74,
2005,1,1,15,22.98,34.55,586.0,797.23,127.0,332.18,2.02,70.0,838.99,
2005,1,1,16,21.53,39.49,396.0,688.84,109.0,328.52,1.73,68.0,839.23,
2005,1,1,17,20.08,44.44,180.0,471.18,76.0,324.85,1.45,65.0,839.48,
2005,1,1,18,18.24,51.85,0.0,0.0,0.0,317.55,1.63,65.0,840.36,
2005,1,1,19,16.4,59.26,0.0,0.0,0.0,310.25,1.82,64.0,841.24,
2005,1,1,20,14.56,66.67,0.0,0.0,0.0,302.95,2.0,64.0,842.12,
2005,1,1,21,14.41,69.31,0.0,0.0,0.0,302.47,1.53,52.0,842.51,
2005,1,1,22,14.25,71.94,0.0,0.0,0.0,301.98,1.06,40.0,842.89,
2005,1,1,23,14.09,74.58,0.0,0.0,0.0,301.5,0.59,27.0,843.28,
2005,1,2,0,13.97,77.72,0.0,0.0,0.0,310.53,0.72,2.0,843.25,
2005,1,2,1,13.86,80.87,0.0,0.0,0.0,319.57,0.85,337.0,843.22,
2005,1,2,2,13.74,84.01,0.0,0.0,0.0,328.6,0.98,312.0,843.19,
2005,1,2,3,13.64,85.1,0.0,0.0,0.0,331.5,1.0,310.0,843.22,
2005,1,2,4,13.54,86.2,0.0,0.0,0.0,334.4,1.03,309.0,843.25,
2005,1,2,5,13.44,87.29,0.0,0.0,0.0,337.3,1.05,307.0,843.28,
2005,1,2,6,14.24,81.97,0.0,0.0,0.0,340.03,0.91,307.0,843.83,
2005,1,2,7,15.04,76.66,0.0,0.0,0.0,342.77,0.77,308.0,844.38,
2005,1,2,8,15.84,71.34,153.0,436.88,66.0,345.5,0.63,308.0,844.93,
2005,1,2,9,18.03,61.66,374.0,685.38,101.0,346.83,1.11,344.0,844.29,
2005,1,2,10,20.22,51.98,570.0,798.99,121.0,348.17,1.59,20.0,843.66,
2005,1,2,11,22.4,42.3,713.0,854.33,133.0,349.5,2.07,56.0,843.03,
2005,1,2,12,23.09,40.34,789.0,877.0,139.0,348.75,2.21,56.0,842.15,
2005,1,2,13,23.78,38.38,792.0,875.72,140.0,348.0,2.35,57.0,841.27,
2005,1,2,14,24.47,36.42,721.0,850.81,135.0,347.25,2.5,57.0,840.39,
2005,1,2,15,23.12,41.0,584.0,794.61,125.0,345.08,2.17,56.0,840.75,
2005,1,2,16,21.77,45.58,396.0,687.75,108.0,342.92,1.85,55.0,841.1,
2005,1,2,17,20.41,50.16,181.0,475.46,75.0,340.75,1.53,54.0,841.46,
2005,1,2,18,19.03,56.94,0.0,0.0,0.0,336.2,1.33,48.0,842.37,
