Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3654,Tehuantepec,MEX,Mexico,16.3299967641,-95.2299860044,-6,60.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,22.31,76.21,0.0,0.0,0.0,390.71,11.4,355.0,1009.62,
2007,1,1,1,21.74,78.51,0.0,0.0,0.0,392.36,11.4,354.0,1009.46,
2007,1,1,2,22.27,72.93,0.0,0.0,0.0,386.7,11.61,353.0,1009.29,
2007,1,1,3,22.38,72.13,0.0,0.0,0.0,386.28,11.65,353.0,1009.19,
2007,1,1,4,22.49,71.33,0.0,0.0,0.0,385.87,11.68,353.0,1009.09,
2007,1,1,5,22.61,70.53,0.0,0.0,0.0,385.45,11.71,353.0,1008.99,
2007,1,1,6,23.66,68.69,0.0,0.0,0.0,386.83,12.06,353.0,1009.52,
2007,1,1,7,24.71,66.86,9.0,0.0,9.0,388.22,12.41,352.0,1010.05,
2007,1,1,8,25.75,65.02,65.0,0.0,65.0,389.6,12.76,352.0,1010.58,
2007,1,1,9,27.04,62.37,412.0,723.62,90.0,389.65,12.92,353.0,1010.48,
2007,1,1,10,28.33,59.72,597.0,816.28,104.0,389.7,13.09,354.0,1010.38,
2007,1,1,11,29.62,57.07,729.0,863.81,112.0,389.75,13.26,355.0,1010.28,
2007,1,1,12,29.42,57.54,795.0,883.61,116.0,389.1,13.36,356.0,1009.59,
2007,1,1,13,29.22,58.0,788.0,881.04,116.0,388.45,13.46,357.0,1008.89,
2007,1,1,14,29.02,58.47,710.0,857.27,112.0,387.8,13.56,358.0,1008.2,
2007,1,1,15,27.49,61.64,568.0,805.38,103.0,387.52,13.83,358.0,1008.56,
2007,1,1,16,25.95,64.8,375.0,699.43,88.0,387.23,14.11,359.0,1008.93,
2007,1,1,17,24.42,67.97,161.0,495.56,58.0,386.95,14.39,359.0,1009.29,
2007,1,1,18,23.51,68.33,0.0,0.0,0.0,383.63,14.54,358.0,1009.92,
2007,1,1,19,22.6,68.69,0.0,0.0,0.0,380.32,14.69,357.0,1010.55,
2007,1,1,20,21.68,69.05,0.0,0.0,0.0,377.0,14.84,357.0,1011.18,
2007,1,1,21,21.44,68.86,0.0,0.0,0.0,376.07,14.7,356.0,1011.14,
2007,1,1,22,21.2,68.66,0.0,0.0,0.0,375.13,14.56,355.0,1011.11,
2007,1,1,23,20.96,68.47,0.0,0.0,0.0,374.2,14.41,354.0,1011.08,
2007,1,2,0,20.84,68.21,0.0,0.0,0.0,373.88,14.15,354.0,1010.58,
2007,1,2,1,20.72,67.96,0.0,0.0,0.0,373.57,13.88,354.0,1010.08,
2007,1,2,2,20.6,67.7,0.0,0.0,0.0,373.25,13.61,353.0,1009.59,
2007,1,2,3,20.77,67.62,0.0,0.0,0.0,373.17,13.38,353.0,1009.46,
2007,1,2,4,20.94,67.53,0.0,0.0,0.0,373.08,13.15,353.0,1009.32,
2007,1,2,5,21.12,67.45,0.0,0.0,0.0,373.0,12.92,353.0,1009.19,
2007,1,2,6,22.25,65.94,0.0,0.0,0.0,373.07,12.86,353.0,1009.85,
2007,1,2,7,23.39,64.43,8.0,0.0,8.0,373.13,12.8,353.0,1010.51,
2007,1,2,8,24.52,62.92,65.0,0.0,65.0,373.2,12.73,353.0,1011.18,
2007,1,2,9,25.98,60.92,411.0,722.34,90.0,373.03,12.5,354.0,1011.01,
2007,1,2,10,27.43,58.93,597.0,816.52,104.0,372.87,12.27,356.0,1010.85,
2007,1,2,11,28.88,56.93,729.0,863.46,112.0,372.7,12.04,357.0,1010.68,
2007,1,2,12,28.89,56.89,795.0,882.74,116.0,373.58,11.94,358.0,1009.79,
2007,1,2,13,28.9,56.85,788.0,879.65,116.0,374.47,11.83,359.0,1008.89,
2007,1,2,14,28.91,56.81,710.0,855.31,112.0,375.35,11.72,0.0,1008.0,
2007,1,2,15,27.51,60.26,568.0,802.73,103.0,376.23,11.92,360.0,1008.1,
2007,1,2,16,26.1,63.7,376.0,698.28,88.0,377.12,12.12,360.0,1008.2,
2007,1,2,17,24.69,67.15,163.0,495.14,59.0,378.0,12.32,359.0,1008.3,
2007,1,2,18,23.79,68.74,0.0,0.0,0.0,376.12,12.5,358.0,1008.89,
2007,1,2,19,22.89,70.34,0.0,0.0,0.0,374.23,12.68,358.0,1009.49,
2007,1,2,20,21.99,71.93,0.0,0.0,0.0,372.35,12.86,357.0,1010.08,
2007,1,2,21,21.86,71.75,0.0,0.0,0.0,372.28,12.67,355.0,1010.22,
2007,1,2,22,21.73,71.56,0.0,0.0,0.0,372.22,12.49,353.0,1010.35,
2007,1,2,23,21.59,71.38,0.0,0.0,0.0,372.15,12.3,351.0,1010.48,
2007,1,3,0,21.56,70.82,0.0,0.0,0.0,372.93,11.9,351.0,1010.18,
2007,1,3,1,21.52,70.26,0.0,0.0,0.0,373.72,11.49,350.0,1009.89,
2007,1,3,2,21.49,69.7,0.0,0.0,0.0,374.5,11.09,350.0,1009.59,
2007,1,3,3,21.65,69.43,0.0,0.0,0.0,374.88,10.75,351.0,1009.49,
