Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2122,Tepic,MEX,Mexico,21.5053914581,-104.879991294,-7,917.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,16.76,100.0,0.0,0.0,0.0,324.8,1.41,96.0,908.74,
2015,1,1,1,16.28,100.0,0.0,0.0,0.0,311.9,0.98,105.0,908.41,
2015,1,1,2,16.09,100.0,0.0,0.0,0.0,313.08,1.18,104.0,908.44,
2015,1,1,3,15.89,100.0,0.0,0.0,0.0,314.27,1.37,104.0,908.47,
2015,1,1,4,15.7,100.0,0.0,0.0,0.0,315.45,1.57,104.0,908.5,
2015,1,1,5,16.52,100.0,0.0,0.0,0.0,319.08,1.18,105.0,908.95,
2015,1,1,6,17.33,100.0,0.0,0.0,0.0,322.72,0.78,106.0,909.4,
2015,1,1,7,18.15,100.0,33.0,132.84,24.0,326.35,0.39,107.0,909.85,
2015,1,1,8,20.22,94.8,91.0,0.0,91.0,333.65,0.46,135.0,909.76,
2015,1,1,9,22.28,89.61,305.0,226.65,202.0,340.95,0.52,163.0,909.67,
2015,1,1,10,24.35,84.41,478.0,371.12,258.0,348.25,0.59,192.0,909.58,
2015,1,1,11,24.39,81.33,727.0,944.21,84.0,356.15,1.15,208.0,908.65,
2015,1,1,12,24.43,78.24,653.0,537.16,270.0,364.05,1.71,225.0,907.73,
2015,1,1,13,24.47,75.16,624.0,537.38,255.0,371.95,2.26,242.0,906.8,
2015,1,1,14,23.36,80.21,632.0,915.92,79.0,370.8,2.07,250.0,906.86,
2015,1,1,15,22.25,85.26,172.0,10.64,167.0,369.65,1.88,257.0,906.92,
2015,1,1,16,21.14,90.31,216.0,383.9,103.0,368.5,1.68,264.0,906.98,
2015,1,1,17,19.95,93.54,31.0,0.0,31.0,355.38,1.59,265.0,907.31,
2015,1,1,18,18.76,96.77,0.0,0.0,0.0,342.27,1.5,267.0,907.64,
2015,1,1,19,17.57,100.0,0.0,0.0,0.0,329.15,1.41,268.0,907.97,
2015,1,1,20,17.07,100.0,0.0,0.0,0.0,325.02,1.42,225.0,907.94,
2015,1,1,21,16.57,100.0,0.0,0.0,0.0,320.88,1.43,181.0,907.91,
2015,1,1,22,16.08,100.0,0.0,0.0,0.0,316.75,1.43,138.0,907.88,
2015,1,1,23,15.77,100.0,0.0,0.0,0.0,315.22,1.26,134.0,907.82,
2015,1,2,0,15.46,100.0,0.0,0.0,0.0,313.68,1.08,131.0,907.76,
2015,1,2,1,15.15,100.0,0.0,0.0,0.0,312.15,0.9,127.0,907.7,
2015,1,2,2,14.99,100.0,0.0,0.0,0.0,313.3,1.16,127.0,907.67,
2015,1,2,3,14.83,100.0,0.0,0.0,0.0,314.45,1.42,127.0,907.64,
2015,1,2,4,14.67,100.0,0.0,0.0,0.0,315.6,1.68,127.0,907.61,
2015,1,2,5,15.79,100.0,0.0,0.0,0.0,313.88,1.69,125.0,908.2,
2015,1,2,6,16.92,100.0,0.0,0.0,0.0,312.17,1.7,122.0,908.8,
2015,1,2,7,18.04,100.0,30.0,89.86,24.0,310.45,1.71,119.0,909.4,
2015,1,2,8,19.92,95.73,247.0,698.99,55.0,316.05,2.02,147.0,909.25,
2015,1,2,9,21.8,91.45,454.0,845.55,70.0,321.65,2.34,175.0,909.1,
2015,1,2,10,23.68,87.18,620.0,912.43,79.0,327.25,2.65,203.0,908.95,
2015,1,2,11,23.0,87.26,566.0,375.61,310.0,335.05,2.59,208.0,908.32,
2015,1,2,12,22.33,87.35,458.0,133.05,363.0,342.85,2.53,212.0,907.7,
2015,1,2,13,21.66,87.43,734.0,944.62,84.0,350.65,2.47,217.0,907.07,
2015,1,2,14,20.43,91.62,632.0,913.21,79.0,353.78,1.73,224.0,907.64,
2015,1,2,15,19.21,95.81,472.0,849.56,71.0,356.92,1.0,232.0,908.2,
2015,1,2,16,17.98,100.0,270.0,718.23,57.0,360.05,0.26,240.0,908.77,
2015,1,2,17,17.39,100.0,28.0,0.0,28.0,349.68,0.51,208.0,908.86,
2015,1,2,18,16.8,100.0,0.0,0.0,0.0,339.32,0.75,177.0,908.95,
2015,1,2,19,16.21,100.0,0.0,0.0,0.0,328.95,0.99,146.0,909.04,
2015,1,2,20,15.7,100.0,0.0,0.0,0.0,323.02,0.96,138.0,909.01,
2015,1,2,21,15.19,100.0,0.0,0.0,0.0,317.08,0.92,130.0,908.98,
2015,1,2,22,14.68,100.0,0.0,0.0,0.0,311.15,0.88,122.0,908.95,
2015,1,2,23,14.53,100.0,0.0,0.0,0.0,309.12,0.74,125.0,908.89,
2015,1,3,0,14.39,100.0,0.0,0.0,0.0,307.08,0.59,127.0,908.83,
2015,1,3,1,14.25,100.0,0.0,0.0,0.0,305.05,0.44,130.0,908.77,
2015,1,3,2,14.07,100.0,0.0,0.0,0.0,305.03,0.64,130.0,908.71,
2015,1,3,3,13.9,100.0,0.0,0.0,0.0,305.02,0.84,129.0,908.65,
2015,1,3,4,13.72,100.0,0.0,0.0,0.0,305.0,1.03,128.0,908.59,
2015,1,3,5,14.92,100.0,0.0,0.0,0.0,306.32,0.88,125.0,909.49,
2015,1,3,6,16.12,100.0,0.0,0.0,0.0,307.63,0.73,121.0,910.38,
2015,1,3,7,17.32,100.0,43.0,318.84,22.0,308.95,0.58,117.0,911.28,
2015,1,3,8,18.84,93.93,124.0,54.73,109.0,313.57,0.52,151.0,911.22,
2015,1,3,9,20.36,87.87,454.0,845.97,70.0,318.18,0.47,184.0,911.16,
2015,1,3,10,21.88,81.8,623.0,917.17,79.0,322.8,0.41,218.0,911.1,
2015,1,3,11,21.95,77.17,733.0,951.29,84.0,331.13,1.06,227.0,910.23,
2015,1,3,12,22.02,72.53,775.0,963.44,86.0,339.47,1.7,236.0,909.37,
2015,1,3,13,22.09,67.9,745.0,958.48,84.0,347.8,2.34,245.0,908.5,
2015,1,3,14,21.13,72.31,42.0,0.0,42.0,345.6,2.01,254.0,908.8,
2015,1,3,15,20.18,76.73,326.0,240.44,212.0,343.4,1.68,263.0,909.1,
2015,1,3,16,19.22,81.14,228.0,441.71,96.0,341.2,1.35,272.0,909.4,
2015,1,3,17,18.09,87.43,30.0,0.0,30.0,333.15,1.33,217.0,909.73,
2015,1,3,18,16.96,93.71,0.0,0.0,0.0,325.1,1.31,162.0,910.06,
2015,1,3,19,15.84,100.0,0.0,0.0,0.0,317.05,1.3,108.0,910.38,
2015,1,3,20,15.31,100.0,0.0,0.0,0.0,314.63,1.28,104.0,910.35,
2015,1,3,21,14.78,100.0,0.0,0.0,0.0,312.22,1.27,100.0,910.32,
2015,1,3,22,14.25,100.0,0.0,0.0,0.0,309.8,1.26,96.0,910.29,
2015,1,3,23,14.22,100.0,0.0,0.0,0.0,309.05,1.42,95.0,910.21,
2015,1,4,0,14.19,100.0,0.0,0.0,0.0,308.3,1.58,93.0,910.12,
2015,1,4,1,14.16,100.0,0.0,0.0,0.0,307.55,1.74,91.0,910.03,
2015,1,4,2,13.96,100.0,0.0,0.0,0.0,306.9,2.02,91.0,910.0,
2015,1,4,3,13.76,100.0,0.0,0.0,0.0,306.25,2.3,91.0,909.97,
2015,1,4,4,13.56,100.0,0.0,0.0,0.0,305.6,2.58,91.0,909.94,
2015,1,4,5,14.59,100.0,0.0,0.0,0.0,304.98,2.61,90.0,910.5,
2015,1,4,6,15.62,100.0,0.0,0.0,0.0,304.37,2.64,88.0,911.07,
2015,1,4,7,16.65,100.0,28.0,76.89,23.0,303.75,2.68,87.0,911.64,
2015,1,4,8,18.92,91.05,173.0,248.58,105.0,308.77,2.68,87.0,911.52,
2015,1,4,9,21.18,82.11,241.0,88.15,201.0,313.78,2.69,86.0,911.4,
2015,1,4,10,23.45,73.16,538.0,583.05,192.0,318.8,2.69,86.0,911.28,
2015,1,4,11,23.93,68.25,586.0,421.68,298.0,327.83,2.55,97.0,910.44,
2015,1,4,12,24.41,63.33,633.0,476.03,292.0,336.87,2.4,107.0,909.61,
2015,1,4,13,24.9,58.42,576.0,376.14,316.0,345.9,2.26,118.0,908.77,
2015,1,4,14,23.57,65.33,474.0,316.72,281.0,347.93,1.97,164.0,908.89,
2015,1,4,15,22.23,72.24,274.0,117.57,218.0,349.97,1.68,211.0,909.01,
2015,1,4,16,20.9,79.15,152.0,89.65,125.0,352.0,1.39,258.0,909.13,
2015,1,4,17,19.73,86.1,34.0,0.0,34.0,345.58,1.47,313.0,909.28,
