Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2144,Toluca,MEX,Mexico,19.3303820994,-99.6699992287,-6,2630.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,8.4,95.82,0.0,0.0,0.0,363.35,1.11,86.0,738.37,
2014,1,1,1,7.8,99.42,0.0,0.0,0.0,364.3,1.04,78.0,738.15,
2014,1,1,2,7.11,100.0,0.0,0.0,0.0,365.0,0.62,71.0,737.93,
2014,1,1,3,6.84,100.0,0.0,0.0,0.0,361.85,0.69,64.0,737.91,
2014,1,1,4,6.57,100.0,0.0,0.0,0.0,358.7,0.76,58.0,737.89,
2014,1,1,5,6.3,100.0,0.0,0.0,0.0,355.55,0.83,52.0,737.86,
2014,1,1,6,6.99,90.91,0.0,0.0,0.0,353.58,0.73,53.0,738.49,
2014,1,1,7,7.68,81.83,0.0,0.0,0.0,351.62,0.63,54.0,739.12,
2014,1,1,8,8.36,72.74,121.0,418.19,54.0,349.65,0.54,55.0,739.75,
2014,1,1,9,10.63,67.72,346.0,709.4,89.0,348.72,1.03,86.0,739.21,
2014,1,1,10,12.91,62.7,551.0,834.53,108.0,347.78,1.52,117.0,738.68,
2014,1,1,11,15.18,57.68,706.0,895.47,120.0,346.85,2.01,148.0,738.15,
2014,1,1,12,15.71,54.28,795.0,923.32,126.0,350.57,2.08,170.0,737.16,
2014,1,1,13,16.25,50.88,809.0,925.98,127.0,354.28,2.15,191.0,736.17,
2014,1,1,14,16.78,47.48,594.0,372.75,337.0,358.0,2.22,212.0,735.18,
2014,1,1,15,15.59,51.65,297.0,51.14,267.0,358.4,1.71,215.0,735.13,
2014,1,1,16,14.39,55.83,190.0,29.89,177.0,358.8,1.19,218.0,735.08,
2014,1,1,17,13.19,60.0,127.0,93.93,104.0,359.2,0.68,221.0,735.03,
2014,1,1,18,12.05,66.36,0.0,0.0,0.0,361.85,0.69,225.0,735.52,
2014,1,1,19,10.92,72.71,0.0,0.0,0.0,364.5,0.7,228.0,736.0,
2014,1,1,20,9.79,79.07,0.0,0.0,0.0,367.15,0.72,231.0,736.48,
2014,1,1,21,9.2,81.07,0.0,0.0,0.0,363.9,0.7,282.0,736.65,
2014,1,1,22,8.61,83.07,0.0,0.0,0.0,360.65,0.69,332.0,736.82,
2014,1,1,23,8.02,85.07,0.0,0.0,0.0,357.4,0.68,23.0,736.99,
2014,1,2,0,7.47,88.6,0.0,0.0,0.0,353.17,0.64,29.0,736.73,
2014,1,2,1,6.91,92.14,0.0,0.0,0.0,348.93,0.6,35.0,736.46,
2014,1,2,2,6.36,95.67,0.0,0.0,0.0,344.7,0.57,42.0,736.19,
2014,1,2,3,6.01,96.29,0.0,0.0,0.0,342.67,0.62,39.0,736.17,
2014,1,2,4,5.66,96.91,0.0,0.0,0.0,340.63,0.67,37.0,736.14,
2014,1,2,5,5.31,97.53,0.0,0.0,0.0,338.6,0.72,34.0,736.12,
2014,1,2,6,7.05,92.48,0.0,0.0,0.0,342.42,0.7,38.0,736.8,
2014,1,2,7,8.79,87.42,0.0,0.0,0.0,346.23,0.68,41.0,737.47,
2014,1,2,8,10.53,82.37,119.0,408.15,54.0,350.05,0.66,45.0,738.15,
2014,1,2,9,12.31,72.06,206.0,110.6,166.0,354.03,0.57,56.0,737.93,
2014,1,2,10,14.1,61.74,264.0,50.88,237.0,358.02,0.49,66.0,737.72,
2014,1,2,11,15.88,51.43,345.0,54.99,309.0,362.0,0.4,77.0,737.5,
2014,1,2,12,16.01,48.88,486.0,143.4,382.0,368.15,0.87,79.0,736.7,
2014,1,2,13,16.14,46.32,719.0,562.59,304.0,374.3,1.34,81.0,735.9,
2014,1,2,14,16.27,43.77,753.0,908.82,125.0,380.45,1.81,83.0,735.11,
2014,1,2,15,15.29,49.63,624.0,863.24,116.0,378.85,2.04,76.0,735.18,
2014,1,2,16,14.31,55.49,247.0,102.96,202.0,377.25,2.28,70.0,735.25,
2014,1,2,17,13.33,61.35,130.0,101.18,105.0,375.65,2.51,64.0,735.32,
2014,1,2,18,12.16,64.61,0.0,0.0,0.0,375.58,2.38,60.0,735.78,
2014,1,2,19,11.0,67.86,0.0,0.0,0.0,375.52,2.24,57.0,736.24,
2014,1,2,20,9.84,71.12,0.0,0.0,0.0,375.45,2.11,54.0,736.7,
2014,1,2,21,9.37,71.15,0.0,0.0,0.0,375.93,1.65,53.0,737.09,
2014,1,2,22,8.9,71.19,0.0,0.0,0.0,376.42,1.18,53.0,737.47,
2014,1,2,23,8.43,71.22,0.0,0.0,0.0,376.9,0.72,53.0,737.86,
2014,1,3,0,8.17,71.83,0.0,0.0,0.0,373.82,0.65,51.0,737.91,
