Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2108,Tula,MEX,Mexico,23.0003906443,-99.7199961769,-6,1222.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,13.03,91.21,0.0,0.0,0.0,404.39,0.75,7.0,882.62,
2015,1,1,1,12.01,98.03,0.0,0.0,0.0,410.5,0.67,6.0,882.27,
2015,1,1,2,14.29,85.64,0.0,0.0,0.0,390.55,0.76,6.0,881.93,
2015,1,1,3,14.29,85.69,0.0,0.0,0.0,389.13,0.71,12.0,881.76,
2015,1,1,4,14.3,85.75,0.0,0.0,0.0,387.72,0.66,18.0,881.58,
2015,1,1,5,14.3,85.8,0.0,0.0,0.0,386.3,0.61,24.0,881.41,
2015,1,1,6,14.15,83.08,0.0,0.0,0.0,385.03,0.66,3.0,881.79,
2015,1,1,7,13.99,80.37,0.0,0.0,0.0,383.77,0.71,342.0,882.16,
2015,1,1,8,13.83,77.65,62.0,100.72,49.0,382.5,0.76,321.0,882.53,
2015,1,1,9,15.1,72.81,199.0,177.76,141.0,380.75,1.0,276.0,882.07,
2015,1,1,10,16.36,67.98,283.0,112.05,228.0,379.0,1.25,230.0,881.61,
2015,1,1,11,17.63,63.14,408.0,168.43,305.0,377.25,1.49,184.0,881.15,
2015,1,1,12,18.47,59.31,411.0,104.39,340.0,380.48,1.59,176.0,879.8,
2015,1,1,13,19.31,55.49,582.0,371.38,325.0,383.72,1.68,167.0,878.45,
2015,1,1,14,20.15,51.66,552.0,403.83,291.0,386.95,1.78,158.0,877.09,
2015,1,1,15,18.85,56.22,477.0,505.36,201.0,380.02,1.65,146.0,877.15,
2015,1,1,16,17.55,60.79,293.0,326.34,163.0,373.08,1.52,135.0,877.21,
2015,1,1,17,16.24,65.35,109.0,112.67,85.0,366.15,1.39,123.0,877.27,
2015,1,1,18,15.11,71.76,0.0,0.0,0.0,354.65,1.18,120.0,877.87,
2015,1,1,19,13.97,78.17,0.0,0.0,0.0,343.15,0.97,116.0,878.48,
2015,1,1,20,12.84,84.58,0.0,0.0,0.0,331.65,0.76,113.0,879.08,
2015,1,1,21,12.87,84.07,0.0,0.0,0.0,330.23,0.76,173.0,879.02,
2015,1,1,22,12.91,83.56,0.0,0.0,0.0,328.82,0.76,233.0,878.97,
2015,1,1,23,12.94,83.05,0.0,0.0,0.0,327.4,0.76,293.0,878.91,
2015,1,2,0,12.75,83.79,0.0,0.0,0.0,328.68,0.6,294.0,878.68,
2015,1,2,1,12.55,84.53,0.0,0.0,0.0,329.97,0.45,296.0,878.45,
2015,1,2,2,12.36,85.27,0.0,0.0,0.0,331.25,0.29,298.0,878.22,
2015,1,2,3,12.03,85.45,0.0,0.0,0.0,331.92,0.34,296.0,878.04,
2015,1,2,4,11.71,85.62,0.0,0.0,0.0,332.58,0.38,294.0,877.87,
2015,1,2,5,11.38,85.8,0.0,0.0,0.0,333.25,0.43,292.0,877.7,
2015,1,2,6,12.22,78.77,0.0,0.0,0.0,327.33,0.52,290.0,878.13,
2015,1,2,7,13.05,71.74,0.0,0.0,0.0,321.42,0.61,288.0,878.56,
2015,1,2,8,13.88,64.71,59.0,93.58,47.0,315.5,0.7,286.0,878.99,
2015,1,2,9,16.12,57.53,88.0,0.0,88.0,323.1,1.08,233.0,878.39,
2015,1,2,10,18.35,50.34,145.0,0.0,145.0,330.7,1.46,181.0,877.79,
2015,1,2,11,20.59,43.16,642.0,890.74,97.0,338.3,1.83,128.0,877.18,
2015,1,2,12,21.31,40.2,727.0,919.35,101.0,344.93,1.86,128.0,875.89,
2015,1,2,13,22.03,37.24,742.0,923.24,102.0,351.57,1.88,127.0,874.59,
2015,1,2,14,22.74,34.28,685.0,904.46,99.0,358.2,1.9,127.0,873.3,
2015,1,2,15,21.15,37.11,561.0,855.75,92.0,358.15,1.83,122.0,873.41,
2015,1,2,16,19.55,39.94,384.0,761.56,79.0,358.1,1.76,116.0,873.53,
2015,1,2,17,17.95,42.77,178.0,566.74,56.0,358.05,1.68,110.0,873.64,
2015,1,2,18,16.66,47.38,0.0,0.0,0.0,348.67,1.56,118.0,874.42,
2015,1,2,19,15.37,51.99,0.0,0.0,0.0,339.28,1.44,126.0,875.2,
2015,1,2,20,14.08,56.6,0.0,0.0,0.0,329.9,1.32,134.0,875.97,
2015,1,2,21,13.92,57.76,0.0,0.0,0.0,330.28,1.23,175.0,876.09,
2015,1,2,22,13.76,58.91,0.0,0.0,0.0,330.67,1.13,216.0,876.2,
2015,1,2,23,13.6,60.07,0.0,0.0,0.0,331.05,1.03,257.0,876.32,
2015,1,3,0,12.91,63.03,0.0,0.0,0.0,330.32,1.15,263.0,876.09,
2015,1,3,1,12.22,65.99,0.0,0.0,0.0,329.58,1.27,269.0,875.86,
2015,1,3,2,11.53,68.95,0.0,0.0,0.0,328.85,1.39,274.0,875.63,
