Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3655,Villahermosa,MEX,Mexico,17.99997235,-92.899973187,-6,2.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,21.91,89.42,0.0,0.0,0.0,367.97,4.75,100.0,1017.36,
2012,1,1,1,21.15,91.6,0.0,0.0,0.0,368.61,5.07,102.0,1017.06,
2012,1,1,2,21.62,88.27,0.0,0.0,0.0,375.4,4.95,103.0,1016.76,
2012,1,1,3,21.59,88.54,0.0,0.0,0.0,376.65,5.01,102.0,1016.93,
2012,1,1,4,21.56,88.82,0.0,0.0,0.0,377.9,5.06,102.0,1017.09,
2012,1,1,5,21.54,89.09,0.0,0.0,0.0,379.15,5.12,102.0,1017.26,
2012,1,1,6,22.43,87.59,0.0,0.0,0.0,375.25,5.5,102.0,1018.13,
2012,1,1,7,23.32,86.1,23.0,140.15,16.0,371.35,5.88,102.0,1018.99,
2012,1,1,8,24.22,84.6,216.0,555.67,68.0,367.45,6.26,102.0,1019.86,
2012,1,1,9,25.22,81.24,427.0,736.25,91.0,364.83,6.27,99.0,1019.66,
2012,1,1,10,26.23,77.88,604.0,822.01,105.0,362.22,6.27,96.0,1019.46,
2012,1,1,11,27.24,74.52,726.0,865.65,113.0,359.6,6.28,93.0,1019.26,
2012,1,1,12,27.27,76.95,780.0,880.79,117.0,355.87,6.17,86.0,1018.59,
2012,1,1,13,27.3,79.39,762.0,875.58,116.0,352.13,6.06,79.0,1017.93,
2012,1,1,14,27.34,81.82,308.0,39.14,282.0,348.4,5.96,72.0,1017.26,
2012,1,1,15,26.46,84.37,256.0,50.24,229.0,346.0,5.26,65.0,1017.79,
2012,1,1,16,25.59,86.93,326.0,664.67,83.0,343.6,4.55,58.0,1018.33,
2012,1,1,17,24.71,89.48,118.0,441.97,47.0,341.2,3.85,51.0,1018.86,
2012,1,1,18,24.17,89.96,0.0,0.0,0.0,344.82,3.37,46.0,1019.66,
2012,1,1,19,23.63,90.43,0.0,0.0,0.0,348.43,2.89,42.0,1020.46,
2012,1,1,20,23.09,90.91,0.0,0.0,0.0,352.05,2.41,37.0,1021.26,
2012,1,1,21,22.81,92.33,0.0,0.0,0.0,356.55,2.33,29.0,1021.22,
2012,1,1,22,22.54,93.76,0.0,0.0,0.0,361.05,2.25,21.0,1021.19,
2012,1,1,23,22.27,95.18,0.0,0.0,0.0,365.55,2.17,13.0,1021.16,
2012,1,2,0,22.1,96.44,0.0,0.0,0.0,369.65,1.9,14.0,1020.96,
2012,1,2,1,21.93,97.7,0.0,0.0,0.0,373.75,1.63,15.0,1020.76,
2012,1,2,2,21.76,98.96,0.0,0.0,0.0,377.85,1.37,16.0,1020.56,
