Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1820,Meknes,MAR,Morocco,33.900422993,-5.55998132468,0,493.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,8.45,93.57,0.0,0.0,0.0,250.78,2.11,144.0,966.65,
2016,1,1,1,8.32,92.53,0.0,0.0,0.0,250.7,2.11,150.0,966.43,
2016,1,1,2,8.18,91.49,0.0,0.0,0.0,250.63,2.11,155.0,966.21,
2016,1,1,3,8.05,90.45,0.0,0.0,0.0,250.56,2.12,159.0,966.24,
2016,1,1,4,7.91,89.41,0.0,0.0,0.0,250.48,2.12,164.0,966.27,
2016,1,1,5,7.77,88.37,0.0,0.0,0.0,250.41,2.12,169.0,966.3,
2016,1,1,6,7.64,87.33,0.0,0.0,0.0,250.34,2.12,173.0,966.77,
2016,1,1,7,7.5,86.29,0.0,0.0,0.0,250.26,2.13,176.0,967.24,
2016,1,1,8,12.29,68.95,68.0,290.62,34.0,254.75,2.91,180.0,967.71,
2016,1,1,9,15.22,61.56,336.0,593.04,168.0,258.55,2.91,202.0,967.56,
2016,1,1,10,18.15,54.18,600.0,722.17,300.0,262.35,2.9,225.0,967.4,
2016,1,1,11,21.08,46.79,774.0,767.28,387.0,266.15,2.9,247.0,967.24,
2016,1,1,12,21.16,44.25,880.0,808.66,440.0,268.17,3.21,252.0,966.49,
2016,1,1,13,21.24,41.71,910.0,855.41,455.0,270.18,3.53,258.0,965.73,
2016,1,1,14,21.32,39.17,760.0,810.93,380.0,272.2,3.85,263.0,964.98,
2016,1,1,15,19.36,46.45,534.0,744.77,267.0,270.42,3.2,272.0,965.33,
2016,1,1,16,17.41,53.74,238.0,569.08,119.0,268.63,2.54,280.0,965.67,
2016,1,1,17,15.45,61.02,1.0,0.0,1.0,266.85,1.89,288.0,966.02,
2016,1,1,18,13.96,69.73,0.0,0.0,0.0,264.98,1.94,272.0,966.68,
2016,1,1,19,12.46,78.45,0.0,0.0,0.0,263.12,2.0,256.0,967.34,
2016,1,1,20,10.97,87.16,0.0,0.0,0.0,261.25,2.06,240.0,968.0,
2016,1,1,21,10.57,90.88,0.0,0.0,0.0,259.12,1.8,225.0,968.0,
2016,1,1,22,10.17,94.61,0.0,0.0,0.0,256.98,1.55,210.0,968.0,
2016,1,1,23,9.77,98.33,0.0,0.0,0.0,254.85,1.3,195.0,968.0,
2016,1,2,0,9.37,98.89,0.0,0.0,0.0,254.08,1.38,193.0,967.9,
