Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4873,Rabat,MAR,Morocco,34.0252990916,-6.83613082013,0,24.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,10.33,98.59,0.0,0.0,0.0,242.3,2.12,130.0,1027.47,
2015,1,1,1,9.96,99.13,0.0,0.0,0.0,238.55,2.06,130.0,1027.17,
2015,1,1,2,9.58,99.67,0.0,0.0,0.0,234.8,2.0,130.0,1026.87,
2015,1,1,3,9.2,100.0,0.0,0.0,0.0,231.05,1.94,130.0,1027.17,
2015,1,1,4,8.83,100.0,0.0,0.0,0.0,227.31,1.88,131.0,1027.47,
2015,1,1,5,8.45,100.0,0.0,0.0,0.0,223.56,1.81,131.0,1027.77,
2015,1,1,6,8.07,100.0,0.0,0.0,0.0,219.81,1.75,132.0,1028.34,
2015,1,1,7,7.7,100.0,0.0,0.0,0.0,216.06,1.69,132.0,1028.9,
2015,1,1,8,10.28,100.0,71.0,408.08,30.0,224.3,1.81,133.0,1029.47,
2015,1,1,9,12.04,93.0,248.0,673.05,67.0,227.83,1.54,117.0,1029.37,
2015,1,1,10,13.8,86.01,401.0,767.06,91.0,231.37,1.27,101.0,1029.27,
2015,1,1,11,15.57,79.01,508.0,806.98,107.0,234.9,1.01,86.0,1029.17,
2015,1,1,12,15.68,74.2,569.0,872.59,97.0,237.7,1.49,71.0,1028.5,
2015,1,1,13,15.8,69.38,561.0,883.42,90.0,240.5,1.98,56.0,1027.84,
2015,1,1,14,15.91,64.57,487.0,835.18,91.0,243.3,2.47,40.0,1027.17,
2015,1,1,15,14.58,71.38,361.0,763.73,80.0,242.32,2.57,44.0,1027.57,
2015,1,1,16,13.25,78.18,195.0,622.38,57.0,241.33,2.67,48.0,1027.97,
2015,1,1,17,11.91,84.99,17.0,65.91,14.0,240.35,2.77,52.0,1028.37,
2015,1,1,18,11.41,89.99,0.0,0.0,0.0,238.6,2.74,68.0,1028.6,
2015,1,1,19,10.91,95.0,0.0,0.0,0.0,236.85,2.72,85.0,1028.83,
2015,1,1,20,10.4,100.0,0.0,0.0,0.0,235.1,2.69,102.0,1029.07,
2015,1,1,21,10.19,100.0,0.0,0.0,0.0,232.47,2.46,109.0,1029.03,
2015,1,1,22,9.98,100.0,0.0,0.0,0.0,229.83,2.24,115.0,1029.0,
2015,1,1,23,9.77,100.0,0.0,0.0,0.0,227.2,2.01,121.0,1028.97,
2015,1,2,0,9.37,100.0,0.0,0.0,0.0,226.43,2.13,123.0,1028.93,
2015,1,2,1,8.96,100.0,0.0,0.0,0.0,225.67,2.24,125.0,1028.9,
2015,1,2,2,8.56,100.0,0.0,0.0,0.0,224.9,2.36,127.0,1028.87,
2015,1,2,3,8.25,100.0,0.0,0.0,0.0,223.5,2.32,129.0,1029.13,
2015,1,2,4,7.94,100.0,0.0,0.0,0.0,222.1,2.29,131.0,1029.4,
2015,1,2,5,7.64,100.0,0.0,0.0,0.0,220.7,2.25,133.0,1029.67,
2015,1,2,6,8.29,100.0,0.0,0.0,0.0,220.75,2.33,134.0,1030.26,
2015,1,2,7,8.95,100.0,0.0,0.0,0.0,220.8,2.41,136.0,1030.86,
2015,1,2,8,9.6,100.0,71.0,399.62,31.0,220.85,2.5,138.0,1031.46,
2015,1,2,9,11.67,89.65,249.0,684.37,65.0,226.6,1.87,140.0,1031.39,
2015,1,2,10,13.74,79.31,406.0,796.14,84.0,232.35,1.25,142.0,1031.33,
2015,1,2,11,15.82,68.96,514.0,835.97,98.0,238.1,0.62,145.0,1031.26,
2015,1,2,12,16.24,64.28,573.0,887.4,92.0,242.92,0.91,102.0,1030.8,
2015,1,2,13,16.67,59.59,566.0,899.65,85.0,247.73,1.19,59.0,1030.33,
2015,1,2,14,17.09,54.91,491.0,850.87,86.0,252.55,1.48,16.0,1029.86,
2015,1,2,15,15.64,65.94,365.0,781.03,76.0,251.23,1.83,25.0,1030.16,
2015,1,2,16,14.19,76.98,197.0,625.02,57.0,249.92,2.17,33.0,1030.46,
2015,1,2,17,12.73,88.01,19.0,83.6,15.0,248.6,2.52,42.0,1030.76,
2015,1,2,18,12.09,92.01,0.0,0.0,0.0,246.35,2.46,63.0,1030.99,
2015,1,2,19,11.45,96.0,0.0,0.0,0.0,244.1,2.39,85.0,1031.23,
2015,1,2,20,10.8,100.0,0.0,0.0,0.0,241.85,2.32,106.0,1031.46,
2015,1,2,21,10.56,100.0,0.0,0.0,0.0,239.0,2.37,113.0,1031.46,
2015,1,2,22,10.32,100.0,0.0,0.0,0.0,236.15,2.42,119.0,1031.46,
2015,1,2,23,10.07,100.0,0.0,0.0,0.0,233.3,2.47,126.0,1031.46,
2015,1,3,0,9.59,100.0,0.0,0.0,0.0,231.07,2.46,126.0,1031.09,
2015,1,3,1,9.11,100.0,0.0,0.0,0.0,228.83,2.45,126.0,1030.73,
2015,1,3,2,8.63,100.0,0.0,0.0,0.0,226.6,2.44,126.0,1030.36,
2015,1,3,3,8.29,100.0,0.0,0.0,0.0,225.0,2.4,128.0,1030.46,
2015,1,3,4,7.95,100.0,0.0,0.0,0.0,223.4,2.36,130.0,1030.56,
2015,1,3,5,7.62,100.0,0.0,0.0,0.0,221.8,2.32,131.0,1030.66,
2015,1,3,6,8.25,100.0,0.0,0.0,0.0,221.67,2.29,133.0,1031.06,
2015,1,3,7,8.87,100.0,0.0,0.0,0.0,221.53,2.25,135.0,1031.46,
2015,1,3,8,9.5,100.0,71.0,400.74,31.0,221.4,2.22,136.0,1031.86,
2015,1,3,9,11.56,90.91,249.0,684.27,65.0,227.22,1.56,137.0,1031.79,
2015,1,3,10,13.62,81.83,402.0,768.16,91.0,233.03,0.9,137.0,1031.73,
2015,1,3,11,15.69,72.74,515.0,836.6,98.0,238.85,0.23,137.0,1031.66,
2015,1,3,12,16.2,66.78,571.0,872.51,97.0,244.12,0.66,119.0,1030.93,
2015,1,3,13,16.7,60.82,565.0,883.91,91.0,249.38,1.08,101.0,1030.2,
2015,1,3,14,17.21,54.86,494.0,851.62,87.0,254.65,1.5,82.0,1029.47,
2015,1,3,15,15.89,63.66,367.0,781.82,76.0,253.32,1.35,73.0,1029.63,
2015,1,3,16,14.57,72.45,199.0,614.13,60.0,251.98,1.19,63.0,1029.8,
2015,1,3,17,13.25,81.25,21.0,119.4,15.0,250.65,1.03,54.0,1029.96,
2015,1,3,18,12.84,87.5,0.0,0.0,0.0,247.8,1.32,78.0,1030.26,
2015,1,3,19,12.42,93.75,0.0,0.0,0.0,244.95,1.6,103.0,1030.56,
2015,1,3,20,12.0,100.0,0.0,0.0,0.0,242.1,1.89,127.0,1030.86,
2015,1,3,21,11.53,100.0,0.0,0.0,0.0,239.28,1.89,133.0,1030.76,
2015,1,3,22,11.06,100.0,0.0,0.0,0.0,236.47,1.88,138.0,1030.66,
2015,1,3,23,10.59,100.0,0.0,0.0,0.0,233.65,1.88,143.0,1030.56,
2015,1,4,0,9.99,100.0,0.0,0.0,0.0,230.4,2.02,145.0,1030.36,
2015,1,4,1,9.39,100.0,0.0,0.0,0.0,227.15,2.16,147.0,1030.16,
2015,1,4,2,8.79,100.0,0.0,0.0,0.0,223.9,2.3,149.0,1029.96,
2015,1,4,3,8.6,100.0,0.0,0.0,0.0,222.28,2.28,150.0,1030.1,
2015,1,4,4,8.41,100.0,0.0,0.0,0.0,220.67,2.26,151.0,1030.23,
2015,1,4,5,8.23,100.0,0.0,0.0,0.0,219.05,2.23,153.0,1030.36,
2015,1,4,6,9.0,100.0,0.0,0.0,0.0,218.58,2.37,153.0,1030.63,
2015,1,4,7,9.76,100.0,0.0,0.0,0.0,218.12,2.51,154.0,1030.9,
2015,1,4,8,10.53,100.0,70.0,391.44,31.0,217.65,2.65,154.0,1031.16,
2015,1,4,9,12.55,91.04,248.0,672.75,67.0,222.92,2.26,171.0,1030.86,
2015,1,4,10,14.57,82.09,404.0,781.97,87.0,228.18,1.87,188.0,1030.56,
2015,1,4,11,16.6,73.13,516.0,837.05,98.0,233.45,1.48,205.0,1030.26,
2015,1,4,12,16.88,69.9,570.0,857.53,103.0,237.17,1.67,238.0,1029.6,
2015,1,4,13,17.15,66.67,567.0,884.82,91.0,240.88,1.87,272.0,1028.93,
2015,1,4,14,17.43,63.44,491.0,823.02,96.0,244.6,2.07,306.0,1028.27,
2015,1,4,15,15.93,73.58,368.0,769.07,80.0,243.73,2.05,313.0,1028.5,
2015,1,4,16,14.43,83.73,202.0,629.48,58.0,242.87,2.02,321.0,1028.73,
2015,1,4,17,12.93,93.87,22.0,113.81,16.0,242.0,2.0,328.0,1028.97,
2015,1,4,18,12.36,95.91,0.0,0.0,0.0,240.42,2.07,21.0,1029.13,
2015,1,4,19,11.78,97.96,0.0,0.0,0.0,238.83,2.15,74.0,1029.3,
2015,1,4,20,11.2,100.0,0.0,0.0,0.0,237.25,2.22,127.0,1029.47,
2015,1,4,21,10.88,100.0,0.0,0.0,0.0,234.95,2.07,131.0,1029.23,
2015,1,4,22,10.56,100.0,0.0,0.0,0.0,232.65,1.92,135.0,1029.0,
2015,1,4,23,10.23,100.0,0.0,0.0,0.0,230.35,1.77,139.0,1028.77,
2015,1,5,0,9.75,100.0,0.0,0.0,0.0,228.93,1.44,142.0,1028.54,
2015,1,5,1,9.28,100.0,0.0,0.0,0.0,227.52,1.11,145.0,1028.3,
2015,1,5,2,8.8,100.0,0.0,0.0,0.0,226.1,0.79,148.0,1028.07,
