Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1769,Cuamba,MOZ,Mozambique,-14.7896024385,36.5399812406,2,564.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,23.07,90.89,0.0,0.0,0.0,400.84,1.92,42.0,946.88,
2012,1,1,1,23.08,91.81,0.0,0.0,0.0,403.3,1.87,36.0,946.6,
2012,1,1,2,23.1,92.73,0.0,0.0,0.0,405.75,1.82,302.0,946.11,
2012,1,1,3,23.11,93.65,0.0,0.0,0.0,408.2,1.76,306.0,946.26,
2012,1,1,4,23.12,94.57,0.0,0.0,0.0,410.65,1.71,309.0,946.42,
2012,1,1,5,23.13,95.49,0.0,0.0,0.0,413.1,1.66,307.0,946.63,
2012,1,1,6,23.14,96.41,32.0,0.0,32.0,415.56,1.6,305.0,946.85,
2012,1,1,7,23.15,97.33,94.0,0.0,94.0,418.01,1.55,302.0,947.07,
2012,1,1,8,23.17,98.25,474.0,270.35,303.0,420.46,1.5,298.0,946.42,
2012,1,1,9,23.18,99.18,829.0,841.2,157.0,422.91,1.44,294.0,945.76,
2012,1,1,10,25.71,91.58,671.0,215.79,473.0,422.9,1.92,290.0,945.11,
2012,1,1,11,25.73,91.62,878.0,471.16,416.0,423.02,1.75,284.0,944.58,
2012,1,1,12,25.75,91.66,924.0,563.28,370.0,423.13,1.58,277.0,944.05,
2012,1,1,13,25.76,91.7,683.0,223.48,476.0,423.25,1.41,271.0,943.52,
2012,1,1,14,25.51,91.14,718.0,473.75,333.0,419.4,1.28,278.0,943.74,
2012,1,1,15,25.26,90.58,629.0,697.93,175.0,415.55,1.15,284.0,943.95,
2012,1,1,16,25.0,90.02,403.0,585.63,139.0,411.7,1.02,290.0,944.17,
2012,1,1,17,24.5,91.44,90.0,26.41,84.0,410.72,0.89,283.0,944.89,
2012,1,1,18,23.99,92.85,0.0,0.0,0.0,409.73,0.76,276.0,945.61,
2012,1,1,19,23.48,94.27,0.0,0.0,0.0,408.75,0.63,269.0,946.32,
2012,1,1,20,23.2,95.08,0.0,0.0,0.0,409.08,0.49,269.0,946.45,
2012,1,1,21,22.93,95.9,0.0,0.0,0.0,409.42,0.35,270.0,946.57,
2012,1,1,22,22.65,96.71,0.0,0.0,0.0,409.75,0.21,271.0,946.7,
2012,1,1,23,22.51,97.16,0.0,0.0,0.0,410.12,0.39,270.0,946.42,
2012,1,2,0,22.36,97.62,0.0,0.0,0.0,410.48,0.57,269.0,946.14,
2012,1,2,1,22.22,98.07,0.0,0.0,0.0,410.85,0.76,268.0,945.86,
2012,1,2,2,22.06,98.29,0.0,0.0,0.0,409.27,0.87,265.0,945.98,
2012,1,2,3,21.91,98.51,0.0,0.0,0.0,407.68,0.99,261.0,946.11,
2012,1,2,4,21.75,98.73,0.0,0.0,0.0,406.1,1.1,258.0,946.23,
2012,1,2,5,22.56,96.97,0.0,0.0,0.0,406.45,1.05,269.0,946.54,
2012,1,2,6,23.36,95.22,91.0,49.34,81.0,406.8,1.0,279.0,946.85,
2012,1,2,7,24.17,93.46,94.0,0.0,94.0,407.15,0.95,290.0,947.16,
2012,1,2,8,24.81,91.57,123.0,0.0,123.0,409.73,1.2,287.0,946.48,
2012,1,2,9,25.45,89.69,267.0,1.25,266.0,412.32,1.46,285.0,945.79,
2012,1,2,10,26.09,87.8,722.0,291.15,455.0,414.9,1.71,283.0,945.11,
2012,1,2,11,25.92,90.3,350.0,1.02,349.0,416.95,1.9,273.0,944.55,
2012,1,2,12,25.74,92.79,530.0,48.78,482.0,419.0,2.09,264.0,943.99,
2012,1,2,13,25.56,95.29,388.0,9.71,379.0,421.05,2.28,254.0,943.43,
2012,1,2,14,25.41,89.96,301.0,3.69,298.0,421.27,2.01,251.0,943.46,
2012,1,2,15,25.25,84.64,239.0,4.6,236.0,421.48,1.74,247.0,943.49,
2012,1,2,16,25.09,79.31,236.0,64.12,207.0,421.7,1.48,244.0,943.52,
2012,1,2,17,24.53,83.64,139.0,183.71,97.0,418.17,1.41,244.0,944.27,
2012,1,2,18,23.96,87.96,0.0,0.0,0.0,414.63,1.35,244.0,945.01,
2012,1,2,19,23.4,92.29,0.0,0.0,0.0,411.1,1.28,245.0,945.76,
2012,1,2,20,23.24,93.46,0.0,0.0,0.0,409.97,1.31,243.0,945.79,
2012,1,2,21,23.08,94.64,0.0,0.0,0.0,408.83,1.34,241.0,945.82,
2012,1,2,22,22.92,95.81,0.0,0.0,0.0,407.7,1.37,239.0,945.86,
2012,1,2,23,22.72,96.59,0.0,0.0,0.0,403.05,1.47,235.0,945.39,
2012,1,3,0,22.51,97.37,0.0,0.0,0.0,398.4,1.57,231.0,944.92,
2012,1,3,1,22.31,98.15,0.0,0.0,0.0,393.75,1.67,227.0,944.45,
2012,1,3,2,22.16,98.34,0.0,0.0,0.0,392.33,1.8,226.0,944.86,
2012,1,3,3,22.01,98.53,0.0,0.0,0.0,390.92,1.93,225.0,945.26,
2012,1,3,4,21.86,98.72,0.0,0.0,0.0,389.5,2.06,224.0,945.67,
2012,1,3,5,22.64,96.6,0.0,0.0,0.0,391.08,2.35,231.0,945.98,
2012,1,3,6,23.42,94.49,14.0,0.0,14.0,392.67,2.65,237.0,946.29,
2012,1,3,7,24.21,92.37,339.0,382.33,176.0,394.25,2.95,243.0,946.6,
2012,1,3,8,24.69,92.02,624.0,757.5,147.0,398.23,3.08,241.0,946.14,
2012,1,3,9,25.16,91.66,389.0,31.37,364.0,402.22,3.21,238.0,945.67,
2012,1,3,10,25.64,91.31,757.0,351.32,435.0,406.2,3.34,235.0,945.2,
2012,1,3,11,25.69,91.16,752.0,257.01,500.0,412.45,3.51,231.0,944.48,
2012,1,3,12,25.74,91.02,865.0,438.86,433.0,418.7,3.68,226.0,943.77,
2012,1,3,13,25.79,90.87,141.0,0.0,141.0,424.95,3.85,221.0,943.05,
2012,1,3,14,26.37,84.69,88.0,0.0,88.0,420.98,3.68,216.0,942.83,
2012,1,3,15,26.95,78.51,80.0,0.0,80.0,417.02,3.52,211.0,942.61,
2012,1,3,16,27.53,72.33,180.0,13.22,174.0,413.05,3.35,206.0,942.4,
2012,1,3,17,27.04,73.29,61.0,0.0,61.0,406.7,3.16,260.0,943.21,
2012,1,3,18,26.55,74.24,0.0,0.0,0.0,400.35,2.97,314.0,944.02,
2012,1,3,19,26.06,75.2,0.0,0.0,0.0,394.0,2.79,8.0,944.83,
2012,1,3,20,25.33,78.31,0.0,0.0,0.0,393.33,2.64,333.0,944.98,
2012,1,3,21,24.6,81.41,0.0,0.0,0.0,392.67,2.5,299.0,945.14,
2012,1,3,22,23.87,84.52,0.0,0.0,0.0,392.0,2.36,264.0,945.29,
2012,1,3,23,23.1,87.91,0.0,0.0,0.0,389.42,2.4,255.0,944.86,
2012,1,4,0,22.34,91.3,0.0,0.0,0.0,386.83,2.43,245.0,944.42,
2012,1,4,1,21.57,94.69,0.0,0.0,0.0,384.25,2.47,236.0,943.99,
2012,1,4,2,21.38,94.98,0.0,0.0,0.0,382.28,2.3,229.0,944.3,
2012,1,4,3,21.19,95.27,0.0,0.0,0.0,380.32,2.14,222.0,944.61,
2012,1,4,4,21.0,95.56,0.0,0.0,0.0,378.35,1.97,216.0,944.92,
2012,1,4,5,22.4,91.0,0.0,0.0,0.0,381.52,2.32,218.0,945.36,
2012,1,4,6,23.79,86.45,23.0,0.0,23.0,384.68,2.66,221.0,945.79,
2012,1,4,7,25.19,81.89,102.0,0.0,102.0,387.85,3.01,223.0,946.23,
2012,1,4,8,26.62,76.35,274.0,17.51,263.0,395.57,3.14,219.0,945.48,
2012,1,4,9,28.05,70.8,745.0,584.21,280.0,403.28,3.28,215.0,944.73,
2012,1,4,10,29.48,65.26,1024.0,1050.14,62.0,411.0,3.42,211.0,943.99,
2012,1,4,11,29.7,64.85,1051.0,898.54,170.0,414.58,3.16,202.0,943.39,
2012,1,4,12,29.91,64.45,1083.0,980.92,117.0,418.17,2.91,193.0,942.8,
2012,1,4,13,30.12,64.04,915.0,679.44,284.0,421.75,2.65,184.0,942.21,
2012,1,4,14,28.89,70.1,744.0,529.37,312.0,420.13,3.27,176.0,942.46,
2012,1,4,15,27.65,76.16,471.0,229.17,321.0,418.52,3.9,168.0,942.71,
2012,1,4,16,26.41,82.22,210.0,35.16,194.0,416.9,4.52,160.0,942.96,
2012,1,4,17,25.57,85.79,92.0,25.93,86.0,415.32,4.17,157.0,943.83,
2012,1,4,18,24.73,89.35,0.0,0.0,0.0,413.73,3.81,153.0,944.7,
2012,1,4,19,23.89,92.92,0.0,0.0,0.0,412.15,3.45,149.0,945.58,
2012,1,4,20,23.42,94.3,0.0,0.0,0.0,412.17,3.22,158.0,945.79,
2012,1,4,21,22.94,95.67,0.0,0.0,0.0,412.18,3.0,167.0,946.01,
2012,1,4,22,22.47,97.05,0.0,0.0,0.0,412.2,2.77,176.0,946.23,
2012,1,4,23,22.34,97.21,0.0,0.0,0.0,412.7,2.63,183.0,945.76,
2012,1,5,0,22.21,97.36,0.0,0.0,0.0,413.2,2.48,190.0,945.29,
2012,1,5,1,22.08,97.52,0.0,0.0,0.0,413.7,2.33,197.0,944.83,
2012,1,5,2,22.05,97.69,0.0,0.0,0.0,416.45,2.24,199.0,945.01,
2012,1,5,3,22.02,97.85,0.0,0.0,0.0,419.2,2.15,201.0,945.2,
2012,1,5,4,21.99,98.02,0.0,0.0,0.0,421.95,2.06,203.0,945.39,
2012,1,5,5,22.33,97.35,0.0,0.0,0.0,421.37,2.32,200.0,945.73,
2012,1,5,6,22.66,96.68,86.0,45.78,77.0,420.78,2.58,198.0,946.07,
2012,1,5,7,23.0,96.01,410.0,775.73,82.0,420.2,2.84,195.0,946.42,
2012,1,5,8,23.93,92.13,621.0,756.06,147.0,421.83,2.91,192.0,945.95,
2012,1,5,9,24.86,88.25,782.0,698.1,227.0,423.47,2.98,189.0,945.48,
2012,1,5,10,25.79,84.37,393.0,12.01,382.0,425.1,3.05,187.0,945.01,
2012,1,5,11,26.63,80.81,579.0,79.55,501.0,424.45,3.28,186.0,944.14,
2012,1,5,12,27.46,77.24,1024.0,806.92,229.0,423.8,3.51,184.0,943.27,
2012,1,5,13,28.29,73.68,581.0,107.58,481.0,423.15,3.74,183.0,942.4,
2012,1,5,14,27.29,78.22,158.0,0.0,158.0,420.43,3.54,178.0,942.74,
2012,1,5,15,26.29,82.77,64.0,0.0,64.0,417.72,3.35,173.0,943.08,
2012,1,5,16,25.29,87.31,53.0,0.0,53.0,415.0,3.16,169.0,943.43,
2012,1,5,17,24.44,89.77,63.0,0.0,63.0,414.73,2.66,166.0,944.17,
2012,1,5,18,23.59,92.24,0.0,0.0,0.0,414.47,2.16,164.0,944.92,
2012,1,5,19,22.74,94.7,0.0,0.0,0.0,414.2,1.66,162.0,945.67,
2012,1,5,20,22.49,95.56,0.0,0.0,0.0,416.67,1.93,169.0,945.95,
2012,1,5,21,22.24,96.43,0.0,0.0,0.0,419.13,2.21,177.0,946.23,
2012,1,5,22,21.99,97.29,0.0,0.0,0.0,421.6,2.48,184.0,946.51,
2012,1,5,23,21.97,97.49,0.0,0.0,0.0,422.3,2.55,191.0,945.98,
2012,1,6,0,21.95,97.7,0.0,0.0,0.0,423.0,2.61,197.0,945.45,
