Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,5104,Rangoon,MMR,Myanmar,16.7833541046,96.1666776113,6,15.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,23.34,83.15,0.0,0.0,0.0,394.02,2.19,111.0,1011.0,
2013,1,1,1,23.76,81.19,0.0,0.0,0.0,394.68,2.17,108.0,1010.7,
2013,1,1,2,24.17,79.24,0.0,0.0,0.0,395.33,2.16,104.0,1010.4,
2013,1,1,3,24.58,77.28,0.0,0.0,0.0,395.99,2.14,106.0,1010.8,
2013,1,1,4,24.99,75.33,0.0,0.0,0.0,396.65,2.13,108.0,1011.2,
2013,1,1,5,25.4,73.37,0.0,0.0,0.0,397.31,2.11,109.0,1011.6,
2013,1,1,6,25.82,71.42,0.0,0.0,0.0,397.97,2.09,334.0,1009.77,
2013,1,1,7,26.23,69.47,74.0,104.62,59.0,398.63,2.08,332.0,1010.53,
2013,1,1,8,26.64,67.51,148.0,19.84,141.0,399.29,2.06,329.0,1011.3,
2013,1,1,9,27.05,65.56,263.0,39.58,242.0,399.95,2.05,315.0,1010.77,
2013,1,1,10,27.46,63.6,314.0,25.58,297.0,400.61,2.03,302.0,1010.23,
2013,1,1,11,27.87,61.65,789.0,845.12,159.0,401.26,2.02,288.0,1009.7,
2013,1,1,12,28.29,59.69,749.0,631.61,264.0,401.92,2.0,274.0,1008.97,
2013,1,1,13,28.7,57.74,430.0,82.16,370.0,402.58,1.99,260.0,1008.24,
2013,1,1,14,29.58,57.16,479.0,256.6,316.0,409.2,2.54,246.0,1007.51,
2013,1,1,15,28.38,60.92,373.0,296.4,228.0,409.3,2.39,251.0,1007.91,
2013,1,1,16,27.18,64.67,158.0,79.43,134.0,409.4,2.23,257.0,1008.3,
2013,1,1,17,25.99,68.43,39.0,92.17,31.0,409.5,2.08,262.0,1008.7,
2013,1,1,18,24.95,72.96,0.0,0.0,0.0,408.47,1.9,264.0,1009.07,
2013,1,1,19,23.92,77.5,0.0,0.0,0.0,407.43,1.71,266.0,1009.44,
2013,1,1,20,22.88,82.03,0.0,0.0,0.0,406.4,1.53,267.0,1009.8,
2013,1,1,21,22.33,83.43,0.0,0.0,0.0,404.58,1.65,273.0,1009.77,
2013,1,1,22,21.77,84.84,0.0,0.0,0.0,402.77,1.77,279.0,1009.74,
2013,1,1,23,21.21,86.24,0.0,0.0,0.0,400.95,1.89,284.0,1009.7,
2013,1,2,0,20.73,86.44,0.0,0.0,0.0,400.18,1.83,292.0,1009.34,
2013,1,2,1,20.25,86.64,0.0,0.0,0.0,399.42,1.76,299.0,1008.97,
2013,1,2,2,19.77,86.84,0.0,0.0,0.0,398.65,1.7,307.0,1008.6,
2013,1,2,3,19.41,87.24,0.0,0.0,0.0,398.53,1.28,317.0,1008.87,
2013,1,2,4,19.05,87.64,0.0,0.0,0.0,398.42,0.87,328.0,1009.14,
2013,1,2,5,18.69,88.04,0.0,0.0,0.0,398.3,0.46,338.0,1009.4,
2013,1,2,6,21.07,80.83,0.0,0.0,0.0,397.03,0.33,339.0,1010.2,
2013,1,2,7,23.45,73.63,100.0,337.32,52.0,395.77,0.21,340.0,1011.0,
2013,1,2,8,25.82,66.42,326.0,647.53,98.0,394.5,0.08,341.0,1011.8,
2013,1,2,9,27.0,63.46,501.0,620.45,172.0,393.53,0.78,315.0,1011.33,
2013,1,2,10,28.17,60.51,689.0,809.5,151.0,392.57,1.48,288.0,1010.87,
2013,1,2,11,29.35,57.55,759.0,737.26,209.0,391.6,2.18,262.0,1010.4,
2013,1,2,12,29.56,57.38,759.0,659.39,252.0,392.27,1.96,254.0,1009.77,
2013,1,2,13,29.76,57.22,647.0,450.99,317.0,392.93,1.74,247.0,1009.14,
2013,1,2,14,29.97,57.05,585.0,538.45,242.0,393.6,1.52,240.0,1008.5,
2013,1,2,15,28.31,63.07,404.0,392.88,211.0,394.97,1.9,239.0,1008.9,
2013,1,2,16,26.65,69.1,222.0,302.32,130.0,396.33,2.29,238.0,1009.3,
2013,1,2,17,25.0,75.12,53.0,269.68,29.0,397.7,2.68,237.0,1009.7,
2013,1,2,18,24.43,74.97,0.0,0.0,0.0,397.93,2.57,251.0,1010.2,
2013,1,2,19,23.87,74.81,0.0,0.0,0.0,398.17,2.46,266.0,1010.7,
2013,1,2,20,23.3,74.66,0.0,0.0,0.0,398.4,2.34,280.0,1011.2,
2013,1,2,21,22.73,76.0,0.0,0.0,0.0,397.12,2.2,286.0,1011.13,
2013,1,2,22,22.15,77.33,0.0,0.0,0.0,395.83,2.05,291.0,1011.07,
2013,1,2,23,21.58,78.67,0.0,0.0,0.0,394.55,1.9,296.0,1011.0,
2013,1,3,0,20.77,80.63,0.0,0.0,0.0,392.83,1.92,303.0,1010.6,
2013,1,3,1,19.96,82.58,0.0,0.0,0.0,391.12,1.93,310.0,1010.2,
