Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3456,Yaynangyoung,MMR,Myanmar,20.4614500112,94.8809679759,6,62.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,18.26,94.97,0.0,0.0,0.0,366.49,1.15,1.0,1010.04,
2008,1,1,1,18.94,92.51,0.0,0.0,0.0,367.37,1.14,357.0,1009.75,
2008,1,1,2,19.61,90.06,0.0,0.0,0.0,368.24,1.14,353.0,1009.45,
2008,1,1,3,20.29,87.6,0.0,0.0,0.0,369.11,1.13,0.0,1009.98,
2008,1,1,4,20.97,85.15,0.0,0.0,0.0,369.98,1.12,7.0,1010.51,
2008,1,1,5,21.65,82.69,0.0,0.0,0.0,370.86,1.11,14.0,1011.04,
2008,1,1,6,22.33,80.23,0.0,0.0,0.0,371.73,1.1,11.0,1007.3,
2008,1,1,7,23.01,77.78,66.0,335.04,33.0,372.6,1.09,14.0,1008.02,
2008,1,1,8,23.69,75.32,278.0,635.6,84.0,373.47,1.08,17.0,1008.75,
2008,1,1,9,24.37,72.87,478.0,751.28,116.0,374.35,1.07,47.0,1008.29,
2008,1,1,10,25.05,70.41,646.0,850.22,122.0,375.22,1.06,77.0,1007.83,
2008,1,1,11,25.73,67.95,752.0,902.12,121.0,376.09,1.05,107.0,1007.36,
2008,1,1,12,26.41,65.5,784.0,912.3,122.0,376.96,1.04,121.0,1006.57,
2008,1,1,13,27.09,63.04,743.0,898.92,120.0,377.84,1.03,135.0,1005.77,
2008,1,1,14,29.38,53.59,639.0,890.84,101.0,400.8,0.43,149.0,1004.98,
2008,1,1,15,28.34,59.7,470.0,824.85,87.0,395.68,0.8,111.0,1005.18,
2008,1,1,16,27.3,65.8,254.0,630.78,75.0,390.57,1.16,72.0,1005.38,
2008,1,1,17,26.26,71.91,37.0,160.92,25.0,385.45,1.53,33.0,1005.58,
2008,1,1,18,25.88,74.1,0.0,0.0,0.0,382.88,1.45,38.0,1006.11,
2008,1,1,19,25.5,76.29,0.0,0.0,0.0,380.32,1.37,42.0,1006.63,
2008,1,1,20,25.12,78.48,0.0,0.0,0.0,377.75,1.3,46.0,1007.16,
2008,1,1,21,24.09,83.25,0.0,0.0,0.0,377.58,1.37,48.0,1007.16,
2008,1,1,22,23.06,88.03,0.0,0.0,0.0,377.42,1.44,50.0,1007.16,
2008,1,1,23,22.04,92.8,0.0,0.0,0.0,377.25,1.52,52.0,1007.16,
2008,1,2,0,21.7,94.1,0.0,0.0,0.0,380.27,1.57,57.0,1007.06,
2008,1,2,1,21.37,95.41,0.0,0.0,0.0,383.28,1.62,63.0,1006.97,
2008,1,2,2,21.04,96.71,0.0,0.0,0.0,386.3,1.67,68.0,1006.87,
2008,1,2,3,20.78,96.91,0.0,0.0,0.0,386.83,1.61,68.0,1007.23,
2008,1,2,4,20.52,97.12,0.0,0.0,0.0,387.37,1.55,67.0,1007.59,
2008,1,2,5,20.27,97.32,0.0,0.0,0.0,387.9,1.49,67.0,1007.96,
2008,1,2,6,21.8,91.52,0.0,0.0,0.0,383.1,1.24,75.0,1008.59,
2008,1,2,7,23.33,85.71,64.0,328.17,32.0,378.3,0.98,82.0,1009.22,
2008,1,2,8,24.87,79.91,269.0,577.92,93.0,373.5,0.73,90.0,1009.84,
2008,1,2,9,25.84,74.27,478.0,751.75,116.0,378.95,0.56,120.0,1009.38,
