Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2283,Bethanie,NAM,Namibia,-26.4995336723,17.1500019925,1,1005.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,24.59,23.35,0.0,0.0,0.0,313.53,4.2,182.0,896.47,
2007,1,1,1,23.78,23.14,0.0,0.0,0.0,306.67,4.03,114.0,901.97,
2007,1,1,2,22.97,22.94,0.0,0.0,0.0,299.82,3.86,100.0,901.79,
2007,1,1,3,22.15,22.73,0.0,0.0,0.0,292.96,3.7,86.0,901.61,
2007,1,1,4,21.34,22.52,0.0,0.0,0.0,286.11,3.53,77.0,902.03,
2007,1,1,5,20.53,22.32,0.0,0.0,0.0,279.25,3.37,68.0,902.44,
2007,1,1,6,19.72,22.11,170.0,529.5,62.0,272.4,3.2,59.0,902.85,
2007,1,1,7,18.91,21.9,402.0,704.29,109.0,265.54,3.03,52.0,902.38,
2007,1,1,8,18.1,21.69,634.0,815.88,135.0,258.69,2.87,44.0,901.91,
2007,1,1,9,29.72,8.8,834.0,868.27,159.0,308.0,5.49,37.0,901.44,
2007,1,1,10,31.36,7.53,989.0,908.98,169.0,316.73,4.71,35.0,900.52,
2007,1,1,11,33.01,6.26,1084.0,929.17,176.0,325.47,3.93,34.0,899.6,
2007,1,1,12,34.65,4.99,1115.0,951.27,166.0,334.2,3.14,32.0,898.69,
2007,1,1,13,35.48,4.51,1074.0,957.47,153.0,335.48,2.82,39.0,897.77,
2007,1,1,14,36.32,4.02,960.0,929.47,149.0,336.77,2.5,46.0,896.86,
2007,1,1,15,37.15,3.54,787.0,879.55,140.0,338.05,2.18,52.0,895.94,
2007,1,1,16,35.75,4.25,571.0,799.42,123.0,334.32,2.54,83.0,895.97,
2007,1,1,17,34.34,4.97,331.0,640.82,101.0,330.58,2.9,114.0,896.0,
2007,1,1,18,32.94,5.68,105.0,393.53,48.0,326.85,3.26,145.0,896.03,
2007,1,1,19,30.89,7.25,0.0,0.0,0.0,323.13,3.36,155.0,896.83,
2007,1,1,20,28.84,8.82,0.0,0.0,0.0,319.42,3.46,164.0,897.62,
