Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2284,Oranjemund,NAM,Namibia,-28.5494860649,16.4299942613,1,25.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,17.33,76.9,0.0,0.0,0.0,349.67,5.15,203.0,1010.0,
2014,1,1,1,17.31,78.52,0.0,0.0,0.0,348.98,4.56,251.0,1008.7,
2014,1,1,2,17.3,80.14,0.0,0.0,0.0,348.29,3.96,252.0,1008.41,
2014,1,1,3,17.28,81.76,0.0,0.0,0.0,347.6,3.37,252.0,1008.11,
2014,1,1,4,17.26,83.38,0.0,0.0,0.0,346.91,2.77,241.0,1008.51,
2014,1,1,5,17.24,85.0,0.0,0.0,0.0,346.22,2.18,229.0,1008.9,
2014,1,1,6,17.22,86.62,78.0,14.64,75.0,345.53,1.58,217.0,1009.3,
2014,1,1,7,17.21,88.24,246.0,101.56,204.0,344.84,0.99,213.0,1009.27,
2014,1,1,8,17.19,89.86,369.0,95.6,311.0,344.15,0.39,209.0,1009.24,
2014,1,1,9,17.82,58.16,447.0,67.43,395.0,411.45,4.81,205.0,1009.2,
2014,1,1,10,17.88,54.81,578.0,108.27,481.0,424.03,5.7,205.0,1008.84,
2014,1,1,11,17.94,51.46,756.0,240.67,522.0,436.62,6.58,204.0,1008.47,
2014,1,1,12,17.99,48.11,870.0,381.86,490.0,449.2,7.46,204.0,1008.11,
2014,1,1,13,18.02,49.12,644.0,125.66,523.0,446.07,7.73,202.0,1007.61,
2014,1,1,14,18.05,50.13,589.0,132.15,473.0,442.93,8.0,201.0,1007.11,
2014,1,1,15,18.08,51.14,376.0,32.19,352.0,439.8,8.26,200.0,1006.61,
2014,1,1,16,17.93,56.92,595.0,803.12,133.0,420.83,7.72,201.0,1006.78,
2014,1,1,17,17.78,62.7,363.0,692.22,101.0,401.87,7.18,203.0,1006.94,
2014,1,1,18,17.63,68.48,131.0,438.74,57.0,382.9,6.63,204.0,1007.11,
2014,1,1,19,17.49,72.15,0.0,0.0,0.0,371.62,6.16,204.0,1007.71,
2014,1,1,20,17.35,75.82,0.0,0.0,0.0,360.33,5.68,203.0,1008.31,
2014,1,1,21,17.21,79.49,0.0,0.0,0.0,349.05,5.2,203.0,1008.9,
2014,1,1,22,17.08,81.35,0.0,0.0,0.0,345.02,4.86,206.0,1008.67,
2014,1,1,23,16.95,83.2,0.0,0.0,0.0,340.98,4.52,210.0,1008.44,
2014,1,2,0,16.82,85.06,0.0,0.0,0.0,336.95,4.18,213.0,1008.21,
2014,1,2,1,16.76,85.74,0.0,0.0,0.0,334.9,3.93,220.0,1007.87,
2014,1,2,2,16.71,86.42,0.0,0.0,0.0,332.85,3.68,228.0,1007.54,
2014,1,2,3,16.65,87.1,0.0,0.0,0.0,330.8,3.43,235.0,1007.21,
2014,1,2,4,16.74,83.85,0.0,0.0,0.0,331.12,3.92,223.0,1007.54,
2014,1,2,5,16.83,80.61,0.0,0.0,0.0,331.43,4.4,210.0,1007.87,
2014,1,2,6,16.92,77.36,59.0,0.0,59.0,331.75,4.88,198.0,1008.21,
2014,1,2,7,17.15,67.32,131.0,0.0,131.0,350.22,5.49,196.0,1007.81,
2014,1,2,8,17.37,57.28,266.0,14.88,257.0,368.68,6.1,193.0,1007.41,
2014,1,2,9,17.6,47.24,579.0,224.73,406.0,387.15,6.7,191.0,1007.01,
2014,1,2,10,17.6,42.86,989.0,911.8,173.0,404.67,7.19,192.0,1006.28,
2014,1,2,11,17.61,38.48,1080.0,915.88,190.0,422.18,7.68,194.0,1005.55,
2014,1,2,12,17.61,34.1,1063.0,794.96,272.0,439.7,8.17,196.0,1004.82,
