Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2214,Keffi,NGA,Nigeria,8.84903220513,7.87361730819,1,317.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,23.56,30.84,0.0,0.0,0.0,324.32,2.72,35.0,976.18,
2007,1,1,1,22.76,30.74,0.0,0.0,0.0,320.89,2.97,42.0,978.07,
2007,1,1,2,21.97,30.64,0.0,0.0,0.0,317.46,3.21,41.0,978.04,
2007,1,1,3,21.17,30.53,0.0,0.0,0.0,314.04,3.45,41.0,978.01,
2007,1,1,4,20.38,30.43,0.0,0.0,0.0,310.61,3.7,43.0,978.26,
2007,1,1,5,19.59,30.32,0.0,0.0,0.0,307.18,3.94,45.0,978.52,
2007,1,1,6,18.79,30.22,0.0,0.0,0.0,303.75,4.18,46.0,978.78,
2007,1,1,7,18.0,30.12,44.0,190.55,29.0,300.32,4.43,51.0,979.0,
2007,1,1,8,17.21,30.01,258.0,456.59,118.0,296.9,4.67,55.0,979.23,
2007,1,1,9,25.84,26.38,494.0,643.73,166.0,310.75,5.57,60.0,979.45,
2007,1,1,10,27.54,23.9,697.0,752.65,190.0,316.97,5.56,65.0,978.65,
2007,1,1,11,29.24,21.41,836.0,793.45,211.0,323.18,5.55,71.0,977.85,
2007,1,1,12,30.94,18.93,908.0,816.34,219.0,329.4,5.54,76.0,977.04,
2007,1,1,13,31.58,18.65,900.0,814.36,217.0,333.4,5.13,76.0,976.24,
2007,1,1,14,32.21,18.36,819.0,797.79,203.0,337.4,4.71,75.0,975.44,
2007,1,1,15,32.84,18.08,660.0,722.81,191.0,341.4,4.29,75.0,974.64,
2007,1,1,16,30.8,21.82,446.0,584.59,167.0,339.98,3.69,68.0,975.18,
2007,1,1,17,28.77,25.57,218.0,423.73,104.0,338.57,3.09,62.0,975.73,
2007,1,1,18,26.73,29.31,0.0,0.0,0.0,337.15,2.5,55.0,976.27,
2007,1,1,19,25.55,30.18,0.0,0.0,0.0,335.63,2.81,51.0,976.98,
2007,1,1,20,24.37,31.04,0.0,0.0,0.0,334.12,3.12,48.0,977.69,
2007,1,1,21,23.19,31.91,0.0,0.0,0.0,332.6,3.43,44.0,978.39,
2007,1,1,22,22.82,31.01,0.0,0.0,0.0,329.53,3.57,43.0,978.33,
2007,1,1,23,22.44,30.1,0.0,0.0,0.0,326.47,3.71,43.0,978.26,
2007,1,2,0,22.07,29.2,0.0,0.0,0.0,323.4,3.85,42.0,978.2,
2007,1,2,1,21.24,28.79,0.0,0.0,0.0,320.32,3.92,44.0,977.97,
2007,1,2,2,20.4,28.39,0.0,0.0,0.0,317.23,3.99,45.0,977.75,
2007,1,2,3,19.56,27.98,0.0,0.0,0.0,314.15,4.06,46.0,977.52,
2007,1,2,4,19.26,28.34,0.0,0.0,0.0,312.28,4.16,48.0,977.88,
2007,1,2,5,18.95,28.71,0.0,0.0,0.0,310.42,4.26,50.0,978.23,
2007,1,2,6,18.64,29.07,0.0,0.0,0.0,308.55,4.36,51.0,978.58,
2007,1,2,7,21.22,27.96,43.0,194.13,28.0,310.78,4.86,55.0,978.87,
2007,1,2,8,23.8,26.85,255.0,445.25,119.0,313.02,5.36,59.0,979.16,
2007,1,2,9,26.37,25.74,483.0,599.54,178.0,315.25,5.86,63.0,979.45,
2007,1,2,10,28.07,23.34,686.0,712.96,206.0,321.25,5.76,68.0,978.55,
2007,1,2,11,29.76,20.95,828.0,765.41,225.0,327.25,5.65,73.0,977.65,
2007,1,2,12,31.45,18.55,904.0,802.75,226.0,333.25,5.54,79.0,976.75,
2007,1,2,13,31.99,18.31,902.0,814.53,218.0,336.23,5.17,78.0,975.95,
2007,1,2,14,32.53,18.07,813.0,771.73,216.0,339.22,4.8,78.0,975.15,
2007,1,2,15,33.07,17.83,656.0,699.33,201.0,342.2,4.43,78.0,974.35,
2007,1,2,16,31.04,21.96,448.0,586.35,167.0,340.28,3.79,72.0,974.86,
2007,1,2,17,29.0,26.09,216.0,405.74,106.0,338.37,3.15,67.0,975.37,
2007,1,2,18,26.97,30.22,0.0,0.0,0.0,336.45,2.51,61.0,975.89,
2007,1,2,19,25.59,32.44,0.0,0.0,0.0,334.73,2.63,55.0,976.53,
2007,1,2,20,24.21,34.67,0.0,0.0,0.0,333.02,2.75,49.0,977.17,
2007,1,2,21,22.84,36.89,0.0,0.0,0.0,331.3,2.87,43.0,977.81,
2007,1,2,22,22.29,36.44,0.0,0.0,0.0,328.32,2.94,41.0,977.65,
2007,1,2,23,21.73,35.98,0.0,0.0,0.0,325.33,3.02,39.0,977.49,
2007,1,3,0,21.18,35.53,0.0,0.0,0.0,322.35,3.09,38.0,977.33,
2007,1,3,1,20.4,34.83,0.0,0.0,0.0,319.2,3.12,39.0,977.17,
2007,1,3,2,19.62,34.12,0.0,0.0,0.0,316.05,3.15,40.0,977.01,
2007,1,3,3,18.83,33.42,0.0,0.0,0.0,312.9,3.19,41.0,976.85,
2007,1,3,4,18.5,33.88,0.0,0.0,0.0,310.92,3.28,44.0,977.11,
2007,1,3,5,18.17,34.33,0.0,0.0,0.0,308.93,3.37,46.0,977.36,
2007,1,3,6,17.83,34.79,0.0,0.0,0.0,306.95,3.46,49.0,977.62,
2007,1,3,7,20.73,32.97,40.0,171.37,27.0,309.77,3.91,54.0,977.85,
2007,1,3,8,23.63,31.15,249.0,414.04,123.0,312.58,4.36,59.0,978.07,
2007,1,3,9,26.52,29.33,474.0,566.96,186.0,315.4,4.81,65.0,978.3,
