Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,2187,Oturkpo,NGA,Nigeria,7.19039959607,8.12998408879,1,194.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,26.22,56.83,0.0,0.0,0.0,378.59,1.85,200.0,987.28,
2012,1,1,1,25.77,55.32,0.0,0.0,0.0,378.16,1.78,169.0,987.73,
2012,1,1,2,25.32,53.82,0.0,0.0,0.0,377.74,1.72,171.0,987.8,
2012,1,1,3,24.87,52.31,0.0,0.0,0.0,377.31,1.66,173.0,987.86,
2012,1,1,4,24.42,50.81,0.0,0.0,0.0,376.89,1.59,158.0,988.39,
2012,1,1,5,23.97,49.3,0.0,0.0,0.0,376.46,1.53,143.0,988.91,
2012,1,1,6,23.52,47.8,0.0,0.0,0.0,376.04,1.47,128.0,989.43,
2012,1,1,7,23.07,46.29,44.0,95.98,35.0,375.61,1.4,96.0,989.95,
2012,1,1,8,22.62,44.78,230.0,266.79,144.0,375.18,1.34,64.0,990.47,
2012,1,1,9,27.21,32.51,329.0,133.17,259.0,374.8,1.2,31.0,990.99,
2012,1,1,10,29.12,27.89,519.0,247.91,348.0,369.87,1.96,26.0,989.95,
2012,1,1,11,31.03,23.26,809.0,689.43,255.0,364.93,2.72,21.0,988.91,
2012,1,1,12,32.94,18.64,919.0,833.27,203.0,360.0,3.48,16.0,987.86,
2012,1,1,13,33.71,17.87,910.0,829.95,202.0,361.15,3.46,12.0,987.25,
2012,1,1,14,34.47,17.09,822.0,795.77,197.0,362.3,3.44,7.0,986.63,
2012,1,1,15,35.24,16.32,668.0,738.41,180.0,363.45,3.42,2.0,986.01,
2012,1,1,16,33.44,19.59,455.0,606.58,159.0,363.28,3.29,358.0,986.4,
2012,1,1,17,31.64,22.86,216.0,384.2,109.0,363.12,3.15,355.0,986.79,
2012,1,1,18,29.84,26.13,11.0,21.41,10.0,362.95,3.02,351.0,987.18,
2012,1,1,19,29.41,28.18,0.0,0.0,0.0,360.72,3.03,3.0,987.73,
2012,1,1,20,28.99,30.23,0.0,0.0,0.0,358.48,3.04,14.0,988.29,
2012,1,1,21,28.56,32.28,0.0,0.0,0.0,356.25,3.05,26.0,988.84,
2012,1,1,22,27.51,32.86,0.0,0.0,0.0,353.77,2.87,45.0,988.81,
2012,1,1,23,26.45,33.44,0.0,0.0,0.0,351.28,2.7,64.0,988.78,
2012,1,2,0,25.39,34.02,0.0,0.0,0.0,348.8,2.52,84.0,988.74,
2012,1,2,1,23.7,34.04,0.0,0.0,0.0,346.73,2.63,84.0,988.81,
2012,1,2,2,22.0,34.07,0.0,0.0,0.0,344.67,2.74,84.0,988.87,
2012,1,2,3,20.31,34.09,0.0,0.0,0.0,342.6,2.86,84.0,988.94,
2012,1,2,4,19.78,34.38,0.0,0.0,0.0,342.27,2.72,79.0,989.46,
2012,1,2,5,19.26,34.66,0.0,0.0,0.0,341.93,2.59,74.0,989.98,
2012,1,2,6,18.73,34.95,0.0,0.0,0.0,341.6,2.46,68.0,990.5,
2012,1,2,7,22.12,32.26,48.0,130.05,36.0,344.22,3.09,59.0,990.89,
2012,1,2,8,25.51,29.57,259.0,407.93,128.0,346.83,3.73,50.0,991.28,
2012,1,2,9,28.91,26.88,489.0,586.9,181.0,349.45,4.37,41.0,991.68,
2012,1,2,10,30.72,23.94,692.0,707.89,204.0,351.72,4.15,36.0,990.67,
2012,1,2,11,32.54,21.01,839.0,778.96,213.0,353.98,3.93,32.0,989.66,
2012,1,2,12,34.35,18.07,910.0,804.82,218.0,356.25,3.71,27.0,988.65,
2012,1,2,13,34.84,17.52,902.0,802.03,217.0,356.92,3.59,20.0,987.86,
2012,1,2,14,35.33,16.96,820.0,782.9,204.0,357.58,3.47,13.0,987.08,
2012,1,2,15,35.82,16.41,664.0,715.34,190.0,358.25,3.35,5.0,986.3,
2012,1,2,16,33.34,19.92,455.0,598.04,162.0,360.33,3.23,1.0,986.43,
2012,1,2,17,30.86,23.43,219.0,388.54,110.0,362.42,3.11,357.0,986.56,
2012,1,2,18,28.38,26.94,12.0,20.53,11.0,364.5,2.99,353.0,986.69,
2012,1,2,19,27.14,29.75,0.0,0.0,0.0,359.37,3.0,7.0,987.21,
2012,1,2,20,25.9,32.56,0.0,0.0,0.0,354.23,3.01,20.0,987.73,
2012,1,2,21,24.66,35.37,0.0,0.0,0.0,349.1,3.02,33.0,988.25,
2012,1,2,22,24.98,36.07,0.0,0.0,0.0,347.22,2.86,51.0,988.35,
2012,1,2,23,25.29,36.77,0.0,0.0,0.0,345.33,2.7,68.0,988.45,
2012,1,3,0,25.6,37.47,0.0,0.0,0.0,343.45,2.54,86.0,988.55,
2012,1,3,1,23.76,37.44,0.0,0.0,0.0,344.62,2.65,86.0,988.52,
2012,1,3,2,21.91,37.42,0.0,0.0,0.0,345.78,2.77,85.0,988.48,
2012,1,3,3,20.07,37.39,0.0,0.0,0.0,346.95,2.88,85.0,988.45,
2012,1,3,4,19.3,37.11,0.0,0.0,0.0,347.42,2.71,80.0,989.0,
2012,1,3,5,18.54,36.82,0.0,0.0,0.0,347.88,2.54,76.0,989.56,
2012,1,3,6,17.77,36.54,0.0,0.0,0.0,348.35,2.37,72.0,990.11,
2012,1,3,7,21.34,33.22,44.0,110.12,34.0,349.52,3.08,59.0,990.67,
2012,1,3,8,24.91,29.91,238.0,306.28,140.0,350.68,3.78,46.0,991.22,
2012,1,3,9,28.48,26.59,445.0,425.57,222.0,351.85,4.48,34.0,991.77,
2012,1,3,10,30.36,23.47,646.0,558.76,261.0,353.63,4.32,27.0,990.73,
2012,1,3,11,32.24,20.35,788.0,628.28,283.0,355.42,4.16,21.0,989.69,
2012,1,3,12,34.12,17.23,874.0,699.64,272.0,357.2,4.0,15.0,988.65,
2012,1,3,13,34.66,16.63,886.0,748.39,246.0,359.2,3.77,13.0,987.67,
2012,1,3,14,35.2,16.04,806.0,730.69,230.0,361.2,3.55,10.0,986.69,
2012,1,3,15,35.74,15.44,650.0,656.23,214.0,363.2,3.32,8.0,985.71,
2012,1,3,16,33.95,18.93,441.0,530.58,180.0,363.7,3.2,4.0,986.07,
2012,1,3,17,32.16,22.43,214.0,350.32,115.0,364.2,3.09,359.0,986.43,
2012,1,3,18,30.37,25.92,12.0,19.72,11.0,364.7,2.97,355.0,986.79,
2012,1,3,19,28.78,27.58,0.0,0.0,0.0,360.77,2.97,6.0,987.38,
2012,1,3,20,27.19,29.23,0.0,0.0,0.0,356.83,2.97,17.0,987.96,
2012,1,3,21,25.6,30.89,0.0,0.0,0.0,352.9,2.97,28.0,988.55,
2012,1,3,22,24.87,30.49,0.0,0.0,0.0,350.77,2.8,40.0,988.55,
2012,1,3,23,24.14,30.09,0.0,0.0,0.0,348.63,2.63,52.0,988.55,
2012,1,4,0,23.41,29.69,0.0,0.0,0.0,346.5,2.47,64.0,988.55,
2012,1,4,1,22.37,29.42,0.0,0.0,0.0,343.28,2.57,61.0,988.61,
2012,1,4,2,21.32,29.14,0.0,0.0,0.0,340.07,2.68,57.0,988.68,
2012,1,4,3,20.28,28.87,0.0,0.0,0.0,336.85,2.79,54.0,988.74,
2012,1,4,4,19.71,29.04,0.0,0.0,0.0,334.92,2.67,53.0,989.17,
2012,1,4,5,19.14,29.2,0.0,0.0,0.0,332.98,2.55,52.0,989.59,
2012,1,4,6,18.57,29.37,0.0,0.0,0.0,331.05,2.43,51.0,990.01,
2012,1,4,7,21.86,27.35,43.0,111.86,33.0,333.08,3.3,48.0,990.44,
2012,1,4,8,25.15,25.32,243.0,338.72,135.0,335.12,4.17,45.0,990.86,
2012,1,4,9,28.44,23.3,470.0,515.98,200.0,337.15,5.05,42.0,991.28,
2012,1,4,10,30.31,21.02,678.0,660.63,223.0,341.15,4.77,39.0,990.08,
2012,1,4,11,32.17,18.75,823.0,727.63,238.0,345.15,4.49,35.0,988.87,
2012,1,4,12,34.04,16.47,903.0,778.05,233.0,349.15,4.21,31.0,987.67,
2012,1,4,13,34.53,15.96,896.0,775.43,232.0,351.62,3.93,28.0,986.98,
2012,1,4,14,35.02,15.44,816.0,758.4,217.0,354.08,3.65,24.0,986.3,
2012,1,4,15,35.51,14.93,658.0,679.95,205.0,356.55,3.37,20.0,985.62,
2012,1,4,16,33.0,17.89,453.0,570.94,171.0,358.3,3.19,15.0,985.97,
2012,1,4,17,30.48,20.84,219.0,372.36,113.0,360.05,3.01,10.0,986.33,
2012,1,4,18,27.97,23.8,14.0,18.97,13.0,361.8,2.83,5.0,986.69,
2012,1,4,19,26.74,25.36,0.0,0.0,0.0,357.25,2.84,13.0,987.34,
2012,1,4,20,25.5,26.91,0.0,0.0,0.0,352.7,2.86,21.0,987.99,
2012,1,4,21,24.27,28.47,0.0,0.0,0.0,348.15,2.87,29.0,988.65,
2012,1,4,22,23.74,28.85,0.0,0.0,0.0,346.45,2.61,41.0,988.58,
2012,1,4,23,23.21,29.23,0.0,0.0,0.0,344.75,2.35,53.0,988.52,
2012,1,5,0,22.68,29.61,0.0,0.0,0.0,343.05,2.1,65.0,988.45,
2012,1,5,1,21.83,29.39,0.0,0.0,0.0,342.28,2.24,66.0,988.48,
2012,1,5,2,20.97,29.16,0.0,0.0,0.0,341.52,2.39,68.0,988.52,
2012,1,5,3,20.11,28.94,0.0,0.0,0.0,340.75,2.54,70.0,988.55,
2012,1,5,4,19.6,29.83,0.0,0.0,0.0,341.08,2.46,69.0,989.1,
2012,1,5,5,19.1,30.71,0.0,0.0,0.0,341.42,2.38,68.0,989.66,
2012,1,5,6,18.59,31.6,0.0,0.0,0.0,341.75,2.3,68.0,990.21,
2012,1,5,7,22.01,29.35,45.0,124.97,34.0,345.08,3.09,61.0,990.67,
2012,1,5,8,25.43,27.09,245.0,349.3,134.0,348.42,3.87,54.0,991.12,
2012,1,5,9,28.85,24.84,464.0,497.52,204.0,351.75,4.65,47.0,991.58,
2012,1,5,10,30.67,22.36,663.0,614.36,240.0,354.03,4.03,41.0,990.44,
2012,1,5,11,32.49,19.87,810.0,688.85,256.0,356.32,3.42,34.0,989.3,
2012,1,5,12,34.31,17.39,890.0,737.92,254.0,358.6,2.8,28.0,988.16,
2012,1,5,13,34.85,17.04,870.0,697.38,272.0,361.07,2.42,18.0,987.47,
2012,1,5,14,35.38,16.69,793.0,682.34,253.0,363.53,2.05,7.0,986.79,
