Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3584,Suhar,OMN,Oman,24.3619733456,56.7344189581,4,6.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,18.96,63.43,0.0,0.0,0.0,317.03,3.09,296.0,1014.38,
2010,1,1,1,19.28,61.05,0.0,0.0,0.0,318.37,3.02,291.0,1014.34,
2010,1,1,2,19.61,58.67,0.0,0.0,0.0,319.7,2.95,286.0,1014.31,
2010,1,1,3,19.94,56.29,0.0,0.0,0.0,321.04,2.88,280.0,1014.28,
2010,1,1,4,20.26,53.91,0.0,0.0,0.0,322.37,2.81,176.0,1012.81,
2010,1,1,5,20.59,51.53,0.0,0.0,0.0,323.71,2.74,173.0,1013.05,
2010,1,1,6,20.91,49.15,0.0,0.0,0.0,325.04,2.67,169.0,1013.28,
2010,1,1,7,21.24,46.77,0.0,0.0,0.0,326.38,2.6,181.0,1013.71,
2010,1,1,8,21.57,44.39,138.0,513.56,53.0,327.71,2.52,192.0,1014.14,
2010,1,1,9,21.89,42.01,287.0,361.34,159.0,329.05,2.45,203.0,1014.58,
2010,1,1,10,22.22,39.63,530.0,791.59,128.0,330.38,2.38,218.0,1013.61,
2010,1,1,11,22.55,37.25,672.0,884.97,127.0,331.72,2.31,233.0,1012.65,
2010,1,1,12,27.13,26.47,738.0,895.83,137.0,352.1,4.37,248.0,1011.68,
2010,1,1,13,26.26,26.4,603.0,445.29,305.0,351.87,4.35,256.0,1011.21,
2010,1,1,14,25.39,26.33,498.0,314.26,306.0,351.63,4.33,263.0,1010.75,
2010,1,1,15,24.51,26.26,507.0,725.88,144.0,351.4,4.3,271.0,1010.28,
2010,1,1,16,23.87,30.15,314.0,557.92,122.0,345.1,4.35,283.0,1011.15,
2010,1,1,17,23.24,34.04,101.0,240.65,64.0,338.8,4.4,294.0,1012.01,
2010,1,1,18,22.6,37.93,0.0,0.0,0.0,332.5,4.46,306.0,1012.88,
2010,1,1,19,21.94,43.83,0.0,0.0,0.0,331.02,3.72,309.0,1013.38,
2010,1,1,20,21.28,49.74,0.0,0.0,0.0,329.53,2.99,312.0,1013.88,
2010,1,1,21,20.62,55.64,0.0,0.0,0.0,328.05,2.26,315.0,1014.38,
2010,1,1,22,19.85,61.31,0.0,0.0,0.0,321.28,2.62,309.0,1014.38,
2010,1,1,23,19.08,66.97,0.0,0.0,0.0,314.52,2.98,302.0,1014.38,
2010,1,2,0,18.31,72.64,0.0,0.0,0.0,307.75,3.34,296.0,1014.38,
2010,1,2,1,17.88,76.87,0.0,0.0,0.0,305.28,3.69,291.0,1014.34,
2010,1,2,2,17.44,81.09,0.0,0.0,0.0,302.82,4.05,286.0,1014.31,
2010,1,2,3,17.0,85.32,0.0,0.0,0.0,300.35,4.4,280.0,1014.28,
2010,1,2,4,16.72,83.08,0.0,0.0,0.0,301.58,4.26,277.0,1014.74,
2010,1,2,5,16.44,80.83,0.0,0.0,0.0,302.82,4.12,273.0,1015.21,
2010,1,2,6,16.16,78.59,0.0,0.0,0.0,304.05,3.99,270.0,1015.68,
2010,1,2,7,17.85,72.44,0.0,0.0,0.0,305.48,4.41,272.0,1016.21,
