Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1723,Dera Ghazi Khan,PAK,Pakistan,30.0603989858,70.6350577381,5,127.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,11.52,93.51,0.0,0.0,0.0,308.38,1.48,262.0,1002.17,
2006,1,1,1,11.35,92.55,0.0,0.0,0.0,308.05,1.9,297.0,1002.08,
2006,1,1,2,11.19,91.59,0.0,0.0,0.0,307.73,2.32,302.0,1002.08,
2006,1,1,3,11.03,90.63,0.0,0.0,0.0,307.4,2.73,307.0,1002.08,
2006,1,1,4,10.86,89.67,0.0,0.0,0.0,307.07,3.15,312.0,1002.08,
2006,1,1,5,10.7,88.71,0.0,0.0,0.0,306.74,3.57,352.0,1002.67,
2006,1,1,6,10.54,87.74,0.0,0.0,0.0,306.41,3.98,354.0,1003.45,
2006,1,1,7,10.37,86.78,0.0,0.0,0.0,306.09,4.4,355.0,1004.24,
2006,1,1,8,10.21,85.82,30.0,19.2,28.0,305.76,4.82,356.0,1004.21,
2006,1,1,9,10.05,84.86,208.0,336.89,112.0,305.43,5.23,357.0,1004.18,
2006,1,1,10,9.88,83.9,396.0,612.02,131.0,305.1,5.65,358.0,1004.14,
2006,1,1,11,9.72,82.94,467.0,470.11,214.0,304.77,6.07,358.0,1003.22,
2006,1,1,12,9.55,81.98,598.0,765.18,144.0,304.45,6.49,358.0,1002.31,
2006,1,1,13,12.05,65.46,523.0,474.18,241.0,313.85,4.86,357.0,1001.39,
2006,1,1,14,11.62,66.8,528.0,693.45,152.0,314.5,4.43,357.0,1001.12,
2006,1,1,15,11.19,68.15,326.0,284.46,201.0,315.15,4.01,358.0,1000.86,
2006,1,1,16,10.76,69.49,246.0,514.73,95.0,315.8,3.59,358.0,1000.6,
2006,1,1,17,10.04,76.73,68.0,272.05,37.0,312.47,3.03,360.0,1001.12,
2006,1,1,18,9.32,83.98,0.0,0.0,0.0,309.13,2.48,1.0,1001.65,
2006,1,1,19,8.59,91.22,0.0,0.0,0.0,305.8,1.93,3.0,1002.17,
2006,1,1,20,7.7,92.89,0.0,0.0,0.0,303.4,1.85,5.0,1002.11,
2006,1,1,21,6.8,94.56,0.0,0.0,0.0,301.0,1.77,6.0,1002.04,
2006,1,1,22,5.9,96.23,0.0,0.0,0.0,298.6,1.7,8.0,1001.98,
2006,1,1,23,5.88,97.49,0.0,0.0,0.0,298.28,1.64,5.0,1001.58,
2006,1,2,0,5.85,98.74,0.0,0.0,0.0,297.97,1.58,2.0,1001.19,
2006,1,2,1,5.83,100.0,0.0,0.0,0.0,297.65,1.52,360.0,1000.79,
2006,1,2,2,5.56,100.0,0.0,0.0,0.0,298.93,1.77,357.0,1000.6,
2006,1,2,3,5.29,100.0,0.0,0.0,0.0,300.22,2.03,355.0,1000.4,
2006,1,2,4,5.02,100.0,0.0,0.0,0.0,301.5,2.29,353.0,1000.2,
2006,1,2,5,4.9,99.51,0.0,0.0,0.0,296.15,1.99,344.0,1000.34,
2006,1,2,6,4.78,99.03,0.0,0.0,0.0,290.8,1.68,334.0,1000.47,
2006,1,2,7,4.66,98.54,0.0,0.0,0.0,285.45,1.38,324.0,1000.6,
2006,1,2,8,7.12,90.65,49.0,154.42,33.0,288.75,1.14,312.0,1000.76,
2006,1,2,9,9.57,82.76,237.0,523.32,88.0,292.05,0.91,300.0,1000.93,
2006,1,2,10,12.03,74.87,409.0,681.1,114.0,295.35,0.68,287.0,1001.09,
2006,1,2,11,13.03,67.09,528.0,714.66,143.0,293.93,0.99,265.0,1000.04,
2006,1,2,12,14.02,59.32,611.0,817.77,125.0,292.52,1.3,243.0,998.99,
2006,1,2,13,15.02,51.54,614.0,820.35,125.0,291.1,1.61,221.0,997.94,
2006,1,2,14,14.36,52.15,361.0,169.13,269.0,285.75,1.82,217.0,997.48,
2006,1,2,15,13.7,52.77,330.0,292.21,201.0,280.4,2.03,214.0,997.02,
2006,1,2,16,13.04,53.38,243.0,480.4,101.0,275.05,2.23,211.0,996.56,
