Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,644,Sahiwal,PAK,Pakistan,30.6717311798,73.111805785,5,173.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,8.27,99.0,0.0,0.0,0.0,273.49,1.38,350.0,996.48,
2011,1,1,1,8.64,0.5,0.0,0.0,0.0,273.34,1.3,20.0,996.31,
2011,1,1,2,9.01,0.5,0.0,0.0,0.0,273.2,1.22,24.0,996.28,
2011,1,1,3,9.39,0.5,0.0,0.0,0.0,273.06,1.13,28.0,996.25,
2011,1,1,4,9.76,0.5,0.0,0.0,0.0,272.91,1.05,32.0,996.21,
2011,1,1,5,10.14,0.5,0.0,0.0,0.0,272.77,0.96,120.0,994.61,
2011,1,1,6,10.51,0.5,0.0,0.0,0.0,272.62,0.88,129.0,995.56,
2011,1,1,7,10.89,0.5,0.0,0.0,0.0,272.48,0.79,138.0,996.51,
2011,1,1,8,11.26,0.5,61.0,76.66,51.0,272.34,0.71,177.0,996.84,
2011,1,1,9,11.64,0.5,143.0,42.56,130.0,272.19,0.63,216.0,997.16,
2011,1,1,10,12.01,0.5,216.0,38.11,199.0,272.05,0.54,254.0,997.49,
2011,1,1,11,12.38,0.5,225.0,12.9,218.0,271.9,0.46,267.0,996.61,
2011,1,1,12,12.76,0.5,395.0,152.85,305.0,271.76,0.37,279.0,995.73,
2011,1,1,13,17.84,42.62,470.0,321.78,283.0,287.7,1.09,292.0,994.84,
2011,1,1,14,16.88,45.66,514.0,674.61,163.0,286.82,0.8,295.0,994.48,
2011,1,1,15,15.91,48.7,380.0,582.35,141.0,285.93,0.52,298.0,994.12,
2011,1,1,16,14.95,51.74,210.0,436.36,97.0,285.05,0.23,301.0,993.77,
2011,1,1,17,14.23,58.37,38.0,157.33,26.0,282.02,0.37,302.0,994.22,
2011,1,1,18,13.52,64.99,0.0,0.0,0.0,278.98,0.5,303.0,994.68,
2011,1,1,19,12.81,71.62,0.0,0.0,0.0,275.95,0.63,304.0,995.14,
2011,1,1,20,11.67,77.94,0.0,0.0,0.0,274.15,0.85,301.0,994.97,
2011,1,1,21,10.54,84.25,0.0,0.0,0.0,272.35,1.06,299.0,994.81,
2011,1,1,22,9.4,90.57,0.0,0.0,0.0,270.55,1.27,296.0,994.65,
2011,1,1,23,8.86,91.91,0.0,0.0,0.0,267.75,1.44,296.0,994.16,
2011,1,2,0,8.32,93.26,0.0,0.0,0.0,264.95,1.61,296.0,993.67,
2011,1,2,1,7.78,94.6,0.0,0.0,0.0,262.15,1.78,296.0,993.18,
2011,1,2,2,7.58,94.27,0.0,0.0,0.0,259.73,1.66,296.0,992.95,
2011,1,2,3,7.38,93.95,0.0,0.0,0.0,257.32,1.55,296.0,992.72,
2011,1,2,4,7.18,93.62,0.0,0.0,0.0,254.9,1.43,296.0,992.49,
2011,1,2,5,6.79,94.25,0.0,0.0,0.0,254.0,1.53,287.0,993.24,
2011,1,2,6,6.41,94.89,0.0,0.0,0.0,253.1,1.62,279.0,993.99,
2011,1,2,7,6.03,95.52,0.0,0.0,0.0,252.2,1.71,270.0,994.75,
2011,1,2,8,9.11,83.14,60.0,76.95,50.0,258.32,2.12,268.0,994.97,
2011,1,2,9,12.18,70.75,136.0,32.75,126.0,264.43,2.53,266.0,995.2,
2011,1,2,10,15.26,58.37,177.0,11.2,172.0,270.55,2.94,264.0,995.43,
2011,1,2,11,16.05,53.54,178.0,1.84,177.0,274.02,2.52,268.0,994.68,
2011,1,2,12,16.83,48.72,144.0,0.0,144.0,277.48,2.11,272.0,993.93,
2011,1,2,13,17.62,43.89,164.0,0.0,164.0,280.95,1.7,277.0,993.18,
2011,1,2,14,17.16,44.84,132.0,0.0,132.0,280.82,1.81,282.0,993.18,
2011,1,2,15,16.7,45.79,109.0,0.0,109.0,280.68,1.93,287.0,993.18,
2011,1,2,16,16.24,46.74,77.0,3.83,76.0,280.55,2.04,292.0,993.18,
2011,1,2,17,13.92,55.61,24.0,25.45,22.0,278.82,1.95,350.0,994.03,
2011,1,2,18,11.61,64.48,0.0,0.0,0.0,277.08,1.87,49.0,994.88,
2011,1,2,19,9.3,73.35,0.0,0.0,0.0,275.35,1.78,107.0,995.73,
2011,1,2,20,8.26,77.58,0.0,0.0,0.0,273.82,1.91,137.0,995.89,
2011,1,2,21,7.23,81.8,0.0,0.0,0.0,272.28,2.05,168.0,996.05,
2011,1,2,22,6.19,86.03,0.0,0.0,0.0,270.75,2.18,198.0,996.21,
2011,1,2,23,5.86,87.18,0.0,0.0,0.0,268.5,1.88,227.0,995.99,
2011,1,3,0,5.52,88.33,0.0,0.0,0.0,266.25,1.58,255.0,995.76,
2011,1,3,1,5.18,89.48,0.0,0.0,0.0,264.0,1.28,284.0,995.53,
2011,1,3,2,4.88,90.91,0.0,0.0,0.0,262.9,1.42,292.0,995.43,
2011,1,3,3,4.58,92.33,0.0,0.0,0.0,261.8,1.56,300.0,995.33,
2011,1,3,4,4.28,93.76,0.0,0.0,0.0,260.7,1.7,307.0,995.24,
2011,1,3,5,4.86,93.44,0.0,0.0,0.0,259.08,1.65,281.0,996.21,
2011,1,3,6,5.44,93.13,0.0,0.0,0.0,257.47,1.6,255.0,997.19,
2011,1,3,7,6.03,92.81,0.0,0.0,0.0,255.85,1.54,230.0,998.17,
2011,1,3,8,9.08,81.96,48.0,30.87,44.0,262.33,1.56,242.0,998.37,
2011,1,3,9,12.12,71.11,107.0,6.55,105.0,268.82,1.57,254.0,998.57,
2011,1,3,10,15.17,60.26,153.0,4.48,151.0,275.3,1.59,266.0,998.76,
2011,1,3,11,15.91,56.39,128.0,0.0,128.0,277.43,1.19,276.0,997.95,
2011,1,3,12,16.65,52.52,154.0,0.0,154.0,279.57,0.79,285.0,997.13,
2011,1,3,13,17.39,48.65,213.0,3.42,211.0,281.7,0.39,294.0,996.31,
2011,1,3,14,16.73,48.85,206.0,9.54,201.0,281.12,0.6,316.0,996.21,
2011,1,3,15,16.07,49.06,307.0,262.88,198.0,280.53,0.81,338.0,996.12,
2011,1,3,16,15.42,49.26,148.0,110.04,119.0,279.95,1.02,0.0,996.02,
2011,1,3,17,12.89,58.14,42.0,185.22,27.0,276.27,1.26,31.0,996.67,
2011,1,3,18,10.36,67.01,0.0,0.0,0.0,272.58,1.51,62.0,997.33,
