Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1670,La Victoria,PRY,Paraguay,-22.2896097628,-57.9399882422,-4,78.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,26.66,73.41,0.0,0.0,0.0,420.57,3.38,102.0,1000.4,
2005,1,1,1,26.71,72.7,0.0,0.0,0.0,418.58,3.53,96.0,1000.1,
2005,1,1,2,26.76,71.98,0.0,0.0,0.0,416.58,3.67,92.0,1000.13,
2005,1,1,3,26.82,71.27,0.0,0.0,0.0,414.59,3.81,87.0,1000.17,
2005,1,1,4,26.17,79.19,0.0,0.0,0.0,413.85,2.52,83.0,1000.2,
2005,1,1,5,27.44,75.16,0.0,0.0,0.0,416.52,2.51,72.0,1000.46,
2005,1,1,6,28.72,71.13,4.0,0.0,4.0,419.18,2.49,61.0,1000.73,
2005,1,1,7,30.0,67.1,175.0,95.25,137.0,421.85,2.47,50.0,1000.99,
2005,1,1,8,30.5,66.87,365.0,201.31,244.0,430.53,2.23,43.0,1000.73,
2005,1,1,9,31.0,66.64,502.0,198.1,349.0,439.22,1.99,35.0,1000.46,
2005,1,1,10,31.5,66.41,873.0,763.55,185.0,447.9,1.75,27.0,1000.2,
2005,1,1,11,30.87,68.75,1037.0,946.36,111.0,447.98,1.43,28.0,999.6,
2005,1,1,12,30.24,71.1,1053.0,861.57,192.0,448.07,1.11,28.0,999.01,
2005,1,1,13,29.61,73.44,1050.0,915.62,169.0,448.15,0.79,28.0,998.42,
2005,1,1,14,28.98,75.95,805.0,479.55,388.0,444.33,0.87,60.0,998.18,
2005,1,1,15,28.34,78.45,239.0,0.0,239.0,440.52,0.96,92.0,997.95,
2005,1,1,16,27.71,80.96,209.0,1.83,208.0,436.7,1.05,124.0,997.72,
2005,1,1,17,27.19,84.22,36.0,0.0,36.0,434.98,1.17,119.0,998.35,
2005,1,1,18,26.66,87.49,15.0,0.0,15.0,433.27,1.3,114.0,998.98,
2005,1,1,19,26.14,90.75,0.0,0.0,0.0,431.55,1.42,110.0,999.6,
2005,1,1,20,26.28,86.52,0.0,0.0,0.0,427.97,1.66,95.0,999.94,
2005,1,1,21,26.42,82.28,0.0,0.0,0.0,424.38,1.9,81.0,1000.27,
2005,1,1,22,26.56,78.05,0.0,0.0,0.0,420.8,2.14,67.0,1000.6,
2005,1,1,23,26.32,78.59,0.0,0.0,0.0,419.2,2.12,61.0,1000.33,
2005,1,2,0,26.09,79.13,0.0,0.0,0.0,417.6,2.11,54.0,1000.07,
2005,1,2,1,25.85,79.67,0.0,0.0,0.0,416.0,2.1,48.0,999.8,
2005,1,2,2,25.7,80.42,0.0,0.0,0.0,414.93,2.24,42.0,999.7,
2005,1,2,3,25.56,81.18,0.0,0.0,0.0,413.87,2.38,37.0,999.6,
2005,1,2,4,25.42,81.93,0.0,0.0,0.0,412.8,2.52,31.0,999.51,
2005,1,2,5,26.1,82.49,0.0,0.0,0.0,415.22,2.88,27.0,1000.07,
2005,1,2,6,26.78,83.06,44.0,95.73,27.0,417.63,3.24,23.0,1000.63,
2005,1,2,7,27.46,83.62,131.0,25.19,121.0,420.05,3.6,18.0,1001.19,
2005,1,2,8,27.67,81.36,244.0,31.7,225.0,426.03,3.15,10.0,1001.22,
2005,1,2,9,27.89,79.09,325.0,22.05,308.0,432.02,2.71,1.0,1001.26,
2005,1,2,10,28.11,76.83,602.0,185.51,435.0,438.0,2.26,352.0,1001.29,
2005,1,2,11,27.86,78.2,652.0,159.49,496.0,439.33,1.96,346.0,1000.69,
2005,1,2,12,27.61,79.56,783.0,284.17,499.0,440.67,1.66,339.0,1000.1,
2005,1,2,13,27.36,80.93,696.0,189.06,514.0,442.0,1.35,333.0,999.51,
2005,1,2,14,27.09,81.34,757.0,379.14,427.0,440.25,1.19,2.0,999.18,
2005,1,2,15,26.81,81.76,547.0,194.82,405.0,438.5,1.02,31.0,998.85,
2005,1,2,16,26.54,82.17,57.0,0.0,57.0,436.75,0.86,60.0,998.51,
2005,1,2,17,26.23,84.88,36.0,0.0,36.0,435.42,0.94,64.0,999.34,
2005,1,2,18,25.91,87.58,15.0,0.0,15.0,434.08,1.03,68.0,1000.17,
2005,1,2,19,25.6,90.29,0.0,0.0,0.0,432.75,1.12,71.0,1000.99,
2005,1,2,20,24.99,91.23,0.0,0.0,0.0,429.0,1.43,81.0,1000.83,
2005,1,2,21,24.39,92.18,0.0,0.0,0.0,425.25,1.73,90.0,1000.66,
