Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,798,Inowroclaw,POL,Poland,52.7799424429,18.2499865302,1,85.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,2.13,90.85,0.0,0.0,0.0,300.41,5.92,248.0,1002.93,
2007,1,1,1,2.86,89.75,0.0,0.0,0.0,300.43,6.34,229.0,1006.89,
2007,1,1,2,3.59,88.66,0.0,0.0,0.0,300.45,6.77,221.0,1005.31,
2007,1,1,3,4.33,87.57,0.0,0.0,0.0,300.47,7.2,214.0,1003.72,
2007,1,1,4,5.06,86.47,0.0,0.0,0.0,300.49,7.62,213.0,1001.78,
2007,1,1,5,5.79,85.38,0.0,0.0,0.0,300.51,8.05,212.0,999.83,
2007,1,1,6,6.52,84.28,0.0,0.0,0.0,300.53,8.48,211.0,997.88,
2007,1,1,7,7.25,83.19,0.0,0.0,0.0,300.55,8.9,220.0,996.66,
2007,1,1,8,7.99,82.09,0.0,0.0,0.0,300.57,9.33,230.0,995.44,
2007,1,1,9,8.77,95.65,45.0,34.42,41.0,339.05,9.12,239.0,994.22,
2007,1,1,10,8.81,93.51,15.0,0.0,15.0,338.43,9.36,247.0,993.96,
2007,1,1,11,8.84,91.37,101.0,25.28,95.0,337.82,9.6,255.0,993.69,
2007,1,1,12,8.87,89.23,197.0,444.0,89.0,337.2,9.85,263.0,993.43,
2007,1,1,13,8.33,88.77,123.0,132.45,95.0,325.12,9.29,262.0,993.69,
2007,1,1,14,7.78,88.32,33.0,0.0,33.0,313.03,8.73,261.0,993.96,
2007,1,1,15,7.23,87.86,14.0,22.0,13.0,300.95,8.17,259.0,994.22,
2007,1,1,16,6.66,87.31,0.0,0.0,0.0,291.68,7.97,258.0,994.39,
2007,1,1,17,6.1,86.75,0.0,0.0,0.0,282.42,7.78,256.0,994.55,
2007,1,1,18,5.53,86.2,0.0,0.0,0.0,273.15,7.59,254.0,994.72,
2007,1,1,19,5.22,86.53,0.0,0.0,0.0,276.52,7.76,255.0,994.75,
2007,1,1,20,4.9,86.85,0.0,0.0,0.0,279.88,7.94,256.0,994.78,
2007,1,1,21,4.58,87.18,0.0,0.0,0.0,283.25,8.11,257.0,994.81,
2007,1,1,22,4.49,85.54,0.0,0.0,0.0,292.22,8.58,261.0,995.18,
2007,1,1,23,4.39,83.91,0.0,0.0,0.0,301.18,9.05,265.0,995.54,
2007,1,2,0,4.3,82.27,0.0,0.0,0.0,310.15,9.52,269.0,995.9,
2007,1,2,1,4.34,80.35,0.0,0.0,0.0,305.5,9.48,269.0,996.37,
2007,1,2,2,4.39,78.43,0.0,0.0,0.0,300.85,9.43,269.0,996.83,
2007,1,2,3,4.44,76.51,0.0,0.0,0.0,296.2,9.39,268.0,997.29,
2007,1,2,4,4.2,76.13,0.0,0.0,0.0,290.3,9.1,267.0,997.42,
2007,1,2,5,3.95,75.74,0.0,0.0,0.0,284.4,8.81,266.0,997.55,
2007,1,2,6,3.7,75.36,0.0,0.0,0.0,278.5,8.52,265.0,997.69,
2007,1,2,7,3.57,75.39,0.0,0.0,0.0,273.4,8.11,263.0,998.08,
2007,1,2,8,3.44,75.42,0.0,0.0,0.0,268.3,7.7,261.0,998.48,
2007,1,2,9,3.31,75.45,87.0,444.9,35.0,263.2,7.28,259.0,998.87,
2007,1,2,10,3.6,74.96,71.0,10.26,69.0,255.8,7.13,256.0,998.74,
