Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4489,Doha,QAT,Qatar,25.2865560089,51.5329678943,3,13.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,11.11,75.39,0.0,0.0,0.0,299.27,6.5,306.0,1020.19,
2010,1,1,1,12.08,75.34,0.0,0.0,0.0,305.84,6.27,304.0,1020.26,
2010,1,1,2,13.06,75.28,0.0,0.0,0.0,312.41,6.05,303.0,1020.33,
2010,1,1,3,14.03,75.22,0.0,0.0,0.0,318.97,5.82,3.0,1011.91,
2010,1,1,4,15.0,75.17,0.0,0.0,0.0,325.54,5.6,349.0,1012.27,
2010,1,1,5,15.97,75.11,0.0,0.0,0.0,332.1,5.38,336.0,1012.64,
2010,1,1,6,16.94,75.06,0.0,0.0,0.0,338.67,5.15,340.0,1013.2,
2010,1,1,7,17.91,75.0,57.0,298.19,31.0,345.24,4.93,345.0,1013.77,
2010,1,1,8,18.89,74.95,265.0,634.6,85.0,351.8,4.7,350.0,1014.34,
2010,1,1,9,19.86,74.89,466.0,801.09,106.0,358.37,4.48,343.0,1013.97,
2010,1,1,10,20.83,74.83,623.0,889.85,113.0,364.93,4.26,336.0,1013.6,
2010,1,1,11,21.72,72.24,557.0,380.55,311.0,338.7,7.12,330.0,1013.24,
2010,1,1,12,21.46,71.71,586.0,413.96,311.0,337.83,7.75,330.0,1012.84,
2010,1,1,13,21.2,71.18,649.0,741.77,185.0,336.97,8.38,330.0,1012.44,
2010,1,1,14,20.93,70.65,511.0,591.27,196.0,336.1,9.01,330.0,1012.04,
2010,1,1,15,20.17,69.0,359.0,542.98,146.0,333.87,8.85,329.0,1012.67,
2010,1,1,16,19.41,67.35,172.0,425.82,81.0,331.63,8.69,329.0,1013.3,
2010,1,1,17,18.65,65.7,0.0,0.0,0.0,329.4,8.54,328.0,1013.94,
2010,1,1,18,18.13,66.4,0.0,0.0,0.0,327.32,8.41,327.0,1014.47,
2010,1,1,19,17.61,67.09,0.0,0.0,0.0,325.23,8.28,326.0,1015.0,
2010,1,1,20,17.09,67.79,0.0,0.0,0.0,323.15,8.15,325.0,1015.53,
2010,1,1,21,16.67,68.34,0.0,0.0,0.0,322.02,8.26,324.0,1015.37,
2010,1,1,22,16.25,68.89,0.0,0.0,0.0,320.88,8.37,322.0,1015.2,
2010,1,1,23,15.84,69.44,0.0,0.0,0.0,319.75,8.48,321.0,1015.03,
2010,1,2,0,15.61,69.31,0.0,0.0,0.0,320.6,8.46,320.0,1014.97,
2010,1,2,1,15.38,69.18,0.0,0.0,0.0,321.45,8.44,318.0,1014.9,
2010,1,2,2,15.15,69.05,0.0,0.0,0.0,322.3,8.41,317.0,1014.83,
2010,1,2,3,14.74,70.37,0.0,0.0,0.0,316.65,8.23,316.0,1015.23,
2010,1,2,4,14.33,71.69,0.0,0.0,0.0,311.0,8.05,314.0,1015.63,
2010,1,2,5,13.93,73.01,0.0,0.0,0.0,305.35,7.86,312.0,1016.03,
2010,1,2,6,14.86,72.22,0.0,0.0,0.0,308.15,7.73,313.0,1016.7,
2010,1,2,7,15.79,71.43,54.0,254.64,32.0,310.95,7.6,314.0,1017.36,
2010,1,2,8,16.73,70.64,243.0,473.24,109.0,313.75,7.48,315.0,1018.03,
2010,1,2,9,17.69,68.31,430.0,607.64,157.0,312.52,7.47,316.0,1017.7,
2010,1,2,10,18.66,65.98,593.0,744.62,166.0,311.28,7.47,317.0,1017.36,
2010,1,2,11,19.62,63.65,672.0,738.57,194.0,310.05,7.46,318.0,1017.03,
2010,1,2,12,19.66,62.67,702.0,775.35,186.0,308.27,7.61,320.0,1016.9,
2010,1,2,13,19.7,61.69,492.0,271.08,322.0,306.48,7.76,321.0,1016.76,
2010,1,2,14,19.75,60.71,449.0,368.46,252.0,304.7,7.9,322.0,1016.63,
2010,1,2,15,18.9,62.81,310.0,319.45,184.0,305.3,7.64,323.0,1017.2,
2010,1,2,16,18.06,64.91,175.0,439.86,80.0,305.9,7.37,324.0,1017.76,
2010,1,2,17,17.22,67.01,0.0,0.0,0.0,306.5,7.1,325.0,1018.33,
2010,1,2,18,16.67,67.62,0.0,0.0,0.0,308.13,6.59,325.0,1018.56,
2010,1,2,19,16.13,68.24,0.0,0.0,0.0,309.77,6.08,325.0,1018.79,
