Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1987,Aleysk,RUS,Russia,52.4917688183,82.7776757395,7,177.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,-30.56,80.41,0.0,0.0,0.0,186.99,2.43,352.0,1022.86,
2009,1,1,1,-29.07,79.37,0.0,0.0,0.0,185.8,2.53,354.0,1023.22,
2009,1,1,2,-27.58,78.32,0.0,0.0,0.0,184.61,2.62,357.0,1023.58,
2009,1,1,3,-26.09,77.28,0.0,0.0,0.0,183.42,2.71,359.0,1023.94,
2009,1,1,4,-24.6,76.24,0.0,0.0,0.0,182.22,2.8,357.0,1024.43,
2009,1,1,5,-23.1,75.2,0.0,0.0,0.0,181.03,2.89,354.0,1024.92,
2009,1,1,6,-21.61,74.15,0.0,0.0,0.0,179.84,2.98,352.0,1025.41,
2009,1,1,7,-20.12,73.11,0.0,0.0,0.0,178.64,3.07,197.0,1011.02,
2009,1,1,8,-18.63,72.07,0.0,0.0,0.0,177.45,3.16,196.0,1011.41,
2009,1,1,9,-17.14,71.03,0.0,0.0,0.0,176.26,3.25,195.0,1011.8,
2009,1,1,10,-15.64,69.98,0.0,0.0,0.0,175.07,3.35,196.0,1011.67,
2009,1,1,11,-14.15,68.94,42.0,16.66,40.0,173.87,3.44,198.0,1011.54,
2009,1,1,12,-12.66,67.9,48.0,0.0,48.0,172.68,3.53,199.0,1011.41,
2009,1,1,13,-11.17,66.85,50.0,0.0,50.0,171.49,3.62,200.0,1011.18,
2009,1,1,14,-9.68,65.81,106.0,24.18,100.0,170.29,3.71,201.0,1010.95,
2009,1,1,15,-11.61,65.64,17.0,0.0,17.0,172.2,3.21,202.0,1010.72,
2009,1,1,16,-12.38,66.81,45.0,6.74,44.0,172.35,3.08,199.0,1011.02,
2009,1,1,17,-13.16,67.97,2.0,0.0,2.0,172.5,2.95,196.0,1011.31,
2009,1,1,18,-13.94,69.14,0.0,0.0,0.0,172.65,2.81,192.0,1011.6,
2009,1,1,19,-13.95,69.67,0.0,0.0,0.0,172.83,2.82,191.0,1011.86,
2009,1,1,20,-13.96,70.19,0.0,0.0,0.0,173.02,2.83,190.0,1012.13,
2009,1,1,21,-13.97,70.72,0.0,0.0,0.0,173.2,2.84,189.0,1012.39,
2009,1,1,22,-14.32,71.62,0.0,0.0,0.0,173.43,2.73,187.0,1012.42,
2009,1,1,23,-14.67,72.51,0.0,0.0,0.0,173.67,2.61,184.0,1012.45,
2009,1,2,0,-15.02,73.41,0.0,0.0,0.0,173.9,2.5,182.0,1012.48,
2009,1,2,1,-15.51,74.38,0.0,0.0,0.0,174.27,2.4,178.0,1012.29,
2009,1,2,2,-16.0,75.36,0.0,0.0,0.0,174.63,2.29,173.0,1012.09,
2009,1,2,3,-16.48,76.33,0.0,0.0,0.0,175.0,2.19,169.0,1011.9,
2009,1,2,4,-17.35,77.58,0.0,0.0,0.0,174.68,2.17,165.0,1011.77,
2009,1,2,5,-18.21,78.82,0.0,0.0,0.0,174.37,2.16,161.0,1011.64,
2009,1,2,6,-19.07,80.07,0.0,0.0,0.0,174.05,2.14,157.0,1011.51,
2009,1,2,7,-19.71,80.44,0.0,0.0,0.0,173.38,2.25,154.0,1011.7,
2009,1,2,8,-20.35,80.82,0.0,0.0,0.0,172.72,2.37,152.0,1011.9,
2009,1,2,9,-20.99,81.19,0.0,0.0,0.0,172.05,2.48,149.0,1012.09,
2009,1,2,10,-19.57,77.83,0.0,0.0,0.0,173.03,2.25,146.0,1011.57,
2009,1,2,11,-18.15,74.47,69.0,149.13,51.0,174.02,2.01,144.0,1011.05,
2009,1,2,12,-16.73,71.11,72.0,10.03,70.0,175.0,1.78,142.0,1010.53,
2009,1,2,13,-16.4,71.11,117.0,45.21,106.0,174.58,1.81,138.0,1009.74,
2009,1,2,14,-16.06,71.11,116.0,36.05,107.0,174.17,1.83,134.0,1008.96,
2009,1,2,15,-15.73,71.11,62.0,0.0,62.0,173.75,1.86,130.0,1008.18,
2009,1,2,16,-17.0,72.62,14.0,0.0,14.0,175.07,2.05,131.0,1007.78,
2009,1,2,17,-18.27,74.14,3.0,0.0,3.0,176.38,2.24,132.0,1007.39,
2009,1,2,18,-19.54,75.65,0.0,0.0,0.0,177.7,2.43,133.0,1007.0,
2009,1,2,19,-20.26,76.93,0.0,0.0,0.0,178.4,2.46,135.0,1006.74,
2009,1,2,20,-20.98,78.22,0.0,0.0,0.0,179.1,2.48,137.0,1006.48,
2009,1,2,21,-21.7,79.5,0.0,0.0,0.0,179.8,2.51,140.0,1006.22,
2009,1,2,22,-21.83,78.81,0.0,0.0,0.0,180.98,2.51,140.0,1005.73,
2009,1,2,23,-21.97,78.13,0.0,0.0,0.0,182.17,2.52,140.0,1005.24,
2009,1,3,0,-22.1,77.44,0.0,0.0,0.0,183.35,2.52,140.0,1004.75,
2009,1,3,1,-22.19,76.96,0.0,0.0,0.0,183.88,2.57,141.0,1004.26,
2009,1,3,2,-22.28,76.48,0.0,0.0,0.0,184.42,2.62,142.0,1003.77,
2009,1,3,3,-22.37,76.0,0.0,0.0,0.0,184.95,2.66,143.0,1003.28,
2009,1,3,4,-22.49,75.13,0.0,0.0,0.0,185.23,2.72,143.0,1002.6,
2009,1,3,5,-22.61,74.27,0.0,0.0,0.0,185.52,2.77,144.0,1001.91,
2009,1,3,6,-22.73,73.4,0.0,0.0,0.0,185.8,2.83,145.0,1001.22,
2009,1,3,7,-23.15,73.66,0.0,0.0,0.0,185.57,2.84,145.0,1001.29,
2009,1,3,8,-23.57,73.91,0.0,0.0,0.0,185.33,2.85,145.0,1001.35,
2009,1,3,9,-23.99,74.17,0.0,0.0,0.0,185.1,2.86,145.0,1001.42,
2009,1,3,10,-21.68,69.73,0.0,0.0,0.0,185.87,2.74,146.0,1000.96,
2009,1,3,11,-19.37,65.3,70.0,164.62,50.0,186.63,2.62,146.0,1000.51,
2009,1,3,12,-17.05,60.86,74.0,9.98,72.0,187.4,2.5,147.0,1000.05,
2009,1,3,13,-16.14,60.28,123.0,57.21,109.0,185.82,2.55,147.0,999.59,
2009,1,3,14,-15.24,59.69,123.0,47.74,111.0,184.23,2.61,147.0,999.14,
2009,1,3,15,-14.33,59.11,77.0,4.55,76.0,182.65,2.66,147.0,998.68,
2009,1,3,16,-14.77,59.85,18.0,0.0,18.0,182.82,2.85,149.0,998.35,
2009,1,3,17,-15.21,60.59,3.0,0.0,3.0,182.98,3.03,151.0,998.03,
2009,1,3,18,-15.65,61.33,0.0,0.0,0.0,183.15,3.21,153.0,997.7,
2009,1,3,19,-16.02,63.15,0.0,0.0,0.0,182.65,3.24,155.0,997.89,
2009,1,3,20,-16.39,64.97,0.0,0.0,0.0,182.15,3.26,157.0,998.09,
2009,1,3,21,-16.77,66.79,0.0,0.0,0.0,181.65,3.28,159.0,998.29,
2009,1,3,22,-15.88,65.32,0.0,0.0,0.0,181.7,3.42,167.0,998.48,
2009,1,3,23,-14.98,63.85,0.0,0.0,0.0,181.75,3.55,175.0,998.68,
2009,1,4,0,-14.09,62.38,0.0,0.0,0.0,181.8,3.68,183.0,998.87,
2009,1,4,1,-13.03,63.11,0.0,0.0,0.0,188.72,4.08,190.0,999.43,
2009,1,4,2,-11.96,63.83,0.0,0.0,0.0,195.63,4.47,196.0,999.98,
2009,1,4,3,-10.89,64.56,0.0,0.0,0.0,202.55,4.87,202.0,1000.54,
2009,1,4,4,-10.68,69.0,0.0,0.0,0.0,218.28,5.07,207.0,1001.55,
2009,1,4,5,-10.46,73.45,0.0,0.0,0.0,234.02,5.26,211.0,1002.56,
2009,1,4,6,-10.24,77.89,0.0,0.0,0.0,249.75,5.46,216.0,1003.57,
2009,1,4,7,-10.42,78.06,0.0,0.0,0.0,251.85,5.12,216.0,1005.27,
2009,1,4,8,-10.61,78.24,0.0,0.0,0.0,253.95,4.78,216.0,1006.97,
2009,1,4,9,-10.79,78.41,0.0,0.0,0.0,256.05,4.44,216.0,1008.67,
2009,1,4,10,-10.77,78.0,0.0,0.0,0.0,248.88,4.33,217.0,1009.35,
2009,1,4,11,-10.75,77.58,72.0,179.73,50.0,241.72,4.22,218.0,1010.04,
2009,1,4,12,-10.73,77.17,88.0,29.76,82.0,234.55,4.11,219.0,1010.72,
2009,1,4,13,-10.85,76.8,150.0,134.03,117.0,229.13,3.75,219.0,1011.18,
2009,1,4,14,-10.97,76.44,201.0,375.29,106.0,223.72,3.38,220.0,1011.64,
2009,1,4,15,-11.09,76.07,145.0,193.76,102.0,218.3,3.02,220.0,1012.09,
2009,1,4,16,-11.82,77.78,11.0,0.0,11.0,213.13,2.72,214.0,1012.62,
2009,1,4,17,-12.56,79.49,3.0,0.0,3.0,207.97,2.41,207.0,1013.14,
2009,1,4,18,-13.3,81.2,0.0,0.0,0.0,202.8,2.11,201.0,1013.66,
2009,1,4,19,-13.75,82.22,0.0,0.0,0.0,201.88,2.01,183.0,1014.25,
2009,1,4,20,-14.19,83.25,0.0,0.0,0.0,200.97,1.91,165.0,1014.83,
2009,1,4,21,-14.64,84.27,0.0,0.0,0.0,200.05,1.81,147.0,1015.42,
2009,1,4,22,-14.95,84.99,0.0,0.0,0.0,200.38,1.82,144.0,1015.06,
