Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,803,Kizel,RUS,Russia,59.0643650504,57.6343009021,6,355.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,-29.97,77.5,0.0,0.0,0.0,170.32,1.87,42.0,999.87,
2009,1,1,1,-27.88,78.12,0.0,0.0,0.0,179.37,2.29,42.0,1000.1,
2009,1,1,2,-25.8,78.73,0.0,0.0,0.0,188.41,2.7,42.0,1000.32,
2009,1,1,3,-23.71,79.34,0.0,0.0,0.0,197.46,3.12,39.0,1000.42,
2009,1,1,4,-21.62,79.96,0.0,0.0,0.0,206.5,3.53,35.0,1000.51,
2009,1,1,5,-19.53,80.57,0.0,0.0,0.0,215.55,3.95,31.0,1000.61,
2009,1,1,6,-17.44,81.18,0.0,0.0,0.0,224.59,4.36,228.0,966.58,
2009,1,1,7,-15.35,81.8,0.0,0.0,0.0,233.64,4.78,226.0,966.2,
2009,1,1,8,-13.27,82.41,0.0,0.0,0.0,242.68,5.19,223.0,965.81,
2009,1,1,9,-11.18,83.02,0.0,0.0,0.0,251.73,5.61,222.0,965.46,
2009,1,1,10,-9.09,83.64,0.0,0.0,0.0,260.77,6.03,220.0,965.11,
2009,1,1,11,-7.0,84.25,0.0,0.0,0.0,269.81,6.44,219.0,964.76,
2009,1,1,12,-4.91,84.86,3.0,0.0,3.0,278.86,6.86,218.0,964.41,
2009,1,1,13,-2.82,85.48,8.0,0.0,8.0,287.9,7.27,216.0,964.05,
2009,1,1,14,-8.29,82.02,10.0,0.0,10.0,259.95,7.08,215.0,963.7,
2009,1,1,15,-8.58,81.92,9.0,0.0,9.0,258.88,6.85,214.0,963.48,
2009,1,1,16,-8.87,81.82,6.0,0.0,6.0,257.82,6.62,213.0,963.26,
2009,1,1,17,-9.16,81.72,0.0,0.0,0.0,256.75,6.39,212.0,963.03,
2009,1,1,18,-9.23,81.34,0.0,0.0,0.0,254.65,6.42,211.0,962.71,
2009,1,1,19,-9.3,80.97,0.0,0.0,0.0,252.55,6.45,210.0,962.39,
2009,1,1,20,-9.37,80.59,0.0,0.0,0.0,250.45,6.48,209.0,962.07,
2009,1,1,21,-9.55,80.41,0.0,0.0,0.0,251.4,6.54,208.0,961.72,
2009,1,1,22,-9.73,80.22,0.0,0.0,0.0,252.35,6.59,206.0,961.37,
2009,1,1,23,-9.92,80.04,0.0,0.0,0.0,253.3,6.65,204.0,961.02,
2009,1,2,0,-10.15,79.85,0.0,0.0,0.0,251.27,6.62,204.0,960.54,
2009,1,2,1,-10.39,79.66,0.0,0.0,0.0,249.23,6.58,203.0,960.06,
2009,1,2,2,-10.62,79.47,0.0,0.0,0.0,247.2,6.55,203.0,959.58,
2009,1,2,3,-10.63,79.37,0.0,0.0,0.0,246.93,6.46,202.0,959.1,
2009,1,2,4,-10.63,79.26,0.0,0.0,0.0,246.67,6.37,201.0,958.62,
2009,1,2,5,-10.64,79.16,0.0,0.0,0.0,246.4,6.28,200.0,958.14,
2009,1,2,6,-10.71,79.2,0.0,0.0,0.0,250.68,6.19,199.0,957.41,
2009,1,2,7,-10.77,79.25,0.0,0.0,0.0,254.97,6.1,198.0,956.67,
2009,1,2,8,-10.84,79.29,0.0,0.0,0.0,259.25,6.01,197.0,955.94,
2009,1,2,9,-10.97,79.44,0.0,0.0,0.0,258.85,5.96,198.0,955.75,
2009,1,2,10,-11.1,79.6,0.0,0.0,0.0,258.45,5.91,198.0,955.55,
2009,1,2,11,-11.23,79.75,0.0,0.0,0.0,258.05,5.86,199.0,955.36,
2009,1,2,12,-11.29,80.0,6.0,0.0,6.0,256.78,5.96,201.0,955.11,
2009,1,2,13,-11.35,80.25,23.0,0.0,23.0,255.52,6.06,203.0,954.85,
2009,1,2,14,-11.41,80.5,39.0,0.0,39.0,254.25,6.17,205.0,954.6,
2009,1,2,15,-11.34,80.58,10.0,0.0,10.0,253.08,5.82,207.0,954.72,
2009,1,2,16,-11.26,80.67,31.0,10.55,30.0,251.92,5.47,208.0,954.85,
2009,1,2,17,-11.19,80.75,0.0,0.0,0.0,250.75,5.12,210.0,954.98,
2009,1,2,18,-11.23,81.58,0.0,0.0,0.0,246.3,4.98,211.0,955.3,
2009,1,2,19,-11.27,82.4,0.0,0.0,0.0,241.85,4.84,212.0,955.62,
2009,1,2,20,-11.31,83.23,0.0,0.0,0.0,237.4,4.7,213.0,955.94,
2009,1,2,21,-11.24,84.09,0.0,0.0,0.0,238.62,4.51,215.0,956.23,
2009,1,2,22,-11.17,84.94,0.0,0.0,0.0,239.83,4.33,216.0,956.51,
2009,1,2,23,-11.11,85.8,0.0,0.0,0.0,241.05,4.14,217.0,956.8,
2009,1,3,0,-11.26,86.55,0.0,0.0,0.0,240.92,3.94,218.0,957.02,
2009,1,3,1,-11.42,87.31,0.0,0.0,0.0,240.78,3.73,218.0,957.25,
2009,1,3,2,-11.58,88.06,0.0,0.0,0.0,240.65,3.53,219.0,957.47,
2009,1,3,3,-11.46,88.4,0.0,0.0,0.0,242.05,3.4,219.0,957.63,
2009,1,3,4,-11.33,88.75,0.0,0.0,0.0,243.45,3.26,220.0,957.79,
2009,1,3,5,-11.21,89.09,0.0,0.0,0.0,244.85,3.13,220.0,957.95,
2009,1,3,6,-11.57,88.99,0.0,0.0,0.0,243.22,2.85,222.0,958.01,
2009,1,3,7,-11.94,88.89,0.0,0.0,0.0,241.58,2.56,223.0,958.08,
2009,1,3,8,-12.3,88.79,0.0,0.0,0.0,239.95,2.28,225.0,958.14,
2009,1,3,9,-12.23,88.86,0.0,0.0,0.0,240.35,2.31,227.0,958.21,
