Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4061,Kostroma,RUS,Russia,57.7700254508,40.9400227445,4,111.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,-5.49,90.82,0.0,0.0,0.0,243.79,2.74,205.0,1022.44,
2014,1,1,1,-5.07,90.6,0.0,0.0,0.0,247.12,2.78,206.0,1022.83,
2014,1,1,2,-4.66,90.37,0.0,0.0,0.0,250.45,2.82,206.0,1023.23,
2014,1,1,3,-4.24,90.15,0.0,0.0,0.0,253.77,2.85,207.0,1023.62,
2014,1,1,4,-3.83,89.93,0.0,0.0,0.0,257.1,2.89,262.0,1011.48,
2014,1,1,5,-3.41,89.71,0.0,0.0,0.0,260.43,2.93,256.0,1011.39,
2014,1,1,6,-2.99,89.49,0.0,0.0,0.0,263.75,2.97,251.0,1011.29,
2014,1,1,7,-2.58,89.26,0.0,0.0,0.0,267.08,3.0,250.0,1011.29,
2014,1,1,8,-2.16,89.04,0.0,0.0,0.0,270.41,3.04,250.0,1011.29,
2014,1,1,9,-1.75,88.82,0.0,0.0,0.0,273.73,3.08,250.0,1011.29,
2014,1,1,10,-1.33,88.6,0.0,0.0,0.0,277.06,3.11,252.0,1011.25,
2014,1,1,11,-0.92,88.37,4.0,0.0,4.0,280.39,3.15,254.0,1011.22,
2014,1,1,12,-1.79,86.43,9.0,0.0,9.0,245.2,3.81,256.0,1011.19,
2014,1,1,13,-1.88,86.63,141.0,725.97,27.0,242.3,3.64,258.0,1011.09,
2014,1,1,14,-1.97,86.83,70.0,45.18,63.0,239.4,3.48,259.0,1010.99,
2014,1,1,15,-2.06,87.03,14.0,0.0,14.0,236.5,3.31,260.0,1010.89,
2014,1,1,16,-2.1,87.26,16.0,18.57,15.0,240.2,3.37,260.0,1010.89,
2014,1,1,17,-2.15,87.48,0.0,0.0,0.0,243.9,3.43,260.0,1010.89,
2014,1,1,18,-2.2,87.71,0.0,0.0,0.0,247.6,3.49,260.0,1010.89,
2014,1,1,19,-2.41,87.72,0.0,0.0,0.0,248.5,3.68,260.0,1010.99,
2014,1,1,20,-2.63,87.74,0.0,0.0,0.0,249.4,3.88,261.0,1011.09,
