Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1941,Kotelnich,RUS,Russia,58.3041272167,48.3137328682,4,135.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,-4.45,87.41,0.0,0.0,0.0,290.53,4.76,251.0,996.79,
2009,1,1,1,-4.47,87.23,0.0,0.0,0.0,290.26,5.1,244.0,995.74,
2009,1,1,2,-4.5,87.06,0.0,0.0,0.0,289.99,5.45,238.0,994.69,
2009,1,1,3,-4.52,86.88,0.0,0.0,0.0,289.71,5.79,231.0,993.64,
2009,1,1,4,-4.54,86.71,0.0,0.0,0.0,289.44,6.14,220.0,989.48,
2009,1,1,5,-4.57,86.53,0.0,0.0,0.0,289.17,6.48,220.0,988.76,
2009,1,1,6,-4.59,86.35,0.0,0.0,0.0,288.89,6.83,219.0,988.03,
2009,1,1,7,-4.61,86.18,0.0,0.0,0.0,288.62,7.17,218.0,987.25,
2009,1,1,8,-4.64,86.0,0.0,0.0,0.0,288.35,7.51,217.0,986.46,
2009,1,1,9,-4.66,85.82,0.0,0.0,0.0,288.07,7.86,216.0,985.67,
2009,1,1,10,-4.68,85.65,0.0,0.0,0.0,287.8,8.2,215.0,984.92,
2009,1,1,11,-4.71,85.47,6.0,0.0,6.0,287.53,8.55,214.0,984.16,
2009,1,1,12,-4.26,84.43,10.0,0.0,10.0,288.05,8.03,214.0,983.41,
2009,1,1,13,-4.35,84.16,15.0,0.0,15.0,286.8,7.97,213.0,982.72,
2009,1,1,14,-4.44,83.89,9.0,0.0,9.0,285.55,7.91,213.0,982.03,
2009,1,1,15,-4.53,83.62,5.0,0.0,5.0,284.3,7.85,213.0,981.34,
2009,1,1,16,-4.82,84.01,0.0,0.0,0.0,283.55,7.77,211.0,980.72,
2009,1,1,17,-5.1,84.41,0.0,0.0,0.0,282.8,7.68,210.0,980.1,
2009,1,1,18,-5.38,84.8,0.0,0.0,0.0,282.05,7.6,209.0,979.47,
2009,1,1,19,-5.52,85.54,0.0,0.0,0.0,281.67,7.47,210.0,978.88,
2009,1,1,20,-5.65,86.27,0.0,0.0,0.0,281.28,7.33,211.0,978.29,
2009,1,1,21,-5.79,87.01,0.0,0.0,0.0,280.9,7.2,213.0,977.7,
2009,1,1,22,-6.07,86.59,0.0,0.0,0.0,280.92,6.91,217.0,977.41,
2009,1,1,23,-6.35,86.17,0.0,0.0,0.0,280.93,6.62,221.0,977.11,
2009,1,2,0,-6.63,85.75,0.0,0.0,0.0,280.95,6.33,225.0,976.82,
2009,1,2,1,-6.95,84.54,0.0,0.0,0.0,279.18,6.12,231.0,976.75,
2009,1,2,2,-7.26,83.34,0.0,0.0,0.0,277.42,5.92,237.0,976.68,
2009,1,2,3,-7.58,82.13,0.0,0.0,0.0,275.65,5.71,243.0,976.62,
2009,1,2,4,-8.12,82.25,0.0,0.0,0.0,271.87,5.61,248.0,976.65,
2009,1,2,5,-8.66,82.38,0.0,0.0,0.0,268.08,5.52,253.0,976.68,
2009,1,2,6,-9.21,82.5,0.0,0.0,0.0,264.3,5.42,257.0,976.72,
2009,1,2,7,-9.29,83.03,0.0,0.0,0.0,262.87,5.31,259.0,977.11,
2009,1,2,8,-9.38,83.56,0.0,0.0,0.0,261.43,5.19,261.0,977.5,
2009,1,2,9,-9.46,84.09,0.0,0.0,0.0,260.0,5.08,262.0,977.9,
2009,1,2,10,-9.19,83.16,0.0,0.0,0.0,256.55,5.09,266.0,978.32,
2009,1,2,11,-8.92,82.22,32.0,22.05,30.0,253.1,5.1,269.0,978.75,
2009,1,2,12,-8.65,81.29,31.0,0.0,31.0,249.65,5.12,272.0,979.18,
2009,1,2,13,-8.84,81.24,136.0,734.54,24.0,250.97,5.1,274.0,979.73,
2009,1,2,14,-9.03,81.18,67.0,89.28,55.0,252.28,5.08,276.0,980.29,
2009,1,2,15,-9.21,81.13,18.0,0.0,18.0,253.6,5.06,278.0,980.85,
2009,1,2,16,-9.73,82.25,0.0,0.0,0.0,254.52,4.74,276.0,981.47,
2009,1,2,17,-10.24,83.38,0.0,0.0,0.0,255.43,4.43,273.0,982.1,
2009,1,2,18,-10.76,84.5,0.0,0.0,0.0,256.35,4.11,270.0,982.72,
2009,1,2,19,-11.18,84.62,0.0,0.0,0.0,256.57,4.06,269.0,983.05,
2009,1,2,20,-11.6,84.73,0.0,0.0,0.0,256.78,4.02,267.0,983.38,
2009,1,2,21,-12.02,84.85,0.0,0.0,0.0,257.0,3.97,266.0,983.7,
2009,1,2,22,-12.51,84.99,0.0,0.0,0.0,254.85,3.95,265.0,983.87,
2009,1,2,23,-13.0,85.14,0.0,0.0,0.0,252.7,3.94,264.0,984.03,
2009,1,3,0,-13.49,85.28,0.0,0.0,0.0,250.55,3.92,263.0,984.2,
2009,1,3,1,-13.76,85.27,0.0,0.0,0.0,246.98,3.9,261.0,984.39,
2009,1,3,2,-14.02,85.25,0.0,0.0,0.0,243.42,3.89,260.0,984.59,
2009,1,3,3,-14.28,85.24,0.0,0.0,0.0,239.85,3.88,258.0,984.79,
2009,1,3,4,-15.16,85.17,0.0,0.0,0.0,235.42,3.83,258.0,984.95,
2009,1,3,5,-16.03,85.1,0.0,0.0,0.0,230.98,3.77,257.0,985.11,
2009,1,3,6,-16.9,85.03,0.0,0.0,0.0,226.55,3.72,256.0,985.28,
2009,1,3,7,-17.02,84.91,0.0,0.0,0.0,227.18,3.7,255.0,985.44,
2009,1,3,8,-17.14,84.79,0.0,0.0,0.0,227.82,3.68,254.0,985.61,
2009,1,3,9,-17.26,84.67,0.0,0.0,0.0,228.45,3.66,253.0,985.77,
2009,1,3,10,-16.86,83.52,0.0,0.0,0.0,227.62,3.89,253.0,986.0,
2009,1,3,11,-16.45,82.37,21.0,0.0,21.0,226.78,4.12,254.0,986.23,
2009,1,3,12,-16.05,81.22,65.0,64.78,56.0,225.95,4.36,254.0,986.46,
2009,1,3,13,-16.06,81.34,71.0,51.91,63.0,223.28,4.29,255.0,986.62,
2009,1,3,14,-16.08,81.47,53.0,22.02,50.0,220.62,4.23,255.0,986.79,
