Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3606,Lesosibirsk,RUS,Russia,58.2432523795,92.48328487040001,8,86.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,-31.0,72.25,0.0,0.0,0.0,168.43,4.68,65.0,1036.1,
2013,1,1,1,-31.12,71.92,0.0,0.0,0.0,166.81,4.55,64.0,1036.27,
2013,1,1,2,-31.25,71.6,0.0,0.0,0.0,165.18,4.42,63.0,1036.5,
2013,1,1,3,-31.37,71.28,0.0,0.0,0.0,163.56,4.3,62.0,1036.73,
2013,1,1,4,-31.5,70.96,0.0,0.0,0.0,161.93,4.17,61.0,1036.96,
2013,1,1,5,-31.62,70.63,0.0,0.0,0.0,160.31,4.04,62.0,1037.09,
2013,1,1,6,-31.75,70.31,0.0,0.0,0.0,158.69,3.92,63.0,1037.23,
2013,1,1,7,-31.88,69.99,0.0,0.0,0.0,157.06,3.79,64.0,1037.36,
2013,1,1,8,-32.0,69.67,0.0,0.0,0.0,155.44,3.66,100.0,1036.4,
2013,1,1,9,-32.13,69.34,0.0,0.0,0.0,153.81,3.54,101.0,1036.73,
2013,1,1,10,-32.25,69.02,0.0,0.0,0.0,152.19,3.41,101.0,1037.06,
2013,1,1,11,-32.38,68.7,0.0,0.0,0.0,150.56,3.28,101.0,1036.83,
2013,1,1,12,-32.51,68.37,68.0,574.62,18.0,148.94,3.16,101.0,1036.6,
2013,1,1,13,-32.63,68.05,111.0,546.16,37.0,147.31,3.03,102.0,1036.37,
2013,1,1,14,-32.76,67.73,116.0,401.09,55.0,145.69,2.9,101.0,1036.04,
2013,1,1,15,-32.88,67.41,18.0,0.0,18.0,144.07,2.78,101.0,1035.71,
2013,1,1,16,-30.91,69.0,6.0,0.0,6.0,149.9,3.16,101.0,1035.38,
2013,1,1,17,-30.9,71.25,0.0,0.0,0.0,154.68,3.11,102.0,1035.28,
2013,1,1,18,-30.9,73.5,0.0,0.0,0.0,159.47,3.07,103.0,1035.18,
2013,1,1,19,-30.89,75.75,0.0,0.0,0.0,164.25,3.02,105.0,1035.08,
2013,1,1,20,-30.68,75.96,0.0,0.0,0.0,159.17,3.15,106.0,1035.08,
2013,1,1,21,-30.47,76.16,0.0,0.0,0.0,154.08,3.28,107.0,1035.08,
2013,1,1,22,-30.26,76.37,0.0,0.0,0.0,149.0,3.41,108.0,1035.08,
2013,1,1,23,-30.14,77.48,0.0,0.0,0.0,148.65,3.46,109.0,1034.59,
2013,1,2,0,-30.02,78.59,0.0,0.0,0.0,148.3,3.51,110.0,1034.09,
2013,1,2,1,-29.9,79.7,0.0,0.0,0.0,147.95,3.56,111.0,1033.6,
2013,1,2,2,-29.81,78.72,0.0,0.0,0.0,147.72,3.63,112.0,1032.94,
