Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4063,Lipetsk,RUS,Russia,52.620003885,39.6399987374,4,107.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,-4.48,90.86,0.0,0.0,0.0,260.12,4.36,257.0,1013.74,
2014,1,1,1,-4.18,91.12,0.0,0.0,0.0,264.36,4.07,257.0,1013.22,
2014,1,1,2,-3.88,91.38,0.0,0.0,0.0,268.6,3.78,256.0,1012.69,
2014,1,1,3,-3.58,91.64,0.0,0.0,0.0,272.84,3.49,256.0,1012.16,
2014,1,1,4,-3.29,91.9,0.0,0.0,0.0,277.08,3.2,288.0,1018.84,
2014,1,1,5,-2.99,92.16,0.0,0.0,0.0,281.32,2.91,280.0,1019.01,
2014,1,1,6,-2.69,92.43,0.0,0.0,0.0,285.56,2.62,272.0,1019.17,
2014,1,1,7,-2.39,92.69,0.0,0.0,0.0,289.8,2.33,265.0,1019.3,
2014,1,1,8,-2.09,92.95,0.0,0.0,0.0,294.04,2.04,259.0,1019.44,
2014,1,1,9,-1.79,93.21,0.0,0.0,0.0,298.28,1.75,252.0,1019.57,
2014,1,1,10,-1.5,93.47,5.0,0.0,5.0,302.52,1.45,249.0,1019.67,
2014,1,1,11,-1.2,93.73,58.0,19.3,55.0,306.76,1.16,247.0,1019.77,
2014,1,1,12,-0.88,87.87,93.0,27.35,87.0,298.8,2.04,244.0,1019.86,
2014,1,1,13,-1.03,86.95,86.0,4.05,85.0,297.75,2.16,246.0,1019.67,
2014,1,1,14,-1.18,86.02,31.0,0.0,31.0,296.7,2.27,248.0,1019.47,
2014,1,1,15,-1.34,85.1,37.0,0.0,37.0,295.65,2.39,250.0,1019.27,
2014,1,1,16,-1.59,86.54,21.0,0.0,21.0,294.58,2.46,243.0,1019.34,
2014,1,1,17,-1.85,87.99,0.0,0.0,0.0,293.52,2.53,236.0,1019.4,
2014,1,1,18,-2.11,89.43,0.0,0.0,0.0,292.45,2.61,229.0,1019.47,
2014,1,1,19,-2.23,89.95,0.0,0.0,0.0,291.35,2.66,231.0,1019.5,
2014,1,1,20,-2.36,90.46,0.0,0.0,0.0,290.25,2.71,234.0,1019.53,
2014,1,1,21,-2.49,90.98,0.0,0.0,0.0,289.15,2.76,236.0,1019.57,
2014,1,1,22,-2.64,91.3,0.0,0.0,0.0,290.28,2.71,237.0,1019.57,
2014,1,1,23,-2.8,91.63,0.0,0.0,0.0,291.42,2.66,238.0,1019.57,
2014,1,2,0,-2.95,91.95,0.0,0.0,0.0,292.55,2.61,238.0,1019.57,
2014,1,2,1,-3.23,92.26,0.0,0.0,0.0,289.77,2.29,238.0,1019.44,
2014,1,2,2,-3.51,92.57,0.0,0.0,0.0,286.98,1.96,237.0,1019.3,
2014,1,2,3,-3.79,92.88,0.0,0.0,0.0,284.2,1.64,236.0,1019.17,
2014,1,2,4,-3.76,92.98,0.0,0.0,0.0,284.23,1.64,233.0,1018.91,
2014,1,2,5,-3.73,93.09,0.0,0.0,0.0,284.27,1.64,230.0,1018.65,
2014,1,2,6,-3.69,93.19,0.0,0.0,0.0,284.3,1.64,227.0,1018.38,
2014,1,2,7,-3.83,93.35,0.0,0.0,0.0,284.27,1.72,221.0,1018.42,
2014,1,2,8,-3.97,93.51,0.0,0.0,0.0,284.23,1.8,216.0,1018.45,
2014,1,2,9,-4.11,93.67,0.0,0.0,0.0,284.2,1.88,210.0,1018.48,
2014,1,2,10,-3.74,92.28,14.0,0.0,14.0,285.0,2.29,208.0,1018.35,
2014,1,2,11,-3.38,90.88,32.0,0.0,32.0,285.8,2.71,206.0,1018.22,
2014,1,2,12,-3.02,89.49,98.0,31.75,91.0,286.6,3.13,204.0,1018.09,
2014,1,2,13,-3.1,89.8,102.0,20.12,97.0,285.28,3.17,201.0,1017.89,
2014,1,2,14,-3.17,90.11,97.0,16.76,93.0,283.97,3.21,197.0,1017.69,
2014,1,2,15,-3.25,90.42,59.0,5.23,58.0,282.65,3.26,193.0,1017.49,
2014,1,2,16,-3.52,91.22,32.0,9.1,31.0,282.18,2.76,190.0,1017.46,
2014,1,2,17,-3.79,92.02,0.0,0.0,0.0,281.72,2.26,187.0,1017.43,
2014,1,2,18,-4.07,92.82,0.0,0.0,0.0,281.25,1.77,184.0,1017.4,
2014,1,2,19,-4.11,93.08,0.0,0.0,0.0,283.98,1.94,184.0,1017.36,
2014,1,2,20,-4.15,93.33,0.0,0.0,0.0,286.72,2.11,184.0,1017.33,
2014,1,2,21,-4.19,93.59,0.0,0.0,0.0,289.45,2.29,184.0,1017.3,
