Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1988,Novoaltaysk,RUS,Russia,53.3992586457,83.9588439524,7,141.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,-32.95,77.61,0.0,0.0,0.0,191.58,2.82,331.0,1026.57,
2005,1,1,1,-31.12,77.96,0.0,0.0,0.0,198.04,2.83,330.0,1026.86,
2005,1,1,2,-29.28,78.31,0.0,0.0,0.0,204.51,2.83,330.0,1027.16,
2005,1,1,3,-27.45,78.66,0.0,0.0,0.0,210.97,2.83,330.0,1027.45,
2005,1,1,4,-25.61,79.01,0.0,0.0,0.0,217.44,2.84,327.0,1027.85,
2005,1,1,5,-23.78,79.36,0.0,0.0,0.0,223.9,2.84,324.0,1028.24,
2005,1,1,6,-21.94,79.71,0.0,0.0,0.0,230.37,2.84,321.0,1028.63,
2005,1,1,7,-20.1,80.07,0.0,0.0,0.0,236.83,2.85,285.0,1002.38,
2005,1,1,8,-18.27,80.42,0.0,0.0,0.0,243.3,2.85,285.0,1002.38,
2005,1,1,9,-16.43,80.77,0.0,0.0,0.0,249.76,2.85,285.0,1002.38,
2005,1,1,10,-14.6,81.12,0.0,0.0,0.0,256.23,2.86,292.0,1002.77,
2005,1,1,11,-12.76,81.47,44.0,52.32,38.0,262.69,2.86,298.0,1003.16,
2005,1,1,12,-10.93,81.82,71.0,21.18,67.0,269.16,2.86,305.0,1003.56,
2005,1,1,13,-9.09,82.17,93.0,26.23,87.0,275.62,2.87,318.0,1003.69,
2005,1,1,14,-7.25,82.52,75.0,4.32,74.0,282.09,2.87,331.0,1003.82,
2005,1,1,15,-12.0,81.54,23.0,0.0,23.0,236.7,1.71,343.0,1003.95,
2005,1,1,16,-13.22,83.54,8.0,0.0,8.0,230.97,1.9,3.0,1004.44,
2005,1,1,17,-14.44,85.53,0.0,0.0,0.0,225.23,2.09,22.0,1004.93,
2005,1,1,18,-15.67,87.53,0.0,0.0,0.0,219.5,2.28,42.0,1005.42,
2005,1,1,19,-16.77,87.09,0.0,0.0,0.0,217.88,2.37,52.0,1006.05,
2005,1,1,20,-17.88,86.64,0.0,0.0,0.0,216.27,2.46,63.0,1006.67,
2005,1,1,21,-18.98,86.2,0.0,0.0,0.0,214.65,2.55,73.0,1007.29,
2005,1,1,22,-19.03,86.13,0.0,0.0,0.0,215.37,2.68,76.0,1006.9,
2005,1,1,23,-19.08,86.07,0.0,0.0,0.0,216.08,2.81,80.0,1006.51,
2005,1,2,0,-19.13,86.0,0.0,0.0,0.0,216.8,2.94,83.0,1006.11,
2005,1,2,1,-19.09,86.08,0.0,0.0,0.0,218.05,2.98,83.0,1005.75,
2005,1,2,2,-19.06,86.16,0.0,0.0,0.0,219.3,3.03,83.0,1005.39,
2005,1,2,3,-19.03,86.24,0.0,0.0,0.0,220.55,3.08,83.0,1005.03,
2005,1,2,4,-18.81,86.33,0.0,0.0,0.0,222.78,3.11,83.0,1004.54,
2005,1,2,5,-18.6,86.43,0.0,0.0,0.0,225.02,3.15,83.0,1004.05,
2005,1,2,6,-18.39,86.52,0.0,0.0,0.0,227.25,3.19,84.0,1003.56,
2005,1,2,7,-18.32,86.14,0.0,0.0,0.0,230.07,3.01,89.0,1003.78,
