Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1912,Saransk,RUS,Russia,54.1703743684,45.1800223376,4,154.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,-6.03,88.72,0.0,0.0,0.0,253.07,5.0,234.0,1009.17,
2014,1,1,1,-5.54,89.11,0.0,0.0,0.0,256.68,4.76,234.0,1008.84,
2014,1,1,2,-5.06,89.51,0.0,0.0,0.0,260.28,4.51,234.0,1008.52,
2014,1,1,3,-4.58,89.9,0.0,0.0,0.0,263.88,4.26,234.0,1008.19,
2014,1,1,4,-4.09,90.29,0.0,0.0,0.0,267.49,4.01,301.0,1009.34,
2014,1,1,5,-3.61,90.68,0.0,0.0,0.0,271.09,3.77,299.0,1009.79,
2014,1,1,6,-3.13,91.07,0.0,0.0,0.0,274.69,3.52,297.0,1010.25,
2014,1,1,7,-2.64,91.46,0.0,0.0,0.0,278.3,3.27,294.0,1010.55,
2014,1,1,8,-2.16,91.85,0.0,0.0,0.0,281.9,3.02,292.0,1010.84,
2014,1,1,9,-1.68,92.24,0.0,0.0,0.0,285.51,2.78,289.0,1011.14,
2014,1,1,10,-1.19,92.63,2.0,0.0,2.0,289.11,2.53,287.0,1011.23,
2014,1,1,11,-0.71,93.03,10.0,0.0,10.0,292.71,2.28,284.0,1011.33,
2014,1,1,12,-1.61,87.69,16.0,0.0,16.0,277.5,2.54,282.0,1011.43,
2014,1,1,13,-1.81,87.18,18.0,0.0,18.0,276.7,2.39,279.0,1011.37,
2014,1,1,14,-2.02,86.67,17.0,0.0,17.0,275.9,2.23,276.0,1011.3,
2014,1,1,15,-2.23,86.16,12.0,0.0,12.0,275.1,2.08,273.0,1011.23,
2014,1,1,16,-2.34,86.9,10.0,0.0,10.0,278.67,2.33,267.0,1011.33,
2014,1,1,17,-2.45,87.63,0.0,0.0,0.0,282.23,2.58,261.0,1011.43,
2014,1,1,18,-2.56,88.37,0.0,0.0,0.0,285.8,2.83,254.0,1011.53,
2014,1,1,19,-2.71,88.45,0.0,0.0,0.0,287.92,3.05,254.0,1011.5,
2014,1,1,20,-2.86,88.54,0.0,0.0,0.0,290.03,3.27,255.0,1011.46,
2014,1,1,21,-3.01,88.62,0.0,0.0,0.0,292.15,3.49,255.0,1011.43,
2014,1,1,22,-3.24,88.94,0.0,0.0,0.0,291.33,3.49,255.0,1011.3,
2014,1,1,23,-3.48,89.25,0.0,0.0,0.0,290.52,3.48,255.0,1011.17,
2014,1,2,0,-3.71,89.57,0.0,0.0,0.0,289.7,3.48,256.0,1011.04,
2014,1,2,1,-3.85,90.09,0.0,0.0,0.0,286.85,3.28,259.0,1010.97,
2014,1,2,2,-3.98,90.6,0.0,0.0,0.0,284.0,3.08,262.0,1010.91,
2014,1,2,3,-4.11,91.12,0.0,0.0,0.0,281.15,2.88,265.0,1010.84,
2014,1,2,4,-3.94,91.02,0.0,0.0,0.0,279.13,3.01,267.0,1010.71,
2014,1,2,5,-3.77,90.92,0.0,0.0,0.0,277.12,3.13,269.0,1010.58,
2014,1,2,6,-3.59,90.82,0.0,0.0,0.0,275.1,3.26,271.0,1010.45,
2014,1,2,7,-3.7,91.28,0.0,0.0,0.0,271.02,3.06,274.0,1010.74,
2014,1,2,8,-3.82,91.75,0.0,0.0,0.0,266.93,2.87,277.0,1011.04,
2014,1,2,9,-3.93,92.21,0.0,0.0,0.0,262.85,2.68,279.0,1011.33,
2014,1,2,10,-3.69,90.44,2.0,0.0,2.0,260.52,3.2,281.0,1011.27,
2014,1,2,11,-3.45,88.67,120.0,669.81,27.0,258.18,3.72,282.0,1011.2,
2014,1,2,12,-3.22,86.9,24.0,0.0,24.0,255.85,4.25,284.0,1011.14,
2014,1,2,13,-3.42,87.33,18.0,0.0,18.0,254.73,3.67,284.0,1011.23,
2014,1,2,14,-3.63,87.75,17.0,0.0,17.0,253.62,3.09,284.0,1011.33,
2014,1,2,15,-3.84,88.18,122.0,393.82,58.0,252.5,2.51,285.0,1011.43,
2014,1,2,16,-4.14,89.45,44.0,171.12,30.0,259.45,2.28,284.0,1011.66,
2014,1,2,17,-4.44,90.73,0.0,0.0,0.0,266.4,2.05,283.0,1011.89,
2014,1,2,18,-4.75,92.0,0.0,0.0,0.0,273.35,1.82,282.0,1012.12,
2014,1,2,19,-4.96,92.24,0.0,0.0,0.0,273.33,1.87,285.0,1012.18,
2014,1,2,20,-5.17,92.47,0.0,0.0,0.0,273.32,1.92,288.0,1012.25,
2014,1,2,21,-5.39,92.71,0.0,0.0,0.0,273.3,1.97,291.0,1012.31,
2014,1,2,22,-5.55,92.47,0.0,0.0,0.0,274.92,2.0,291.0,1012.54,
2014,1,2,23,-5.71,92.22,0.0,0.0,0.0,276.53,2.03,291.0,1012.77,
2014,1,3,0,-5.87,91.98,0.0,0.0,0.0,278.15,2.06,291.0,1013.0,
2014,1,3,1,-5.97,92.23,0.0,0.0,0.0,277.73,1.85,286.0,1013.1,
2014,1,3,2,-6.06,92.47,0.0,0.0,0.0,277.32,1.65,281.0,1013.2,
2014,1,3,3,-6.15,92.72,0.0,0.0,0.0,276.9,1.45,276.0,1013.3,
2014,1,3,4,-6.15,91.66,0.0,0.0,0.0,276.1,1.26,262.0,1013.49,
2014,1,3,5,-6.15,90.59,0.0,0.0,0.0,275.3,1.08,247.0,1013.69,
2014,1,3,6,-6.14,89.53,0.0,0.0,0.0,274.5,0.9,232.0,1013.89,
2014,1,3,7,-6.23,89.61,0.0,0.0,0.0,273.28,1.38,208.0,1013.98,
