Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1936,Shadrinsk,RUS,Russia,56.0836684358,63.6332628976,6,82.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,-14.71,83.17,0.0,0.0,0.0,219.74,2.34,157.0,1007.05,
2012,1,1,1,-14.48,82.85,0.0,0.0,0.0,219.42,2.61,152.0,1006.85,
2012,1,1,2,-14.25,82.53,0.0,0.0,0.0,219.11,2.88,147.0,1006.66,
2012,1,1,3,-14.02,82.21,0.0,0.0,0.0,218.79,3.15,140.0,1006.36,
2012,1,1,4,-13.79,81.89,0.0,0.0,0.0,218.48,3.43,134.0,1006.06,
2012,1,1,5,-13.56,81.56,0.0,0.0,0.0,218.17,3.7,127.0,1005.77,
2012,1,1,6,-13.34,81.24,0.0,0.0,0.0,217.85,3.97,206.0,1019.43,
2012,1,1,7,-13.11,80.92,0.0,0.0,0.0,217.54,4.24,204.0,1019.43,
2012,1,1,8,-12.88,80.6,0.0,0.0,0.0,217.22,4.51,202.0,1019.43,
2012,1,1,9,-12.65,80.28,0.0,0.0,0.0,216.91,4.78,203.0,1019.5,
2012,1,1,10,-12.42,79.96,0.0,0.0,0.0,216.6,5.05,204.0,1019.56,
2012,1,1,11,-12.19,79.64,13.0,21.87,12.0,216.28,5.32,205.0,1019.63,
2012,1,1,12,-11.97,79.32,36.0,0.0,36.0,215.97,5.59,206.0,1019.27,
2012,1,1,13,-11.74,78.99,14.0,0.0,14.0,215.65,5.87,208.0,1018.9,
2012,1,1,14,-11.4,80.66,15.0,0.0,15.0,215.5,6.03,209.0,1018.54,
2012,1,1,15,-11.71,81.4,20.0,0.0,20.0,208.6,5.34,208.0,1018.47,
2012,1,1,16,-12.03,82.14,14.0,0.0,14.0,201.7,4.66,207.0,1018.41,
2012,1,1,17,-12.35,82.88,0.0,0.0,0.0,194.8,3.97,205.0,1018.34,
2012,1,1,18,-11.98,83.63,0.0,0.0,0.0,199.45,3.85,205.0,1018.31,
2012,1,1,19,-11.61,84.39,0.0,0.0,0.0,204.1,3.72,204.0,1018.28,
2012,1,1,20,-11.24,85.14,0.0,0.0,0.0,208.75,3.6,203.0,1018.24,
2012,1,1,21,-11.62,85.55,0.0,0.0,0.0,207.68,3.39,201.0,1018.21,
2012,1,1,22,-12.01,85.95,0.0,0.0,0.0,206.62,3.18,199.0,1018.18,
2012,1,1,23,-12.39,86.36,0.0,0.0,0.0,205.55,2.97,197.0,1018.14,
2012,1,2,0,-12.86,86.55,0.0,0.0,0.0,205.37,2.62,195.0,1017.91,
2012,1,2,1,-13.33,86.73,0.0,0.0,0.0,205.18,2.27,192.0,1017.68,
2012,1,2,2,-13.81,86.92,0.0,0.0,0.0,205.0,1.92,190.0,1017.45,
2012,1,2,3,-14.05,87.08,0.0,0.0,0.0,206.32,1.91,183.0,1017.25,
2012,1,2,4,-14.3,87.23,0.0,0.0,0.0,207.63,1.9,176.0,1017.05,
2012,1,2,5,-14.55,87.39,0.0,0.0,0.0,208.95,1.89,168.0,1016.86,
2012,1,2,6,-14.16,87.66,0.0,0.0,0.0,209.63,2.13,164.0,1016.72,
2012,1,2,7,-13.77,87.94,0.0,0.0,0.0,210.32,2.37,160.0,1016.59,
2012,1,2,8,-13.38,88.21,0.0,0.0,0.0,211.0,2.61,156.0,1016.46,
2012,1,2,9,-13.31,88.31,0.0,0.0,0.0,211.67,2.36,150.0,1016.39,
2012,1,2,10,-13.24,88.4,0.0,0.0,0.0,212.33,2.11,145.0,1016.33,
2012,1,2,11,-13.16,88.5,25.0,280.17,12.0,213.0,1.86,139.0,1016.26,
2012,1,2,12,-12.92,88.05,71.0,142.61,53.0,214.23,1.78,134.0,1015.73,
2012,1,2,13,-12.69,87.61,151.0,587.2,48.0,215.47,1.7,128.0,1015.21,
2012,1,2,14,-12.45,87.16,172.0,666.26,45.0,216.7,1.61,123.0,1014.68,
2012,1,2,15,-12.75,87.5,88.0,81.96,74.0,218.02,1.94,111.0,1014.45,
2012,1,2,16,-13.06,87.84,19.0,0.0,19.0,219.33,2.26,100.0,1014.22,
2012,1,2,17,-13.37,88.18,0.0,0.0,0.0,220.65,2.58,88.0,1013.98,
2012,1,2,18,-13.78,87.42,0.0,0.0,0.0,219.22,2.69,88.0,1014.02,
2012,1,2,19,-14.19,86.65,0.0,0.0,0.0,217.78,2.8,87.0,1014.05,
2012,1,2,20,-14.6,85.89,0.0,0.0,0.0,216.35,2.91,87.0,1014.08,
2012,1,2,21,-14.87,85.73,0.0,0.0,0.0,214.93,3.03,86.0,1013.75,
2012,1,2,22,-15.14,85.56,0.0,0.0,0.0,213.52,3.14,84.0,1013.42,
2012,1,2,23,-15.4,85.4,0.0,0.0,0.0,212.1,3.26,83.0,1013.09,
2012,1,3,0,-15.77,85.27,0.0,0.0,0.0,210.0,3.17,79.0,1012.57,
2012,1,3,1,-16.14,85.13,0.0,0.0,0.0,207.9,3.09,75.0,1012.04,
2012,1,3,2,-16.52,85.0,0.0,0.0,0.0,205.8,3.01,72.0,1011.51,
2012,1,3,3,-16.48,85.11,0.0,0.0,0.0,205.45,3.07,67.0,1011.28,
2012,1,3,4,-16.45,85.21,0.0,0.0,0.0,205.1,3.14,63.0,1011.05,
2012,1,3,5,-16.42,85.32,0.0,0.0,0.0,204.75,3.2,59.0,1010.82,
2012,1,3,6,-16.74,85.73,0.0,0.0,0.0,204.73,3.25,57.0,1010.68,
2012,1,3,7,-17.06,86.13,0.0,0.0,0.0,204.72,3.3,56.0,1010.55,
2012,1,3,8,-17.39,86.54,0.0,0.0,0.0,204.7,3.35,54.0,1010.42,
2012,1,3,9,-16.96,86.19,0.0,0.0,0.0,207.12,2.86,57.0,1010.19,
2012,1,3,10,-16.53,85.85,0.0,0.0,0.0,209.53,2.38,60.0,1009.96,
2012,1,3,11,-16.09,85.5,27.0,317.72,12.0,211.95,1.89,62.0,1009.73,
2012,1,3,12,-15.77,84.93,108.0,636.33,27.0,211.85,1.76,58.0,1009.36,
