Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1314,Simferopol,RUS,Russia,44.9491542756,34.0987349027,2,257.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,0.53,74.47,0.0,0.0,0.0,289.55,2.5,259.0,989.56,
2016,1,1,1,-0.2,73.36,0.0,0.0,0.0,283.63,2.71,260.0,989.11,
2016,1,1,2,-0.93,72.25,0.0,0.0,0.0,277.7,2.91,23.0,994.28,
2016,1,1,3,-1.66,71.14,0.0,0.0,0.0,271.78,3.11,25.0,994.22,
2016,1,1,4,-2.39,70.04,0.0,0.0,0.0,265.85,3.31,26.0,994.15,
2016,1,1,5,-3.11,68.93,0.0,0.0,0.0,259.93,3.51,27.0,994.09,
2016,1,1,6,-3.84,67.82,0.0,0.0,0.0,254.01,3.71,27.0,994.02,
2016,1,1,7,-4.57,66.71,0.0,0.0,0.0,248.08,3.91,27.0,993.96,
2016,1,1,8,-5.3,65.61,10.0,47.4,5.0,242.16,4.11,30.0,993.83,
2016,1,1,9,-6.03,64.5,112.0,244.41,56.0,236.23,4.31,33.0,993.7,
2016,1,1,10,-2.81,55.69,238.0,373.83,119.0,252.3,4.19,37.0,993.57,
2016,1,1,11,-2.63,54.16,148.0,201.62,74.0,251.22,4.12,38.0,993.25,
2016,1,1,12,-2.46,52.62,36.0,48.4,18.0,250.13,4.05,39.0,992.92,
2016,1,1,13,-2.28,51.09,40.0,60.14,20.0,249.05,3.97,40.0,992.6,
2016,1,1,14,-2.48,53.11,112.0,222.41,56.0,249.18,3.83,40.0,993.05,
2016,1,1,15,-2.68,55.13,110.0,407.32,55.0,249.32,3.68,39.0,993.5,
2016,1,1,16,-2.89,57.15,0.0,0.0,0.0,249.45,3.53,39.0,993.96,
2016,1,1,17,-2.98,58.11,0.0,0.0,0.0,250.52,3.84,43.0,993.96,
2016,1,1,18,-3.07,59.08,0.0,0.0,0.0,251.58,4.15,48.0,993.96,
2016,1,1,19,-3.16,60.04,0.0,0.0,0.0,252.65,4.46,52.0,993.96,
2016,1,1,20,-3.12,60.35,0.0,0.0,0.0,257.95,4.55,55.0,993.96,
2016,1,1,21,-3.09,60.66,0.0,0.0,0.0,263.25,4.64,59.0,993.96,
2016,1,1,22,-3.06,60.97,0.0,0.0,0.0,268.55,4.73,62.0,993.96,
2016,1,1,23,-3.11,61.18,0.0,0.0,0.0,268.83,4.84,61.0,993.92,
2016,1,2,0,-3.16,61.4,0.0,0.0,0.0,269.12,4.95,60.0,993.89,
2016,1,2,1,-3.21,61.61,0.0,0.0,0.0,269.4,5.06,59.0,993.86,
2016,1,2,2,-3.3,62.37,0.0,0.0,0.0,268.88,5.24,56.0,994.09,
2016,1,2,3,-3.38,63.13,0.0,0.0,0.0,268.37,5.41,52.0,994.31,
2016,1,2,4,-3.47,63.89,0.0,0.0,0.0,267.85,5.59,48.0,994.54,
2016,1,2,5,-3.39,64.38,0.0,0.0,0.0,268.87,5.58,49.0,994.77,
2016,1,2,6,-3.31,64.87,0.0,0.0,0.0,269.88,5.57,49.0,994.99,
2016,1,2,7,-3.23,65.36,0.0,0.0,0.0,270.9,5.56,50.0,995.22,
2016,1,2,8,-2.85,62.23,64.0,302.81,32.0,271.87,5.51,50.0,995.25,
2016,1,2,9,-2.47,59.1,98.15,138.71,66.3,272.83,5.46,50.0,995.28,
2016,1,2,10,-2.09,55.97,118.0,184.86,59.0,273.8,5.41,51.0,995.31,
2016,1,2,11,-1.97,54.58,195.05,242.26,105.85,274.52,5.26,47.0,995.12,
2016,1,2,12,-1.86,53.18,120.0,160.69,60.0,275.23,5.1,42.0,994.93,
2016,1,2,13,-1.75,51.79,108.0,161.49,54.0,275.95,4.95,38.0,994.73,
2016,1,2,14,-1.85,55.74,34.0,66.97,17.0,274.03,5.05,41.0,994.83,
2016,1,2,15,-1.95,59.69,22.0,80.15,11.0,272.12,5.14,44.0,994.93,
2016,1,2,16,-2.05,63.64,0.0,0.0,0.0,270.2,5.24,47.0,995.02,
2016,1,2,17,-2.33,64.87,0.0,0.0,0.0,275.2,5.24,43.0,995.02,
2016,1,2,18,-2.62,66.09,0.0,0.0,0.0,280.2,5.24,39.0,995.02,
2016,1,2,19,-2.91,67.32,0.0,0.0,0.0,285.2,5.24,35.0,995.02,
2016,1,2,20,-3.16,67.89,0.0,0.0,0.0,284.0,5.14,32.0,994.93,
2016,1,2,21,-3.42,68.47,0.0,0.0,0.0,282.8,5.05,28.0,994.83,
2016,1,2,22,-3.67,69.04,0.0,0.0,0.0,281.6,4.95,25.0,994.73,
2016,1,2,23,-4.01,69.6,0.0,0.0,0.0,279.55,5.01,18.0,994.64,
2016,1,3,0,-4.34,70.15,0.0,0.0,0.0,277.5,5.07,11.0,994.54,
2016,1,3,1,-4.68,70.71,0.0,0.0,0.0,275.45,5.13,4.0,994.44,
2016,1,3,2,-5.0,71.8,0.0,0.0,0.0,274.08,5.14,360.0,994.51,
2016,1,3,3,-5.31,72.89,0.0,0.0,0.0,272.72,5.14,356.0,994.57,
2016,1,3,4,-5.63,73.98,0.0,0.0,0.0,271.35,5.14,352.0,994.64,
2016,1,3,5,-5.8,74.71,0.0,0.0,0.0,269.2,5.08,352.0,994.67,
2016,1,3,6,-5.98,75.45,0.0,0.0,0.0,267.05,5.02,352.0,994.7,
2016,1,3,7,-6.16,76.18,0.0,0.0,0.0,264.9,4.95,353.0,994.73,
2016,1,3,8,-5.82,71.69,0.0,0.0,0.0,264.13,5.06,353.0,994.7,
2016,1,3,9,-5.48,67.21,2.0,4.34,1.0,263.37,5.17,353.0,994.67,
2016,1,3,10,-5.15,62.72,4.0,6.25,2.0,262.6,5.28,353.0,994.64,
2016,1,3,11,-5.1,59.96,8.0,10.83,4.0,259.72,5.14,353.0,994.41,
2016,1,3,12,-5.05,57.2,0.0,0.0,0.0,256.83,4.99,353.0,994.18,
2016,1,3,13,-5.0,54.44,2.0,2.97,1.0,253.95,4.84,353.0,993.96,
2016,1,3,14,-5.18,55.95,20.0,39.06,10.0,252.12,4.15,360.0,994.31,
2016,1,3,15,-5.36,57.47,12.0,42.99,6.0,250.28,3.46,7.0,994.67,
2016,1,3,16,-5.55,58.98,0.0,0.0,0.0,248.45,2.77,14.0,995.02,
2016,1,3,17,-5.52,59.96,0.0,0.0,0.0,248.08,2.94,25.0,994.67,
2016,1,3,18,-5.5,60.94,0.0,0.0,0.0,247.72,3.11,35.0,994.31,
2016,1,3,19,-5.48,61.92,0.0,0.0,0.0,247.35,3.28,45.0,993.96,
2016,1,3,20,-5.18,62.02,0.0,0.0,0.0,248.2,3.39,57.0,993.54,
2016,1,3,21,-4.89,62.12,0.0,0.0,0.0,249.05,3.5,69.0,993.12,
2016,1,3,22,-4.6,62.22,0.0,0.0,0.0,249.9,3.61,80.0,992.7,
2016,1,3,23,-4.3,61.73,0.0,0.0,0.0,259.18,4.18,83.0,991.82,
2016,1,4,0,-3.99,61.24,0.0,0.0,0.0,268.47,4.75,85.0,990.95,
2016,1,4,1,-3.69,60.75,0.0,0.0,0.0,277.75,5.32,88.0,990.08,
2016,1,4,2,-3.26,61.33,0.0,0.0,0.0,284.43,5.73,89.0,988.98,
2016,1,4,3,-2.83,61.92,0.0,0.0,0.0,291.12,6.13,90.0,987.88,
2016,1,4,4,-2.4,62.5,0.0,0.0,0.0,297.8,6.54,91.0,986.78,
2016,1,4,5,-2.07,63.33,0.0,0.0,0.0,301.93,6.86,89.0,986.1,
2016,1,4,6,-1.74,64.16,0.0,0.0,0.0,306.07,7.17,87.0,985.42,
2016,1,4,7,-1.42,64.99,0.0,0.0,0.0,310.2,7.49,85.0,984.74,
2016,1,4,8,-0.68,63.62,2.0,9.4,1.0,311.98,7.7,82.0,984.16,
2016,1,4,9,0.06,62.25,10.0,21.65,5.0,313.77,7.91,80.0,983.58,
2016,1,4,10,0.79,60.88,66.0,102.74,33.0,315.55,8.12,77.0,983.0,
2016,1,4,11,0.91,60.58,48.0,64.7,24.0,317.22,8.21,74.0,982.29,
2016,1,4,12,1.03,60.28,244.0,323.8,122.0,318.88,8.3,71.0,981.57,
2016,1,4,13,1.15,59.98,250.0,369.44,125.0,320.55,8.39,67.0,980.86,
2016,1,4,14,0.77,63.59,22.0,42.59,11.0,321.3,8.18,66.0,980.96,
2016,1,4,15,0.39,67.2,38.0,133.82,19.0,322.05,7.97,65.0,981.06,
2016,1,4,16,0.01,70.81,0.0,0.0,0.0,322.8,7.77,63.0,981.15,
2016,1,4,17,0.1,70.65,0.0,0.0,0.0,322.98,7.49,65.0,980.83,
2016,1,4,18,0.19,70.48,0.0,0.0,0.0,323.17,7.22,67.0,980.51,
2016,1,4,19,0.27,70.32,0.0,0.0,0.0,323.35,6.95,69.0,980.18,
2016,1,4,20,0.45,70.54,0.0,0.0,0.0,322.17,6.63,71.0,980.06,
2016,1,4,21,0.63,70.77,0.0,0.0,0.0,320.98,6.3,74.0,979.93,
2016,1,4,22,0.81,70.99,0.0,0.0,0.0,319.8,5.97,76.0,979.8,
2016,1,4,23,0.97,71.71,0.0,0.0,0.0,319.35,6.09,80.0,979.21,
2016,1,5,0,1.14,72.43,0.0,0.0,0.0,318.9,6.21,83.0,978.63,
2016,1,5,1,1.3,73.15,0.0,0.0,0.0,318.45,6.33,87.0,978.05,
2016,1,5,2,1.68,74.68,0.0,0.0,0.0,322.6,6.26,89.0,977.6,
2016,1,5,3,2.06,76.21,0.0,0.0,0.0,326.75,6.18,91.0,977.15,
2016,1,5,4,2.44,77.74,0.0,0.0,0.0,330.9,6.11,93.0,976.69,
2016,1,5,5,2.72,79.31,0.0,0.0,0.0,332.3,6.57,96.0,976.27,
2016,1,5,6,2.99,80.88,0.0,0.0,0.0,333.7,7.02,99.0,975.85,
2016,1,5,7,3.26,82.45,0.0,0.0,0.0,335.1,7.48,102.0,975.43,
2016,1,5,8,3.94,82.09,0.0,0.0,0.0,335.58,7.58,105.0,974.88,
2016,1,5,9,4.62,81.73,0.0,0.0,0.0,336.07,7.68,108.0,974.33,
2016,1,5,10,5.3,81.37,0.0,0.0,0.0,336.55,7.78,110.0,973.78,
2016,1,5,11,5.48,82.62,0.0,0.0,0.0,336.48,7.39,111.0,973.17,
2016,1,5,12,5.65,83.86,0.0,0.0,0.0,336.42,7.0,112.0,972.55,
2016,1,5,13,5.82,85.11,0.0,0.0,0.0,336.35,6.61,113.0,971.94,
2016,1,5,14,5.65,87.57,0.0,0.0,0.0,339.3,6.89,113.0,972.2,
2016,1,5,15,5.49,90.03,0.0,0.0,0.0,342.25,7.17,113.0,972.46,
2016,1,5,16,5.32,92.49,0.0,0.0,0.0,345.2,7.45,113.0,972.72,
2016,1,5,17,5.12,93.04,0.0,0.0,0.0,344.38,6.94,99.0,973.2,
2016,1,5,18,4.91,93.59,0.0,0.0,0.0,343.57,6.44,86.0,973.69,
2016,1,5,19,4.7,94.14,0.0,0.0,0.0,342.75,5.93,72.0,974.17,
2016,1,5,20,4.45,94.46,0.0,0.0,0.0,341.95,5.1,33.0,974.98,
2016,1,5,21,4.19,94.77,0.0,0.0,0.0,341.15,4.28,354.0,975.79,
2016,1,5,22,3.94,95.09,0.0,0.0,0.0,340.35,3.45,315.0,976.6,
2016,1,5,23,3.72,94.67,0.0,0.0,0.0,338.43,3.03,315.0,977.44,
2016,1,6,0,3.51,94.25,0.0,0.0,0.0,336.52,2.6,315.0,978.28,
2016,1,6,1,3.29,93.83,0.0,0.0,0.0,334.6,2.18,315.0,979.12,
2016,1,6,2,3.18,92.42,0.0,0.0,0.0,333.62,1.93,311.0,979.96,
2016,1,6,3,3.08,91.02,0.0,0.0,0.0,332.63,1.67,307.0,980.8,
2016,1,6,4,2.97,89.61,0.0,0.0,0.0,331.65,1.42,303.0,981.64,
2016,1,6,5,2.87,89.15,0.0,0.0,0.0,330.5,1.36,306.0,982.06,
2016,1,6,6,2.76,88.69,0.0,0.0,0.0,329.35,1.3,309.0,982.48,
2016,1,6,7,2.65,88.23,0.0,0.0,0.0,328.2,1.24,312.0,982.9,
2016,1,6,8,3.14,88.12,6.0,27.89,3.0,328.2,1.73,253.0,982.96,
2016,1,6,9,3.63,88.0,20.0,42.96,10.0,328.2,2.23,194.0,983.03,
2016,1,6,10,4.11,87.89,68.0,105.04,34.0,328.2,2.72,135.0,983.09,
2016,1,6,11,4.52,87.52,88.0,117.61,44.0,328.8,3.4,135.0,982.58,
2016,1,6,12,4.92,87.16,52.0,68.31,26.0,329.4,4.08,136.0,982.06,
