Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4522,Sochi,RUS,Russia,43.5900124299,39.729967406,4,50.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2005,1,1,0,6.82,77.73,0.0,0.0,0.0,297.05,1.79,179.0,1020.53,
2005,1,1,1,7.11,78.11,0.0,0.0,0.0,297.79,1.92,172.0,1020.5,
2005,1,1,2,7.4,78.5,0.0,0.0,0.0,298.52,2.06,164.0,1020.46,
2005,1,1,3,7.69,78.88,0.0,0.0,0.0,299.25,2.2,157.0,1020.43,
2005,1,1,4,7.98,79.27,0.0,0.0,0.0,299.99,2.33,94.0,1017.45,
2005,1,1,5,8.27,79.65,0.0,0.0,0.0,300.72,2.47,94.0,1017.45,
2005,1,1,6,8.56,80.04,0.0,0.0,0.0,301.45,2.6,94.0,1017.45,
2005,1,1,7,8.86,80.42,0.0,0.0,0.0,302.19,2.74,90.0,1017.08,
2005,1,1,8,9.15,80.8,0.0,0.0,0.0,302.92,2.88,86.0,1016.72,
2005,1,1,9,9.44,81.19,0.0,0.0,0.0,303.65,3.01,83.0,1016.35,
2005,1,1,10,9.73,81.57,30.0,0.0,30.0,304.39,3.15,79.0,1015.66,
2005,1,1,11,10.02,81.96,83.0,6.99,81.0,305.12,3.28,75.0,1014.96,
2005,1,1,12,10.46,74.13,58.0,0.0,58.0,291.35,2.23,71.0,1014.27,
2005,1,1,13,10.7,76.09,75.0,0.0,75.0,287.67,1.69,59.0,1013.47,
2005,1,1,14,10.95,78.06,157.0,13.03,152.0,283.98,1.15,48.0,1012.68,
2005,1,1,15,11.19,80.02,156.0,30.55,146.0,280.3,0.61,37.0,1011.88,
2005,1,1,16,11.05,80.82,196.0,365.06,112.0,278.95,0.88,46.0,1012.24,
2005,1,1,17,10.91,81.62,55.0,40.47,51.0,277.6,1.15,56.0,1012.61,
2005,1,1,18,10.77,82.42,0.0,0.0,0.0,276.25,1.42,65.0,1012.97,
2005,1,1,19,10.57,83.43,0.0,0.0,0.0,276.55,1.53,60.0,1012.48,
2005,1,1,20,10.38,84.45,0.0,0.0,0.0,276.85,1.64,55.0,1011.98,
2005,1,1,21,10.18,85.46,0.0,0.0,0.0,277.15,1.75,50.0,1011.48,
2005,1,1,22,10.06,84.73,0.0,0.0,0.0,277.42,1.62,44.0,1011.09,
2005,1,1,23,9.93,84.01,0.0,0.0,0.0,277.68,1.49,37.0,1010.69,
2005,1,2,0,9.8,83.28,0.0,0.0,0.0,277.95,1.35,30.0,1010.29,
2005,1,2,1,9.75,83.02,0.0,0.0,0.0,280.95,1.12,19.0,1009.93,
2005,1,2,2,9.7,82.75,0.0,0.0,0.0,283.95,0.89,9.0,1009.56,
2005,1,2,3,9.64,82.49,0.0,0.0,0.0,286.95,0.66,358.0,1009.2,
2005,1,2,4,9.29,84.38,0.0,0.0,0.0,293.6,0.69,344.0,1009.33,
2005,1,2,5,8.93,86.26,0.0,0.0,0.0,300.25,0.72,330.0,1009.46,
2005,1,2,6,8.57,88.15,0.0,0.0,0.0,306.9,0.74,316.0,1009.59,
2005,1,2,7,8.46,89.4,0.0,0.0,0.0,314.38,0.7,318.0,1009.33,
2005,1,2,8,8.34,90.65,0.0,0.0,0.0,321.87,0.65,319.0,1009.06,
2005,1,2,9,8.22,91.9,0.0,0.0,0.0,329.35,0.61,321.0,1008.8,
2005,1,2,10,8.36,90.38,44.0,0.0,44.0,331.92,0.92,323.0,1008.33,
2005,1,2,11,8.51,88.87,31.0,0.0,31.0,334.48,1.23,325.0,1007.87,
2005,1,2,12,8.65,87.35,85.0,0.0,85.0,337.05,1.54,328.0,1007.41,
2005,1,2,13,8.7,87.24,155.0,12.59,150.0,339.87,1.86,326.0,1006.94,
2005,1,2,14,8.76,87.14,65.0,0.0,65.0,342.68,2.17,325.0,1006.48,
2005,1,2,15,8.81,87.03,76.0,0.0,76.0,345.5,2.48,324.0,1006.02,
2005,1,2,16,8.73,89.87,133.0,73.2,116.0,343.82,1.91,315.0,1006.58,
2005,1,2,17,8.64,92.72,79.0,178.05,61.0,342.13,1.33,306.0,1007.14,
2005,1,2,18,8.56,95.56,0.0,0.0,0.0,340.45,0.76,298.0,1007.71,
2005,1,2,19,8.37,95.18,0.0,0.0,0.0,340.67,1.34,305.0,1007.57,
2005,1,2,20,8.18,94.8,0.0,0.0,0.0,340.88,1.92,312.0,1007.44,
2005,1,2,21,7.98,94.42,0.0,0.0,0.0,341.1,2.5,320.0,1007.31,
2005,1,2,22,7.71,93.0,0.0,0.0,0.0,341.65,3.09,323.0,1007.08,
2005,1,2,23,7.44,91.57,0.0,0.0,0.0,342.2,3.67,327.0,1006.84,
2005,1,3,0,7.17,90.15,0.0,0.0,0.0,342.75,4.26,331.0,1006.61,
2005,1,3,1,7.11,88.64,0.0,0.0,0.0,340.13,4.56,330.0,1006.64,
2005,1,3,2,7.04,87.13,0.0,0.0,0.0,337.52,4.86,329.0,1006.68,
2005,1,3,3,6.97,85.62,0.0,0.0,0.0,334.9,5.16,328.0,1006.71,
2005,1,3,4,6.67,85.5,0.0,0.0,0.0,333.2,5.62,326.0,1007.14,
2005,1,3,5,6.37,85.38,0.0,0.0,0.0,331.5,6.09,325.0,1007.57,
2005,1,3,6,6.06,85.26,0.0,0.0,0.0,329.8,6.55,324.0,1008.0,
2005,1,3,7,6.0,83.95,0.0,0.0,0.0,325.97,6.21,321.0,1008.57,
2005,1,3,8,5.94,82.63,0.0,0.0,0.0,322.13,5.86,318.0,1009.13,
2005,1,3,9,5.88,81.32,0.0,0.0,0.0,318.3,5.52,315.0,1009.69,
2005,1,3,10,6.2,79.55,76.0,214.45,39.0,321.82,5.3,309.0,1009.83,
2005,1,3,11,6.52,77.78,174.0,246.99,103.0,325.33,5.09,303.0,1009.96,
2005,1,3,12,6.84,76.01,283.0,433.39,125.0,328.85,4.87,296.0,1010.09,
2005,1,3,13,7.11,75.16,294.0,301.06,174.0,328.12,4.67,293.0,1010.09,
2005,1,3,14,7.39,74.31,260.0,180.77,190.0,327.38,4.46,290.0,1010.09,
2005,1,3,15,7.66,73.46,85.0,0.0,85.0,326.65,4.26,288.0,1010.09,
2005,1,3,16,7.62,74.44,84.0,4.27,83.0,319.48,3.8,285.0,1010.89,
2005,1,3,17,7.58,75.41,49.0,19.33,47.0,312.32,3.33,283.0,1011.68,
2005,1,3,18,7.54,76.39,0.0,0.0,0.0,305.15,2.87,280.0,1012.48,
2005,1,3,19,7.44,77.79,0.0,0.0,0.0,306.87,2.74,267.0,1012.68,
2005,1,3,20,7.34,79.18,0.0,0.0,0.0,308.58,2.62,253.0,1012.87,
2005,1,3,21,7.23,80.58,0.0,0.0,0.0,310.3,2.5,240.0,1013.07,
2005,1,3,22,7.29,82.64,0.0,0.0,0.0,307.08,2.78,229.0,1013.04,
2005,1,3,23,7.35,84.7,0.0,0.0,0.0,303.87,3.06,219.0,1013.01,
2005,1,4,0,7.41,86.76,0.0,0.0,0.0,300.65,3.34,208.0,1012.97,
2005,1,4,1,7.66,87.7,0.0,0.0,0.0,298.85,3.78,204.0,1013.04,
2005,1,4,2,7.91,88.63,0.0,0.0,0.0,297.05,4.22,200.0,1013.11,
2005,1,4,3,8.15,89.57,0.0,0.0,0.0,295.25,4.66,196.0,1013.17,
2005,1,4,4,8.11,91.01,0.0,0.0,0.0,299.07,4.42,192.0,1013.44,
2005,1,4,5,8.07,92.45,0.0,0.0,0.0,302.88,4.18,189.0,1013.7,
