Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1848,Timiryazevskiy,RUS,Russia,56.4926098827,84.9035924875,7,74.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,-7.77,69.47,0.0,0.0,0.0,266.03,5.17,183.0,1008.41,
2013,1,1,1,-8.72,70.09,0.0,0.0,0.0,258.73,5.04,188.0,1006.75,
2013,1,1,2,-9.68,70.71,0.0,0.0,0.0,251.43,4.91,192.0,1005.1,
2013,1,1,3,-10.64,71.32,0.0,0.0,0.0,244.13,4.77,197.0,1003.45,
2013,1,1,4,-11.59,71.94,0.0,0.0,0.0,236.84,4.64,205.0,1002.19,
2013,1,1,5,-12.55,72.56,0.0,0.0,0.0,229.54,4.51,212.0,1000.94,
2013,1,1,6,-13.5,73.17,0.0,0.0,0.0,222.24,4.38,220.0,999.68,
2013,1,1,7,-14.46,73.79,0.0,0.0,0.0,214.94,4.25,87.0,1024.17,
2013,1,1,8,-15.42,74.4,0.0,0.0,0.0,207.64,4.11,86.0,1024.27,
2013,1,1,9,-16.37,75.02,0.0,0.0,0.0,200.34,3.98,84.0,1024.37,
2013,1,1,10,-17.33,75.64,0.0,0.0,0.0,193.04,3.85,85.0,1024.13,
2013,1,1,11,-18.29,76.25,24.0,13.09,23.0,185.74,3.72,85.0,1023.9,
2013,1,1,12,-19.24,76.87,112.0,440.45,49.0,178.44,3.59,85.0,1023.67,
2013,1,1,13,-20.2,77.49,127.0,287.01,76.0,171.14,3.46,84.0,1023.37,
2013,1,1,14,-21.15,78.1,151.0,539.24,55.0,163.84,3.32,84.0,1023.08,
2013,1,1,15,-18.29,72.14,31.0,0.0,31.0,176.95,3.5,83.0,1022.78,
2013,1,1,16,-18.46,72.49,59.0,551.33,16.0,174.87,3.53,84.0,1022.78,
2013,1,1,17,-18.63,72.85,0.0,0.0,0.0,172.78,3.55,86.0,1022.78,
2013,1,1,18,-18.81,73.2,0.0,0.0,0.0,170.7,3.57,87.0,1022.78,
2013,1,1,19,-19.43,75.43,0.0,0.0,0.0,169.12,3.91,88.0,1023.01,
2013,1,1,20,-20.05,77.65,0.0,0.0,0.0,167.53,4.25,89.0,1023.24,
2013,1,1,21,-20.67,79.88,0.0,0.0,0.0,165.95,4.59,90.0,1023.47,
2013,1,1,22,-20.96,79.81,0.0,0.0,0.0,164.72,4.59,92.0,1023.41,
2013,1,1,23,-21.25,79.74,0.0,0.0,0.0,163.48,4.59,94.0,1023.34,
2013,1,2,0,-21.54,79.67,0.0,0.0,0.0,162.25,4.59,96.0,1023.28,
2013,1,2,1,-21.95,79.91,0.0,0.0,0.0,161.23,4.54,100.0,1023.14,
2013,1,2,2,-22.36,80.15,0.0,0.0,0.0,160.22,4.48,104.0,1023.01,
2013,1,2,3,-22.77,80.39,0.0,0.0,0.0,159.2,4.43,108.0,1022.88,
2013,1,2,4,-23.07,80.36,0.0,0.0,0.0,159.08,4.17,116.0,1022.91,
2013,1,2,5,-23.37,80.32,0.0,0.0,0.0,158.97,3.92,123.0,1022.94,
2013,1,2,6,-23.66,80.29,0.0,0.0,0.0,158.85,3.67,130.0,1022.98,
2013,1,2,7,-24.26,80.06,0.0,0.0,0.0,160.38,3.91,141.0,1023.34,
2013,1,2,8,-24.86,79.83,0.0,0.0,0.0,161.92,4.15,152.0,1023.7,
2013,1,2,9,-25.47,79.6,0.0,0.0,0.0,163.45,4.39,163.0,1024.07,
2013,1,2,10,-24.0,78.21,0.0,0.0,0.0,166.93,3.82,172.0,1024.07,
2013,1,2,11,-22.53,76.82,15.0,0.0,15.0,170.42,3.26,180.0,1024.07,
2013,1,2,12,-21.06,75.43,114.0,458.02,48.0,173.9,2.69,189.0,1024.07,
2013,1,2,13,-20.41,76.29,153.0,552.99,54.0,179.77,2.78,194.0,1024.07,
2013,1,2,14,-19.75,77.14,158.0,612.39,48.0,185.63,2.87,198.0,1024.07,
2013,1,2,15,-19.1,78.0,91.0,191.98,63.0,191.5,2.97,203.0,1024.07,
2013,1,2,16,-18.79,79.59,61.0,562.51,16.0,202.32,3.01,205.0,1024.3,
2013,1,2,17,-18.48,81.19,0.0,0.0,0.0,213.13,3.06,207.0,1024.53,
2013,1,2,18,-18.18,82.78,0.0,0.0,0.0,223.95,3.1,209.0,1024.76,
2013,1,2,19,-18.16,82.87,0.0,0.0,0.0,229.35,3.03,211.0,1025.06,
2013,1,2,20,-18.14,82.97,0.0,0.0,0.0,234.75,2.95,213.0,1025.36,
2013,1,2,21,-18.13,83.06,0.0,0.0,0.0,240.15,2.87,215.0,1025.65,
2013,1,2,22,-17.84,83.18,0.0,0.0,0.0,241.47,2.84,218.0,1025.72,
2013,1,2,23,-17.55,83.3,0.0,0.0,0.0,242.78,2.8,220.0,1025.79,
2013,1,3,0,-17.26,83.42,0.0,0.0,0.0,244.1,2.77,222.0,1025.85,
2013,1,3,1,-17.15,83.71,0.0,0.0,0.0,244.5,2.79,223.0,1025.72,
2013,1,3,2,-17.05,84.01,0.0,0.0,0.0,244.9,2.8,224.0,1025.59,
2013,1,3,3,-16.94,84.3,0.0,0.0,0.0,245.3,2.81,225.0,1025.46,
2013,1,3,4,-16.86,84.56,0.0,0.0,0.0,244.77,2.6,225.0,1025.32,
2013,1,3,5,-16.78,84.83,0.0,0.0,0.0,244.23,2.39,224.0,1025.19,
2013,1,3,6,-16.7,85.09,0.0,0.0,0.0,243.7,2.18,224.0,1025.06,
2013,1,3,7,-16.45,85.26,0.0,0.0,0.0,242.37,2.23,225.0,1025.36,
2013,1,3,8,-16.19,85.43,0.0,0.0,0.0,241.03,2.27,225.0,1025.65,
2013,1,3,9,-15.94,85.6,0.0,0.0,0.0,239.7,2.32,226.0,1025.95,
2013,1,3,10,-15.53,84.27,0.0,0.0,0.0,239.25,2.27,228.0,1025.89,
2013,1,3,11,-15.12,82.95,57.0,486.27,19.0,238.8,2.23,229.0,1025.82,
2013,1,3,12,-14.71,81.62,132.0,729.56,26.0,238.35,2.18,231.0,1025.75,
2013,1,3,13,-14.81,81.83,92.0,72.02,79.0,237.18,1.9,226.0,1025.59,
2013,1,3,14,-14.92,82.04,74.0,22.06,70.0,236.02,1.62,220.0,1025.42,
2013,1,3,15,-15.02,82.25,56.0,20.3,53.0,234.85,1.34,214.0,1025.26,
2013,1,3,16,-15.48,83.29,63.0,572.32,16.0,232.63,1.43,198.0,1025.36,
2013,1,3,17,-15.94,84.34,0.0,0.0,0.0,230.42,1.53,183.0,1025.46,
2013,1,3,18,-16.4,85.38,0.0,0.0,0.0,228.2,1.63,167.0,1025.56,
2013,1,3,19,-16.82,85.32,0.0,0.0,0.0,227.72,1.87,171.0,1025.72,
2013,1,3,20,-17.24,85.27,0.0,0.0,0.0,227.23,2.11,175.0,1025.89,
2013,1,3,21,-17.67,85.21,0.0,0.0,0.0,226.75,2.36,179.0,1026.05,
2013,1,3,22,-17.96,85.02,0.0,0.0,0.0,227.87,2.13,162.0,1025.98,
2013,1,3,23,-18.25,84.83,0.0,0.0,0.0,228.98,1.9,145.0,1025.92,
2013,1,4,0,-18.54,84.64,0.0,0.0,0.0,230.1,1.67,128.0,1025.85,
2013,1,4,1,-18.67,84.6,0.0,0.0,0.0,229.22,1.39,120.0,1025.69,
2013,1,4,2,-18.8,84.56,0.0,0.0,0.0,228.33,1.11,112.0,1025.52,
2013,1,4,3,-18.93,84.52,0.0,0.0,0.0,227.45,0.83,103.0,1025.36,
