Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3562,Velikiy Novgorod,RUS,Russia,58.4999808951,31.3300150134,4,23.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,-6.03,78.48,0.0,0.0,0.0,246.81,4.66,70.0,1036.87,
2007,1,1,1,-5.26,80.83,0.0,0.0,0.0,255.16,4.74,71.0,1037.03,
2007,1,1,2,-4.49,83.18,0.0,0.0,0.0,263.51,4.81,72.0,1037.2,
2007,1,1,3,-3.73,85.52,0.0,0.0,0.0,271.87,4.89,73.0,1037.37,
2007,1,1,4,-2.96,87.87,0.0,0.0,0.0,280.22,4.96,223.0,991.16,
2007,1,1,5,-2.19,90.22,0.0,0.0,0.0,288.57,5.04,238.0,991.43,
2007,1,1,6,-1.43,92.56,0.0,0.0,0.0,296.92,5.11,252.0,991.69,
2007,1,1,7,-0.66,94.91,0.0,0.0,0.0,305.27,5.19,260.0,992.12,
2007,1,1,8,0.11,97.26,0.0,0.0,0.0,313.63,5.26,268.0,992.56,
2007,1,1,9,0.87,99.6,0.0,0.0,0.0,321.98,5.34,277.0,992.99,
2007,1,1,10,1.64,100.0,0.0,0.0,0.0,330.33,5.41,275.0,993.22,
2007,1,1,11,2.41,100.0,0.0,0.0,0.0,338.68,5.49,273.0,993.45,
2007,1,1,12,1.14,96.92,19.0,0.0,19.0,316.8,5.53,271.0,993.69,
2007,1,1,13,1.13,96.75,21.0,0.0,21.0,317.52,5.34,265.0,993.65,
2007,1,1,14,1.12,96.58,11.0,0.0,11.0,318.23,5.15,260.0,993.62,
2007,1,1,15,1.11,96.41,48.0,24.32,45.0,318.95,4.97,254.0,993.59,
2007,1,1,16,1.28,96.54,9.0,0.0,9.0,318.8,4.96,244.0,993.09,
2007,1,1,17,1.45,96.66,0.0,0.0,0.0,318.65,4.96,233.0,992.59,
2007,1,1,18,1.62,96.79,0.0,0.0,0.0,318.5,4.95,223.0,992.09,
2007,1,1,19,1.42,97.14,0.0,0.0,0.0,318.5,5.42,212.0,991.16,
2007,1,1,20,1.22,97.49,0.0,0.0,0.0,318.5,5.88,202.0,990.23,
2007,1,1,21,1.02,97.84,0.0,0.0,0.0,318.5,6.34,191.0,989.3,
2007,1,1,22,1.22,97.88,0.0,0.0,0.0,318.3,6.36,194.0,988.3,
2007,1,1,23,1.42,97.92,0.0,0.0,0.0,318.1,6.37,197.0,987.3,
2007,1,2,0,1.62,97.96,0.0,0.0,0.0,317.9,6.39,200.0,986.31,
2007,1,2,1,1.84,96.74,0.0,0.0,0.0,315.38,6.42,204.0,985.57,
2007,1,2,2,2.07,95.52,0.0,0.0,0.0,312.87,6.46,207.0,984.84,
2007,1,2,3,2.29,94.3,0.0,0.0,0.0,310.35,6.5,211.0,984.11,
2007,1,2,4,2.57,94.35,0.0,0.0,0.0,304.58,6.75,212.0,983.68,
2007,1,2,5,2.85,94.41,0.0,0.0,0.0,298.82,7.0,212.0,983.25,
2007,1,2,6,3.13,94.46,0.0,0.0,0.0,293.05,7.26,213.0,982.82,
2007,1,2,7,3.28,94.77,0.0,0.0,0.0,299.33,7.66,213.0,982.32,
2007,1,2,8,3.43,95.08,0.0,0.0,0.0,305.62,8.06,213.0,981.82,
2007,1,2,9,3.58,95.39,0.0,0.0,0.0,311.9,8.47,213.0,981.32,
2007,1,2,10,3.44,95.29,0.0,0.0,0.0,315.28,8.35,213.0,981.25,
2007,1,2,11,3.3,95.19,0.0,0.0,0.0,318.67,8.23,214.0,981.19,
2007,1,2,12,3.16,95.09,23.0,0.0,23.0,322.05,8.11,215.0,981.12,
2007,1,2,13,2.94,95.4,30.0,0.0,30.0,321.75,7.74,218.0,981.39,
2007,1,2,14,2.71,95.71,19.0,0.0,19.0,321.45,7.37,221.0,981.65,
2007,1,2,15,2.48,96.02,9.0,0.0,9.0,321.15,6.99,224.0,981.92,
2007,1,2,16,2.48,96.1,4.0,0.0,4.0,321.77,6.95,230.0,982.85,
2007,1,2,17,2.48,96.19,0.0,0.0,0.0,322.38,6.91,236.0,983.78,
2007,1,2,18,2.48,96.27,0.0,0.0,0.0,323.0,6.87,242.0,984.71,
2007,1,2,19,2.15,96.9,0.0,0.0,0.0,322.57,6.85,243.0,985.14,
2007,1,2,20,1.83,97.52,0.0,0.0,0.0,322.13,6.83,244.0,985.57,
2007,1,2,21,1.5,98.15,0.0,0.0,0.0,321.7,6.81,245.0,986.01,
2007,1,2,22,1.51,98.23,0.0,0.0,0.0,321.13,7.13,249.0,986.77,
2007,1,2,23,1.53,98.3,0.0,0.0,0.0,320.57,7.44,254.0,987.54,
2007,1,3,0,1.55,98.38,0.0,0.0,0.0,320.0,7.75,258.0,988.3,
2007,1,3,1,1.6,97.85,0.0,0.0,0.0,319.37,7.69,260.0,989.26,
2007,1,3,2,1.66,97.32,0.0,0.0,0.0,318.73,7.62,262.0,990.23,
2007,1,3,3,1.72,96.79,0.0,0.0,0.0,318.1,7.56,264.0,991.19,
2007,1,3,4,1.84,96.67,0.0,0.0,0.0,318.57,7.18,263.0,992.29,
2007,1,3,5,1.96,96.56,0.0,0.0,0.0,319.03,6.8,263.0,993.39,
2007,1,3,6,2.08,96.44,0.0,0.0,0.0,319.5,6.43,262.0,994.48,
2007,1,3,7,2.05,96.55,0.0,0.0,0.0,318.98,6.18,256.0,994.82,
2007,1,3,8,2.03,96.66,0.0,0.0,0.0,318.47,5.93,251.0,995.15,
2007,1,3,9,2.0,96.77,0.0,0.0,0.0,317.95,5.68,246.0,995.48,
2007,1,3,10,1.96,96.75,0.0,0.0,0.0,317.35,6.09,243.0,995.85,
2007,1,3,11,1.93,96.72,0.0,0.0,0.0,316.75,6.5,241.0,996.21,
2007,1,3,12,1.89,96.7,42.0,50.74,37.0,316.15,6.91,239.0,996.58,
2007,1,3,13,1.81,96.81,76.0,121.12,59.0,313.22,6.91,241.0,996.74,
2007,1,3,14,1.73,96.91,19.0,0.0,19.0,310.28,6.91,243.0,996.91,
2007,1,3,15,1.64,97.02,12.0,0.0,12.0,307.35,6.91,245.0,997.08,
2007,1,3,16,1.72,97.1,7.0,0.0,7.0,307.58,6.43,246.0,997.64,
2007,1,3,17,1.8,97.18,0.0,0.0,0.0,307.82,5.95,246.0,998.21,
2007,1,3,18,1.88,97.26,0.0,0.0,0.0,308.05,5.48,247.0,998.77,
2007,1,3,19,1.54,97.13,0.0,0.0,0.0,312.15,5.45,250.0,999.2,
2007,1,3,20,1.21,97.01,0.0,0.0,0.0,316.25,5.42,253.0,999.64,
2007,1,3,21,0.88,96.88,0.0,0.0,0.0,320.35,5.39,256.0,1000.07,
2007,1,3,22,0.5,96.71,0.0,0.0,0.0,317.15,5.27,258.0,1000.47,
2007,1,3,23,0.12,96.54,0.0,0.0,0.0,313.95,5.15,259.0,1000.87,
2007,1,4,0,-0.26,96.37,0.0,0.0,0.0,310.75,5.03,260.0,1001.27,
2007,1,4,1,-0.49,95.85,0.0,0.0,0.0,309.07,4.89,261.0,1001.66,
2007,1,4,2,-0.71,95.32,0.0,0.0,0.0,307.38,4.74,261.0,1002.06,
2007,1,4,3,-0.94,94.8,0.0,0.0,0.0,305.7,4.59,262.0,1002.46,
2007,1,4,4,-0.93,94.46,0.0,0.0,0.0,302.68,4.28,261.0,1002.73,
2007,1,4,5,-0.91,94.12,0.0,0.0,0.0,299.67,3.96,260.0,1002.99,
