Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1967,Volsk,RUS,Russia,52.0347166129,47.3743070056,4,62.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2014,1,1,0,-16.99,84.49,0.0,0.0,0.0,189.65,4.19,268.0,1014.11,
2014,1,1,1,-15.29,85.17,0.0,0.0,0.0,198.42,4.14,260.0,1013.45,
2014,1,1,2,-13.6,85.86,0.0,0.0,0.0,207.19,4.08,252.0,1012.79,
2014,1,1,3,-11.9,86.54,0.0,0.0,0.0,215.97,4.03,244.0,1012.13,
2014,1,1,4,-10.2,87.23,0.0,0.0,0.0,224.74,3.98,322.0,1019.8,
2014,1,1,5,-8.5,87.91,0.0,0.0,0.0,233.52,3.93,319.0,1020.23,
2014,1,1,6,-6.8,88.6,0.0,0.0,0.0,242.29,3.88,317.0,1020.66,
2014,1,1,7,-5.11,89.28,0.0,0.0,0.0,251.07,3.83,318.0,1021.06,
2014,1,1,8,-3.41,89.97,0.0,0.0,0.0,259.84,3.78,318.0,1021.46,
2014,1,1,9,-1.71,90.65,0.0,0.0,0.0,268.62,3.73,318.0,1021.86,
2014,1,1,10,-0.01,91.34,28.0,11.07,27.0,277.39,3.68,319.0,1022.02,
2014,1,1,11,1.68,92.02,25.0,0.0,25.0,286.17,3.63,319.0,1022.19,
2014,1,1,12,-0.46,86.1,139.0,117.6,111.0,241.6,2.98,319.0,1022.35,
2014,1,1,13,-0.62,86.34,215.0,453.35,98.0,250.72,2.91,317.0,1022.48,
2014,1,1,14,-0.79,86.58,136.0,104.4,111.0,259.83,2.83,314.0,1022.62,
2014,1,1,15,-0.96,86.82,88.0,59.93,77.0,268.95,2.76,312.0,1022.75,
2014,1,1,16,-1.86,87.4,47.0,116.89,36.0,257.27,2.99,308.0,1023.18,
2014,1,1,17,-2.77,87.97,0.0,0.0,0.0,245.58,3.22,304.0,1023.61,
2014,1,1,18,-3.67,88.55,0.0,0.0,0.0,233.9,3.45,300.0,1024.04,
2014,1,1,19,-3.64,88.46,0.0,0.0,0.0,238.3,3.42,295.0,1024.04,
2014,1,1,20,-3.61,88.38,0.0,0.0,0.0,242.7,3.38,290.0,1024.04,
2014,1,1,21,-3.58,88.29,0.0,0.0,0.0,247.1,3.35,286.0,1024.04,
2014,1,1,22,-3.4,87.89,0.0,0.0,0.0,253.18,3.29,283.0,1024.01,
2014,1,1,23,-3.23,87.5,0.0,0.0,0.0,259.27,3.22,281.0,1023.97,
2014,1,2,0,-3.06,87.1,0.0,0.0,0.0,265.35,3.16,278.0,1023.94,
2014,1,2,1,-3.04,87.01,0.0,0.0,0.0,268.72,3.26,275.0,1023.71,
2014,1,2,2,-3.02,86.92,0.0,0.0,0.0,272.08,3.35,272.0,1023.48,
2014,1,2,3,-3.0,86.83,0.0,0.0,0.0,275.45,3.45,269.0,1023.25,
2014,1,2,4,-2.79,87.03,0.0,0.0,0.0,276.38,3.38,268.0,1023.05,
2014,1,2,5,-2.58,87.24,0.0,0.0,0.0,277.32,3.32,268.0,1022.85,
2014,1,2,6,-2.37,87.44,0.0,0.0,0.0,278.25,3.26,268.0,1022.65,
2014,1,2,7,-2.4,87.83,0.0,0.0,0.0,279.55,3.43,268.0,1022.82,
2014,1,2,8,-2.44,88.22,0.0,0.0,0.0,280.85,3.6,269.0,1022.98,
2014,1,2,9,-2.47,88.61,0.0,0.0,0.0,282.15,3.77,270.0,1023.15,
2014,1,2,10,-2.07,87.44,11.0,0.0,11.0,282.17,3.68,270.0,1022.98,
2014,1,2,11,-1.66,86.26,22.0,0.0,22.0,282.18,3.6,271.0,1022.82,
2014,1,2,12,-1.26,85.09,46.0,0.0,46.0,282.2,3.52,271.0,1022.65,
2014,1,2,13,-1.56,85.27,220.0,485.52,94.0,276.4,3.31,273.0,1022.65,
2014,1,2,14,-1.86,85.46,159.0,194.87,112.0,270.6,3.09,276.0,1022.65,
2014,1,2,15,-2.17,85.64,104.0,113.21,83.0,264.8,2.88,278.0,1022.65,
2014,1,2,16,-2.94,86.84,52.0,155.88,37.0,257.48,3.01,282.0,1022.95,
2014,1,2,17,-3.72,88.03,0.0,0.0,0.0,250.17,3.13,286.0,1023.25,
2014,1,2,18,-4.5,89.23,0.0,0.0,0.0,242.85,3.26,290.0,1023.54,
2014,1,2,19,-5.36,89.83,0.0,0.0,0.0,236.38,3.08,296.0,1023.58,
2014,1,2,20,-6.23,90.42,0.0,0.0,0.0,229.92,2.91,301.0,1023.61,
2014,1,2,21,-7.09,91.02,0.0,0.0,0.0,223.45,2.73,307.0,1023.64,
2014,1,2,22,-7.32,91.17,0.0,0.0,0.0,225.07,2.49,309.0,1023.91,
2014,1,2,23,-7.55,91.31,0.0,0.0,0.0,226.68,2.25,311.0,1024.17,
2014,1,3,0,-7.78,91.46,0.0,0.0,0.0,228.3,2.01,314.0,1024.44,
2014,1,3,1,-7.64,91.49,0.0,0.0,0.0,235.75,2.04,319.0,1024.54,
2014,1,3,2,-7.49,91.52,0.0,0.0,0.0,243.2,2.07,325.0,1024.64,
2014,1,3,3,-7.35,91.55,0.0,0.0,0.0,250.65,2.1,331.0,1024.73,
2014,1,3,4,-6.72,90.34,0.0,0.0,0.0,255.33,2.06,329.0,1024.93,
2014,1,3,5,-6.09,89.12,0.0,0.0,0.0,260.02,2.01,327.0,1025.13,
2014,1,3,6,-5.46,87.91,0.0,0.0,0.0,264.7,1.97,324.0,1025.33,
2014,1,3,7,-5.38,87.6,0.0,0.0,0.0,266.65,1.61,349.0,1025.63,
