Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4070,Zlatoust,RUS,Russia,55.1749900504,59.6499918201,6,549.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,-24.78,83.09,0.0,0.0,0.0,195.5,2.33,48.0,973.44,
2015,1,1,1,-24.35,82.71,0.0,0.0,0.0,196.3,2.47,48.0,973.66,
2015,1,1,2,-23.92,82.33,0.0,0.0,0.0,197.11,2.62,47.0,973.88,
2015,1,1,3,-23.48,81.94,0.0,0.0,0.0,197.91,2.76,47.0,973.97,
2015,1,1,4,-23.05,81.56,0.0,0.0,0.0,198.71,2.9,47.0,974.07,
2015,1,1,5,-22.62,81.17,0.0,0.0,0.0,199.52,3.05,47.0,974.16,
2015,1,1,6,-22.18,80.79,0.0,0.0,0.0,200.32,3.19,304.0,946.72,
2015,1,1,7,-21.75,80.41,0.0,0.0,0.0,201.12,3.33,304.0,946.91,
2015,1,1,8,-21.32,80.02,0.0,0.0,0.0,201.93,3.48,304.0,947.09,
2015,1,1,9,-20.88,79.64,0.0,0.0,0.0,202.73,3.62,300.0,947.44,
2015,1,1,10,-20.45,79.25,0.0,0.0,0.0,203.54,3.77,296.0,947.78,
2015,1,1,11,-20.02,78.87,0.0,0.0,0.0,204.34,3.91,293.0,948.12,
2015,1,1,12,-19.59,78.49,38.0,0.0,38.0,205.14,4.05,293.0,947.97,
2015,1,1,13,-19.15,78.1,65.0,0.0,65.0,205.95,4.2,294.0,947.81,
2015,1,1,14,-18.99,71.72,30.0,0.0,30.0,188.05,2.87,295.0,947.65,
2015,1,1,15,-19.08,73.82,75.0,0.0,75.0,185.37,2.95,290.0,947.78,
2015,1,1,16,-19.17,75.92,52.0,0.0,52.0,182.68,3.03,286.0,947.9,
2015,1,1,17,-19.26,78.02,15.0,0.0,15.0,180.0,3.1,281.0,948.03,
2015,1,1,18,-19.83,78.2,0.0,0.0,0.0,183.53,2.87,279.0,948.22,
2015,1,1,19,-20.39,78.38,0.0,0.0,0.0,187.07,2.63,277.0,948.4,
2015,1,1,20,-20.96,78.56,0.0,0.0,0.0,190.6,2.4,275.0,948.59,
2015,1,1,21,-20.85,78.69,0.0,0.0,0.0,196.15,2.22,266.0,948.56,
2015,1,1,22,-20.74,78.81,0.0,0.0,0.0,201.7,2.04,257.0,948.53,
2015,1,1,23,-20.62,78.94,0.0,0.0,0.0,207.25,1.86,248.0,948.5,
2015,1,2,0,-20.4,79.12,0.0,0.0,0.0,213.35,1.62,244.0,948.5,
2015,1,2,1,-20.18,79.31,0.0,0.0,0.0,219.45,1.37,240.0,948.5,
2015,1,2,2,-19.96,79.49,0.0,0.0,0.0,225.55,1.13,236.0,948.5,
2015,1,2,3,-19.71,79.34,0.0,0.0,0.0,227.77,1.26,233.0,948.34,
2015,1,2,4,-19.46,79.2,0.0,0.0,0.0,229.98,1.38,230.0,948.19,
2015,1,2,5,-19.21,79.05,0.0,0.0,0.0,232.2,1.5,228.0,948.03,
2015,1,2,6,-19.84,79.6,0.0,0.0,0.0,228.52,1.49,220.0,948.22,
2015,1,2,7,-20.48,80.15,0.0,0.0,0.0,224.83,1.47,213.0,948.4,
2015,1,2,8,-21.12,80.7,0.0,0.0,0.0,221.15,1.45,206.0,948.59,
2015,1,2,9,-21.12,80.84,0.0,0.0,0.0,220.13,1.37,265.0,948.75,
2015,1,2,10,-21.13,80.99,0.0,0.0,0.0,219.12,1.29,325.0,948.9,
2015,1,2,11,-21.13,81.13,0.0,0.0,0.0,218.1,1.21,25.0,949.06,
2015,1,2,12,-20.26,79.15,49.0,0.0,49.0,213.83,1.23,42.0,949.09,
2015,1,2,13,-19.39,77.18,64.0,0.0,64.0,209.57,1.25,60.0,949.12,
2015,1,2,14,-18.52,75.2,89.0,0.0,89.0,205.3,1.27,77.0,949.15,
2015,1,2,15,-18.81,76.66,70.0,0.0,70.0,199.9,1.28,92.0,949.28,
2015,1,2,16,-19.11,78.13,58.0,0.0,58.0,194.5,1.3,108.0,949.4,
2015,1,2,17,-19.4,79.59,24.0,0.0,24.0,189.1,1.31,123.0,949.53,
2015,1,2,18,-20.78,79.85,0.0,0.0,0.0,181.15,1.19,143.0,949.96,
2015,1,2,19,-22.17,80.11,0.0,0.0,0.0,173.2,1.07,163.0,950.4,
2015,1,2,20,-23.55,80.37,0.0,0.0,0.0,165.25,0.95,182.0,950.84,
2015,1,2,21,-24.13,80.59,0.0,0.0,0.0,163.68,1.15,189.0,950.62,
2015,1,2,22,-24.72,80.82,0.0,0.0,0.0,162.12,1.36,196.0,950.4,
2015,1,2,23,-25.3,81.04,0.0,0.0,0.0,160.55,1.56,203.0,950.18,
2015,1,3,0,-24.9,80.81,0.0,0.0,0.0,161.07,1.54,203.0,949.93,
2015,1,3,1,-24.49,80.57,0.0,0.0,0.0,161.58,1.53,203.0,949.68,
2015,1,3,2,-24.09,80.34,0.0,0.0,0.0,162.1,1.52,203.0,949.43,
2015,1,3,3,-22.9,79.91,0.0,0.0,0.0,170.92,1.73,201.0,949.22,
2015,1,3,4,-21.72,79.47,0.0,0.0,0.0,179.73,1.94,198.0,949.0,
2015,1,3,5,-20.54,79.04,0.0,0.0,0.0,188.55,2.15,196.0,948.78,
2015,1,3,6,-20.22,78.94,0.0,0.0,0.0,191.85,2.38,196.0,948.47,
2015,1,3,7,-19.9,78.84,0.0,0.0,0.0,195.15,2.61,196.0,948.15,
2015,1,3,8,-19.58,78.74,0.0,0.0,0.0,198.45,2.84,196.0,947.84,
2015,1,3,9,-18.06,78.68,0.0,0.0,0.0,209.17,2.68,196.0,947.25,
2015,1,3,10,-16.55,78.63,0.0,0.0,0.0,219.88,2.51,196.0,946.66,
2015,1,3,11,-15.03,78.57,0.0,0.0,0.0,230.6,2.34,196.0,946.06,
2015,1,3,12,-13.8,77.46,50.0,0.0,50.0,240.32,2.39,196.0,944.91,
2015,1,3,13,-12.57,76.35,74.0,0.0,74.0,250.03,2.44,197.0,943.75,
2015,1,3,14,-11.34,75.24,17.0,0.0,17.0,259.75,2.48,197.0,942.6,
2015,1,3,15,-10.71,75.64,16.0,0.0,16.0,263.0,2.41,198.0,941.72,
2015,1,3,16,-10.09,76.04,11.0,0.0,11.0,266.25,2.34,199.0,940.85,
2015,1,3,17,-9.46,76.44,4.0,0.0,4.0,269.5,2.26,199.0,939.97,
2015,1,3,18,-9.28,76.18,0.0,0.0,0.0,266.07,2.46,200.0,939.38,
2015,1,3,19,-9.09,75.92,0.0,0.0,0.0,262.63,2.65,200.0,938.79,
2015,1,3,20,-8.91,75.66,0.0,0.0,0.0,259.2,2.84,201.0,938.19,
2015,1,3,21,-8.52,76.19,0.0,0.0,0.0,261.85,2.87,202.0,937.23,
2015,1,3,22,-8.13,76.72,0.0,0.0,0.0,264.5,2.91,203.0,936.26,
2015,1,3,23,-7.74,77.25,0.0,0.0,0.0,267.15,2.94,205.0,935.29,
2015,1,4,0,-7.34,78.25,0.0,0.0,0.0,270.4,2.86,208.0,934.76,
2015,1,4,1,-6.94,79.26,0.0,0.0,0.0,273.65,2.78,211.0,934.23,
2015,1,4,2,-6.54,80.26,0.0,0.0,0.0,276.9,2.7,214.0,933.7,
2015,1,4,3,-6.05,80.57,0.0,0.0,0.0,279.55,2.56,216.0,933.39,
2015,1,4,4,-5.56,80.88,0.0,0.0,0.0,282.2,2.42,218.0,933.07,
2015,1,4,5,-5.08,81.19,0.0,0.0,0.0,284.85,2.28,219.0,932.76,
2015,1,4,6,-4.8,81.34,0.0,0.0,0.0,284.52,2.65,221.0,932.73,
2015,1,4,7,-4.53,81.5,0.0,0.0,0.0,284.18,3.03,223.0,932.7,
2015,1,4,8,-4.26,81.65,0.0,0.0,0.0,283.85,3.41,225.0,932.67,
2015,1,4,9,-4.02,81.88,0.0,0.0,0.0,286.58,3.25,224.0,932.79,
2015,1,4,10,-3.79,82.1,0.0,0.0,0.0,289.32,3.09,224.0,932.92,
2015,1,4,11,-3.55,82.33,0.0,0.0,0.0,292.05,2.94,224.0,933.04,
2015,1,4,12,-3.4,82.33,9.0,0.0,9.0,292.92,2.8,225.0,933.11,
2015,1,4,13,-3.24,82.33,14.0,0.0,14.0,293.78,2.67,226.0,933.17,
2015,1,4,14,-3.08,82.33,17.0,0.0,17.0,294.65,2.54,227.0,933.23,
2015,1,4,15,-3.08,83.78,16.0,0.0,16.0,295.17,2.42,229.0,933.45,
2015,1,4,16,-3.09,85.23,17.0,0.0,17.0,295.68,2.3,230.0,933.67,
2015,1,4,17,-3.09,86.68,5.0,0.0,5.0,296.2,2.18,232.0,933.89,
2015,1,4,18,-3.18,88.28,0.0,0.0,0.0,297.0,2.34,233.0,934.32,
2015,1,4,19,-3.28,89.89,0.0,0.0,0.0,297.8,2.5,233.0,934.76,
2015,1,4,20,-3.37,91.49,0.0,0.0,0.0,298.6,2.66,234.0,935.2,
2015,1,4,21,-3.39,91.6,0.0,0.0,0.0,298.48,2.73,233.0,935.23,
2015,1,4,22,-3.41,91.71,0.0,0.0,0.0,298.37,2.79,232.0,935.26,
2015,1,4,23,-3.43,91.82,0.0,0.0,0.0,298.25,2.86,231.0,935.29,
2015,1,5,0,-3.54,90.8,0.0,0.0,0.0,296.42,2.99,232.0,935.35,
2015,1,5,1,-3.64,89.78,0.0,0.0,0.0,294.58,3.12,233.0,935.42,
2015,1,5,2,-3.75,88.76,0.0,0.0,0.0,292.75,3.26,234.0,935.48,
2015,1,5,3,-3.78,86.94,0.0,0.0,0.0,289.28,3.14,235.0,935.63,
2015,1,5,4,-3.82,85.12,0.0,0.0,0.0,285.82,3.02,236.0,935.79,
2015,1,5,5,-3.86,83.3,0.0,0.0,0.0,282.35,2.9,237.0,935.95,
2015,1,5,6,-3.8,84.1,0.0,0.0,0.0,273.85,3.12,234.0,936.1,
2015,1,5,7,-3.75,84.89,0.0,0.0,0.0,265.35,3.34,231.0,936.26,
2015,1,5,8,-3.7,85.69,0.0,0.0,0.0,256.85,3.56,228.0,936.42,
2015,1,5,9,-3.56,84.07,0.0,0.0,0.0,257.73,3.52,228.0,936.7,
2015,1,5,10,-3.42,82.46,0.0,0.0,0.0,258.62,3.49,228.0,936.98,
2015,1,5,11,-3.28,80.84,0.0,0.0,0.0,259.5,3.45,228.0,937.26,
2015,1,5,12,-3.17,78.53,35.0,0.0,35.0,261.33,3.41,231.0,937.41,
2015,1,5,13,-3.05,76.21,73.0,0.0,73.0,263.17,3.37,234.0,937.57,
2015,1,5,14,-2.94,73.9,17.0,0.0,17.0,265.0,3.32,237.0,937.73,
2015,1,5,15,-3.16,75.23,25.0,0.0,25.0,264.13,3.27,236.0,938.13,
2015,1,5,16,-3.38,76.56,19.0,0.0,19.0,263.27,3.21,234.0,938.54,
2015,1,5,17,-3.6,77.89,14.0,0.0,14.0,262.4,3.16,233.0,938.94,
2015,1,5,18,-3.81,79.04,0.0,0.0,0.0,254.63,3.54,231.0,939.41,
2015,1,5,19,-4.02,80.2,0.0,0.0,0.0,246.87,3.92,229.0,939.88,
2015,1,5,20,-4.23,81.35,0.0,0.0,0.0,239.1,4.3,228.0,940.35,
2015,1,5,21,-4.41,81.36,0.0,0.0,0.0,241.75,4.12,228.0,940.6,
2015,1,5,22,-4.59,81.37,0.0,0.0,0.0,244.4,3.94,228.0,940.85,
2015,1,5,23,-4.77,81.38,0.0,0.0,0.0,247.05,3.75,229.0,941.1,
2015,1,6,0,-4.92,81.19,0.0,0.0,0.0,253.1,3.54,229.0,941.54,
2015,1,6,1,-5.07,80.99,0.0,0.0,0.0,259.15,3.32,229.0,941.97,
2015,1,6,2,-5.22,80.8,0.0,0.0,0.0,265.2,3.1,228.0,942.41,
2015,1,6,3,-5.06,81.05,0.0,0.0,0.0,265.78,2.97,224.0,942.53,
2015,1,6,4,-4.91,81.3,0.0,0.0,0.0,266.37,2.84,219.0,942.66,
2015,1,6,5,-4.76,81.55,0.0,0.0,0.0,266.95,2.7,215.0,942.78,
2015,1,6,6,-4.76,83.14,0.0,0.0,0.0,265.15,2.69,207.0,942.57,
2015,1,6,7,-4.77,84.72,0.0,0.0,0.0,263.35,2.68,199.0,942.35,
2015,1,6,8,-4.78,86.31,0.0,0.0,0.0,261.55,2.66,192.0,942.13,
2015,1,6,9,-4.56,86.12,0.0,0.0,0.0,266.95,2.86,190.0,941.66,
2015,1,6,10,-4.34,85.94,0.0,0.0,0.0,272.35,3.05,188.0,941.19,
2015,1,6,11,-4.11,85.75,0.0,0.0,0.0,277.75,3.24,187.0,940.72,
2015,1,6,12,-4.23,84.29,37.0,0.0,37.0,278.73,3.17,189.0,939.94,
2015,1,6,13,-4.34,82.83,22.0,0.0,22.0,279.72,3.1,192.0,939.16,
2015,1,6,14,-4.45,81.37,60.0,0.0,60.0,280.7,3.03,194.0,938.38,
2015,1,6,15,-4.59,81.01,27.0,0.0,27.0,279.85,2.7,198.0,937.98,
2015,1,6,16,-4.74,80.65,12.0,0.0,12.0,279.0,2.36,201.0,937.57,
2015,1,6,17,-4.88,80.29,5.0,0.0,5.0,278.15,2.03,205.0,937.16,
2015,1,6,18,-4.84,80.25,0.0,0.0,0.0,272.95,2.79,214.0,936.67,
2015,1,6,19,-4.8,80.2,0.0,0.0,0.0,267.75,3.54,223.0,936.17,
2015,1,6,20,-4.76,80.16,0.0,0.0,0.0,262.55,4.3,232.0,935.67,
2015,1,6,21,-4.84,81.4,0.0,0.0,0.0,259.12,4.67,239.0,936.01,
2015,1,6,22,-4.92,82.64,0.0,0.0,0.0,255.68,5.03,247.0,936.35,
2015,1,6,23,-4.99,83.88,0.0,0.0,0.0,252.25,5.39,254.0,936.7,
2015,1,7,0,-5.44,83.25,0.0,0.0,0.0,249.93,5.32,257.0,937.57,
2015,1,7,1,-5.88,82.63,0.0,0.0,0.0,247.62,5.26,260.0,938.44,
2015,1,7,2,-6.33,82.0,0.0,0.0,0.0,245.3,5.19,263.0,939.32,
2015,1,7,3,-6.61,81.65,0.0,0.0,0.0,243.22,4.97,263.0,940.32,
2015,1,7,4,-6.89,81.29,0.0,0.0,0.0,241.13,4.74,264.0,941.32,
2015,1,7,5,-7.18,80.94,0.0,0.0,0.0,239.05,4.52,265.0,942.32,
2015,1,7,6,-7.71,80.88,0.0,0.0,0.0,239.07,4.09,266.0,943.28,
2015,1,7,7,-8.25,80.83,0.0,0.0,0.0,239.08,3.65,267.0,944.25,
2015,1,7,8,-8.79,80.77,0.0,0.0,0.0,239.1,3.21,268.0,945.22,
2015,1,7,9,-9.01,80.88,0.0,0.0,0.0,237.97,3.14,267.0,945.75,
2015,1,7,10,-9.23,80.98,0.0,0.0,0.0,236.83,3.06,265.0,946.28,
2015,1,7,11,-9.45,81.09,0.0,0.0,0.0,235.7,2.98,264.0,946.81,
2015,1,7,12,-9.34,79.59,38.0,0.0,38.0,238.48,2.73,263.0,947.06,
2015,1,7,13,-9.22,78.09,62.0,0.0,62.0,241.27,2.47,261.0,947.31,
2015,1,7,14,-9.1,76.59,21.0,0.0,21.0,244.05,2.22,260.0,947.56,
2015,1,7,15,-9.44,78.33,17.0,0.0,17.0,245.15,2.27,262.0,947.75,
2015,1,7,16,-9.78,80.08,26.0,0.0,26.0,246.25,2.32,264.0,947.94,
2015,1,7,17,-10.12,81.82,12.0,0.0,12.0,247.35,2.37,266.0,948.12,
2015,1,7,18,-11.21,82.37,0.0,0.0,0.0,241.55,2.51,282.0,948.53,
2015,1,7,19,-12.31,82.92,0.0,0.0,0.0,235.75,2.66,299.0,948.93,
2015,1,7,20,-13.4,83.47,0.0,0.0,0.0,229.95,2.8,315.0,949.34,
2015,1,7,21,-13.82,83.86,0.0,0.0,0.0,232.2,2.72,324.0,949.59,
2015,1,7,22,-14.24,84.24,0.0,0.0,0.0,234.45,2.63,332.0,949.84,
2015,1,7,23,-14.66,84.63,0.0,0.0,0.0,236.7,2.55,340.0,950.09,
2015,1,8,0,-15.1,84.1,0.0,0.0,0.0,240.37,2.95,343.0,950.37,
2015,1,8,1,-15.54,83.57,0.0,0.0,0.0,244.03,3.34,346.0,950.65,
2015,1,8,2,-15.98,83.04,0.0,0.0,0.0,247.7,3.74,350.0,950.93,
2015,1,8,3,-16.42,81.94,0.0,0.0,0.0,249.07,3.27,350.0,951.15,
2015,1,8,4,-16.86,80.85,0.0,0.0,0.0,250.43,2.81,349.0,951.37,
2015,1,8,5,-17.31,79.75,0.0,0.0,0.0,251.8,2.34,349.0,951.59,
2015,1,8,6,-17.54,79.86,0.0,0.0,0.0,251.33,2.29,352.0,951.65,
2015,1,8,7,-17.77,79.97,0.0,0.0,0.0,250.87,2.23,354.0,951.71,
2015,1,8,8,-18.01,80.08,0.0,0.0,0.0,250.4,2.17,357.0,951.78,
2015,1,8,9,-18.57,79.49,0.0,0.0,0.0,247.18,2.13,354.0,951.9,
2015,1,8,10,-19.14,78.89,0.0,0.0,0.0,243.97,2.1,352.0,952.03,
2015,1,8,11,-19.7,78.3,0.0,0.0,0.0,240.75,2.07,350.0,952.15,
2015,1,8,12,-19.66,75.46,29.0,0.0,29.0,233.87,2.1,347.0,951.87,
2015,1,8,13,-19.61,72.63,48.0,0.0,48.0,226.98,2.12,345.0,951.59,
2015,1,8,14,-19.57,69.79,157.0,295.42,93.0,220.1,2.15,342.0,951.31,
2015,1,8,15,-20.05,72.36,70.0,0.0,70.0,213.18,2.19,340.0,951.28,
2015,1,8,16,-20.54,74.94,60.0,0.0,60.0,206.27,2.23,338.0,951.24,
2015,1,8,17,-21.02,77.51,28.0,0.0,28.0,199.35,2.26,336.0,951.21,
2015,1,8,18,-22.22,77.14,0.0,0.0,0.0,190.05,2.97,327.0,951.03,
2015,1,8,19,-23.42,76.77,0.0,0.0,0.0,180.75,3.68,318.0,950.84,
2015,1,8,20,-24.62,76.4,0.0,0.0,0.0,171.45,4.39,309.0,950.65,
2015,1,8,21,-25.04,76.41,0.0,0.0,0.0,164.27,4.47,304.0,950.37,
2015,1,8,22,-25.46,76.41,0.0,0.0,0.0,157.08,4.55,298.0,950.09,
2015,1,8,23,-25.88,76.42,0.0,0.0,0.0,149.9,4.63,292.0,949.81,
2015,1,9,0,-25.96,76.47,0.0,0.0,0.0,148.87,4.43,287.0,949.4,
2015,1,9,1,-26.04,76.52,0.0,0.0,0.0,147.83,4.22,282.0,949.0,
2015,1,9,2,-26.12,76.57,0.0,0.0,0.0,146.8,4.01,277.0,948.59,
2015,1,9,3,-25.61,76.92,0.0,0.0,0.0,148.02,3.66,271.0,948.25,
2015,1,9,4,-25.1,77.27,0.0,0.0,0.0,149.23,3.31,266.0,947.9,
2015,1,9,5,-24.59,77.62,0.0,0.0,0.0,150.45,2.95,261.0,947.56,
2015,1,9,6,-23.5,76.99,0.0,0.0,0.0,157.62,2.78,260.0,947.12,
2015,1,9,7,-22.41,76.35,0.0,0.0,0.0,164.78,2.61,259.0,946.69,
2015,1,9,8,-21.33,75.72,0.0,0.0,0.0,171.95,2.44,258.0,946.25,
2015,1,9,9,-21.09,73.95,0.0,0.0,0.0,182.42,2.65,259.0,946.19,
2015,1,9,10,-20.85,72.19,0.0,0.0,0.0,192.88,2.86,261.0,946.12,
2015,1,9,11,-20.6,70.42,0.0,0.0,0.0,203.35,3.06,262.0,946.06,
2015,1,9,12,-20.27,68.42,34.0,0.0,34.0,205.7,2.98,264.0,945.84,
2015,1,9,13,-19.94,66.43,56.0,0.0,56.0,208.05,2.9,266.0,945.63,
2015,1,9,14,-19.61,64.43,33.0,0.0,33.0,210.4,2.81,267.0,945.41,
2015,1,9,15,-19.59,67.03,17.0,0.0,17.0,211.6,2.97,266.0,945.56,
2015,1,9,16,-19.56,69.62,62.0,0.0,62.0,212.8,3.13,264.0,945.72,
2015,1,9,17,-19.54,72.22,22.0,0.0,22.0,214.0,3.28,263.0,945.88,
2015,1,9,18,-19.74,73.57,0.0,0.0,0.0,206.77,3.48,263.0,946.53,
2015,1,9,19,-19.95,74.92,0.0,0.0,0.0,199.53,3.68,263.0,947.19,
2015,1,9,20,-20.15,76.27,0.0,0.0,0.0,192.3,3.88,264.0,947.84,
