Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1614,Cyangugu,RWA,Rwanda,-2.47960447298,28.8999824613,2,1530.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,17.74,91.97,0.0,0.0,0.0,359.42,0.79,182.0,843.71,
2009,1,1,1,17.91,91.63,0.0,0.0,0.0,358.54,0.77,188.0,843.49,
2009,1,1,2,18.08,91.29,0.0,0.0,0.0,357.66,0.76,260.0,843.96,
2009,1,1,3,18.25,90.95,0.0,0.0,0.0,356.78,0.75,268.0,843.6,
2009,1,1,4,18.42,90.61,0.0,0.0,0.0,355.9,0.73,276.0,843.24,
2009,1,1,5,18.59,90.27,0.0,0.0,0.0,355.02,0.72,268.0,843.71,
2009,1,1,6,18.76,89.93,0.0,0.0,0.0,354.14,0.71,261.0,844.18,
2009,1,1,7,18.93,89.59,184.0,344.46,99.0,353.26,0.7,253.0,844.66,
2009,1,1,8,19.11,89.25,423.0,553.92,163.0,352.38,0.68,300.0,844.13,
2009,1,1,9,19.28,88.91,636.0,630.7,219.0,351.5,0.67,347.0,843.6,
2009,1,1,10,25.35,56.68,862.0,854.09,171.0,388.2,1.06,34.0,843.08,
2009,1,1,11,25.6,54.55,967.0,846.12,203.0,385.1,1.5,34.0,841.94,
2009,1,1,12,25.85,52.43,869.0,506.16,395.0,382.0,1.94,34.0,840.8,
2009,1,1,13,26.09,50.3,917.0,692.16,289.0,378.9,2.37,34.0,839.67,
2009,1,1,14,25.24,54.01,879.0,885.66,155.0,379.4,2.15,43.0,840.05,
2009,1,1,15,24.38,57.73,478.0,203.54,341.0,379.9,1.92,52.0,840.44,
2009,1,1,16,23.53,61.44,41.0,0.0,41.0,380.4,1.7,60.0,840.83,
2009,1,1,17,22.52,66.99,19.0,0.0,19.0,377.92,1.5,86.0,841.63,
2009,1,1,18,21.5,72.55,0.0,0.0,0.0,375.43,1.3,111.0,842.44,
2009,1,1,19,20.49,78.1,0.0,0.0,0.0,372.95,1.1,137.0,843.24,
2009,1,1,20,19.68,82.31,0.0,0.0,0.0,365.95,1.11,140.0,843.74,
2009,1,1,21,18.86,86.52,0.0,0.0,0.0,358.95,1.11,143.0,844.24,
2009,1,1,22,18.05,90.73,0.0,0.0,0.0,351.95,1.12,146.0,844.74,
2009,1,1,23,17.52,92.53,0.0,0.0,0.0,345.03,0.77,158.0,844.52,
2009,1,2,0,16.99,94.34,0.0,0.0,0.0,338.12,0.43,170.0,844.29,
2009,1,2,1,16.46,96.14,0.0,0.0,0.0,331.2,0.08,182.0,844.07,
2009,1,2,2,15.66,97.01,0.0,0.0,0.0,325.85,0.19,219.0,843.77,
2009,1,2,3,14.85,97.89,0.0,0.0,0.0,320.5,0.29,255.0,843.46,
2009,1,2,4,14.05,98.76,0.0,0.0,0.0,315.15,0.4,291.0,843.16,
2009,1,2,5,16.06,94.64,0.0,0.0,0.0,316.4,0.46,309.0,843.57,
2009,1,2,6,18.08,90.52,0.0,0.0,0.0,317.65,0.53,326.0,843.99,
2009,1,2,7,20.1,86.4,109.75,145.03,74.2,318.9,0.59,344.0,844.41,
2009,1,2,8,22.2,73.71,272.9,299.43,132.75,331.65,1.02,1.0,843.77,
2009,1,2,9,24.3,61.01,393.6,303.76,193.05,344.4,1.44,19.0,843.13,
2009,1,2,10,26.39,48.32,597.0,387.35,283.8,357.15,1.86,36.0,842.49,
