Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1715,Al Jubayl,SAU,Saudi Arabia,27.0046423533,49.6460029692,3,2.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,14.89,39.61,0.0,0.0,0.0,337.22,5.64,170.0,1016.23,
2006,1,1,1,14.66,40.68,0.0,0.0,0.0,335.84,5.66,176.0,1016.19,
2006,1,1,2,14.43,41.75,0.0,0.0,0.0,334.46,5.69,183.0,1016.16,
2006,1,1,3,14.2,42.82,0.0,0.0,0.0,333.07,5.71,319.0,1021.59,
2006,1,1,4,13.97,43.89,0.0,0.0,0.0,331.69,5.73,318.0,1021.72,
2006,1,1,5,13.75,44.96,0.0,0.0,0.0,330.31,5.75,316.0,1021.86,
2006,1,1,6,13.52,46.02,0.0,0.0,0.0,328.92,5.77,316.0,1022.39,
2006,1,1,7,13.29,47.09,1.0,20.7,0.0,327.54,5.8,315.0,1022.92,
2006,1,1,8,13.06,48.16,181.0,363.76,92.0,326.16,5.82,315.0,1023.46,
2006,1,1,9,12.83,49.23,365.0,521.52,150.0,324.77,5.84,318.0,1023.06,
2006,1,1,10,12.6,50.3,529.0,668.95,168.0,323.39,5.86,322.0,1022.66,
2006,1,1,11,19.27,34.12,628.0,718.23,184.0,314.85,4.66,326.0,1022.26,
2006,1,1,12,19.28,33.96,666.0,751.77,183.0,309.77,4.45,331.0,1021.69,
2006,1,1,13,19.29,33.8,628.0,726.78,184.0,304.68,4.23,337.0,1021.12,
2006,1,1,14,19.3,33.64,517.0,635.46,183.0,299.6,4.01,343.0,1020.56,
2006,1,1,15,18.22,38.66,352.0,484.21,162.0,305.38,4.4,345.0,1021.16,
2006,1,1,16,17.13,43.67,170.0,326.77,98.0,311.17,4.78,348.0,1021.76,
2006,1,1,17,16.05,48.69,0.0,0.0,0.0,316.95,5.16,350.0,1022.36,
2006,1,1,18,15.14,55.45,0.0,0.0,0.0,322.4,4.68,352.0,1022.52,
2006,1,1,19,14.23,62.2,0.0,0.0,0.0,327.85,4.2,354.0,1022.69,
2006,1,1,20,13.32,68.96,0.0,0.0,0.0,333.3,3.72,355.0,1022.86,
2006,1,1,21,12.54,72.49,0.0,0.0,0.0,334.78,3.34,353.0,1022.66,
2006,1,1,22,11.77,76.01,0.0,0.0,0.0,336.27,2.95,351.0,1022.46,
2006,1,1,23,10.99,79.54,0.0,0.0,0.0,337.75,2.57,348.0,1022.26,
2006,1,2,0,10.65,79.65,0.0,0.0,0.0,339.13,2.48,339.0,1022.19,
2006,1,2,1,10.31,79.77,0.0,0.0,0.0,340.52,2.39,329.0,1022.12,
2006,1,2,2,9.98,79.88,0.0,0.0,0.0,341.9,2.3,320.0,1022.06,
2006,1,2,3,9.73,80.53,0.0,0.0,0.0,342.55,2.06,322.0,1022.16,
2006,1,2,4,9.48,81.19,0.0,0.0,0.0,343.2,1.82,324.0,1022.26,
2006,1,2,5,9.23,81.84,0.0,0.0,0.0,343.85,1.57,327.0,1022.36,
2006,1,2,6,11.56,72.89,0.0,0.0,0.0,344.2,1.58,309.0,1022.79,
2006,1,2,7,13.9,63.94,1.0,21.03,0.0,344.55,1.58,292.0,1023.22,
2006,1,2,8,16.24,54.99,130.0,106.47,104.0,344.9,1.59,274.0,1023.66,
2006,1,2,9,17.59,50.49,375.0,575.04,138.0,338.75,1.44,265.0,1023.09,
2006,1,2,10,18.95,46.0,549.0,763.02,137.0,332.6,1.3,256.0,1022.52,
2006,1,2,11,20.31,41.5,666.0,875.71,124.0,326.45,1.16,246.0,1021.96,
2006,1,2,12,20.33,40.85,703.0,897.99,125.0,328.68,1.12,220.0,1021.22,
2006,1,2,13,20.36,40.19,612.0,659.62,208.0,330.92,1.09,193.0,1020.49,
2006,1,2,14,20.38,39.54,528.0,674.88,172.0,333.15,1.05,166.0,1019.76,
2006,1,2,15,19.62,44.12,320.0,339.65,186.0,342.33,1.93,155.0,1019.92,
2006,1,2,16,18.86,48.7,181.0,386.32,95.0,351.52,2.8,144.0,1020.09,
2006,1,2,17,18.09,53.28,0.0,0.0,0.0,360.7,3.68,132.0,1020.26,
2006,1,2,18,17.6,56.44,0.0,0.0,0.0,364.83,4.04,136.0,1020.26,
2006,1,2,19,17.1,59.61,0.0,0.0,0.0,368.97,4.39,140.0,1020.26,
2006,1,2,20,16.6,62.77,0.0,0.0,0.0,373.1,4.74,143.0,1020.26,
2006,1,2,21,16.32,64.19,0.0,0.0,0.0,375.5,4.92,148.0,1020.02,
2006,1,2,22,16.05,65.6,0.0,0.0,0.0,377.9,5.09,152.0,1019.79,
2006,1,2,23,15.77,67.02,0.0,0.0,0.0,380.3,5.27,156.0,1019.56,
2006,1,3,0,15.48,68.55,0.0,0.0,0.0,379.47,5.16,160.0,1019.62,
2006,1,3,1,15.2,70.09,0.0,0.0,0.0,378.63,5.06,163.0,1019.69,
2006,1,3,2,14.92,71.62,0.0,0.0,0.0,377.8,4.95,167.0,1019.76,
2006,1,3,3,14.56,72.66,0.0,0.0,0.0,378.2,4.71,171.0,1020.02,
2006,1,3,4,14.2,73.7,0.0,0.0,0.0,378.6,4.47,174.0,1020.29,
