Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,148,An Nabk,SAU,Saudi Arabia,31.3333020458,37.3332965345,3,502.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,6.79,69.06,0.0,0.0,0.0,264.4,3.99,228.0,955.49,
2006,1,1,1,6.96,62.49,0.0,0.0,0.0,264.41,3.98,226.0,955.15,
2006,1,1,2,7.13,55.93,0.0,0.0,0.0,264.42,3.96,223.0,954.8,
2006,1,1,3,7.3,49.36,0.0,0.0,0.0,264.43,3.94,133.0,963.63,
2006,1,1,4,7.46,42.8,0.0,0.0,0.0,264.44,3.93,134.0,963.5,
2006,1,1,5,7.63,36.24,0.0,0.0,0.0,264.45,3.91,135.0,963.37,
2006,1,1,6,7.8,29.67,0.0,0.0,0.0,264.45,3.9,132.0,963.59,
2006,1,1,7,7.96,23.11,0.0,0.0,0.0,264.46,3.88,130.0,963.81,
2006,1,1,8,8.13,16.54,20.0,0.0,20.0,264.47,3.86,127.0,964.03,
2006,1,1,9,8.3,9.98,217.6,417.39,96.75,264.48,3.85,130.0,963.37,
2006,1,1,10,8.46,3.41,408.0,621.38,140.0,264.49,3.83,132.0,962.72,
2006,1,1,11,15.39,11.12,485.9,636.08,148.9,280.6,4.87,135.0,962.06,
2006,1,1,12,16.84,10.38,535.0,534.26,226.0,282.77,4.96,135.0,961.08,
2006,1,1,13,18.28,9.64,580.0,732.15,160.0,284.93,5.04,136.0,960.11,
2006,1,1,14,19.73,8.9,518.0,732.56,140.0,287.1,5.13,136.0,959.14,
2006,1,1,15,18.57,10.29,388.0,644.96,124.0,286.85,5.14,130.0,959.39,
2006,1,1,16,17.41,11.67,244.0,709.06,59.0,286.6,5.16,124.0,959.64,
2006,1,1,17,16.25,13.06,32.0,61.84,27.0,286.35,5.17,118.0,959.89,
2006,1,1,18,15.33,13.92,0.0,0.0,0.0,285.73,5.39,120.0,959.98,
2006,1,1,19,14.41,14.78,0.0,0.0,0.0,285.12,5.6,122.0,960.08,
2006,1,1,20,13.5,15.64,0.0,0.0,0.0,284.5,5.82,124.0,960.17,
2006,1,1,21,12.86,16.46,0.0,0.0,0.0,286.03,5.66,125.0,960.05,
2006,1,1,22,12.23,17.28,0.0,0.0,0.0,287.57,5.49,126.0,959.92,
2006,1,1,23,11.6,18.1,0.0,0.0,0.0,289.1,5.32,127.0,959.8,
2006,1,2,0,11.01,19.08,0.0,0.0,0.0,288.72,5.01,126.0,959.61,
2006,1,2,1,10.42,20.06,0.0,0.0,0.0,288.33,4.7,126.0,959.42,
2006,1,2,2,9.82,21.04,0.0,0.0,0.0,287.95,4.39,126.0,959.23,
2006,1,2,3,8.64,22.79,0.0,0.0,0.0,281.93,3.7,118.0,959.2,
2006,1,2,4,7.45,24.55,0.0,0.0,0.0,275.92,3.02,110.0,959.17,
2006,1,2,5,6.27,26.3,0.0,0.0,0.0,269.9,2.33,102.0,959.14,
2006,1,2,6,6.85,25.64,0.0,0.0,0.0,272.07,1.98,99.0,959.32,
2006,1,2,7,7.44,24.98,0.0,0.0,0.0,274.23,1.62,97.0,959.51,
2006,1,2,8,8.03,24.32,74.0,272.62,43.0,276.4,1.27,94.0,959.7,
2006,1,2,9,10.88,21.45,223.6,435.94,97.45,280.03,1.14,92.0,959.04,
2006,1,2,10,13.73,18.58,423.0,702.19,120.0,283.67,1.01,91.0,958.38,
2006,1,2,11,16.58,15.71,509.75,698.58,139.2,287.3,0.88,89.0,957.72,
2006,1,2,12,17.9,15.07,591.0,749.03,157.0,288.9,1.39,63.0,956.97,
2006,1,2,13,19.22,14.44,589.0,761.61,151.0,290.5,1.9,37.0,956.22,
2006,1,2,14,20.54,13.8,514.0,704.92,149.0,292.1,2.41,11.0,955.46,
2006,1,2,15,19.23,16.44,336.0,379.2,180.0,289.1,2.9,17.0,955.96,
2006,1,2,16,17.93,19.08,215.0,440.8,99.0,286.1,3.38,22.0,956.47,
2006,1,2,17,16.62,21.72,30.0,36.06,27.0,283.1,3.86,28.0,956.97,
2006,1,2,18,15.22,24.07,0.0,0.0,0.0,281.2,3.74,32.0,957.5,
2006,1,2,19,13.82,26.41,0.0,0.0,0.0,279.3,3.61,36.0,958.04,
2006,1,2,20,12.43,28.76,0.0,0.0,0.0,277.4,3.49,41.0,958.57,
2006,1,2,21,11.19,31.18,0.0,0.0,0.0,273.45,3.28,41.0,958.85,
