Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,5038,Victoria,SYC,Seychelles,-4.61663165397,55.4499897856,4,42.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,26.96,79.65,0.0,0.0,0.0,423.31,4.15,322.0,1006.08,
2006,1,1,1,26.82,79.69,0.0,0.0,0.0,421.82,3.92,326.0,1006.17,
2006,1,1,2,26.67,79.73,0.0,0.0,0.0,420.34,3.69,330.0,1006.27,
2006,1,1,3,26.53,79.77,0.0,0.0,0.0,418.85,3.46,334.0,1006.37,
2006,1,1,4,26.38,79.81,0.0,0.0,0.0,417.36,3.22,144.0,1006.97,
2006,1,1,5,26.24,79.85,0.0,0.0,0.0,415.87,2.99,158.0,1007.67,
2006,1,1,6,26.1,79.89,0.0,0.0,0.0,414.39,2.76,172.0,1008.36,
2006,1,1,7,25.95,79.93,63.0,280.71,32.0,412.9,2.53,169.0,1008.53,
2006,1,1,8,25.81,79.97,280.0,531.49,97.0,411.41,2.3,166.0,1008.7,
2006,1,1,9,25.66,80.01,534.0,788.32,95.0,409.93,2.06,163.0,1008.86,
2006,1,1,10,25.52,80.05,691.0,678.81,193.0,408.44,1.83,167.0,1008.26,
2006,1,1,11,25.38,80.09,589.0,183.18,431.0,406.95,1.6,170.0,1007.67,
2006,1,1,12,25.48,78.79,824.0,492.08,364.0,410.05,2.43,173.0,1007.07,
2006,1,1,13,25.59,79.05,992.0,916.96,125.0,410.98,2.55,178.0,1006.64,
2006,1,1,14,25.7,79.31,945.0,953.1,93.0,411.92,2.67,182.0,1006.21,
2006,1,1,15,25.81,79.57,783.0,815.5,144.0,412.85,2.79,186.0,1005.78,
2006,1,1,16,25.91,78.86,612.0,826.43,98.0,413.17,2.63,172.0,1006.31,
2006,1,1,17,26.01,78.14,386.0,742.69,74.0,413.48,2.47,159.0,1006.84,
2006,1,1,18,26.11,77.43,58.0,0.0,58.0,413.8,2.32,145.0,1007.37,
2006,1,1,19,25.97,77.54,0.0,0.0,0.0,414.85,2.19,141.0,1007.7,
2006,1,1,20,25.83,77.64,0.0,0.0,0.0,415.9,2.07,137.0,1008.03,
2006,1,1,21,25.68,77.75,0.0,0.0,0.0,416.95,1.94,134.0,1008.36,
2006,1,1,22,25.4,79.05,0.0,0.0,0.0,415.57,1.77,136.0,1007.83,
2006,1,1,23,25.12,80.36,0.0,0.0,0.0,414.18,1.59,138.0,1007.3,
2006,1,2,0,24.84,81.66,0.0,0.0,0.0,412.8,1.41,141.0,1006.77,
2006,1,2,1,24.76,83.04,0.0,0.0,0.0,411.8,1.26,137.0,1006.37,
2006,1,2,2,24.68,84.42,0.0,0.0,0.0,410.8,1.12,134.0,1005.98,
2006,1,2,3,24.59,85.8,0.0,0.0,0.0,409.8,0.98,130.0,1005.58,
2006,1,2,4,24.81,83.94,0.0,0.0,0.0,412.48,1.39,135.0,1006.11,
2006,1,2,5,25.03,82.07,0.0,0.0,0.0,415.17,1.81,139.0,1006.64,
2006,1,2,6,25.25,80.21,0.0,0.0,0.0,417.85,2.22,144.0,1007.17,
2006,1,2,7,25.15,80.13,20.0,0.0,20.0,416.3,2.0,133.0,1007.53,
2006,1,2,8,25.04,80.05,145.0,32.1,134.0,414.75,1.77,121.0,1007.9,
2006,1,2,9,24.94,79.97,188.0,3.6,186.0,413.2,1.54,110.0,1008.26,
2006,1,2,10,24.87,80.74,67.0,0.0,67.0,414.42,1.47,73.0,1007.73,
2006,1,2,11,24.8,81.5,179.0,0.0,179.0,415.63,1.4,37.0,1007.2,
2006,1,2,12,24.74,82.27,770.0,381.84,413.0,416.85,1.32,1.0,1006.67,
2006,1,2,13,24.75,83.0,917.0,693.35,261.0,416.93,1.44,345.0,1006.11,
2006,1,2,14,24.77,83.74,936.0,918.46,114.0,417.02,1.55,329.0,1005.54,
2006,1,2,15,24.79,84.47,803.0,880.3,112.0,417.1,1.67,313.0,1004.98,
2006,1,2,16,24.95,84.0,611.0,813.04,104.0,415.78,2.51,310.0,1005.41,
2006,1,2,17,25.1,83.52,384.0,715.9,82.0,414.47,3.36,307.0,1005.84,
2006,1,2,18,25.25,83.05,69.0,0.0,69.0,413.15,4.21,304.0,1006.27,
2006,1,2,19,25.18,83.38,0.0,0.0,0.0,412.73,4.02,304.0,1006.57,
2006,1,2,20,25.1,83.72,0.0,0.0,0.0,412.32,3.83,304.0,1006.87,
2006,1,2,21,25.02,84.05,0.0,0.0,0.0,411.9,3.64,305.0,1007.17,
2006,1,2,22,24.79,84.61,0.0,0.0,0.0,410.73,3.54,306.0,1006.61,
2006,1,2,23,24.56,85.18,0.0,0.0,0.0,409.57,3.45,307.0,1006.04,
2006,1,3,0,24.33,85.74,0.0,0.0,0.0,408.4,3.35,308.0,1005.48,
2006,1,3,1,24.48,85.9,0.0,0.0,0.0,408.67,3.52,305.0,1005.18,
2006,1,3,2,24.63,86.06,0.0,0.0,0.0,408.93,3.69,303.0,1004.88,
2006,1,3,3,24.77,86.22,0.0,0.0,0.0,409.2,3.86,301.0,1004.58,
2006,1,3,4,25.05,83.46,0.0,0.0,0.0,409.68,4.3,298.0,1004.98,
2006,1,3,5,25.32,80.7,0.0,0.0,0.0,410.17,4.74,296.0,1005.38,
2006,1,3,6,25.59,77.94,0.0,0.0,0.0,410.65,5.17,294.0,1005.78,
2006,1,3,7,25.41,78.13,53.0,177.97,34.0,412.08,5.07,293.0,1006.04,
2006,1,3,8,25.22,78.33,252.0,375.2,124.0,413.52,4.97,292.0,1006.31,
