Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4093,Jamaame,SOM,Somalia,0.0721777536,42.7505582263,3,15.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,26.77,79.21,0.0,0.0,0.0,396.7,5.2,93.0,1009.37,
2013,1,1,1,26.94,78.74,0.0,0.0,0.0,397.37,5.39,90.0,1009.04,
2013,1,1,2,27.1,78.27,0.0,0.0,0.0,398.05,5.58,87.0,1008.7,
2013,1,1,3,27.27,77.81,0.0,0.0,0.0,398.72,5.77,88.0,1007.74,
2013,1,1,4,27.44,77.34,0.0,0.0,0.0,399.4,5.96,80.0,1008.17,
2013,1,1,5,27.6,76.87,0.0,0.0,0.0,400.07,6.15,71.0,1008.6,
2013,1,1,6,27.77,76.41,0.0,0.0,0.0,400.74,6.34,65.0,1008.87,
2013,1,1,7,27.93,75.94,78.0,299.79,42.0,401.42,6.53,59.0,1009.14,
2013,1,1,8,28.1,75.47,326.0,695.72,81.0,402.09,6.72,53.0,1009.4,
2013,1,1,9,28.26,75.01,498.0,524.82,204.0,402.77,6.92,53.0,1008.87,
2013,1,1,10,28.43,74.54,772.0,899.99,115.0,403.44,7.11,53.0,1008.34,
2013,1,1,11,31.77,55.92,670.0,294.1,420.0,401.05,7.74,53.0,1007.81,
2013,1,1,12,31.31,54.22,700.0,258.73,464.0,402.7,8.06,58.0,1007.04,
2013,1,1,13,30.84,52.52,909.0,694.06,276.0,404.35,8.38,62.0,1006.28,
2013,1,1,14,30.37,50.82,900.0,876.76,155.0,406.0,8.7,67.0,1005.51,
2013,1,1,15,29.25,52.78,752.0,830.73,146.0,403.27,8.48,73.0,1005.54,
2013,1,1,16,28.13,54.74,551.0,763.2,124.0,400.53,8.26,79.0,1005.58,
2013,1,1,17,27.01,56.7,306.0,580.63,102.0,397.8,8.04,85.0,1005.61,
2013,1,1,18,26.62,62.28,73.0,268.43,41.0,396.13,7.89,84.0,1006.11,
2013,1,1,19,26.22,67.85,0.0,0.0,0.0,394.47,7.74,84.0,1006.61,
2013,1,1,20,25.82,73.43,0.0,0.0,0.0,392.8,7.59,84.0,1007.11,
2013,1,1,21,25.67,75.95,0.0,0.0,0.0,392.15,7.84,82.0,1007.21,
2013,1,1,22,25.52,78.48,0.0,0.0,0.0,391.5,8.1,80.0,1007.31,
2013,1,1,23,25.36,81.0,0.0,0.0,0.0,390.85,8.36,77.0,1007.41,
2013,1,2,0,25.3,82.15,0.0,0.0,0.0,390.75,8.15,73.0,1007.37,
2013,1,2,1,25.24,83.29,0.0,0.0,0.0,390.65,7.94,69.0,1007.34,
2013,1,2,2,25.18,84.44,0.0,0.0,0.0,390.55,7.72,66.0,1007.31,
2013,1,2,3,25.21,83.31,0.0,0.0,0.0,390.32,7.4,60.0,1007.57,
2013,1,2,4,25.23,82.19,0.0,0.0,0.0,390.08,7.07,54.0,1007.84,
2013,1,2,5,25.26,81.06,0.0,0.0,0.0,389.85,6.74,49.0,1008.11,
2013,1,2,6,26.38,75.16,0.0,0.0,0.0,388.32,7.1,46.0,1008.6,
2013,1,2,7,27.5,69.25,77.0,295.65,42.0,386.78,7.46,43.0,1009.1,
2013,1,2,8,28.62,63.35,328.0,715.67,77.0,385.25,7.82,40.0,1009.6,
2013,1,2,9,29.69,56.57,557.0,783.37,119.0,383.75,8.15,40.0,1009.24,
2013,1,2,10,30.76,49.79,746.0,803.42,160.0,382.25,8.48,40.0,1008.87,
2013,1,2,11,31.83,43.01,927.0,964.81,107.0,380.75,8.81,41.0,1008.5,
2013,1,2,12,31.65,40.75,1001.0,968.79,117.0,380.72,8.91,45.0,1007.54,
2013,1,2,13,31.47,38.5,1001.0,968.41,117.0,380.68,9.01,49.0,1006.57,
2013,1,2,14,31.29,36.24,911.0,910.75,136.0,380.65,9.1,54.0,1005.61,
2013,1,2,15,30.05,39.94,745.0,800.24,160.0,382.57,8.99,59.0,1005.54,
2013,1,2,16,28.81,43.64,450.0,367.03,244.0,384.48,8.88,65.0,1005.48,
2013,1,2,17,27.56,47.34,211.0,138.72,162.0,386.4,8.77,70.0,1005.41,
2013,1,2,18,27.18,53.39,70.0,214.75,44.0,388.25,8.81,71.0,1006.01,
2013,1,2,19,26.8,59.45,0.0,0.0,0.0,390.1,8.86,73.0,1006.61,
2013,1,2,20,26.41,65.5,0.0,0.0,0.0,391.95,8.9,74.0,1007.21,
2013,1,2,21,26.28,69.15,0.0,0.0,0.0,393.05,8.99,73.0,1007.34,
2013,1,2,22,26.15,72.8,0.0,0.0,0.0,394.15,9.08,71.0,1007.47,
2013,1,2,23,26.02,76.45,0.0,0.0,0.0,395.25,9.17,69.0,1007.61,
2013,1,3,0,26.0,77.77,0.0,0.0,0.0,396.13,9.23,67.0,1007.57,
2013,1,3,1,25.97,79.1,0.0,0.0,0.0,397.02,9.29,64.0,1007.54,
2013,1,3,2,25.94,80.42,0.0,0.0,0.0,397.9,9.35,61.0,1007.51,
2013,1,3,3,25.98,80.15,0.0,0.0,0.0,399.87,9.21,59.0,1007.97,
2013,1,3,4,26.01,79.87,0.0,0.0,0.0,401.83,9.07,58.0,1008.44,
2013,1,3,5,26.05,79.6,0.0,0.0,0.0,403.8,8.92,56.0,1008.9,
2013,1,3,6,27.11,75.88,0.0,0.0,0.0,403.15,9.14,54.0,1009.4,
2013,1,3,7,28.18,72.16,70.0,222.78,44.0,402.5,9.37,52.0,1009.9,
2013,1,3,8,29.24,68.44,299.0,532.46,113.0,401.85,9.59,50.0,1010.4,
2013,1,3,9,30.29,62.26,547.0,740.02,134.0,402.35,9.59,50.0,1010.1,
2013,1,3,10,31.34,56.09,754.0,834.24,146.0,402.85,9.6,49.0,1009.8,
