Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4887,Mogadishu,SOM,Somalia,2.06668133433,45.3666776111,3,34.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2013,1,1,0,25.86,70.35,0.0,0.0,0.0,390.39,9.27,57.0,1006.3,
2013,1,1,1,25.93,70.13,0.0,0.0,0.0,390.42,9.16,55.0,1006.07,
2013,1,1,2,26.01,69.91,0.0,0.0,0.0,390.45,9.04,53.0,1005.84,
2013,1,1,3,26.09,69.69,0.0,0.0,0.0,390.48,8.93,74.0,1005.97,
2013,1,1,4,26.17,69.46,0.0,0.0,0.0,390.51,8.82,69.0,1006.5,
2013,1,1,5,26.24,69.24,0.0,0.0,0.0,390.55,8.71,64.0,1007.03,
2013,1,1,6,26.32,69.02,0.0,0.0,0.0,390.58,8.59,58.0,1007.4,
2013,1,1,7,26.4,68.8,87.0,186.89,59.0,390.61,8.48,52.0,1007.76,
2013,1,1,8,26.47,68.58,347.0,681.65,89.0,390.64,8.37,46.0,1008.13,
2013,1,1,9,26.55,68.36,554.0,689.16,154.0,390.67,8.26,46.0,1007.43,
2013,1,1,10,26.63,68.14,723.0,696.93,206.0,390.7,8.14,45.0,1006.73,
2013,1,1,11,27.98,36.22,894.0,871.18,152.0,389.7,8.19,44.0,1006.03,
2013,1,1,12,27.96,32.77,956.0,887.43,155.0,389.63,8.89,50.0,1004.94,
2013,1,1,13,27.95,29.33,946.0,900.08,144.0,389.57,9.58,57.0,1003.84,
2013,1,1,14,27.93,25.88,851.0,857.22,150.0,389.5,10.28,63.0,1002.75,
2013,1,1,15,27.71,26.07,686.0,776.38,152.0,387.62,10.12,69.0,1002.85,
2013,1,1,16,27.49,26.25,447.0,539.2,172.0,385.73,9.97,74.0,1002.95,
2013,1,1,17,27.27,26.44,225.0,387.84,110.0,383.85,9.82,80.0,1003.05,
2013,1,1,18,27.1,31.0,24.0,80.86,19.0,383.75,10.01,79.0,1003.68,
2013,1,1,19,26.94,35.57,0.0,0.0,0.0,383.65,10.21,77.0,1004.31,
2013,1,1,20,26.77,40.13,0.0,0.0,0.0,383.55,10.4,76.0,1004.94,
2013,1,1,21,26.69,44.67,0.0,0.0,0.0,383.18,10.27,72.0,1005.11,
2013,1,1,22,26.6,49.22,0.0,0.0,0.0,382.82,10.14,69.0,1005.27,
2013,1,1,23,26.52,53.76,0.0,0.0,0.0,382.45,10.01,65.0,1005.44,
2013,1,2,0,26.37,56.44,0.0,0.0,0.0,380.92,9.62,61.0,1005.57,
2013,1,2,1,26.22,59.11,0.0,0.0,0.0,379.38,9.22,56.0,1005.7,
2013,1,2,2,26.07,61.79,0.0,0.0,0.0,377.85,8.83,52.0,1005.84,
2013,1,2,3,25.86,63.44,0.0,0.0,0.0,375.07,8.71,50.0,1006.27,
2013,1,2,4,25.65,65.08,0.0,0.0,0.0,372.28,8.59,47.0,1006.7,
2013,1,2,5,25.44,66.73,0.0,0.0,0.0,369.5,8.47,44.0,1007.13,
2013,1,2,6,25.81,62.52,0.0,0.0,0.0,369.12,8.54,43.0,1007.53,
2013,1,2,7,26.17,58.31,106.0,384.6,49.0,368.73,8.62,41.0,1007.93,
2013,1,2,8,26.54,54.1,339.0,631.01,101.0,368.35,8.69,40.0,1008.33,
2013,1,2,9,27.16,46.92,550.0,674.75,159.0,371.33,8.73,41.0,1007.63,
2013,1,2,10,27.77,39.74,773.0,879.5,121.0,374.32,8.76,42.0,1006.93,
2013,1,2,11,28.39,32.56,736.0,433.24,367.0,377.3,8.8,43.0,1006.23,
2013,1,2,12,28.32,30.16,967.0,921.28,135.0,380.82,9.5,48.0,1005.3,
2013,1,2,13,28.25,27.75,948.0,900.26,145.0,384.33,10.21,53.0,1004.37,
2013,1,2,14,28.17,25.35,862.0,891.22,132.0,387.85,10.91,58.0,1003.45,
2013,1,2,15,27.93,27.06,688.0,775.97,153.0,389.63,10.63,61.0,1003.51,
2013,1,2,16,27.68,28.78,484.0,703.3,124.0,391.42,10.35,64.0,1003.58,
2013,1,2,17,27.44,30.49,246.0,519.36,91.0,393.2,10.07,67.0,1003.64,
2013,1,2,18,27.27,36.54,30.0,156.93,20.0,393.97,10.28,66.0,1004.24,
2013,1,2,19,27.11,42.6,0.0,0.0,0.0,394.73,10.48,65.0,1004.84,
2013,1,2,20,26.94,48.65,0.0,0.0,0.0,395.5,10.69,64.0,1005.44,
2013,1,2,21,26.75,53.96,0.0,0.0,0.0,395.68,10.61,62.0,1005.64,
2013,1,2,22,26.55,59.27,0.0,0.0,0.0,395.87,10.52,60.0,1005.84,
2013,1,2,23,26.36,64.58,0.0,0.0,0.0,396.05,10.44,58.0,1006.03,
2013,1,3,0,26.25,67.3,0.0,0.0,0.0,396.38,9.98,56.0,1006.1,
2013,1,3,1,26.14,70.01,0.0,0.0,0.0,396.72,9.51,53.0,1006.17,
2013,1,3,2,26.03,72.73,0.0,0.0,0.0,397.05,9.05,50.0,1006.23,
2013,1,3,3,26.01,73.64,0.0,0.0,0.0,397.88,8.9,49.0,1006.77,
2013,1,3,4,26.0,74.55,0.0,0.0,0.0,398.72,8.75,48.0,1007.3,
2013,1,3,5,25.98,75.46,0.0,0.0,0.0,399.55,8.61,46.0,1007.83,
2013,1,3,6,26.38,69.51,0.0,0.0,0.0,400.52,8.6,45.0,1008.23,
2013,1,3,7,26.78,63.56,104.0,381.93,48.0,401.48,8.59,44.0,1008.62,
2013,1,3,8,27.18,57.61,343.0,665.09,93.0,402.45,8.58,43.0,1009.02,
2013,1,3,9,27.64,50.62,586.0,848.63,95.0,404.32,8.99,44.0,1008.36,
2013,1,3,10,28.09,43.63,751.0,800.39,158.0,406.18,9.4,46.0,1007.69,
2013,1,3,11,28.55,36.64,864.0,774.87,204.0,408.05,9.81,47.0,1007.03,
2013,1,3,12,28.25,34.9,931.0,805.64,203.0,408.83,10.02,52.0,1006.17,
2013,1,3,13,27.95,33.17,912.0,786.15,210.0,409.62,10.23,57.0,1005.3,
2013,1,3,14,27.66,31.43,849.0,842.19,158.0,410.4,10.44,62.0,1004.44,
2013,1,3,15,27.56,32.77,690.0,776.98,153.0,408.75,10.28,65.0,1004.37,
2013,1,3,16,27.46,34.1,481.0,677.38,133.0,407.1,10.11,68.0,1004.31,
2013,1,3,17,27.36,35.44,248.0,522.66,91.0,405.45,9.94,71.0,1004.24,
2013,1,3,18,27.27,41.18,27.0,106.71,20.0,404.23,10.06,70.0,1005.01,
2013,1,3,19,27.18,46.93,0.0,0.0,0.0,403.02,10.17,69.0,1005.77,
