Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,5037,Hargeysa,SOL,Somaliland,9.56002239882,44.0653100167,3,1260.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,13.05,81.56,0.0,0.0,0.0,295.41,2.34,344.0,874.38,
2008,1,1,1,13.44,81.36,0.0,0.0,0.0,297.04,2.41,342.0,874.01,
2008,1,1,2,13.82,81.16,0.0,0.0,0.0,298.67,2.48,340.0,873.64,
2008,1,1,3,14.21,80.96,0.0,0.0,0.0,300.3,2.55,3.0,873.1,
2008,1,1,4,14.6,80.76,0.0,0.0,0.0,301.93,2.62,9.0,873.24,
2008,1,1,5,14.99,80.56,0.0,0.0,0.0,303.56,2.69,16.0,873.38,
2008,1,1,6,15.38,80.36,0.0,0.0,0.0,305.19,2.76,22.0,873.75,
2008,1,1,7,15.77,80.16,43.0,143.55,31.0,306.82,2.83,27.0,874.13,
2008,1,1,8,16.16,79.96,259.0,454.41,118.0,308.45,2.9,33.0,874.5,
2008,1,1,9,16.55,79.76,506.0,713.71,141.0,310.08,2.97,36.0,873.78,
2008,1,1,10,16.94,79.56,710.0,833.26,149.0,311.71,3.04,39.0,873.07,
2008,1,1,11,23.3,44.8,857.0,909.78,143.0,333.3,4.22,41.0,872.35,
2008,1,1,12,23.69,42.81,924.0,927.91,146.0,335.72,4.36,43.0,871.58,
2008,1,1,13,24.08,40.82,914.0,924.73,146.0,338.13,4.51,46.0,870.8,
2008,1,1,14,24.47,38.83,817.0,865.33,158.0,340.55,4.65,48.0,870.03,
2008,1,1,15,22.76,42.62,666.0,829.81,138.0,335.38,4.66,46.0,870.52,
2008,1,1,16,21.05,46.41,462.0,764.19,108.0,330.22,4.67,43.0,871.0,
2008,1,1,17,19.34,50.2,220.0,570.46,75.0,325.05,4.68,41.0,871.49,
2008,1,1,18,17.82,58.69,0.0,0.0,0.0,323.37,4.47,35.0,872.24,
2008,1,1,19,16.3,67.18,0.0,0.0,0.0,321.68,4.27,29.0,872.98,
2008,1,1,20,14.78,75.67,0.0,0.0,0.0,320.0,4.07,22.0,873.73,
2008,1,1,21,14.37,81.18,0.0,0.0,0.0,317.57,3.81,17.0,873.75,
2008,1,1,22,13.95,86.69,0.0,0.0,0.0,315.13,3.55,11.0,873.78,
2008,1,1,23,13.54,92.2,0.0,0.0,0.0,312.7,3.3,5.0,873.81,
2008,1,2,0,13.19,93.83,0.0,0.0,0.0,309.93,3.16,1.0,873.5,
2008,1,2,1,12.84,95.46,0.0,0.0,0.0,307.17,3.03,357.0,873.18,
2008,1,2,2,12.48,97.09,0.0,0.0,0.0,304.4,2.9,353.0,872.87,
2008,1,2,3,12.16,96.72,0.0,0.0,0.0,301.08,2.6,348.0,873.1,
2008,1,2,4,11.84,96.34,0.0,0.0,0.0,297.77,2.3,343.0,873.33,
2008,1,2,5,11.52,95.97,0.0,0.0,0.0,294.45,2.0,338.0,873.55,
