Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4867,Bloemfontein,ZAF,South Africa,-29.1199938774,26.2299128812,2,1381.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,21.55,58.58,0.0,0.0,0.0,353.13,2.47,353.0,853.28,
2008,1,1,1,21.76,55.15,0.0,0.0,0.0,350.11,2.45,345.0,853.45,
2008,1,1,2,21.96,51.73,0.0,0.0,0.0,347.08,2.43,145.0,856.75,
2008,1,1,3,22.17,48.3,0.0,0.0,0.0,344.05,2.4,119.0,856.67,
2008,1,1,4,22.37,44.87,0.0,0.0,0.0,341.03,2.38,93.0,856.58,
2008,1,1,5,22.58,41.44,0.0,0.0,0.0,338.0,2.36,76.0,856.98,
2008,1,1,6,22.79,38.01,98.0,384.5,46.0,334.98,2.33,59.0,857.37,
2008,1,1,7,22.99,34.59,322.0,678.76,88.0,331.95,2.31,42.0,857.77,
2008,1,1,8,23.2,31.16,552.0,798.21,118.0,328.93,2.29,22.0,857.06,
2008,1,1,9,23.4,27.73,764.0,878.1,133.0,325.9,2.26,1.0,856.36,
2008,1,1,10,31.78,19.1,942.0,944.64,132.0,359.55,1.59,341.0,855.65,
2008,1,1,11,32.29,17.25,1071.0,1009.6,111.0,365.85,1.77,317.0,854.95,
2008,1,1,12,32.8,15.39,1118.0,1002.58,123.0,372.15,1.95,294.0,854.24,
2008,1,1,13,33.3,13.54,1047.0,839.35,225.0,378.45,2.14,270.0,853.54,
2008,1,1,14,32.88,13.55,971.0,839.5,205.0,377.4,2.45,259.0,853.17,
2008,1,1,15,32.45,13.56,801.0,713.26,233.0,376.35,2.76,249.0,852.8,
2008,1,1,16,32.03,13.57,551.0,431.97,275.0,375.3,3.08,238.0,852.43,
2008,1,1,17,30.31,17.53,56.0,0.0,56.0,374.8,3.89,227.0,853.0,
2008,1,1,18,28.59,21.49,218.0,652.56,58.0,374.3,4.7,216.0,853.56,
2008,1,1,19,26.87,25.45,0.0,0.0,0.0,373.8,5.52,205.0,854.13,
2008,1,1,20,25.75,31.75,0.0,0.0,0.0,367.58,5.29,194.0,854.89,
2008,1,1,21,24.62,38.05,0.0,0.0,0.0,361.37,5.06,184.0,855.65,
2008,1,1,22,23.5,44.35,0.0,0.0,0.0,355.15,4.83,174.0,856.41,
2008,1,1,23,22.58,47.49,0.0,0.0,0.0,348.52,4.04,164.0,856.27,
2008,1,2,0,21.66,50.63,0.0,0.0,0.0,341.88,3.25,155.0,856.13,
2008,1,2,1,20.75,53.77,0.0,0.0,0.0,335.25,2.46,146.0,855.99,
2008,1,2,2,19.96,57.38,0.0,0.0,0.0,338.4,2.21,143.0,856.16,
2008,1,2,3,19.18,60.98,0.0,0.0,0.0,341.55,1.97,140.0,856.33,
2008,1,2,4,18.39,64.59,0.0,0.0,0.0,344.7,1.72,137.0,856.5,
2008,1,2,5,20.2,54.81,0.0,0.0,0.0,342.52,2.07,111.0,856.72,
2008,1,2,6,22.01,45.04,61.0,67.68,52.0,340.33,2.41,86.0,856.95,
2008,1,2,7,23.82,35.26,215.0,151.77,163.0,338.15,2.76,61.0,857.18,
2008,1,2,8,25.72,31.38,550.0,797.25,118.0,345.88,2.86,26.0,856.39,
2008,1,2,9,27.61,27.5,798.0,1029.17,60.0,353.62,2.96,351.0,855.6,
2008,1,2,10,29.51,23.62,945.0,962.22,121.0,361.35,3.06,316.0,854.81,
2008,1,2,11,29.75,25.46,1070.0,1009.29,111.0,368.53,3.6,297.0,854.75,
2008,1,2,12,30.0,27.29,1124.0,1021.0,111.0,375.72,4.13,278.0,854.69,
2008,1,2,13,30.24,29.13,1101.0,998.51,123.0,382.9,4.66,259.0,854.64,
2008,1,2,14,30.57,29.23,972.0,839.07,206.0,384.87,4.58,257.0,854.16,
2008,1,2,15,30.89,29.32,774.0,627.29,274.0,386.83,4.51,256.0,853.68,
2008,1,2,16,31.22,29.42,289.0,20.32,276.0,388.8,4.43,254.0,853.2,
2008,1,2,17,29.6,33.18,138.0,0.0,138.0,382.78,3.49,223.0,853.34,
2008,1,2,18,27.98,36.94,35.0,0.0,35.0,376.77,2.54,192.0,853.48,
2008,1,2,19,26.36,40.7,0.0,0.0,0.0,370.75,1.6,161.0,853.62,
2008,1,2,20,25.38,43.77,0.0,0.0,0.0,367.63,1.83,149.0,854.01,
2008,1,2,21,24.41,46.85,0.0,0.0,0.0,364.52,2.05,138.0,854.41,
2008,1,2,22,23.43,49.92,0.0,0.0,0.0,361.4,2.28,126.0,854.81,
2008,1,2,23,22.57,52.19,0.0,0.0,0.0,358.35,2.21,119.0,854.66,
2008,1,3,0,21.71,54.45,0.0,0.0,0.0,355.3,2.14,112.0,854.52,
2008,1,3,1,20.85,56.72,0.0,0.0,0.0,352.25,2.07,105.0,854.38,
2008,1,3,2,20.54,56.31,0.0,0.0,0.0,348.88,2.17,99.0,854.24,
2008,1,3,3,20.23,55.89,0.0,0.0,0.0,345.52,2.28,92.0,854.1,
2008,1,3,4,19.92,55.48,0.0,0.0,0.0,342.15,2.39,85.0,853.96,
2008,1,3,5,21.46,50.13,0.0,0.0,0.0,349.8,2.23,74.0,854.3,
2008,1,3,6,23.0,44.78,87.0,290.84,49.0,357.45,2.07,64.0,854.64,
2008,1,3,7,24.54,39.43,307.0,602.08,102.0,365.1,1.92,54.0,854.97,
2008,1,3,8,26.24,35.7,457.0,418.54,231.0,370.37,2.04,3.0,854.58,
2008,1,3,9,27.95,31.98,154.0,0.0,154.0,375.63,2.17,312.0,854.18,
2008,1,3,10,29.65,28.25,749.0,418.61,391.0,380.9,2.29,262.0,853.79,
2008,1,3,11,29.93,27.82,156.0,0.0,156.0,375.57,3.03,254.0,853.54,
2008,1,3,12,30.21,27.39,795.0,286.33,511.0,370.23,3.76,247.0,853.28,
2008,1,3,13,30.49,26.96,1084.0,944.3,159.0,364.9,4.5,240.0,853.03,
2008,1,3,14,29.91,30.91,972.0,839.75,205.0,364.83,4.58,229.0,853.2,
2008,1,3,15,29.34,34.86,223.0,0.0,223.0,364.77,4.66,218.0,853.37,
2008,1,3,16,28.76,38.81,698.0,986.4,66.0,364.7,4.74,207.0,853.54,
2008,1,3,17,27.45,44.91,40.0,0.0,40.0,367.92,4.82,185.0,854.1,
2008,1,3,18,26.15,51.01,19.0,0.0,19.0,371.13,4.89,163.0,854.66,
2008,1,3,19,24.85,57.11,0.0,0.0,0.0,374.35,4.97,141.0,855.23,
2008,1,3,20,23.91,61.31,0.0,0.0,0.0,371.38,4.76,127.0,855.74,
2008,1,3,21,22.97,65.51,0.0,0.0,0.0,368.42,4.55,113.0,856.24,
2008,1,3,22,22.03,69.71,0.0,0.0,0.0,365.45,4.34,99.0,856.75,
2008,1,3,23,21.51,70.54,0.0,0.0,0.0,361.17,4.56,86.0,856.56,
2008,1,4,0,20.99,71.38,0.0,0.0,0.0,356.88,4.78,73.0,856.36,
2008,1,4,1,20.47,72.21,0.0,0.0,0.0,352.6,4.99,60.0,856.16,
2008,1,4,2,20.2,72.84,0.0,0.0,0.0,347.48,5.53,54.0,856.22,
2008,1,4,3,19.93,73.46,0.0,0.0,0.0,342.37,6.06,48.0,856.27,
2008,1,4,4,19.66,74.09,0.0,0.0,0.0,337.25,6.59,41.0,856.33,
2008,1,4,5,21.2,68.88,0.0,0.0,0.0,338.58,7.26,35.0,856.41,
2008,1,4,6,22.73,63.66,79.0,226.05,50.0,339.92,7.94,28.0,856.5,
