Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,5064,Durban,ZAF,South Africa,-29.8650130017,30.9800105374,2,88.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,24.25,96.42,0.0,0.0,0.0,428.36,2.96,41.0,1005.71,
2010,1,1,1,24.55,96.19,0.0,0.0,0.0,429.08,3.03,36.0,1005.15,
2010,1,1,2,24.85,95.96,0.0,0.0,0.0,429.81,3.11,42.0,1002.97,
2010,1,1,3,25.16,95.73,0.0,0.0,0.0,430.53,3.19,40.0,1002.57,
2010,1,1,4,25.46,95.51,0.0,0.0,0.0,431.25,3.27,38.0,1002.18,
2010,1,1,5,25.76,95.28,0.0,0.0,0.0,431.98,3.34,35.0,1002.34,
2010,1,1,6,26.07,95.05,14.0,0.0,14.0,432.7,3.42,32.0,1002.51,
2010,1,1,7,26.37,94.82,164.0,14.56,158.0,433.42,3.5,29.0,1002.67,
2010,1,1,8,26.67,94.6,404.0,167.34,303.0,434.15,3.57,30.0,1002.21,
2010,1,1,9,26.98,94.37,536.0,183.82,395.0,434.87,3.65,32.0,1001.75,
2010,1,1,10,27.65,78.62,410.0,19.07,393.0,421.6,4.95,34.0,1001.29,
2010,1,1,11,28.0,75.26,445.0,17.55,428.0,419.13,4.56,39.0,1000.73,
2010,1,1,12,28.34,71.91,728.0,208.51,521.0,416.67,4.17,44.0,1000.17,
2010,1,1,13,28.69,68.55,294.0,0.0,294.0,414.2,3.78,49.0,999.61,
2010,1,1,14,28.2,71.7,822.0,553.32,335.0,414.02,5.03,86.0,999.94,
2010,1,1,15,27.72,74.84,474.0,121.18,383.0,413.83,6.28,122.0,1000.27,
2010,1,1,16,27.24,77.99,138.0,0.0,138.0,413.65,7.53,159.0,1000.6,
2010,1,1,17,26.59,83.69,123.0,2.56,122.0,417.5,7.0,175.0,1001.52,
2010,1,1,18,25.95,89.39,64.0,16.37,61.0,421.35,6.47,190.0,1002.44,
2010,1,1,19,25.3,95.09,0.0,0.0,0.0,425.2,5.94,206.0,1003.37,
2010,1,1,20,25.26,96.09,0.0,0.0,0.0,427.35,6.53,206.0,1003.73,
2010,1,1,21,25.22,97.08,0.0,0.0,0.0,429.5,7.12,207.0,1004.09,
2010,1,1,22,25.19,98.08,0.0,0.0,0.0,431.65,7.71,207.0,1004.45,
2010,1,1,23,25.07,98.49,0.0,0.0,0.0,435.0,6.55,203.0,1004.16,
2010,1,2,0,24.96,98.91,0.0,0.0,0.0,438.35,5.38,199.0,1003.86,
2010,1,2,1,24.85,99.32,0.0,0.0,0.0,441.7,4.22,195.0,1003.56,
2010,1,2,2,24.66,98.77,0.0,0.0,0.0,441.27,4.31,197.0,1003.66,
2010,1,2,3,24.48,98.21,0.0,0.0,0.0,440.83,4.4,198.0,1003.76,
2010,1,2,4,24.3,97.66,0.0,0.0,0.0,440.4,4.5,200.0,1003.86,
2010,1,2,5,23.82,97.25,0.0,0.0,0.0,439.93,5.45,199.0,1004.42,
2010,1,2,6,23.33,96.83,22.0,0.0,22.0,439.47,6.41,199.0,1004.98,
2010,1,2,7,22.85,96.42,34.0,0.0,34.0,439.0,7.37,198.0,1005.54,
2010,1,2,8,22.59,92.72,98.0,0.0,98.0,436.72,6.84,195.0,1005.48,
2010,1,2,9,22.32,89.03,126.0,0.0,126.0,434.43,6.31,191.0,1005.41,
2010,1,2,10,22.05,85.33,197.0,0.0,197.0,432.15,5.78,187.0,1005.35,
2010,1,2,11,21.76,85.56,200.0,0.0,200.0,430.67,5.15,185.0,1004.88,
2010,1,2,12,21.47,85.8,241.0,0.0,241.0,429.18,4.52,182.0,1004.42,
2010,1,2,13,21.18,86.03,345.0,2.08,343.0,427.7,3.89,180.0,1003.96,
2010,1,2,14,21.3,87.23,229.0,0.0,229.0,422.5,3.59,178.0,1003.5,
2010,1,2,15,21.43,88.44,352.0,23.94,334.0,417.3,3.29,176.0,1003.04,
2010,1,2,16,21.56,89.64,192.0,1.71,191.0,412.1,2.99,174.0,1002.57,
2010,1,2,17,22.01,90.62,43.0,0.0,43.0,412.47,2.3,164.0,1002.84,
2010,1,2,18,22.46,91.59,23.0,0.0,23.0,412.83,1.6,154.0,1003.1,
2010,1,2,19,22.91,92.57,0.0,0.0,0.0,413.2,0.91,144.0,1003.37,
2010,1,2,20,23.09,93.08,0.0,0.0,0.0,413.4,0.9,140.0,1003.73,
2010,1,2,21,23.27,93.59,0.0,0.0,0.0,413.6,0.89,136.0,1004.09,
2010,1,2,22,23.46,94.1,0.0,0.0,0.0,413.8,0.88,131.0,1004.45,
2010,1,2,23,23.39,95.13,0.0,0.0,0.0,409.95,1.26,114.0,1003.89,
2010,1,3,0,23.32,96.17,0.0,0.0,0.0,406.1,1.65,97.0,1003.33,
2010,1,3,1,23.26,97.2,0.0,0.0,0.0,402.25,2.03,79.0,1002.77,
2010,1,3,2,23.31,97.01,0.0,0.0,0.0,401.63,2.26,63.0,1002.24,
2010,1,3,3,23.36,96.81,0.0,0.0,0.0,401.02,2.49,46.0,1001.72,
2010,1,3,4,23.41,96.62,0.0,0.0,0.0,400.4,2.72,29.0,1001.19,
2010,1,3,5,23.87,90.39,0.0,0.0,0.0,400.28,3.57,26.0,1001.16,
2010,1,3,6,24.33,84.15,68.0,0.0,68.0,400.17,4.43,23.0,1001.12,
