Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1757,Hermanus,ZAF,South Africa,-34.4095934868,19.2299267158,2,181.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,15.97,74.25,0.0,0.0,0.0,356.39,3.98,139.0,1003.49,
2006,1,1,1,16.35,76.86,0.0,0.0,0.0,361.18,3.98,126.0,1003.1,
2006,1,1,2,16.74,79.46,0.0,0.0,0.0,365.96,3.99,113.0,993.8,
2006,1,1,3,17.12,82.07,0.0,0.0,0.0,370.74,3.99,114.0,993.41,
2006,1,1,4,17.5,84.68,0.0,0.0,0.0,375.52,4.0,115.0,993.02,
2006,1,1,5,17.89,87.29,0.0,0.0,0.0,380.31,4.0,114.0,993.47,
2006,1,1,6,18.27,89.9,47.0,305.22,24.0,385.09,4.01,112.0,993.93,
2006,1,1,7,18.65,92.51,213.0,398.95,104.0,389.87,4.01,111.0,994.39,
2006,1,1,8,19.04,95.12,322.15,403.42,133.55,394.66,4.02,109.0,994.45,
2006,1,1,9,19.42,97.73,589.0,548.84,235.0,399.44,4.02,107.0,994.52,
2006,1,1,10,20.87,88.96,638.35,537.44,211.85,402.4,4.3,105.0,994.58,
2006,1,1,11,21.3,87.87,988.0,953.35,127.0,403.52,4.67,109.0,994.45,
2006,1,1,12,21.73,86.77,1055.0,933.56,153.0,404.63,5.03,114.0,994.32,
2006,1,1,13,22.16,85.68,1076.0,954.56,142.0,405.75,5.39,118.0,994.19,
2006,1,1,14,21.94,87.62,1021.0,926.41,151.0,396.63,5.43,124.0,993.83,
2006,1,1,15,21.72,89.55,916.0,919.13,134.0,387.52,5.47,130.0,993.47,
2006,1,1,16,21.5,91.49,747.0,843.56,140.0,378.4,5.5,137.0,993.11,
2006,1,1,17,20.84,91.81,551.0,777.48,120.0,380.3,5.1,133.0,993.41,
2006,1,1,18,20.17,92.14,335.0,655.0,95.0,382.2,4.7,130.0,993.7,
2006,1,1,19,19.51,92.46,53.0,0.0,53.0,384.1,4.3,126.0,993.99,
2006,1,1,20,19.15,91.65,0.0,0.0,0.0,385.18,3.79,121.0,994.42,
2006,1,1,21,18.8,90.85,0.0,0.0,0.0,386.27,3.28,116.0,994.84,
2006,1,1,22,18.44,90.04,0.0,0.0,0.0,387.35,2.77,112.0,995.27,
2006,1,1,23,18.27,90.48,0.0,0.0,0.0,389.17,2.51,120.0,994.97,
2006,1,2,0,18.1,90.92,0.0,0.0,0.0,390.98,2.25,128.0,994.68,
2006,1,2,1,17.93,91.36,0.0,0.0,0.0,392.8,1.99,136.0,994.39,
2006,1,2,2,17.82,92.89,0.0,0.0,0.0,379.42,2.07,154.0,994.32,
2006,1,2,3,17.71,94.41,0.0,0.0,0.0,366.03,2.16,172.0,994.26,
2006,1,2,4,17.6,95.94,0.0,0.0,0.0,352.65,2.25,190.0,994.19,
2006,1,2,5,17.95,95.05,0.0,0.0,0.0,356.17,2.28,187.0,994.32,
2006,1,2,6,18.3,94.16,40.0,205.39,25.0,359.68,2.31,185.0,994.45,
2006,1,2,7,18.64,93.27,139.0,73.8,119.0,363.2,2.34,183.0,994.58,
2006,1,2,8,19.44,91.72,323.2,426.12,124.85,362.0,2.51,185.0,994.55,
2006,1,2,9,20.24,90.16,310.0,31.09,290.0,360.8,2.68,187.0,994.52,
2006,1,2,10,21.04,88.61,627.3,528.03,209.0,359.6,2.84,188.0,994.48,
2006,1,2,11,21.36,88.11,993.0,972.14,116.0,358.82,3.59,190.0,994.35,
2006,1,2,12,21.68,87.6,1066.0,970.38,129.0,358.03,4.33,192.0,994.22,
2006,1,2,13,22.0,87.1,1088.0,991.55,118.0,357.25,5.08,194.0,994.09,
