Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1786,Lebowakgomo,ZAF,South Africa,-24.1996223767,29.4999975166,2,1159.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,25.15,56.1,0.0,0.0,0.0,364.58,2.68,54.0,880.78,
2016,1,1,1,24.97,57.42,0.0,0.0,0.0,364.13,2.61,59.0,880.72,
2016,1,1,2,24.79,58.74,0.0,0.0,0.0,363.67,2.54,63.0,883.88,
2016,1,1,3,24.61,60.06,0.0,0.0,0.0,363.22,2.47,60.0,884.0,
2016,1,1,4,24.44,61.38,0.0,0.0,0.0,362.77,2.4,57.0,884.11,
2016,1,1,5,24.26,62.69,0.0,0.0,0.0,362.32,2.33,45.0,884.43,
2016,1,1,6,24.08,64.01,35.0,0.0,35.0,361.87,2.27,34.0,884.75,
2016,1,1,7,23.9,65.33,384.0,518.82,192.0,361.42,2.2,22.0,885.07,
2016,1,1,8,23.73,66.65,870.0,758.74,435.0,360.97,2.13,7.0,884.43,
2016,1,1,9,23.55,67.97,1248.0,833.76,624.0,360.52,2.06,352.0,883.79,
2016,1,1,10,31.54,40.1,1600.0,905.57,800.0,364.0,1.21,337.0,883.16,
2016,1,1,11,32.08,36.31,1818.0,937.94,909.0,367.9,1.41,290.0,882.17,
2016,1,1,12,32.63,32.52,1866.0,933.23,933.0,371.8,1.6,244.0,881.18,
2016,1,1,13,33.17,28.73,1776.0,912.51,888.0,375.7,1.79,197.0,880.2,
2016,1,1,14,32.74,29.46,102.0,57.23,51.0,381.03,1.66,205.0,879.85,
2016,1,1,15,32.3,30.18,32.0,21.07,16.0,386.37,1.52,214.0,879.5,
2016,1,1,16,31.86,30.91,8.0,6.82,4.0,391.7,1.38,222.0,879.15,
2016,1,1,17,30.7,33.04,24.0,31.17,12.0,396.27,1.38,172.0,879.71,
2016,1,1,18,29.54,35.18,6.0,17.86,3.0,400.83,1.39,123.0,880.26,
2016,1,1,19,28.39,37.31,0.0,0.0,0.0,405.4,1.39,73.0,880.81,
2016,1,1,20,26.96,39.46,0.0,0.0,0.0,398.85,1.66,73.0,881.39,
2016,1,1,21,25.53,41.6,0.0,0.0,0.0,392.3,1.94,74.0,881.97,
2016,1,1,22,24.11,43.75,0.0,0.0,0.0,385.75,2.21,74.0,882.55,
2016,1,1,23,23.58,46.03,0.0,0.0,0.0,376.53,2.46,73.0,882.75,
2016,1,2,0,23.05,48.32,0.0,0.0,0.0,367.32,2.7,72.0,882.95,
2016,1,2,1,22.51,50.6,0.0,0.0,0.0,358.1,2.95,70.0,883.16,
2016,1,2,2,21.65,56.95,0.0,0.0,0.0,361.18,2.78,65.0,883.62,
2016,1,2,3,20.78,63.3,0.0,0.0,0.0,364.27,2.6,60.0,884.08,
2016,1,2,4,19.91,69.65,0.0,0.0,0.0,367.35,2.43,54.0,884.55,
2016,1,2,5,20.58,71.42,0.0,0.0,0.0,367.78,2.54,43.0,884.95,
2016,1,2,6,21.24,73.19,30.1,0.0,30.1,368.22,2.65,32.0,885.36,
2016,1,2,7,21.9,74.96,0.0,0.0,0.0,368.65,2.76,21.0,885.77,
2016,1,2,8,23.0,69.43,74.0,64.73,37.0,372.93,2.32,2.0,885.48,
2016,1,2,9,24.1,63.91,572.1,538.65,169.7,377.22,1.89,343.0,885.19,
2016,1,2,10,25.2,58.38,0.0,0.0,0.0,381.5,1.45,324.0,884.9,
2016,1,2,11,25.31,56.98,815.35,651.06,184.7,385.65,1.62,284.0,884.35,
2016,1,2,12,25.42,55.58,72.0,36.01,36.0,389.8,1.8,243.0,883.79,
