Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1788,Ulundi,ZAF,South Africa,-28.3296028455,31.4100101305,2,465.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,21.31,80.68,0.0,0.0,0.0,394.99,1.69,24.0,963.05,
2009,1,1,1,21.47,80.31,0.0,0.0,0.0,395.36,1.57,21.0,962.83,
2009,1,1,2,21.63,79.95,0.0,0.0,0.0,395.74,1.45,187.0,960.75,
2009,1,1,3,21.8,79.58,0.0,0.0,0.0,396.12,1.33,182.0,960.56,
2009,1,1,4,21.96,79.21,0.0,0.0,0.0,396.5,1.21,178.0,960.37,
2009,1,1,5,22.12,78.84,0.0,0.0,0.0,396.88,1.08,170.0,960.4,
2009,1,1,6,22.28,78.47,26.0,0.0,26.0,397.25,0.96,161.0,960.43,
2009,1,1,7,22.44,78.1,74.0,0.0,74.0,397.63,0.84,152.0,960.47,
2009,1,1,8,22.6,77.73,571.0,630.13,189.0,398.01,0.72,136.0,959.74,
2009,1,1,9,22.76,77.36,461.0,92.08,390.0,398.39,0.6,120.0,959.02,
2009,1,1,10,29.13,52.28,545.0,92.63,462.0,380.3,2.18,103.0,958.29,
2009,1,1,11,29.89,50.09,716.0,212.83,509.0,375.27,2.63,102.0,957.31,
2009,1,1,12,30.65,47.9,1004.0,708.2,299.0,370.23,3.08,101.0,956.34,
2009,1,1,13,31.41,45.71,891.0,523.26,387.0,365.2,3.53,100.0,955.36,
2009,1,1,14,30.8,46.65,624.0,192.51,455.0,364.35,3.7,91.0,955.17,
2009,1,1,15,30.19,47.58,754.0,772.74,178.0,363.5,3.87,82.0,954.98,
2009,1,1,16,29.58,48.52,570.0,774.25,125.0,362.65,4.04,72.0,954.79,
2009,1,1,17,28.2,55.49,315.0,484.67,132.0,370.48,4.28,70.0,955.58,
2009,1,1,18,26.81,62.46,118.0,364.58,57.0,378.32,4.51,69.0,956.37,
2009,1,1,19,25.42,69.43,0.0,0.0,0.0,386.15,4.74,67.0,957.16,
2009,1,1,20,24.51,74.04,0.0,0.0,0.0,387.87,3.96,60.0,957.79,
2009,1,1,21,23.59,78.65,0.0,0.0,0.0,389.58,3.17,53.0,958.42,
2009,1,1,22,22.67,83.26,0.0,0.0,0.0,391.3,2.39,46.0,959.05,
2009,1,1,23,22.32,84.93,0.0,0.0,0.0,395.5,2.17,41.0,958.7,
2009,1,2,0,21.97,86.61,0.0,0.0,0.0,399.7,1.95,37.0,958.35,
2009,1,2,1,21.62,88.28,0.0,0.0,0.0,403.9,1.74,32.0,958.01,
2009,1,2,2,20.95,90.34,0.0,0.0,0.0,404.08,1.57,35.0,958.16,
2009,1,2,3,20.28,92.41,0.0,0.0,0.0,404.27,1.4,37.0,958.32,
2009,1,2,4,19.61,94.47,0.0,0.0,0.0,404.45,1.23,40.0,958.48,
2009,1,2,5,21.16,89.04,0.0,0.0,0.0,405.62,1.81,36.0,958.57,
2009,1,2,6,22.7,83.6,65.5,114.93,42.35,406.78,2.4,32.0,958.67,
2009,1,2,7,24.24,78.17,191.05,225.25,98.55,407.95,2.98,27.0,958.76,
2009,1,2,8,26.02,71.67,410.9,385.37,177.95,408.87,2.94,32.0,958.39,
2009,1,2,9,27.79,65.16,580.45,440.55,241.35,409.78,2.91,37.0,958.01,
2009,1,2,10,29.56,58.66,704.9,472.47,282.0,410.7,2.87,42.0,957.63,
2009,1,2,11,29.52,57.42,818.3,533.61,299.6,409.27,3.14,47.0,957.16,
2009,1,2,12,29.48,56.18,970.0,627.9,345.0,407.83,3.42,52.0,956.68,
2009,1,2,13,29.43,54.94,818.4,570.34,268.9,406.4,3.7,58.0,956.21,
2009,1,2,14,28.58,56.57,766.0,431.42,387.0,402.73,4.03,57.0,955.99,
2009,1,2,15,27.73,58.19,570.55,460.04,227.25,399.07,4.37,57.0,955.77,
2009,1,2,16,26.87,59.82,340.0,100.74,282.0,395.4,4.7,57.0,955.55,
2009,1,2,17,25.57,65.13,244.5,328.86,120.0,395.15,4.51,57.0,956.37,
2009,1,2,18,24.27,70.44,18.0,0.0,18.0,394.9,4.31,57.0,957.19,
2009,1,2,19,22.97,75.75,0.0,0.0,0.0,394.65,4.11,57.0,958.01,
2009,1,2,20,22.64,78.8,0.0,0.0,0.0,401.03,3.89,54.0,958.8,
2009,1,2,21,22.3,81.86,0.0,0.0,0.0,407.42,3.67,51.0,959.58,
2009,1,2,22,21.96,84.91,0.0,0.0,0.0,413.8,3.45,48.0,960.37,
2009,1,2,23,21.72,86.22,0.0,0.0,0.0,415.93,3.14,44.0,960.12,
2009,1,3,0,21.48,87.53,0.0,0.0,0.0,418.07,2.82,40.0,959.87,
2009,1,3,1,21.23,88.84,0.0,0.0,0.0,420.2,2.51,36.0,959.61,
2009,1,3,2,20.74,89.69,0.0,0.0,0.0,411.67,2.25,34.0,959.27,
2009,1,3,3,20.25,90.53,0.0,0.0,0.0,403.13,2.0,32.0,958.92,
2009,1,3,4,19.75,91.38,0.0,0.0,0.0,394.6,1.74,30.0,958.57,
2009,1,3,5,21.54,84.19,0.0,0.0,0.0,394.0,2.37,26.0,958.39,
2009,1,3,6,23.33,77.01,28.0,0.0,28.0,393.4,3.0,22.0,958.2,
2009,1,3,7,25.12,69.82,192.35,223.57,101.0,392.8,3.63,18.0,958.01,
2009,1,3,8,27.05,63.83,380.0,131.07,301.0,390.28,3.94,20.0,957.47,
2009,1,3,9,28.98,57.84,576.25,432.5,243.95,387.77,4.26,22.0,956.93,
2009,1,3,10,30.9,51.85,559.0,106.25,464.0,385.25,4.58,24.0,956.4,
2009,1,3,11,31.82,48.57,834.55,569.37,281.4,382.57,4.63,31.0,955.55,
2009,1,3,12,32.73,45.29,881.0,440.09,443.0,379.88,4.67,37.0,954.7,
2009,1,3,13,33.64,42.01,791.7,528.0,282.85,377.2,4.72,44.0,953.84,
2009,1,3,14,33.08,43.71,824.0,565.38,327.0,377.08,4.94,44.0,953.47,
2009,1,3,15,32.52,45.42,557.4,420.53,243.25,376.97,5.17,45.0,953.09,
2009,1,3,16,31.95,47.12,104.0,0.0,104.0,376.85,5.39,45.0,952.71,
2009,1,3,17,29.94,53.41,230.45,281.14,123.75,379.23,5.13,43.0,953.56,
2009,1,3,18,27.93,59.69,125.0,431.78,52.0,381.62,4.86,40.0,954.41,
2009,1,3,19,25.92,65.98,0.0,0.0,0.0,384.0,4.59,38.0,955.26,
2009,1,3,20,25.12,68.63,0.0,0.0,0.0,385.77,4.02,33.0,955.83,
2009,1,3,21,24.32,71.28,0.0,0.0,0.0,387.53,3.45,29.0,956.4,
2009,1,3,22,23.51,73.93,0.0,0.0,0.0,389.3,2.88,24.0,956.97,
2009,1,3,23,22.85,76.08,0.0,0.0,0.0,391.37,2.56,23.0,956.56,
2009,1,4,0,22.19,78.22,0.0,0.0,0.0,393.43,2.24,21.0,956.15,
2009,1,4,1,21.52,80.37,0.0,0.0,0.0,395.5,1.92,20.0,955.74,
2009,1,4,2,20.64,82.46,0.0,0.0,0.0,396.78,1.48,19.0,956.11,
2009,1,4,3,19.75,84.56,0.0,0.0,0.0,398.07,1.04,18.0,956.49,
2009,1,4,4,18.86,86.65,0.0,0.0,0.0,399.35,0.61,17.0,956.87,
2009,1,4,5,20.73,81.08,0.0,0.0,0.0,398.43,0.51,13.0,956.93,
2009,1,4,6,22.6,75.5,155.0,477.49,61.0,397.52,0.4,10.0,957.0,
2009,1,4,7,24.46,69.93,197.7,233.21,102.9,396.6,0.3,6.0,957.06,
2009,1,4,8,25.92,64.51,605.0,795.43,127.0,397.37,0.63,16.0,956.75,
2009,1,4,9,27.38,59.08,573.35,432.84,241.4,398.13,0.97,27.0,956.43,
2009,1,4,10,28.84,53.66,817.0,510.57,361.0,398.9,1.3,38.0,956.11,
2009,1,4,11,28.69,58.33,819.4,554.92,280.6,403.33,2.19,67.0,955.96,
2009,1,4,12,28.53,62.99,752.0,235.15,518.0,407.77,3.08,97.0,955.8,
2009,1,4,13,28.37,67.66,784.95,499.4,303.55,412.2,3.97,127.0,955.64,
2009,1,4,14,27.52,72.04,606.0,167.12,459.0,411.45,4.78,135.0,956.08,
2009,1,4,15,26.67,76.41,531.0,389.48,239.75,410.7,5.58,144.0,956.52,
2009,1,4,16,25.81,80.79,185.0,1.73,184.0,409.95,6.39,152.0,956.97,
2009,1,4,17,23.49,86.64,211.6,239.75,120.4,413.52,5.83,160.0,958.01,
2009,1,4,18,21.17,92.48,35.0,0.0,35.0,417.08,5.28,167.0,959.05,
2009,1,4,19,18.85,98.33,0.0,0.0,0.0,420.65,4.73,175.0,960.09,
2009,1,4,20,18.57,97.36,0.0,0.0,0.0,420.65,4.58,181.0,960.81,
2009,1,4,21,18.29,96.38,0.0,0.0,0.0,420.65,4.43,188.0,961.54,
2009,1,4,22,18.01,95.41,0.0,0.0,0.0,420.65,4.28,195.0,962.26,
2009,1,4,23,17.87,95.29,0.0,0.0,0.0,419.25,3.71,198.0,962.11,
2009,1,5,0,17.72,95.17,0.0,0.0,0.0,417.85,3.14,202.0,961.95,
2009,1,5,1,17.57,95.05,0.0,0.0,0.0,416.45,2.57,206.0,961.79,
2009,1,5,2,17.69,93.09,0.0,0.0,0.0,405.05,2.32,208.0,961.66,
2009,1,5,3,17.81,91.12,0.0,0.0,0.0,393.65,2.08,210.0,961.54,
2009,1,5,4,17.93,89.16,0.0,0.0,0.0,382.25,1.83,213.0,961.41,
2009,1,5,5,18.84,83.12,0.0,0.0,0.0,379.67,1.51,211.0,961.48,
2009,1,5,6,19.75,77.07,56.0,5.14,55.0,377.08,1.19,210.0,961.54,
2009,1,5,7,20.66,71.03,192.65,234.93,97.65,374.5,0.87,208.0,961.6,
2009,1,5,8,22.4,65.55,599.0,779.47,132.0,370.73,1.09,198.0,961.0,
