Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4051,Umtata,ZAF,South Africa,-31.5799987602,28.7900150133,2,678.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,15.3,91.46,0.0,0.0,0.0,381.4,7.08,201.0,945.46,
2010,1,1,1,16.16,91.44,0.0,0.0,0.0,388.98,6.16,201.0,945.34,
2010,1,1,2,17.02,91.41,0.0,0.0,0.0,396.56,5.24,72.0,934.42,
2010,1,1,3,17.88,91.38,0.0,0.0,0.0,404.14,4.32,71.0,934.12,
2010,1,1,4,18.74,91.35,0.0,0.0,0.0,411.72,3.41,69.0,933.81,
2010,1,1,5,19.6,91.32,0.0,0.0,0.0,419.3,2.49,71.0,933.84,
2010,1,1,6,20.46,91.3,105.0,140.29,79.0,426.88,1.57,72.0,933.87,
2010,1,1,7,21.32,91.27,54.0,0.0,54.0,434.46,0.65,74.0,933.9,
2010,1,1,8,22.17,91.24,230.0,8.62,225.0,442.04,-0.26,98.0,933.75,
2010,1,1,9,23.03,91.21,364.0,30.86,341.0,449.62,-1.18,122.0,933.59,
2010,1,1,10,24.53,73.12,329.0,3.43,326.0,425.35,2.99,146.0,933.44,
2010,1,1,11,23.98,75.75,451.0,19.86,432.0,423.78,4.12,150.0,933.47,
2010,1,1,12,23.43,78.39,884.0,455.19,434.0,422.22,5.26,153.0,933.5,
2010,1,1,13,22.88,81.02,682.0,175.82,512.0,420.65,6.39,157.0,933.53,
2010,1,1,14,22.1,86.22,548.0,96.28,462.0,420.1,5.48,164.0,933.93,
2010,1,1,15,21.31,91.42,84.0,0.0,84.0,419.55,4.57,171.0,934.33,
2010,1,1,16,20.53,96.62,76.0,0.0,76.0,419.0,3.67,178.0,934.73,
2010,1,1,17,19.98,97.44,190.0,25.8,179.0,418.55,3.78,178.0,935.28,
2010,1,1,18,19.44,98.25,149.0,249.93,93.0,418.1,3.89,179.0,935.84,
2010,1,1,19,18.9,99.07,0.0,0.0,0.0,417.65,4.0,180.0,936.39,
2010,1,1,20,18.65,98.91,0.0,0.0,0.0,419.9,3.82,179.0,936.82,
2010,1,1,21,18.41,98.74,0.0,0.0,0.0,422.15,3.64,177.0,937.25,
2010,1,1,22,18.17,98.58,0.0,0.0,0.0,424.4,3.46,175.0,937.68,
2010,1,1,23,17.97,98.59,0.0,0.0,0.0,425.05,2.85,174.0,937.44,
2010,1,2,0,17.77,98.61,0.0,0.0,0.0,425.7,2.24,173.0,937.19,
2010,1,2,1,17.57,98.62,0.0,0.0,0.0,426.35,1.63,172.0,936.94,
2010,1,2,2,17.58,98.58,0.0,0.0,0.0,421.35,1.82,172.0,936.76,
2010,1,2,3,17.59,98.53,0.0,0.0,0.0,416.35,2.0,173.0,936.58,
2010,1,2,4,17.6,98.49,0.0,0.0,0.0,411.35,2.19,173.0,936.39,
2010,1,2,5,17.88,97.67,0.0,0.0,0.0,413.5,2.44,163.0,936.85,
2010,1,2,6,18.16,96.85,59.0,5.46,58.0,415.65,2.68,154.0,937.31,
2010,1,2,7,18.43,96.03,33.0,0.0,33.0,417.8,2.92,144.0,937.77,
2010,1,2,8,19.35,93.14,92.0,0.0,92.0,418.68,2.81,132.0,937.5,
2010,1,2,9,20.27,90.25,282.0,4.03,279.0,419.57,2.7,120.0,937.22,
2010,1,2,10,21.18,87.36,375.0,11.46,365.0,420.45,2.59,108.0,936.94,
2010,1,2,11,21.7,88.23,427.0,13.6,414.0,414.82,2.86,99.0,936.45,
2010,1,2,12,22.21,89.1,664.0,139.63,526.0,409.18,3.12,91.0,935.96,
2010,1,2,13,22.72,89.97,664.0,157.19,512.0,403.55,3.38,83.0,935.47,
2010,1,2,14,22.44,87.2,670.0,234.98,460.0,396.82,3.42,82.0,934.92,
2010,1,2,15,22.16,84.43,738.0,616.77,261.0,390.08,3.46,80.0,934.36,
2010,1,2,16,21.88,81.66,550.0,522.58,229.0,383.35,3.5,79.0,933.81,
2010,1,2,17,20.77,84.42,393.0,636.75,121.0,380.3,3.4,74.0,934.15,
2010,1,2,18,19.66,87.18,91.0,26.68,85.0,377.25,3.29,68.0,934.48,
2010,1,2,19,18.56,89.94,0.0,0.0,0.0,374.2,3.19,63.0,934.82,
2010,1,2,20,18.31,90.44,0.0,0.0,0.0,373.85,3.13,57.0,934.98,
2010,1,2,21,18.06,90.94,0.0,0.0,0.0,373.5,3.07,51.0,935.13,
2010,1,2,22,17.82,91.44,0.0,0.0,0.0,373.15,3.01,46.0,935.28,
2010,1,2,23,17.62,91.63,0.0,0.0,0.0,377.23,2.73,43.0,934.64,
2010,1,3,0,17.42,91.81,0.0,0.0,0.0,381.32,2.45,41.0,933.99,
2010,1,3,1,17.22,92.0,0.0,0.0,0.0,385.4,2.17,38.0,933.35,
2010,1,3,2,17.18,90.57,0.0,0.0,0.0,384.38,2.05,35.0,932.7,
2010,1,3,3,17.15,89.14,0.0,0.0,0.0,383.37,1.94,33.0,932.06,
2010,1,3,4,17.11,87.71,0.0,0.0,0.0,382.35,1.82,30.0,931.41,
2010,1,3,5,19.28,81.9,0.0,0.0,0.0,384.65,1.45,32.0,931.35,
2010,1,3,6,21.46,76.08,143.0,486.84,55.0,386.95,1.08,35.0,931.29,
2010,1,3,7,23.63,70.27,369.0,743.52,83.0,389.25,0.7,37.0,931.23,
2010,1,3,8,25.57,65.22,586.0,822.65,112.0,388.32,0.66,43.0,930.67,
2010,1,3,9,27.5,60.17,787.0,895.86,122.0,387.38,0.61,49.0,930.12,
2010,1,3,10,29.43,55.12,952.0,957.93,117.0,386.45,0.57,55.0,929.57,
2010,1,3,11,29.46,55.19,1052.0,964.95,130.0,383.42,0.86,56.0,928.98,
2010,1,3,12,29.49,55.27,1069.0,902.8,177.0,380.38,1.14,58.0,928.4,
2010,1,3,13,29.52,55.34,1054.0,931.65,153.0,377.35,1.43,59.0,927.81,
2010,1,3,14,28.82,56.37,772.0,409.35,406.0,376.8,1.21,56.0,927.78,
2010,1,3,15,28.11,57.4,519.0,152.45,401.0,376.25,0.99,53.0,927.75,
2010,1,3,16,27.41,58.43,627.0,822.71,121.0,375.7,0.77,50.0,927.72,
2010,1,3,17,26.12,63.23,423.0,813.11,75.0,379.78,1.34,42.0,928.52,
2010,1,3,18,24.84,68.03,178.0,456.52,75.0,383.87,1.9,33.0,929.32,
2010,1,3,19,23.56,72.83,0.0,0.0,0.0,387.95,2.47,25.0,930.12,
2010,1,3,20,22.05,77.25,0.0,0.0,0.0,395.23,3.77,330.0,931.53,
2010,1,3,21,20.55,81.66,0.0,0.0,0.0,402.52,5.07,276.0,932.95,
2010,1,3,22,19.05,86.08,0.0,0.0,0.0,409.8,6.37,222.0,934.36,
2010,1,3,23,18.37,89.85,0.0,0.0,0.0,411.97,6.2,221.0,935.04,
2010,1,4,0,17.7,93.61,0.0,0.0,0.0,414.13,6.02,220.0,935.71,
2010,1,4,1,17.02,97.38,0.0,0.0,0.0,416.3,5.85,220.0,936.39,
2010,1,4,2,16.69,96.8,0.0,0.0,0.0,414.68,5.34,222.0,937.22,
2010,1,4,3,16.37,96.22,0.0,0.0,0.0,413.07,4.83,223.0,938.05,
2010,1,4,4,16.04,95.64,0.0,0.0,0.0,411.45,4.32,225.0,938.88,
2010,1,4,5,16.28,93.91,0.0,0.0,0.0,410.17,4.52,222.0,939.77,
2010,1,4,6,16.52,92.17,21.0,0.0,21.0,408.88,4.73,218.0,940.66,
2010,1,4,7,16.75,90.44,67.0,0.0,67.0,407.6,4.94,215.0,941.55,
2010,1,4,8,17.49,88.48,117.0,0.0,117.0,405.1,5.31,208.0,941.74,
2010,1,4,9,18.23,86.51,289.0,5.4,285.0,402.6,5.68,201.0,941.92,
2010,1,4,10,18.98,84.55,420.0,25.27,398.0,400.1,6.06,194.0,942.11,
2010,1,4,11,19.09,83.79,375.0,4.19,371.0,401.42,5.82,189.0,941.92,
2010,1,4,12,19.2,83.03,207.0,0.0,207.0,402.73,5.59,184.0,941.74,
2010,1,4,13,19.31,82.27,404.0,8.27,396.0,404.05,5.35,179.0,941.55,
2010,1,4,14,18.37,85.65,359.0,5.59,354.0,398.73,5.37,174.0,941.74,
2010,1,4,15,17.44,89.02,335.0,12.91,325.0,393.42,5.38,170.0,941.92,
2010,1,4,16,16.5,92.4,113.0,0.0,113.0,388.1,5.39,165.0,942.11,
2010,1,4,17,15.88,92.22,142.0,2.33,141.0,389.67,5.05,161.0,942.54,
2010,1,4,18,15.27,92.05,54.0,0.0,54.0,391.23,4.7,157.0,942.97,
2010,1,4,19,14.66,91.87,0.0,0.0,0.0,392.8,4.36,153.0,943.4,
2010,1,4,20,14.52,90.92,0.0,0.0,0.0,396.32,3.64,149.0,943.71,
2010,1,4,21,14.39,89.97,0.0,0.0,0.0,399.83,2.91,144.0,944.01,
2010,1,4,22,14.26,89.02,0.0,0.0,0.0,403.35,2.19,139.0,944.32,
2010,1,4,23,14.13,88.99,0.0,0.0,0.0,402.22,1.96,135.0,944.08,
2010,1,5,0,14.0,88.97,0.0,0.0,0.0,401.08,1.72,132.0,943.83,
2010,1,5,1,13.87,88.94,0.0,0.0,0.0,399.95,1.49,128.0,943.58,
2010,1,5,2,13.85,89.68,0.0,0.0,0.0,397.63,1.77,116.0,943.43,
2010,1,5,3,13.82,90.43,0.0,0.0,0.0,395.32,2.04,105.0,943.28,
2010,1,5,4,13.8,91.17,0.0,0.0,0.0,393.0,2.32,93.0,943.12,
2010,1,5,5,14.72,89.47,0.0,0.0,0.0,395.75,2.9,88.0,943.25,
2010,1,5,6,15.64,87.76,28.0,0.0,28.0,398.5,3.49,83.0,943.37,
2010,1,5,7,16.56,86.06,325.0,497.02,136.0,401.25,4.07,77.0,943.49,
2010,1,5,8,18.02,81.71,303.0,55.91,271.0,398.37,4.26,75.0,943.25,
2010,1,5,9,19.48,77.36,437.0,86.58,373.0,395.48,4.46,73.0,943.0,
2010,1,5,10,20.94,73.01,645.0,225.45,449.0,392.6,4.65,70.0,942.75,
2010,1,5,11,21.6,72.27,867.0,486.36,403.0,385.52,4.69,70.0,942.2,
2010,1,5,12,22.26,71.53,1080.0,937.83,154.0,378.43,4.73,70.0,941.65,
2010,1,5,13,22.92,70.79,1037.0,879.87,186.0,371.35,4.77,70.0,941.09,
2010,1,5,14,22.38,69.44,948.0,860.52,178.0,359.67,5.13,67.0,940.39,
2010,1,5,15,21.83,68.1,817.0,872.06,141.0,347.98,5.48,65.0,939.68,
2010,1,5,16,21.29,66.75,618.0,777.05,139.0,336.3,5.83,63.0,938.97,
2010,1,5,17,19.98,69.66,400.0,663.69,115.0,337.93,5.35,60.0,939.13,
2010,1,5,18,18.67,72.58,189.0,555.4,63.0,339.57,4.87,57.0,939.28,
2010,1,5,19,17.36,75.49,0.0,0.0,0.0,341.2,4.39,54.0,939.43,
2010,1,5,20,16.99,77.23,0.0,0.0,0.0,345.3,3.66,51.0,939.46,
2010,1,5,21,16.62,78.96,0.0,0.0,0.0,349.4,2.94,49.0,939.5,
2010,1,5,22,16.26,80.7,0.0,0.0,0.0,353.5,2.22,46.0,939.53,
2010,1,5,23,16.01,82.59,0.0,0.0,0.0,363.73,2.19,46.0,938.97,
2010,1,6,0,15.75,84.49,0.0,0.0,0.0,373.97,2.17,45.0,938.42,
2010,1,6,1,15.5,86.38,0.0,0.0,0.0,384.2,2.14,45.0,937.87,
2010,1,6,2,15.27,86.83,0.0,0.0,0.0,379.57,1.99,44.0,937.31,
2010,1,6,3,15.05,87.28,0.0,0.0,0.0,374.93,1.84,43.0,936.76,
2010,1,6,4,14.82,87.73,0.0,0.0,0.0,370.3,1.7,43.0,936.21,
2010,1,6,5,17.31,82.95,0.0,0.0,0.0,365.12,1.89,42.0,935.96,
2010,1,6,6,19.8,78.17,134.0,455.28,55.0,359.93,2.07,42.0,935.71,
2010,1,6,7,22.29,73.39,359.0,724.83,85.0,354.75,2.26,42.0,935.47,
2010,1,6,8,24.64,68.2,576.0,804.68,117.0,350.85,1.97,43.0,934.79,
2010,1,6,9,26.99,63.0,782.0,894.79,122.0,346.95,1.68,45.0,934.12,
2010,1,6,10,29.34,57.81,948.0,957.18,117.0,343.05,1.39,46.0,933.44,
2010,1,6,11,30.16,56.82,1043.0,947.29,140.0,341.73,1.49,49.0,932.76,
2010,1,6,12,30.98,55.84,1091.0,973.64,130.0,340.42,1.59,52.0,932.09,
2010,1,6,13,31.8,54.85,1077.0,1004.98,105.0,339.1,1.68,54.0,931.41,
2010,1,6,14,31.01,56.3,1002.0,1037.87,73.0,342.15,2.39,54.0,930.86,
2010,1,6,15,30.21,57.74,795.0,791.57,181.0,345.2,3.1,54.0,930.3,
2010,1,6,16,29.42,59.19,647.0,904.31,89.0,348.25,3.81,53.0,929.75,
2010,1,6,17,27.69,65.5,421.0,785.99,83.0,354.82,3.29,50.0,930.12,
2010,1,6,18,25.96,71.8,196.0,615.75,56.0,361.38,2.77,47.0,930.49,
2010,1,6,19,24.24,78.11,0.0,0.0,0.0,367.95,2.25,44.0,930.86,
2010,1,6,20,23.64,79.78,0.0,0.0,0.0,373.7,3.37,355.0,931.72,
2010,1,6,21,23.05,81.44,0.0,0.0,0.0,379.45,4.49,307.0,932.58,
2010,1,6,22,22.46,83.11,0.0,0.0,0.0,385.2,5.61,259.0,933.44,
2010,1,6,23,21.44,84.36,0.0,0.0,0.0,386.98,4.49,246.0,934.12,
2010,1,7,0,20.42,85.62,0.0,0.0,0.0,388.77,3.37,234.0,934.79,
2010,1,7,1,19.4,86.87,0.0,0.0,0.0,390.55,2.25,222.0,935.47,
2010,1,7,2,18.9,86.66,0.0,0.0,0.0,394.85,2.21,221.0,935.9,
2010,1,7,3,18.4,86.44,0.0,0.0,0.0,399.15,2.17,220.0,936.33,
2010,1,7,4,17.9,86.23,0.0,0.0,0.0,403.45,2.14,219.0,936.76,
2010,1,7,5,18.43,83.25,0.0,0.0,0.0,407.05,2.38,219.0,937.16,
2010,1,7,6,18.96,80.27,83.0,76.02,70.0,410.65,2.62,219.0,937.56,
2010,1,7,7,19.49,77.29,214.0,101.14,176.0,414.25,2.86,219.0,937.96,
2010,1,7,8,20.18,75.36,542.0,661.47,166.0,412.1,2.51,213.0,937.8,
2010,1,7,9,20.87,73.43,763.0,827.47,154.0,409.95,2.17,207.0,937.65,
2010,1,7,10,21.57,71.5,926.0,887.0,157.0,407.8,1.83,201.0,937.5,
2010,1,7,11,21.68,72.83,1037.0,929.18,152.0,404.58,2.19,191.0,937.22,
2010,1,7,12,21.8,74.16,1085.0,955.78,142.0,401.37,2.55,181.0,936.94,
2010,1,7,13,21.91,75.49,1066.0,967.79,130.0,398.15,2.91,172.0,936.67,
2010,1,7,14,21.81,73.81,901.0,717.04,259.0,390.32,3.66,166.0,936.3,
2010,1,7,15,21.7,72.12,628.0,333.71,369.0,382.48,4.4,160.0,935.93,
2010,1,7,16,21.6,70.44,261.0,12.95,253.0,374.65,5.14,154.0,935.56,
2010,1,7,17,20.56,74.88,107.0,0.0,107.0,378.58,4.8,143.0,935.96,
2010,1,7,18,19.52,79.31,55.0,0.0,55.0,382.52,4.46,132.0,936.36,
2010,1,7,19,18.48,83.75,0.0,0.0,0.0,386.45,4.11,121.0,936.76,
2010,1,7,20,18.12,85.77,0.0,0.0,0.0,387.62,3.52,113.0,936.88,
2010,1,7,21,17.77,87.78,0.0,0.0,0.0,388.78,2.93,104.0,937.01,
2010,1,7,22,17.42,89.8,0.0,0.0,0.0,389.95,2.34,96.0,937.13,
2010,1,7,23,17.16,90.69,0.0,0.0,0.0,389.13,2.26,97.0,936.73,
2010,1,8,0,16.9,91.58,0.0,0.0,0.0,388.32,2.17,98.0,936.33,
2010,1,8,1,16.64,92.47,0.0,0.0,0.0,387.5,2.08,99.0,935.93,
2010,1,8,2,16.57,92.9,0.0,0.0,0.0,387.45,1.79,106.0,935.93,
2010,1,8,3,16.49,93.33,0.0,0.0,0.0,387.4,1.5,113.0,935.93,
2010,1,8,4,16.42,93.76,0.0,0.0,0.0,387.35,1.21,120.0,935.93,
2010,1,8,5,17.39,91.19,0.0,0.0,0.0,386.45,1.36,111.0,936.11,
2010,1,8,6,18.36,88.63,71.0,35.62,65.0,385.55,1.51,102.0,936.3,
2010,1,8,7,19.33,86.06,203.0,80.34,173.0,384.65,1.66,94.0,936.48,
2010,1,8,8,20.46,82.02,440.0,308.96,265.0,383.37,1.27,103.0,936.11,
2010,1,8,9,21.58,77.98,672.0,531.09,282.0,382.08,0.88,112.0,935.75,
2010,1,8,10,22.7,73.94,745.0,406.59,393.0,380.8,0.5,120.0,935.38,
2010,1,8,11,22.53,74.8,898.0,561.14,364.0,380.5,1.43,125.0,935.28,
2010,1,8,12,22.36,75.65,834.0,368.08,471.0,380.2,2.36,129.0,935.19,
2010,1,8,13,22.19,76.51,763.0,281.26,491.0,379.9,3.3,133.0,935.1,
2010,1,8,14,21.5,77.27,401.0,14.52,388.0,383.07,3.5,132.0,935.07,
2010,1,8,15,20.8,78.03,86.0,0.0,86.0,386.23,3.71,131.0,935.04,
2010,1,8,16,20.11,78.79,69.0,0.0,69.0,389.4,3.92,130.0,935.01,
