Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3558,Vereeniging,ZAF,South Africa,-26.6496020317,27.9599881579,2,1438.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,14.66,51.32,0.0,0.0,0.0,302.84,5.21,102.0,854.21,
2007,1,1,1,14.77,54.34,0.0,0.0,0.0,305.37,5.55,94.0,854.33,
2007,1,1,2,14.88,57.36,0.0,0.0,0.0,307.89,5.9,94.0,855.08,
2007,1,1,3,14.98,60.38,0.0,0.0,0.0,310.42,6.24,94.0,855.84,
2007,1,1,4,15.09,63.4,0.0,0.0,0.0,312.95,6.58,94.0,856.6,
2007,1,1,5,15.2,66.42,0.0,0.0,0.0,315.47,6.92,92.0,857.02,
2007,1,1,6,15.31,69.44,57.0,27.63,53.0,318.0,7.27,91.0,857.44,
2007,1,1,7,15.42,72.46,40.0,0.0,40.0,320.53,7.61,90.0,857.86,
2007,1,1,8,15.53,75.48,83.0,0.0,83.0,323.05,7.95,86.0,857.49,
2007,1,1,9,15.64,78.5,148.0,0.0,148.0,325.58,8.3,82.0,857.13,
2007,1,1,10,21.82,48.15,424.0,25.23,402.0,310.25,5.53,79.0,856.76,
2007,1,1,11,22.41,45.6,799.0,324.49,487.0,316.4,5.01,80.0,856.26,
2007,1,1,12,23.01,43.05,537.0,42.11,495.0,322.55,4.48,80.0,855.75,
2007,1,1,13,23.6,40.5,692.0,167.81,528.0,328.7,3.96,81.0,855.25,
2007,1,1,14,23.25,41.41,327.0,1.11,326.0,331.85,3.93,81.0,855.19,
2007,1,1,15,22.9,42.31,588.0,240.29,401.0,335.0,3.9,80.0,855.14,
2007,1,1,16,22.54,43.22,507.0,368.79,281.0,338.15,3.88,80.0,855.08,
2007,1,1,17,21.36,46.11,299.0,244.25,197.0,342.7,4.73,81.0,855.67,
2007,1,1,18,20.17,49.01,161.0,446.9,69.0,347.25,5.59,82.0,856.26,
2007,1,1,19,18.99,51.9,0.0,0.0,0.0,351.8,6.44,83.0,856.85,
2007,1,1,20,17.78,56.45,0.0,0.0,0.0,341.83,6.39,80.0,857.83,
2007,1,1,21,16.58,61.01,0.0,0.0,0.0,331.87,6.33,77.0,858.81,
2007,1,1,22,15.38,65.56,0.0,0.0,0.0,321.9,6.28,75.0,859.79,
2007,1,1,23,14.52,68.83,0.0,0.0,0.0,314.58,5.82,74.0,859.96,
2007,1,2,0,13.67,72.09,0.0,0.0,0.0,307.27,5.36,72.0,860.13,
2007,1,2,1,12.82,75.36,0.0,0.0,0.0,299.95,4.9,71.0,860.3,
2007,1,2,2,12.23,77.6,0.0,0.0,0.0,295.65,4.48,75.0,860.46,
2007,1,2,3,11.65,79.83,0.0,0.0,0.0,291.35,4.07,80.0,860.63,
2007,1,2,4,11.06,82.07,0.0,0.0,0.0,287.05,3.66,84.0,860.8,
2007,1,2,5,12.61,77.66,0.0,0.0,0.0,287.37,3.63,84.0,860.88,
2007,1,2,6,14.17,73.26,21.0,0.0,21.0,287.68,3.6,84.0,860.97,
2007,1,2,7,15.72,68.85,79.0,0.0,79.0,288.0,3.57,84.0,861.05,
2007,1,2,8,17.88,61.91,177.0,0.0,177.0,291.92,2.88,91.0,860.3,
2007,1,2,9,20.05,54.98,460.0,107.69,381.0,295.83,2.18,99.0,859.54,
2007,1,2,10,22.22,48.04,941.0,869.14,184.0,299.75,1.49,106.0,858.78,
2007,1,2,11,23.08,44.0,1053.0,894.99,193.0,307.5,1.62,122.0,857.97,
2007,1,2,12,23.94,39.95,1082.0,856.35,228.0,315.25,1.76,138.0,857.16,
2007,1,2,13,24.8,35.91,1057.0,851.1,225.0,323.0,1.89,154.0,856.34,
2007,1,2,14,24.42,36.34,856.0,544.77,364.0,337.67,2.14,153.0,855.92,
2007,1,2,15,24.04,36.78,598.0,255.43,399.0,352.33,2.39,152.0,855.5,
2007,1,2,16,23.66,37.21,524.0,417.05,268.0,367.0,2.63,150.0,855.08,
2007,1,2,17,22.6,43.01,397.0,680.74,112.0,362.87,2.34,138.0,855.25,
