Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1296,Ad Damazin,SDN,Sudan,11.7704042755,34.3499857165,3,486.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,25.2,29.49,0.0,0.0,0.0,333.21,3.27,346.0,954.21,
2006,1,1,1,25.2,30.47,0.0,0.0,0.0,333.45,3.15,350.0,954.15,
2006,1,1,2,25.2,31.45,0.0,0.0,0.0,333.68,3.02,355.0,954.09,
2006,1,1,3,25.19,32.43,0.0,0.0,0.0,333.92,2.9,34.0,951.01,
2006,1,1,4,25.19,33.41,0.0,0.0,0.0,334.16,2.78,39.0,951.32,
2006,1,1,5,25.19,34.38,0.0,0.0,0.0,334.39,2.66,45.0,951.64,
2006,1,1,6,25.19,35.36,0.0,0.0,0.0,334.63,2.53,56.0,952.33,
2006,1,1,7,25.18,36.34,0.0,0.0,0.0,334.87,2.41,68.0,953.02,
2006,1,1,8,25.18,37.32,198.0,518.54,77.0,335.11,2.29,79.0,953.71,
2006,1,1,9,25.18,38.3,416.85,648.21,130.75,335.34,2.16,63.0,953.3,
2006,1,1,10,25.18,39.28,636.0,786.8,153.0,335.58,2.04,48.0,952.89,
2006,1,1,11,33.97,24.47,785.65,835.39,168.2,362.95,2.15,32.0,952.48,
2006,1,1,12,35.01,22.87,878.0,870.69,174.0,366.4,2.55,27.0,951.45,
2006,1,1,13,36.05,21.27,884.0,856.31,184.0,369.85,2.95,22.0,950.41,
2006,1,1,14,37.08,19.67,818.0,836.37,178.0,373.3,3.35,17.0,949.37,
2006,1,1,15,36.07,22.14,689.0,819.36,152.0,372.28,3.03,19.0,949.12,
2006,1,1,16,35.06,24.62,494.0,728.6,133.0,371.27,2.72,20.0,948.87,
2006,1,1,17,34.05,27.09,261.0,553.4,97.0,370.25,2.4,22.0,948.62,
2006,1,1,18,31.99,30.24,34.0,111.73,26.0,367.42,2.72,24.0,949.06,
2006,1,1,19,29.93,33.39,0.0,0.0,0.0,364.58,3.03,26.0,949.5,
2006,1,1,20,27.88,36.54,0.0,0.0,0.0,361.75,3.35,29.0,949.94,
2006,1,1,21,26.96,37.85,0.0,0.0,0.0,360.43,3.5,28.0,950.0,
2006,1,1,22,26.05,39.16,0.0,0.0,0.0,359.12,3.66,27.0,950.06,
2006,1,1,23,25.13,40.47,0.0,0.0,0.0,357.8,3.81,26.0,950.13,
2006,1,2,0,24.4,41.66,0.0,0.0,0.0,354.62,3.55,25.0,950.09,
2006,1,2,1,23.67,42.85,0.0,0.0,0.0,351.43,3.3,25.0,950.06,
