Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4007,Medani,SDN,Sudan,14.3999595326,33.5200105375,3,411.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2012,1,1,0,26.62,41.51,0.0,0.0,0.0,367.42,3.94,354.0,962.29,
2012,1,1,1,26.51,40.99,0.0,0.0,0.0,363.53,4.1,354.0,962.16,
2012,1,1,2,26.4,40.46,0.0,0.0,0.0,359.64,4.26,354.0,962.03,
2012,1,1,3,26.29,39.94,0.0,0.0,0.0,355.75,4.42,3.0,962.54,
2012,1,1,4,26.18,39.42,0.0,0.0,0.0,351.86,4.58,3.0,962.95,
2012,1,1,5,26.06,38.9,0.0,0.0,0.0,347.96,4.73,3.0,963.36,
2012,1,1,6,25.95,38.38,0.0,0.0,0.0,344.07,4.89,4.0,963.94,
2012,1,1,7,25.84,37.85,0.0,0.0,0.0,340.18,5.05,5.0,964.51,
2012,1,1,8,25.73,37.33,163.0,461.56,70.0,336.29,5.21,6.0,965.08,
2012,1,1,9,25.62,36.81,391.0,663.04,120.0,332.4,5.37,7.0,964.76,
2012,1,1,10,25.51,36.29,594.0,765.3,149.0,328.51,5.53,7.0,964.44,
2012,1,1,11,32.64,24.77,748.0,819.24,168.0,356.3,5.79,7.0,964.13,
2012,1,1,12,33.88,23.04,836.0,846.58,176.0,362.78,5.55,8.0,963.08,
2012,1,1,13,35.11,21.3,850.0,849.04,178.0,369.27,5.31,8.0,962.03,
2012,1,1,14,36.35,19.57,789.0,830.65,172.0,375.75,5.08,8.0,960.98,
2012,1,1,15,35.49,20.88,666.0,814.93,147.0,375.47,5.1,5.0,961.08,
2012,1,1,16,34.63,22.18,479.0,744.43,121.0,375.18,5.13,1.0,961.17,
2012,1,1,17,33.77,23.49,251.0,563.82,90.0,374.9,5.16,358.0,961.27,
2012,1,1,18,32.31,25.32,28.0,109.18,21.0,371.37,5.12,356.0,961.97,
2012,1,1,19,30.86,27.15,0.0,0.0,0.0,367.83,5.08,353.0,962.67,
2012,1,1,20,29.4,28.98,0.0,0.0,0.0,364.3,5.03,351.0,963.36,
2012,1,1,21,28.4,29.05,0.0,0.0,0.0,361.27,5.33,351.0,963.59,
2012,1,1,22,27.41,29.13,0.0,0.0,0.0,358.23,5.62,351.0,963.81,
2012,1,1,23,26.41,29.2,0.0,0.0,0.0,355.2,5.92,351.0,964.03,
2012,1,2,0,25.64,28.04,0.0,0.0,0.0,352.1,5.82,353.0,963.94,
2012,1,2,1,24.86,26.89,0.0,0.0,0.0,349.0,5.71,354.0,963.84,
2012,1,2,2,24.09,25.73,0.0,0.0,0.0,345.9,5.61,356.0,963.75,
2012,1,2,3,23.49,26.89,0.0,0.0,0.0,343.72,5.52,357.0,963.84,
2012,1,2,4,22.89,28.06,0.0,0.0,0.0,341.53,5.42,358.0,963.94,
2012,1,2,5,22.3,29.22,0.0,0.0,0.0,339.35,5.32,359.0,964.03,
2012,1,2,6,22.93,31.27,0.0,0.0,0.0,339.97,5.37,0.0,964.6,
2012,1,2,7,23.56,33.33,0.0,0.0,0.0,340.58,5.43,1.0,965.17,
2012,1,2,8,24.19,35.38,160.0,444.14,71.0,341.2,5.48,2.0,965.74,
2012,1,2,9,26.06,35.54,390.0,664.29,119.0,348.4,5.4,3.0,965.49,
2012,1,2,10,27.93,35.69,597.0,777.81,145.0,355.6,5.32,4.0,965.24,
2012,1,2,11,29.8,35.85,755.0,848.77,154.0,362.8,5.24,5.0,964.98,
2012,1,2,12,30.97,33.82,841.0,861.33,169.0,369.32,5.16,4.0,964.0,
2012,1,2,13,32.13,31.79,856.0,865.59,170.0,375.83,5.08,2.0,963.02,
2012,1,2,14,33.3,29.76,795.0,846.49,165.0,382.35,4.99,1.0,962.03,
2012,1,2,15,32.59,30.7,671.0,831.43,140.0,383.78,5.15,360.0,962.03,
2012,1,2,16,31.88,31.63,482.0,745.44,122.0,385.22,5.31,359.0,962.03,
2012,1,2,17,31.17,32.57,253.0,566.55,90.0,386.65,5.46,357.0,962.03,
2012,1,2,18,29.91,31.87,28.0,90.54,22.0,382.47,5.55,355.0,962.63,
2012,1,2,19,28.65,31.17,0.0,0.0,0.0,378.28,5.64,353.0,963.24,
2012,1,2,20,27.39,30.47,0.0,0.0,0.0,374.1,5.72,350.0,963.84,
2012,1,2,21,26.43,27.32,0.0,0.0,0.0,368.87,5.94,351.0,963.97,
2012,1,2,22,25.48,24.16,0.0,0.0,0.0,363.63,6.16,352.0,964.09,
2012,1,2,23,24.52,21.01,0.0,0.0,0.0,358.4,6.37,353.0,964.22,
2012,1,3,0,23.79,20.1,0.0,0.0,0.0,352.82,6.01,355.0,964.03,
2012,1,3,1,23.06,19.2,0.0,0.0,0.0,347.23,5.65,358.0,963.84,
2012,1,3,2,22.33,18.29,0.0,0.0,0.0,341.65,5.28,1.0,963.65,
2012,1,3,3,21.68,19.95,0.0,0.0,0.0,337.3,4.98,2.0,963.78,
2012,1,3,4,21.03,21.62,0.0,0.0,0.0,332.95,4.68,3.0,963.9,
2012,1,3,5,20.39,23.28,0.0,0.0,0.0,328.6,4.37,5.0,964.03,
2012,1,3,6,21.1,26.4,0.0,0.0,0.0,328.3,4.52,5.0,964.73,
2012,1,3,7,21.82,29.51,0.0,0.0,0.0,328.0,4.68,5.0,965.43,
2012,1,3,8,22.53,32.63,162.0,466.54,69.0,327.7,4.83,5.0,966.13,
2012,1,3,9,24.46,32.59,395.0,699.81,110.0,334.22,4.64,5.0,965.84,
2012,1,3,10,26.39,32.54,603.0,805.73,135.0,340.73,4.46,5.0,965.55,
2012,1,3,11,28.32,32.5,760.0,864.08,148.0,347.25,4.28,5.0,965.27,
2012,1,3,12,29.58,30.7,846.0,877.25,161.0,353.07,4.17,3.0,964.22,
2012,1,3,13,30.83,28.9,861.0,880.75,162.0,358.88,4.06,1.0,963.17,
2012,1,3,14,32.09,27.1,801.0,862.19,158.0,364.7,3.96,359.0,962.13,
2012,1,3,15,31.34,27.33,673.0,832.15,140.0,363.08,4.14,356.0,962.19,
2012,1,3,16,30.58,27.56,482.0,733.99,126.0,361.47,4.32,354.0,962.25,
2012,1,3,17,29.82,27.79,257.0,579.52,89.0,359.85,4.5,352.0,962.32,
2012,1,3,18,28.48,28.53,31.0,116.88,23.0,356.55,4.6,350.0,963.08,
2012,1,3,19,27.13,29.28,0.0,0.0,0.0,353.25,4.71,349.0,963.84,
2012,1,3,20,25.79,30.02,0.0,0.0,0.0,349.95,4.81,347.0,964.6,
2012,1,3,21,24.88,29.0,0.0,0.0,0.0,346.47,4.99,348.0,964.7,
2012,1,3,22,23.98,27.97,0.0,0.0,0.0,342.98,5.16,349.0,964.79,
2012,1,3,23,23.07,26.95,0.0,0.0,0.0,339.5,5.34,349.0,964.89,
2012,1,4,0,22.38,26.41,0.0,0.0,0.0,336.05,4.99,351.0,964.7,
2012,1,4,1,21.68,25.86,0.0,0.0,0.0,332.6,4.65,353.0,964.51,
2012,1,4,2,20.99,25.32,0.0,0.0,0.0,329.15,4.3,354.0,964.32,
2012,1,4,3,20.41,26.68,0.0,0.0,0.0,325.38,4.0,357.0,964.25,
2012,1,4,4,19.83,28.03,0.0,0.0,0.0,321.62,3.69,0.0,964.19,
2012,1,4,5,19.25,29.39,0.0,0.0,0.0,317.85,3.38,3.0,964.13,
2012,1,4,6,20.09,31.56,0.0,0.0,0.0,318.25,3.5,5.0,964.76,
2012,1,4,7,20.93,33.73,0.0,0.0,0.0,318.65,3.63,7.0,965.4,
2012,1,4,8,21.76,35.9,165.0,509.18,64.0,319.05,3.75,10.0,966.03,
2012,1,4,9,23.9,35.53,394.0,698.43,110.0,326.85,3.6,8.0,965.68,
2012,1,4,10,26.03,35.17,605.0,819.79,129.0,334.65,3.44,7.0,965.33,
2012,1,4,11,28.16,34.8,764.0,879.29,141.0,342.45,3.28,6.0,964.98,
2012,1,4,12,29.42,32.54,855.0,908.41,145.0,349.0,3.24,2.0,963.84,
2012,1,4,13,30.69,30.29,867.0,897.04,154.0,355.55,3.2,357.0,962.7,
2012,1,4,14,31.96,28.03,807.0,877.75,151.0,362.1,3.16,353.0,961.56,
2012,1,4,15,31.38,27.28,679.0,846.8,135.0,360.73,3.53,351.0,961.52,
2012,1,4,16,30.8,26.52,486.0,747.22,122.0,359.37,3.89,350.0,961.49,
2012,1,4,17,30.22,25.77,261.0,592.22,88.0,358.0,4.26,348.0,961.46,
2012,1,4,18,28.63,27.26,32.0,113.24,24.0,353.88,4.29,348.0,962.16,
2012,1,4,19,27.05,28.76,0.0,0.0,0.0,349.77,4.32,348.0,962.86,
2012,1,4,20,25.46,30.25,0.0,0.0,0.0,345.65,4.34,348.0,963.55,
2012,1,4,21,24.54,30.17,0.0,0.0,0.0,341.87,4.31,350.0,963.68,
2012,1,4,22,23.62,30.08,0.0,0.0,0.0,338.08,4.28,351.0,963.81,
2012,1,4,23,22.71,30.0,0.0,0.0,0.0,334.3,4.25,353.0,963.94,
2012,1,5,0,21.98,30.32,0.0,0.0,0.0,330.6,4.22,353.0,963.87,
2012,1,5,1,21.24,30.64,0.0,0.0,0.0,326.9,4.18,353.0,963.81,
2012,1,5,2,20.51,30.96,0.0,0.0,0.0,323.2,4.15,353.0,963.75,
2012,1,5,3,20.06,32.08,0.0,0.0,0.0,320.75,3.93,354.0,963.71,
2012,1,5,4,19.6,33.21,0.0,0.0,0.0,318.3,3.7,355.0,963.68,
2012,1,5,5,19.15,34.33,0.0,0.0,0.0,315.85,3.48,356.0,963.65,
2012,1,5,6,19.96,33.6,0.0,0.0,0.0,315.28,3.56,358.0,964.44,
2012,1,5,7,20.77,32.87,0.0,0.0,0.0,314.72,3.64,359.0,965.24,
2012,1,5,8,21.59,32.14,166.0,531.82,61.0,314.15,3.72,1.0,966.03,
2012,1,5,9,23.99,31.02,400.0,736.33,101.0,321.4,3.53,3.0,965.71,
2012,1,5,10,26.39,29.9,605.0,819.97,129.0,328.65,3.33,4.0,965.4,
2012,1,5,11,28.79,28.78,764.0,880.28,140.0,335.9,3.13,6.0,965.08,
2012,1,5,12,30.14,27.06,856.0,908.74,145.0,342.9,2.87,2.0,963.97,
2012,1,5,13,31.48,25.35,873.0,913.21,146.0,349.9,2.62,357.0,962.86,
2012,1,5,14,32.83,23.63,809.0,878.48,151.0,356.9,2.36,353.0,961.75,
2012,1,5,15,32.09,24.29,681.0,847.32,135.0,356.48,2.67,345.0,961.87,
2012,1,5,16,31.34,24.94,494.0,774.56,115.0,356.07,2.97,338.0,962.0,
2012,1,5,17,30.59,25.6,260.0,574.09,91.0,355.65,3.28,331.0,962.13,
2012,1,5,18,28.86,27.81,33.0,109.8,25.0,351.43,3.58,333.0,962.67,
2012,1,5,19,27.14,30.01,0.0,0.0,0.0,347.22,3.88,334.0,963.21,
2012,1,5,20,25.41,32.22,0.0,0.0,0.0,343.0,4.18,335.0,963.75,
2012,1,5,21,24.55,32.26,0.0,0.0,0.0,339.93,4.47,338.0,964.0,
2012,1,5,22,23.68,32.3,0.0,0.0,0.0,336.87,4.77,340.0,964.25,
2012,1,5,23,22.82,32.34,0.0,0.0,0.0,333.8,5.06,343.0,964.51,
2012,1,6,0,22.08,32.15,0.0,0.0,0.0,331.13,4.83,346.0,964.44,
2012,1,6,1,21.33,31.96,0.0,0.0,0.0,328.47,4.59,348.0,964.38,
2012,1,6,2,20.59,31.77,0.0,0.0,0.0,325.8,4.36,351.0,964.32,
2012,1,6,3,20.04,31.78,0.0,0.0,0.0,323.77,4.12,354.0,964.48,
2012,1,6,4,19.49,31.79,0.0,0.0,0.0,321.73,3.89,358.0,964.63,
2012,1,6,5,18.95,31.8,0.0,0.0,0.0,319.7,3.66,1.0,964.79,
2012,1,6,6,19.66,29.74,0.0,0.0,0.0,319.23,3.84,2.0,965.52,
2012,1,6,7,20.38,27.68,0.0,0.0,0.0,318.77,4.03,2.0,966.25,
2012,1,6,8,21.09,25.62,164.0,518.88,62.0,318.3,4.22,3.0,966.98,
2012,1,6,9,23.47,22.66,399.0,734.75,101.0,324.27,3.85,2.0,966.47,
2012,1,6,10,25.85,19.69,608.0,833.83,124.0,330.23,3.49,2.0,965.97,
2012,1,6,11,28.23,16.73,764.0,879.76,140.0,336.2,3.12,2.0,965.46,
2012,1,6,12,29.58,16.15,853.0,893.67,153.0,341.48,2.72,359.0,964.22,
2012,1,6,13,30.92,15.56,870.0,897.89,154.0,346.77,2.33,356.0,962.98,
2012,1,6,14,32.27,14.98,807.0,864.48,158.0,352.05,1.93,353.0,961.75,
2012,1,6,15,31.63,16.36,677.0,819.93,147.0,352.13,2.2,345.0,961.59,
2012,1,6,16,30.98,17.74,492.0,750.73,123.0,352.22,2.46,337.0,961.43,
2012,1,6,17,30.33,19.12,266.0,596.63,89.0,352.3,2.73,330.0,961.27,
2012,1,6,18,28.37,20.79,24.0,26.63,22.0,348.1,3.15,331.0,961.84,
