Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,4460,Cottica,SUR,Suriname,3.85000917451,-54.2332894303,-3,108.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2006,1,1,0,23.13,98.22,0.0,0.0,0.0,407.39,1.21,49.0,998.38,
2006,1,1,1,22.74,99.43,0.0,0.0,0.0,405.39,1.13,49.0,997.96,
2006,1,1,2,22.34,100.0,0.0,0.0,0.0,403.39,1.05,50.0,997.53,
2006,1,1,3,21.94,100.0,0.0,0.0,0.0,401.39,0.98,51.0,997.46,
2006,1,1,4,21.54,100.0,0.0,0.0,0.0,399.39,0.9,52.0,997.4,
2006,1,1,5,22.62,99.12,0.0,0.0,0.0,418.45,0.92,54.0,997.33,
2006,1,1,6,23.06,96.65,0.0,0.0,0.0,416.77,1.25,57.0,997.96,
2006,1,1,7,23.5,94.17,15.0,19.08,14.0,415.08,1.57,61.0,998.58,
2006,1,1,8,23.93,91.7,136.0,76.77,114.0,413.4,1.89,64.0,999.21,
2006,1,1,9,25.28,85.4,232.0,46.06,209.0,410.45,2.17,62.0,999.17,
2006,1,1,10,26.62,79.11,475.0,209.94,333.0,407.5,2.44,60.0,999.14,
2006,1,1,11,27.96,72.81,501.0,112.97,410.0,404.55,2.72,58.0,999.11,
2006,1,1,12,28.3,72.38,493.0,70.62,431.0,409.03,2.69,55.0,997.96,
2006,1,1,13,28.64,71.95,713.0,290.3,455.0,413.52,2.67,53.0,996.81,
2006,1,1,14,28.97,71.52,436.0,54.94,390.0,418.0,2.65,50.0,995.65,
2006,1,1,15,27.97,77.37,403.0,79.8,345.0,417.13,2.68,52.0,995.55,
2006,1,1,16,26.96,83.22,372.0,194.65,262.0,416.27,2.7,54.0,995.46,
2006,1,1,17,25.96,89.07,304.0,570.05,97.0,415.4,2.73,56.0,995.36,
2006,1,1,18,25.39,91.15,88.0,222.9,58.0,414.88,2.73,55.0,996.21,
2006,1,1,19,24.82,93.23,0.0,0.0,0.0,414.37,2.73,54.0,997.07,
2006,1,1,20,24.25,95.31,0.0,0.0,0.0,413.85,2.73,53.0,997.92,
2006,1,1,21,23.86,96.42,0.0,0.0,0.0,412.9,2.38,54.0,998.22,
2006,1,1,22,23.47,97.52,0.0,0.0,0.0,411.95,2.03,56.0,998.52,
2006,1,1,23,23.09,98.63,0.0,0.0,0.0,411.0,1.68,57.0,998.81,
2006,1,2,0,23.04,98.97,0.0,0.0,0.0,415.48,1.64,56.0,998.58,
2006,1,2,1,22.99,99.3,0.0,0.0,0.0,419.97,1.6,55.0,998.35,
2006,1,2,2,22.94,99.64,0.0,0.0,0.0,424.45,1.56,55.0,998.12,
2006,1,2,3,22.87,99.12,0.0,0.0,0.0,425.27,1.49,56.0,997.99,
2006,1,2,4,22.8,98.59,0.0,0.0,0.0,426.08,1.43,57.0,997.86,
2006,1,2,5,22.73,98.07,0.0,0.0,0.0,426.9,1.37,58.0,997.73,
2006,1,2,6,23.21,97.75,0.0,0.0,0.0,425.08,1.69,61.0,998.19,
2006,1,2,7,23.69,97.44,22.0,118.17,16.0,423.27,2.02,65.0,998.65,
2006,1,2,8,24.17,97.12,227.0,533.03,75.0,421.45,2.34,69.0,999.11,
2006,1,2,9,24.82,97.54,289.0,124.42,227.0,423.17,2.34,69.0,999.17,
2006,1,2,10,25.46,97.95,426.0,137.62,333.0,424.88,2.34,68.0,999.24,
2006,1,2,11,26.11,98.37,522.0,134.1,414.0,426.6,2.34,68.0,999.31,
2006,1,2,12,25.91,98.31,389.0,29.6,363.0,426.08,2.43,67.0,998.38,
2006,1,2,13,25.72,98.26,721.0,301.27,453.0,425.57,2.51,66.0,997.46,
2006,1,2,14,25.52,98.2,30.0,0.0,30.0,425.05,2.59,65.0,996.54,
2006,1,2,15,25.08,98.27,37.0,0.0,37.0,424.47,2.28,58.0,996.25,
2006,1,2,16,24.63,98.33,125.0,0.0,125.0,423.88,1.96,50.0,995.95,
2006,1,2,17,24.19,98.4,102.0,0.0,102.0,423.3,1.64,43.0,995.65,
2006,1,2,18,23.96,98.39,47.0,0.0,47.0,418.5,1.55,41.0,996.38,
2006,1,2,19,23.73,98.38,0.0,0.0,0.0,413.7,1.46,39.0,997.1,
2006,1,2,20,23.51,98.37,0.0,0.0,0.0,408.9,1.37,38.0,997.83,
2006,1,2,21,23.39,98.72,0.0,0.0,0.0,406.1,1.35,40.0,998.12,
2006,1,2,22,23.28,99.06,0.0,0.0,0.0,403.3,1.33,42.0,998.42,
2006,1,2,23,23.17,99.41,0.0,0.0,0.0,400.5,1.31,44.0,998.71,
2006,1,3,0,22.98,99.61,0.0,0.0,0.0,402.82,1.35,47.0,998.38,
2006,1,3,1,22.79,99.8,0.0,0.0,0.0,405.13,1.39,49.0,998.06,
2006,1,3,2,22.61,100.0,0.0,0.0,0.0,407.45,1.43,52.0,997.73,
2006,1,3,3,22.6,99.69,0.0,0.0,0.0,411.67,1.17,44.0,997.66,
2006,1,3,4,22.59,99.38,0.0,0.0,0.0,415.88,0.91,35.0,997.59,
2006,1,3,5,22.59,99.07,0.0,0.0,0.0,420.1,0.65,27.0,997.53,
2006,1,3,6,23.2,97.35,0.0,0.0,0.0,420.95,0.86,40.0,998.22,
2006,1,3,7,23.81,95.62,21.0,122.05,15.0,421.8,1.07,52.0,998.91,
2006,1,3,8,24.42,93.9,227.0,549.67,71.0,422.65,1.28,65.0,999.6,
2006,1,3,9,25.13,91.42,328.0,207.1,225.0,420.97,1.37,60.0,999.5,
2006,1,3,10,25.83,88.95,522.0,303.62,317.0,419.28,1.46,55.0,999.4,
2006,1,3,11,26.53,86.47,499.0,111.76,409.0,417.6,1.54,50.0,999.31,
2006,1,3,12,26.47,88.48,744.0,356.21,431.0,420.3,1.62,48.0,998.45,
2006,1,3,13,26.41,90.48,712.0,286.37,457.0,423.0,1.7,45.0,997.59,
2006,1,3,14,26.35,92.49,645.0,258.41,428.0,425.7,1.78,42.0,996.74,
2006,1,3,15,25.66,94.94,20.0,0.0,20.0,427.22,2.01,47.0,996.28,
2006,1,3,16,24.97,97.38,11.0,0.0,11.0,428.73,2.25,51.0,995.82,
2006,1,3,17,24.28,99.83,6.0,0.0,6.0,430.25,2.48,55.0,995.36,
2006,1,3,18,24.05,99.89,28.0,0.0,28.0,430.43,2.82,60.0,996.11,
2006,1,3,19,23.82,99.94,0.0,0.0,0.0,430.62,3.16,65.0,996.87,
2006,1,3,20,23.59,100.0,0.0,0.0,0.0,430.8,3.5,70.0,997.63,
2006,1,3,21,23.31,99.68,0.0,0.0,0.0,428.08,2.69,69.0,997.83,
2006,1,3,22,23.03,99.36,0.0,0.0,0.0,425.37,1.88,68.0,998.02,
2006,1,3,23,22.75,99.04,0.0,0.0,0.0,422.65,1.06,67.0,998.22,
2006,1,4,0,22.59,98.9,0.0,0.0,0.0,421.35,1.0,71.0,997.89,
2006,1,4,1,22.44,98.75,0.0,0.0,0.0,420.05,0.94,75.0,997.56,
2006,1,4,2,22.29,98.61,0.0,0.0,0.0,418.75,0.88,78.0,997.23,
2006,1,4,3,22.22,98.62,0.0,0.0,0.0,418.2,0.99,84.0,996.97,
2006,1,4,4,22.15,98.64,0.0,0.0,0.0,417.65,1.09,89.0,996.71,
2006,1,4,5,22.08,98.65,0.0,0.0,0.0,417.1,1.2,94.0,996.44,
2006,1,4,6,22.71,97.46,0.0,0.0,0.0,416.43,1.54,84.0,996.9,
2006,1,4,7,23.34,96.27,1.0,0.0,1.0,415.77,1.87,75.0,997.36,
2006,1,4,8,23.96,95.08,97.0,3.54,96.0,415.1,2.21,65.0,997.83,
2006,1,4,9,24.42,93.15,154.0,2.01,153.0,414.18,2.06,61.0,998.06,
2006,1,4,10,24.87,91.22,429.0,142.29,333.0,413.27,1.92,58.0,998.29,
2006,1,4,11,25.33,89.29,497.0,110.53,408.0,412.35,1.78,54.0,998.52,
2006,1,4,12,25.28,90.93,650.0,211.57,464.0,415.57,1.8,53.0,997.69,
2006,1,4,13,25.23,92.56,705.0,273.73,461.0,418.78,1.82,51.0,996.87,
2006,1,4,14,25.18,94.2,731.0,417.31,380.0,422.0,1.83,50.0,996.05,
2006,1,4,15,24.59,96.13,512.0,202.26,364.0,423.73,2.1,52.0,995.92,
2006,1,4,16,24.0,98.07,342.0,133.17,266.0,425.47,2.37,54.0,995.79,
2006,1,4,17,23.41,100.0,255.0,303.48,143.0,427.2,2.63,57.0,995.65,
2006,1,4,18,23.15,99.86,65.0,35.6,60.0,423.23,2.07,63.0,996.34,
2006,1,4,19,22.89,99.73,0.0,0.0,0.0,419.27,1.5,69.0,997.04,
2006,1,4,20,22.64,99.59,0.0,0.0,0.0,415.3,0.94,75.0,997.73,
2006,1,4,21,22.45,99.61,0.0,0.0,0.0,412.4,1.0,72.0,997.69,
2006,1,4,22,22.26,99.64,0.0,0.0,0.0,409.5,1.06,69.0,997.66,
2006,1,4,23,22.08,99.66,0.0,0.0,0.0,406.6,1.12,66.0,997.63,
2006,1,5,0,21.97,99.32,0.0,0.0,0.0,407.22,0.97,69.0,997.0,
2006,1,5,1,21.86,98.97,0.0,0.0,0.0,407.83,0.81,72.0,996.38,
2006,1,5,2,21.76,98.63,0.0,0.0,0.0,408.45,0.66,76.0,995.75,
2006,1,5,3,21.71,98.53,0.0,0.0,0.0,411.58,0.6,108.0,995.72,
2006,1,5,4,21.67,98.44,0.0,0.0,0.0,414.72,0.53,140.0,995.69,
2006,1,5,5,21.63,98.34,0.0,0.0,0.0,417.85,0.47,172.0,995.65,
2006,1,5,6,22.34,96.91,0.0,0.0,0.0,417.85,0.63,150.0,996.38,
2006,1,5,7,23.05,95.49,12.0,21.73,11.0,417.85,0.78,127.0,997.1,
2006,1,5,8,23.75,94.06,112.0,28.45,104.0,417.85,0.94,104.0,997.83,
2006,1,5,9,24.55,89.05,195.0,20.18,185.0,416.93,1.04,88.0,997.86,
2006,1,5,10,25.34,84.05,277.0,23.73,261.0,416.02,1.15,73.0,997.89,
2006,1,5,11,26.13,79.04,378.0,37.25,348.0,415.1,1.26,57.0,997.92,
2006,1,5,12,26.66,76.92,554.0,111.41,456.0,417.5,1.31,58.0,997.04,
2006,1,5,13,27.19,74.8,520.0,80.69,448.0,419.9,1.36,58.0,996.15,
2006,1,5,14,27.71,72.68,565.0,150.75,438.0,422.3,1.41,59.0,995.26,
2006,1,5,15,26.95,78.33,643.0,475.85,294.0,419.12,1.36,58.0,994.96,
2006,1,5,16,26.19,83.98,552.0,782.37,104.0,415.93,1.31,57.0,994.67,
