Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
24600,Stockholm/Arlanda,SWE,Sweden,59.65,17.95,1.0,61,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2008,1,1,0,0.46,91.73,0.0,0.0,0.0,284.73,5.25,245.0,995.17,
2008,1,1,1,0.33,92.51,0.0,0.0,0.0,289.79,5.24,39.0,1027.0,
2008,1,1,2,0.19,93.29,0.0,0.0,0.0,294.85,5.23,43.0,1027.23,
2008,1,1,3,0.05,94.08,0.0,0.0,0.0,299.91,5.22,47.0,1027.46,
2008,1,1,4,-0.09,94.86,0.0,0.0,0.0,304.97,5.22,51.0,1027.69,
2008,1,1,5,-0.22,95.64,0.0,0.0,0.0,310.03,5.21,55.0,1027.93,
2008,1,1,6,-0.36,96.43,0.0,0.0,0.0,315.09,5.2,59.0,1028.16,
2008,1,1,7,-0.5,97.21,0.0,0.0,0.0,320.15,5.19,64.0,1028.62,
2008,1,1,8,-0.64,97.99,0.0,0.0,0.0,325.21,5.18,69.0,1029.09,
2008,1,1,9,-0.12,95.45,0.0,0.0,0.0,318.95,5.41,74.0,1029.55,
2008,1,1,10,-0.03,95.45,14.0,0.0,14.0,317.22,5.36,78.0,1029.89,
2008,1,1,11,0.07,95.46,10.0,0.0,10.0,315.48,5.31,82.0,1030.22,
2008,1,1,12,0.16,95.46,9.0,0.0,9.0,313.75,5.27,86.0,1030.55,
2008,1,1,13,-0.11,93.54,52.0,140.15,38.0,310.72,5.11,96.0,1030.91,
2008,1,1,14,-0.38,91.61,2.0,0.0,2.0,307.68,4.95,105.0,1031.28,
2008,1,1,15,-0.64,89.69,0.0,0.0,0.0,304.65,4.79,114.0,1031.65,
2008,1,1,16,-0.67,89.43,0.0,0.0,0.0,299.43,4.74,114.0,1032.41,
2008,1,1,17,-0.7,89.16,0.0,0.0,0.0,294.22,4.7,114.0,1033.17,
2008,1,1,18,-0.73,88.9,0.0,0.0,0.0,289.0,4.66,114.0,1033.94,
2008,1,1,19,-0.76,90.02,0.0,0.0,0.0,290.92,4.86,113.0,1034.44,
2008,1,1,20,-0.78,91.14,0.0,0.0,0.0,292.83,5.05,112.0,1034.93,
2008,1,1,21,-0.81,92.26,0.0,0.0,0.0,294.75,5.24,111.0,1035.43,
2008,1,1,22,-0.55,91.94,0.0,0.0,0.0,298.47,5.16,111.0,1035.86,
2008,1,1,23,-0.3,91.62,0.0,0.0,0.0,302.18,5.08,111.0,1036.3,
2008,1,2,0,-0.05,91.3,0.0,0.0,0.0,305.9,4.99,111.0,1036.73,
2008,1,2,1,-0.39,90.95,0.0,0.0,0.0,302.85,4.94,109.0,1037.03,
2008,1,2,2,-0.72,90.59,0.0,0.0,0.0,299.8,4.88,107.0,1037.33,
2008,1,2,3,-1.06,90.24,0.0,0.0,0.0,296.75,4.83,104.0,1037.63,
2008,1,2,4,-1.25,90.19,0.0,0.0,0.0,298.07,4.86,104.0,1037.79,
2008,1,2,5,-1.43,90.14,0.0,0.0,0.0,299.38,4.9,104.0,1037.96,
2008,1,2,6,-1.62,90.09,0.0,0.0,0.0,300.7,4.94,104.0,1038.12,
2008,1,2,7,-1.68,89.93,0.0,0.0,0.0,301.17,4.85,105.0,1038.39,
2008,1,2,8,-1.75,89.78,0.0,0.0,0.0,301.63,4.76,106.0,1038.65,
2008,1,2,9,-1.81,89.62,0.0,0.0,0.0,302.1,4.68,106.0,1038.92,
2008,1,2,10,-1.65,89.39,5.0,0.0,5.0,300.4,4.72,106.0,1038.99,
2008,1,2,11,-1.48,89.17,8.0,0.0,8.0,298.7,4.77,106.0,1039.05,
2008,1,2,12,-1.32,88.94,9.0,0.0,9.0,297.0,4.81,106.0,1039.12,
