Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,94,Aarau,CHE,Switzerland,47.3900041002,8.03400361048,1,366.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2011,1,1,0,2.11,0.5,0.0,0.0,0.0,237.96,3.05,282.0,977.18,
2011,1,1,1,1.02,0.5,0.0,0.0,0.0,231.27,2.68,171.0,979.41,
2011,1,1,2,-0.06,0.5,0.0,0.0,0.0,224.58,2.32,171.0,979.35,
2011,1,1,3,-1.15,0.5,0.0,0.0,0.0,217.89,1.95,171.0,979.29,
2011,1,1,4,-2.24,0.5,0.0,0.0,0.0,211.2,1.58,177.0,979.22,
2011,1,1,5,-3.32,0.5,0.0,0.0,0.0,204.52,1.21,182.0,979.16,
2011,1,1,6,-4.41,0.5,0.0,0.0,0.0,197.83,0.85,187.0,979.09,
2011,1,1,7,-5.49,0.5,0.0,0.0,0.0,191.14,0.48,198.0,979.35,
2011,1,1,8,-6.58,0.5,0.0,0.0,0.0,184.45,0.11,209.0,979.61,
2011,1,1,9,-2.45,78.73,50.0,62.65,43.0,197.95,0.72,219.0,979.86,
2011,1,1,10,-0.71,77.3,110.0,58.58,97.0,202.5,1.19,250.0,979.54,
2011,1,1,11,1.03,75.87,119.0,13.45,115.0,207.05,1.66,281.0,979.22,
2011,1,1,12,2.77,74.44,136.0,12.01,132.0,211.6,2.12,312.0,978.9,
2011,1,1,13,2.57,76.57,97.0,0.0,97.0,213.53,2.1,318.0,978.68,
2011,1,1,14,2.38,78.7,84.0,0.0,84.0,215.47,2.07,324.0,978.46,
2011,1,1,15,2.18,80.83,55.0,0.0,55.0,217.4,2.04,330.0,978.23,
2011,1,1,16,1.34,84.26,22.0,14.09,21.0,215.43,2.07,334.0,978.23,
2011,1,1,17,0.51,87.7,0.0,0.0,0.0,213.47,2.11,338.0,978.23,
2011,1,1,18,-0.32,91.13,0.0,0.0,0.0,211.5,2.14,341.0,978.23,
2011,1,1,19,-0.4,92.08,0.0,0.0,0.0,211.4,1.97,348.0,978.42,
2011,1,1,20,-0.48,93.04,0.0,0.0,0.0,211.3,1.8,354.0,978.62,
2011,1,1,21,-0.56,93.99,0.0,0.0,0.0,211.2,1.63,0.0,978.81,
2011,1,1,22,-0.69,94.6,0.0,0.0,0.0,211.62,1.39,1.0,978.65,
2011,1,1,23,-0.82,95.21,0.0,0.0,0.0,212.03,1.16,2.0,978.49,
2011,1,2,0,-0.95,95.82,0.0,0.0,0.0,212.45,0.92,3.0,978.33,
2011,1,2,1,-0.98,95.71,0.0,0.0,0.0,211.67,0.85,2.0,978.26,
2011,1,2,2,-1.01,95.6,0.0,0.0,0.0,210.88,0.77,1.0,978.2,
2011,1,2,3,-1.04,95.49,0.0,0.0,0.0,210.1,0.69,0.0,978.14,
2011,1,2,4,-0.99,95.89,0.0,0.0,0.0,210.73,0.74,359.0,978.3,
2011,1,2,5,-0.93,96.28,0.0,0.0,0.0,211.37,0.79,357.0,978.46,
2011,1,2,6,-0.88,96.68,0.0,0.0,0.0,212.0,0.84,356.0,978.62,
2011,1,2,7,-0.6,95.6,0.0,0.0,0.0,214.62,0.69,359.0,978.97,
2011,1,2,8,-0.31,94.51,0.0,0.0,0.0,217.23,0.54,3.0,979.32,
2011,1,2,9,-0.03,93.43,41.0,26.77,38.0,219.85,0.39,7.0,979.67,
2011,1,2,10,0.11,89.01,73.0,4.49,72.0,219.1,1.2,10.0,979.57,
2011,1,2,11,0.24,84.58,75.0,0.0,75.0,218.35,2.01,13.0,979.48,
2011,1,2,12,0.38,80.16,66.0,0.0,66.0,217.6,2.83,16.0,979.38,
2011,1,2,13,0.3,80.21,82.0,0.0,82.0,216.68,2.86,13.0,979.51,
2011,1,2,14,0.23,80.25,94.0,3.58,93.0,215.77,2.89,10.0,979.64,
