Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1295,Ad Nabk,SYR,Syria,34.0170308625,36.7333027738,2,1287.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2010,1,1,0,4.12,89.3,0.0,0.0,0.0,262.55,2.48,196.0,874.19,
2010,1,1,1,4.55,90.01,0.0,0.0,0.0,266.14,2.46,198.0,874.02,
2010,1,1,2,4.97,90.71,0.0,0.0,0.0,269.73,2.44,271.0,872.59,
2010,1,1,3,5.4,91.42,0.0,0.0,0.0,273.32,2.42,272.0,872.54,
2010,1,1,4,5.83,92.12,0.0,0.0,0.0,276.9,2.4,272.0,872.48,
2010,1,1,5,6.26,92.83,0.0,0.0,0.0,280.49,2.38,270.0,872.85,
2010,1,1,6,6.69,93.53,0.0,0.0,0.0,284.08,2.36,267.0,873.22,
2010,1,1,7,7.11,94.24,47.0,205.28,30.0,287.67,2.34,265.0,873.59,
2010,1,1,8,7.54,94.94,214.0,488.32,90.0,291.25,2.32,264.0,873.36,
2010,1,1,9,7.97,95.65,355.0,544.75,141.0,294.84,2.29,263.0,873.14,
2010,1,1,10,10.64,77.65,450.0,544.81,183.0,306.35,1.19,262.0,872.91,
2010,1,1,11,10.85,75.16,519.0,627.07,181.0,312.58,1.2,263.0,872.48,
2010,1,1,12,11.06,72.67,481.0,492.25,217.0,318.82,1.21,265.0,872.05,
2010,1,1,13,11.26,70.18,487.0,763.23,119.0,325.05,1.23,266.0,871.62,
2010,1,1,14,10.37,76.5,298.0,336.62,170.0,313.78,1.15,263.0,871.65,
2010,1,1,15,9.48,82.81,210.0,602.04,67.0,302.52,1.08,260.0,871.68,
2010,1,1,16,8.59,89.13,27.0,94.17,21.0,291.25,1.01,257.0,871.71,
2010,1,1,17,8.27,91.65,0.0,0.0,0.0,289.5,1.43,255.0,872.02,
2010,1,1,18,7.95,94.16,0.0,0.0,0.0,287.75,1.86,253.0,872.34,
2010,1,1,19,7.63,96.68,0.0,0.0,0.0,286.0,2.29,251.0,872.65,
2010,1,1,20,7.76,96.99,0.0,0.0,0.0,285.13,2.51,251.0,872.56,
2010,1,1,21,7.9,97.31,0.0,0.0,0.0,284.27,2.74,250.0,872.48,
2010,1,1,22,8.04,97.62,0.0,0.0,0.0,283.4,2.97,250.0,872.39,
2010,1,1,23,8.25,97.03,0.0,0.0,0.0,287.67,3.07,249.0,872.25,
2010,1,2,0,8.46,96.43,0.0,0.0,0.0,291.93,3.17,248.0,872.11,
2010,1,2,1,8.67,95.84,0.0,0.0,0.0,296.2,3.27,248.0,871.96,
2010,1,2,2,8.78,94.75,0.0,0.0,0.0,300.87,3.23,247.0,871.79,
2010,1,2,3,8.88,93.66,0.0,0.0,0.0,305.53,3.19,247.0,871.62,
2010,1,2,4,8.98,92.57,0.0,0.0,0.0,310.2,3.14,247.0,871.45,
2010,1,2,5,9.14,91.65,0.0,0.0,0.0,313.8,3.09,245.0,871.68,
2010,1,2,6,9.3,90.73,0.0,0.0,0.0,317.4,3.04,243.0,871.91,
