Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,91,Dar'a,SYR,Syria,32.6250001377,36.1050035066,2,524.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,9.0,88.25,0.0,0.0,0.0,300.28,3.62,246.0,950.91,
2015,1,1,1,9.23,86.47,0.0,0.0,0.0,304.21,3.47,252.0,950.78,
2015,1,1,2,9.45,84.69,0.0,0.0,0.0,308.13,3.33,64.0,956.55,
2015,1,1,3,9.67,82.9,0.0,0.0,0.0,312.06,3.18,64.0,956.2,
2015,1,1,4,9.89,81.12,0.0,0.0,0.0,315.98,3.03,64.0,955.86,
2015,1,1,5,10.12,79.34,0.0,0.0,0.0,319.91,2.89,67.0,956.11,
2015,1,1,6,10.34,77.56,0.0,0.0,0.0,323.83,2.74,70.0,956.36,
2015,1,1,7,10.56,75.78,5.0,0.0,5.0,327.76,2.6,73.0,956.61,
2015,1,1,8,10.79,74.0,179.0,224.8,120.0,331.68,2.45,69.0,956.64,
2015,1,1,9,11.01,72.21,234.0,91.3,197.0,335.61,2.31,65.0,956.67,
2015,1,1,10,16.0,65.91,547.0,926.73,78.0,322.3,2.74,61.0,956.7,
2015,1,1,11,16.65,59.66,454.0,329.72,270.0,319.28,3.39,12.0,956.33,
2015,1,1,12,17.29,53.4,599.0,891.26,102.0,316.27,4.03,323.0,955.95,
2015,1,1,13,17.94,47.15,503.0,707.13,146.0,313.25,4.68,274.0,955.57,
2015,1,1,14,16.51,57.99,384.0,644.67,124.0,306.4,4.76,278.0,956.2,
2015,1,1,15,15.08,68.83,224.0,527.1,87.0,299.55,4.84,282.0,956.83,
2015,1,1,16,13.65,79.67,43.0,142.1,31.0,292.7,4.92,285.0,957.45,
2015,1,1,17,12.55,85.53,0.0,0.0,0.0,290.08,4.55,285.0,958.27,
2015,1,1,18,11.45,91.4,0.0,0.0,0.0,287.47,4.18,284.0,959.08,
2015,1,1,19,10.35,97.26,0.0,0.0,0.0,284.85,3.81,283.0,959.9,
2015,1,1,20,9.98,97.35,0.0,0.0,0.0,283.45,3.96,284.0,960.21,
2015,1,1,21,9.6,97.44,0.0,0.0,0.0,282.05,4.12,286.0,960.52,
2015,1,1,22,9.23,97.53,0.0,0.0,0.0,280.65,4.28,287.0,960.84,
2015,1,1,23,8.69,97.49,0.0,0.0,0.0,275.33,3.6,287.0,960.84,
2015,1,2,0,8.16,97.44,0.0,0.0,0.0,270.02,2.93,287.0,960.84,
2015,1,2,1,7.62,97.4,0.0,0.0,0.0,264.7,2.26,287.0,960.84,
2015,1,2,2,7.15,97.23,0.0,0.0,0.0,261.85,2.3,273.0,960.65,
2015,1,2,3,6.67,97.06,0.0,0.0,0.0,259.0,2.34,259.0,960.46,
2015,1,2,4,6.2,96.89,0.0,0.0,0.0,256.15,2.37,245.0,960.27,
2015,1,2,5,6.89,96.4,0.0,0.0,0.0,256.87,2.45,231.0,960.65,
2015,1,2,6,7.59,95.92,0.0,0.0,0.0,257.58,2.53,217.0,961.02,
2015,1,2,7,8.28,95.43,37.0,69.01,31.0,258.3,2.61,203.0,961.4,
2015,1,2,8,9.78,90.45,183.0,240.18,120.0,264.62,3.15,226.0,961.34,
2015,1,2,9,11.27,85.47,254.0,128.25,202.0,270.93,3.7,250.0,961.27,
