Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,505,Madinat ath Thawrah,SYR,Syria,35.8366613963,38.548075723,2,329.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2015,1,1,0,3.83,77.24,0.0,0.0,0.0,275.53,2.0,305.0,989.78,
2015,1,1,1,4.34,78.9,0.0,0.0,0.0,280.29,1.97,298.0,989.78,
2015,1,1,2,4.85,80.56,0.0,0.0,0.0,285.04,1.93,131.0,979.62,
2015,1,1,3,5.36,82.22,0.0,0.0,0.0,289.8,1.9,131.0,979.84,
2015,1,1,4,5.88,83.88,0.0,0.0,0.0,294.55,1.86,131.0,980.07,
2015,1,1,5,6.39,85.54,0.0,0.0,0.0,299.31,1.82,132.0,980.29,
2015,1,1,6,6.9,87.2,0.0,0.0,0.0,304.07,1.79,134.0,980.52,
2015,1,1,7,7.42,88.86,36.0,56.81,31.0,308.82,1.75,135.0,980.74,
2015,1,1,8,7.93,90.52,35.0,0.0,35.0,313.58,1.72,137.0,980.29,
2015,1,1,9,8.44,92.18,97.0,0.0,97.0,318.33,1.68,139.0,979.84,
2015,1,1,10,11.59,76.06,117.0,0.0,117.0,334.75,2.59,140.0,979.39,
2015,1,1,11,12.47,72.56,421.0,353.64,239.0,334.32,2.88,142.0,978.66,
2015,1,1,12,13.36,69.07,535.0,877.96,91.0,333.88,3.17,143.0,977.92,
2015,1,1,13,14.25,65.57,383.0,436.51,188.0,333.45,3.46,144.0,977.18,
2015,1,1,14,13.18,70.66,302.0,532.63,120.0,320.52,3.55,140.0,977.44,
2015,1,1,15,12.12,75.75,148.0,358.97,77.0,307.58,3.65,136.0,977.7,
2015,1,1,16,11.05,80.84,0.0,0.0,0.0,294.65,3.74,132.0,977.95,
2015,1,1,17,10.08,84.27,0.0,0.0,0.0,290.0,3.55,136.0,978.46,
2015,1,1,18,9.1,87.7,0.0,0.0,0.0,285.35,3.36,140.0,978.98,
2015,1,1,19,8.12,91.13,0.0,0.0,0.0,280.7,3.17,143.0,979.49,
2015,1,1,20,8.14,92.7,0.0,0.0,0.0,280.88,2.47,170.0,979.88,
2015,1,1,21,8.16,94.27,0.0,0.0,0.0,281.07,1.77,197.0,980.26,
2015,1,1,22,8.18,95.84,0.0,0.0,0.0,281.25,1.06,224.0,980.64,
2015,1,1,23,8.3,95.57,0.0,0.0,0.0,277.03,1.66,243.0,980.61,
2015,1,2,0,8.42,95.31,0.0,0.0,0.0,272.82,2.26,262.0,980.58,
2015,1,2,1,8.54,95.04,0.0,0.0,0.0,268.6,2.86,281.0,980.55,
2015,1,2,2,8.08,94.92,0.0,0.0,0.0,268.05,3.37,282.0,980.48,
2015,1,2,3,7.61,94.8,0.0,0.0,0.0,267.5,3.88,282.0,980.42,
2015,1,2,4,7.15,94.68,0.0,0.0,0.0,266.95,4.39,282.0,980.36,
2015,1,2,5,7.45,94.53,0.0,0.0,0.0,266.2,4.13,274.0,980.64,
2015,1,2,6,7.75,94.38,0.0,0.0,0.0,265.45,3.88,265.0,980.93,
2015,1,2,7,8.05,94.23,17.0,0.0,17.0,264.7,3.63,257.0,981.22,
2015,1,2,8,9.28,89.85,224.0,587.14,76.0,271.28,5.07,259.0,981.13,
2015,1,2,9,10.51,85.46,358.0,607.22,125.0,277.87,6.51,261.0,981.03,
2015,1,2,10,11.75,81.08,458.0,654.47,148.0,284.45,7.94,262.0,980.93,
2015,1,2,11,12.05,77.79,496.0,630.08,171.0,290.02,7.07,264.0,980.39,
