Location,City,Region,Country,Latitude,Longitude,Time Zone,Elevation,Source
484560,Bangkok,THA,Thailand,13.92,100.6,7.0,12,PVGIS
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,22.31,66.17,0.0,0.0,0.0,412.18,2.75,45.0,1015.65,
2007,1,1,1,22.93,64.67,0.0,0.0,0.0,407.91,2.72,45.0,1015.55,
2007,1,1,2,23.55,63.16,0.0,0.0,0.0,403.65,2.69,45.0,1015.45,
2007,1,1,3,24.17,61.66,0.0,0.0,0.0,399.38,2.65,46.0,1015.35,
2007,1,1,4,24.79,60.15,0.0,0.0,0.0,395.11,2.62,47.0,1015.89,
2007,1,1,5,25.41,58.65,0.0,0.0,0.0,390.84,2.59,48.0,1016.42,
2007,1,1,6,26.02,57.14,0.0,0.0,0.0,386.58,2.56,49.0,1016.95,
2007,1,1,7,26.64,55.64,11.0,0.0,11.0,382.31,2.52,359.0,1012.33,
2007,1,1,8,27.26,54.13,50.0,0.0,50.0,378.04,2.49,358.0,1012.69,
2007,1,1,9,27.88,52.63,342.0,350.83,190.0,373.78,2.46,358.0,1013.06,
2007,1,1,10,28.5,51.12,503.0,393.72,266.0,369.51,2.42,5.0,1012.26,
2007,1,1,11,29.12,49.62,676.0,560.0,271.0,365.24,2.39,12.0,1011.46,
2007,1,1,12,29.73,48.11,731.0,531.19,312.0,360.97,2.36,19.0,1010.66,
2007,1,1,13,30.35,46.61,814.0,757.99,212.0,356.71,2.33,21.0,1009.93,
2007,1,1,14,30.97,45.1,726.0,667.04,233.0,352.44,2.29,23.0,1009.2,
2007,1,1,15,32.03,38.48,565.0,513.4,243.0,353.5,1.56,25.0,1008.46,
2007,1,1,16,30.62,45.42,329.0,227.4,223.0,358.58,1.81,20.0,1008.9,
2007,1,1,17,29.2,52.37,206.0,385.88,103.0,363.67,2.06,14.0,1009.33,
2007,1,1,18,27.78,59.31,13.0,46.4,11.0,368.75,2.3,9.0,1009.76,
2007,1,1,19,27.28,59.66,0.0,0.0,0.0,374.27,1.73,346.0,1010.33,
2007,1,1,20,26.77,60.01,0.0,0.0,0.0,379.78,1.15,324.0,1010.89,
2007,1,1,21,26.27,60.36,0.0,0.0,0.0,385.3,0.58,302.0,1011.46,
2007,1,1,22,25.29,65.27,0.0,0.0,0.0,387.27,0.86,302.0,1011.39,
2007,1,1,23,24.32,70.19,0.0,0.0,0.0,389.23,1.13,302.0,1011.33,
2007,1,2,0,23.34,75.1,0.0,0.0,0.0,391.2,1.41,302.0,1011.26,
2007,1,2,1,22.75,77.26,0.0,0.0,0.0,392.5,1.55,306.0,1010.76,
2007,1,2,2,22.15,79.43,0.0,0.0,0.0,393.8,1.69,309.0,1010.26,
2007,1,2,3,21.55,81.59,0.0,0.0,0.0,395.1,1.83,312.0,1009.76,
2007,1,2,4,21.24,81.64,0.0,0.0,0.0,395.22,1.84,317.0,1010.16,
2007,1,2,5,20.92,81.7,0.0,0.0,0.0,395.33,1.85,322.0,1010.56,
2007,1,2,6,20.6,81.75,0.0,0.0,0.0,395.45,1.86,327.0,1010.96,
2007,1,2,7,23.13,73.75,11.0,0.0,11.0,391.92,2.08,331.0,1011.66,
2007,1,2,8,25.65,65.76,23.0,0.0,23.0,388.38,2.29,335.0,1012.36,
2007,1,2,9,28.18,57.76,100.0,0.0,100.0,384.85,2.51,339.0,1013.06,
2007,1,2,10,29.46,51.51,549.0,540.2,224.0,377.77,2.36,341.0,1012.29,
2007,1,2,11,30.75,45.26,717.0,688.45,219.0,370.68,2.21,344.0,1011.53,
2007,1,2,12,32.03,39.01,827.0,817.06,182.0,363.6,2.06,347.0,1010.76,
2007,1,2,13,32.11,38.45,834.0,819.83,182.0,361.57,1.95,345.0,1009.93,
2007,1,2,14,32.18,37.89,770.0,810.18,170.0,359.53,1.84,342.0,1009.1,
2007,1,2,15,32.25,37.33,619.0,699.52,179.0,357.5,1.74,340.0,1008.26,
2007,1,2,16,30.93,42.0,439.0,642.91,138.0,361.53,2.17,342.0,1008.53,
2007,1,2,17,29.61,46.66,216.0,445.97,96.0,365.57,2.59,343.0,1008.8,
2007,1,2,18,28.29,51.33,14.0,44.21,12.0,369.6,3.02,345.0,1009.06,
2007,1,2,19,27.38,56.23,0.0,0.0,0.0,375.13,3.03,333.0,1009.46,
2007,1,2,20,26.46,61.13,0.0,0.0,0.0,380.67,3.05,322.0,1009.86,
2007,1,2,21,25.55,66.03,0.0,0.0,0.0,386.2,3.06,311.0,1010.26,
2007,1,2,22,24.63,68.26,0.0,0.0,0.0,386.47,3.01,312.0,1010.29,
2007,1,2,23,23.71,70.5,0.0,0.0,0.0,386.73,2.95,313.0,1010.33,
2007,1,3,0,22.79,72.73,0.0,0.0,0.0,387.0,2.9,314.0,1010.36,
2007,1,3,1,22.35,73.45,0.0,0.0,0.0,386.4,2.97,316.0,1010.03,
2007,1,3,2,21.91,74.17,0.0,0.0,0.0,385.8,3.03,318.0,1009.7,
2007,1,3,3,21.46,74.89,0.0,0.0,0.0,385.2,3.1,320.0,1009.36,
2007,1,3,4,21.19,76.88,0.0,0.0,0.0,384.67,3.06,324.0,1009.73,
2007,1,3,5,20.92,78.88,0.0,0.0,0.0,384.13,3.02,328.0,1010.1,
2007,1,3,6,20.65,80.87,0.0,0.0,0.0,383.6,2.98,332.0,1010.46,
2007,1,3,7,22.94,73.11,0.0,0.0,0.0,379.62,2.72,332.0,1010.76,
2007,1,3,8,25.24,65.35,154.0,260.48,95.0,375.63,2.46,332.0,1011.06,
2007,1,3,9,27.53,57.59,419.0,727.12,105.0,371.65,2.19,332.0,1011.36,
2007,1,3,10,29.02,50.74,618.0,814.78,128.0,365.98,2.16,341.0,1010.59,
2007,1,3,11,30.5,43.89,762.0,849.93,147.0,360.32,2.13,350.0,1009.83,
2007,1,3,12,31.99,37.04,832.0,832.79,174.0,354.65,2.1,359.0,1009.06,
2007,1,3,13,32.0,36.52,826.0,788.51,198.0,354.32,1.78,9.0,1008.36,
2007,1,3,14,32.01,36.0,763.0,781.54,183.0,353.98,1.46,18.0,1007.67,
2007,1,3,15,32.01,35.48,621.0,700.61,179.0,353.65,1.14,28.0,1006.97,
2007,1,3,16,31.35,37.4,432.0,597.53,151.0,358.98,1.15,45.0,1007.4,
2007,1,3,17,30.68,39.33,159.0,136.4,122.0,364.32,1.16,62.0,1007.83,
2007,1,3,18,30.01,41.25,12.0,21.1,11.0,369.65,1.17,79.0,1008.26,
2007,1,3,19,28.27,49.43,0.0,0.0,0.0,376.37,1.71,120.0,1008.63,
2007,1,3,20,26.52,57.61,0.0,0.0,0.0,383.08,2.24,160.0,1009.0,
2007,1,3,21,24.78,65.79,0.0,0.0,0.0,389.8,2.77,200.0,1009.36,
2007,1,3,22,24.09,66.91,0.0,0.0,0.0,391.08,2.72,211.0,1009.4,
2007,1,3,23,23.4,68.02,0.0,0.0,0.0,392.37,2.67,222.0,1009.43,
2007,1,4,0,22.71,69.14,0.0,0.0,0.0,393.65,2.62,233.0,1009.46,
2007,1,4,1,22.24,70.11,0.0,0.0,0.0,394.88,2.67,245.0,1009.33,
2007,1,4,2,21.77,71.08,0.0,0.0,0.0,396.12,2.72,257.0,1009.2,
2007,1,4,3,21.3,72.05,0.0,0.0,0.0,397.35,2.77,269.0,1009.06,
2007,1,4,4,21.11,75.01,0.0,0.0,0.0,398.95,2.51,278.0,1009.5,
2007,1,4,5,20.92,77.98,0.0,0.0,0.0,400.55,2.26,287.0,1009.93,
2007,1,4,6,20.73,80.94,0.0,0.0,0.0,402.15,2.0,297.0,1010.36,
2007,1,4,7,22.96,73.1,0.0,0.0,0.0,396.07,1.89,305.0,1010.79,
2007,1,4,8,25.2,65.25,101.0,44.34,91.0,389.98,1.79,313.0,1011.23,
2007,1,4,9,27.43,57.41,353.0,403.49,179.0,383.9,1.68,322.0,1011.66,
2007,1,4,10,28.95,51.11,601.0,741.83,155.0,379.18,1.63,336.0,1011.06,
2007,1,4,11,30.46,44.82,754.0,819.19,161.0,374.47,1.57,350.0,1010.46,
2007,1,4,12,31.98,38.52,810.0,757.37,211.0,369.75,1.52,4.0,1009.86,
2007,1,4,13,32.07,38.7,841.0,836.19,174.0,370.35,1.75,13.0,1009.13,
2007,1,4,14,32.16,38.89,774.0,812.11,170.0,370.95,1.98,23.0,1008.4,
2007,1,4,15,32.24,39.07,623.0,701.64,179.0,371.55,2.21,32.0,1007.67,
2007,1,4,16,30.77,46.9,403.0,457.24,187.0,377.75,2.39,29.0,1007.93,
2007,1,4,17,29.3,54.72,185.0,241.34,119.0,383.95,2.57,26.0,1008.2,
2007,1,4,18,27.83,62.55,18.0,60.51,15.0,390.15,2.76,23.0,1008.46,
2007,1,4,19,27.39,63.98,0.0,0.0,0.0,394.13,1.89,324.0,1008.73,
2007,1,4,20,26.94,65.41,0.0,0.0,0.0,398.12,1.02,266.0,1009.0,
2007,1,4,21,26.49,66.84,0.0,0.0,0.0,402.1,0.15,207.0,1009.26,
2007,1,4,22,25.53,70.28,0.0,0.0,0.0,402.62,0.52,240.0,1009.36,
2007,1,4,23,24.57,73.71,0.0,0.0,0.0,403.13,0.9,273.0,1009.46,
2007,1,5,0,23.61,77.15,0.0,0.0,0.0,403.65,1.27,306.0,1009.56,
2007,1,5,1,23.31,76.46,0.0,0.0,0.0,406.08,1.49,315.0,1009.46,
2007,1,5,2,23.01,75.76,0.0,0.0,0.0,408.52,1.7,323.0,1009.36,
2007,1,5,3,22.71,75.07,0.0,0.0,0.0,410.95,1.92,332.0,1009.26,
2007,1,5,4,22.6,73.63,0.0,0.0,0.0,412.38,2.37,344.0,1009.73,
2007,1,5,5,22.48,72.18,0.0,0.0,0.0,413.82,2.83,356.0,1010.19,
2007,1,5,6,22.37,70.74,0.0,0.0,0.0,415.25,3.28,8.0,1010.66,
2007,1,5,7,24.46,66.73,0.0,0.0,0.0,408.38,3.32,8.0,1010.96,
2007,1,5,8,26.54,62.71,117.0,93.48,96.0,401.52,3.36,8.0,1011.26,
