Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,1378,Hua Hin,THA,Thailand,12.5697094919,99.9443281647,7,74.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2007,1,1,0,26.0,67.4,0.0,0.0,0.0,385.97,10.88,46.0,1003.35,
2007,1,1,1,26.02,65.55,0.0,0.0,0.0,383.11,10.39,46.0,1003.15,
2007,1,1,2,26.05,63.7,0.0,0.0,0.0,380.24,9.89,45.0,1002.95,
2007,1,1,3,26.07,61.86,0.0,0.0,0.0,377.38,9.4,44.0,1002.76,
2007,1,1,4,26.1,60.01,0.0,0.0,0.0,374.51,8.91,43.0,1003.48,
2007,1,1,5,26.12,58.16,0.0,0.0,0.0,371.64,8.42,42.0,1004.21,
2007,1,1,6,26.15,56.32,0.0,0.0,0.0,368.78,7.93,40.0,1004.94,
2007,1,1,7,26.18,54.47,11.0,0.0,11.0,365.91,7.43,355.0,1004.87,
2007,1,1,8,26.2,52.62,100.0,0.0,100.0,363.05,6.94,1.0,1005.3,
2007,1,1,9,26.23,50.78,300.0,213.36,207.0,360.18,6.45,7.0,1005.73,
2007,1,1,10,26.25,48.93,484.0,330.83,283.0,357.31,5.96,18.0,1005.0,
2007,1,1,11,26.28,47.08,588.0,322.38,352.0,354.45,5.46,28.0,1004.28,
2007,1,1,12,26.31,45.24,663.0,352.13,381.0,351.58,4.97,38.0,1003.55,
2007,1,1,13,26.33,43.39,676.0,363.29,382.0,348.72,4.48,41.0,1002.79,
2007,1,1,14,26.36,41.54,555.0,223.32,386.0,345.85,3.99,45.0,1002.03,
2007,1,1,15,28.12,38.11,598.0,567.36,231.0,368.8,3.81,48.0,1001.27,
2007,1,1,16,28.12,43.43,343.0,225.83,233.0,365.27,3.37,50.0,1001.7,
2007,1,1,17,28.12,48.76,185.0,197.69,128.0,361.73,2.92,51.0,1002.13,
2007,1,1,18,28.12,54.08,20.0,0.0,20.0,358.2,2.48,53.0,1002.56,
2007,1,1,19,27.67,56.0,0.0,0.0,0.0,354.0,1.98,99.0,1003.19,
2007,1,1,20,27.21,57.91,0.0,0.0,0.0,349.8,1.48,144.0,1003.81,
2007,1,1,21,26.76,59.83,0.0,0.0,0.0,345.6,0.98,189.0,1004.44,
2007,1,1,22,25.41,65.59,0.0,0.0,0.0,343.9,1.37,219.0,1004.41,
2007,1,1,23,24.07,71.34,0.0,0.0,0.0,342.2,1.76,249.0,1004.38,
