Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,3509,Khon Kaen,THA,Thailand,16.4200429473,102.830043497,7,159.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2009,1,1,0,15.02,64.86,0.0,0.0,0.0,304.26,8.06,57.0,998.96,
2009,1,1,1,15.65,64.36,0.0,0.0,0.0,312.06,8.13,56.0,999.05,
2009,1,1,2,16.27,63.87,0.0,0.0,0.0,319.85,8.19,54.0,999.15,
2009,1,1,3,16.9,63.37,0.0,0.0,0.0,327.64,8.25,52.0,999.25,
2009,1,1,4,17.52,62.87,0.0,0.0,0.0,335.44,8.31,52.0,999.97,
2009,1,1,5,18.15,62.37,0.0,0.0,0.0,343.23,8.38,51.0,1000.69,
2009,1,1,6,18.77,61.87,0.0,0.0,0.0,351.02,8.44,51.0,1001.41,
2009,1,1,7,19.4,61.37,8.75,0.0,8.75,358.82,8.5,53.0,999.71,
2009,1,1,8,20.02,60.87,23.0,0.0,23.0,366.61,8.56,56.0,999.87,
2009,1,1,9,20.65,60.38,113.0,0.0,113.0,374.4,8.62,59.0,1000.03,
2009,1,1,10,21.27,59.88,406.0,166.79,306.0,382.19,8.69,60.0,999.28,
2009,1,1,11,21.9,59.38,461.0,129.36,369.0,389.99,8.75,62.0,998.53,
2009,1,1,12,22.52,58.88,670.0,417.32,350.0,397.78,8.81,63.0,997.78,
2009,1,1,13,23.15,58.38,594.0,270.12,388.0,405.57,8.87,63.0,997.25,
2009,1,1,14,23.77,57.88,439.0,113.02,360.0,413.37,8.93,62.0,996.73,
2009,1,1,15,24.05,57.11,341.0,91.36,288.0,407.95,8.83,62.0,996.21,
2009,1,1,16,23.14,58.08,154.0,7.24,151.0,402.95,8.81,62.0,996.8,
2009,1,1,17,22.24,59.05,84.0,28.22,78.0,397.95,8.8,63.0,997.39,
2009,1,1,18,21.34,60.02,0.0,0.0,0.0,392.95,8.79,63.0,997.97,
2009,1,1,19,20.75,61.75,0.0,0.0,0.0,382.3,8.55,63.0,998.37,
2009,1,1,20,20.16,63.49,0.0,0.0,0.0,371.65,8.31,64.0,998.76,
2009,1,1,21,19.57,65.22,0.0,0.0,0.0,361.0,8.07,64.0,999.15,
2009,1,1,22,18.83,65.97,0.0,0.0,0.0,357.32,7.83,62.0,999.38,
