Source,Location ID,City,Region,Country,Latitude,Longitude,Time Zone,Elevation
PVGIS,137,Pattani,THA,Thailand,6.86400302337,101.25000062,7,6.0
Year,Month,Day,Hour,Tdry,RH,GHI,DNI,DHI,IR,Wspd,Wdir,Pres,
2016,1,1,0,23.87,92.07,0.0,0.0,0.0,397.77,3.08,72.0,1014.18,
2016,1,1,1,24.24,91.16,0.0,0.0,0.0,397.74,3.27,73.0,1013.71,
2016,1,1,2,24.61,90.25,0.0,0.0,0.0,397.7,3.47,74.0,1013.25,
2016,1,1,3,24.98,89.35,0.0,0.0,0.0,397.66,3.67,76.0,1012.78,
2016,1,1,4,25.35,88.44,0.0,0.0,0.0,397.62,3.86,73.0,1013.15,
2016,1,1,5,25.73,87.53,0.0,0.0,0.0,397.58,4.06,70.0,1013.51,
2016,1,1,6,26.1,86.62,0.0,0.0,0.0,397.55,4.26,67.0,1013.88,
2016,1,1,7,26.47,85.71,71.0,144.26,63.0,397.51,4.45,67.0,1014.24,
2016,1,1,8,26.84,84.8,176.0,191.63,121.0,397.47,4.65,67.0,1014.61,
2016,1,1,9,27.21,83.89,410.0,453.79,185.0,397.43,4.85,68.0,1014.98,
2016,1,1,10,27.59,82.98,594.0,524.21,244.0,397.39,5.04,66.0,1014.44,
2016,1,1,11,27.96,82.07,801.0,783.99,181.0,397.35,5.24,64.0,1013.91,
2016,1,1,12,28.33,81.16,878.0,795.89,196.0,397.32,5.44,62.0,1013.38,
2016,1,1,13,28.7,80.25,877.0,769.67,214.0,397.28,5.63,62.0,1012.88,
2016,1,1,14,29.07,79.34,747.0,562.18,295.0,397.24,5.83,63.0,1012.38,
2016,1,1,15,28.64,75.57,661.0,656.35,209.0,401.5,5.12,63.0,1011.88,
2016,1,1,16,28.05,76.51,463.0,527.55,187.0,401.05,4.82,65.0,1012.45,
2016,1,1,17,27.46,77.46,246.0,366.93,129.0,400.6,4.52,68.0,1013.01,
2016,1,1,18,26.86,78.4,51.0,178.51,35.0,400.15,4.22,70.0,1013.58,
2016,1,1,19,26.36,81.34,0.0,0.0,0.0,398.38,4.23,74.0,1014.08,
2016,1,1,20,25.86,84.27,0.0,0.0,0.0,396.62,4.25,78.0,1014.58,
2016,1,1,21,25.36,87.21,0.0,0.0,0.0,394.85,4.26,83.0,1015.08,
2016,1,1,22,25.2,86.98,0.0,0.0,0.0,391.58,4.12,85.0,1014.74,
2016,1,1,23,25.04,86.76,0.0,0.0,0.0,388.32,3.98,87.0,1014.41,
2016,1,2,0,24.88,86.53,0.0,0.0,0.0,385.05,3.83,90.0,1014.08,
